AverageReturn,StdReturn,AverageAction,Epoch,AverageAbsQYDiff,MinEsReturn,AverageAbsQ,AverageEsReturn,Iteration,AveragePolicySurr,AverageY,AverageQLoss,AverageDiscountedReturn,AverageAbsY,MinReturn,StdEsReturn,QFunRegParamNorm,MaxReturn,AverageQ,MaxEsReturn,PolicyRegParamNorm
38.7516155585,0.970225717283,1.0,19,0.0526151647213,14.3756504208,1.12354,41.6741399897,19,-1.25713,1.10737447682,0.00923606,34.441572443,1.12331033848,36.6483246916,6.21063902566,14.4306,41.7923865003,1.10703,58.4029188753,14.5588
38.7856928,0.907877228086,1.0,20,0.0534076014869,26.1523767508,1.26541,41.0164155894,20,-1.40599,1.25191091273,0.00987819,34.4705042037,1.26541745459,36.6570463284,4.19568021006,15.0232,40.6638369893,1.25149,56.407252981,14.5636
38.8460788386,0.928536907356,1.0,21,0.0537695399888,33.59528711,1.40584,42.3551695009,21,-1.56269,1.39378023367,0.00909737,34.517068918,1.40595710446,36.6769822282,7.14469661466,15.6088,40.7501872154,1.39342,78.7725264158,14.5684
38.7706547497,0.951824262868,1.0,22,0.057844336183,17.4163567508,1.55439,41.3701102354,22,-1.7109,1.54560608613,0.0116447,34.4595723585,1.55445762078,36.7623711439,6.17556102122,16.2404,40.6469966136,1.54515,63.9018292489,14.5728
38.7905679127,0.948872764383,1.0,23,0.0589543863421,8.56800205739,1.67188,40.7034462031,23,-1.83739,1.66240054279,0.0117912,34.4732926025,1.67138873949,36.763672457,6.43083641025,16.8329,40.8588054298,1.66228,55.7799004963,14.577
38.8756076708,0.999999430031,1.0,24,0.0612566966403,12.9800931594,1.80455,40.9193949581,24,-1.97161,1.79639659992,0.0133823,34.5381461563,1.80438120756,36.5707322351,7.07167912976,17.4225,40.6775993579,1.79593,66.3124939877,14.5811
38.7992476346,0.910086892228,1.0,25,0.0612134087719,9.66743211393,1.90881,42.0504823772,25,-2.07752,1.90081297572,0.0130012,34.480178484,1.90837404873,36.6695315718,8.44794524388,18.0459,40.6496555405,1.90045,68.7008315925,14.5854
38.8021132645,0.909622143877,1.0,26,0.067342036998,18.3791864196,1.9998,41.917602158,26,-2.15424,1.99223107603,0.0163425,34.4823299798,1.99934311878,36.7351543656,7.53784300331,18.7219,40.6892981637,1.99169,63.6337236332,14.5888
38.8013265075,0.926430898445,1.0,27,0.0660559195701,22.7670931837,2.07715,41.5693706054,27,-2.2279,2.06884289778,0.0153966,34.4844532964,2.07631334607,36.7406210895,4.68562428625,19.313,40.8282404329,2.0687,55.4410345191,14.5915
38.9079091196,0.929658802146,1.0,28,0.067066928057,6.38557885483,2.13487,40.442188604,28,-2.28138,2.12756529196,0.0143357,34.5672939406,2.13426935977,36.6855728541,6.67928164456,19.9476,41.8330161038,2.12723,59.50980604,14.5935
38.7445154767,0.943257206491,1.0,29,0.0640629131767,38.1260470065,2.1859,43.7007308893,29,-2.32502,2.17904936871,0.0139664,34.4366652528,2.18545915236,36.7656205644,7.60720954297,20.5704,40.7130257172,2.17877,76.1090489843,14.5945
38.8043032228,0.918404601575,1.0,30,0.0668353743612,6.18802047685,2.23038,42.0610083139,30,-2.37105,2.22360998956,0.0142928,34.4823160851,2.22990263044,36.6856972041,8.07018470253,21.1976,40.5801883222,2.22336,61.1477863494,14.5937
38.8020673158,0.889497794568,1.0,31,0.0688525209866,14.5802844018,2.24633,41.1655984754,31,-2.37837,2.23944910726,0.0143137,34.4795055636,2.24574526149,36.6374438412,6.13206460571,21.8296,40.6397937883,2.23914,59.0353704556,14.5883
1011.66233302,0.483769083882,0.975022,32,0.0686442451332,9.77579930677,2.30134,40.1899076029,32,-2.44404,2.29523594878,0.0167966,103.36399196,2.30083577555,1010.85191478,8.72688238434,22.4207,1012.26324528,2.29497,70.2262312516,15.0913
