2017-05-05 00:45:03.799581 EDT | AveragePolicyStd            1e-06
2017-05-05 00:45:03.799984 EDT | -----------------------  --------------
2017-05-05 00:45:03.800552 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #13 | Training started
2017-05-05 00:49:19.688747 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #13 | Training finished
2017-05-05 00:49:19.689750 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #13 | Collecting samples for evaluation
2017-05-05 00:49:38.394630 EDT | -----------------------  --------------
2017-05-05 00:49:38.395670 EDT | Epoch                      13
2017-05-05 00:49:38.396097 EDT | AverageReturn               6.12503
2017-05-05 00:49:38.396521 EDT | StdReturn                   0.687276
2017-05-05 00:49:38.396936 EDT | MaxReturn                  10.0676
2017-05-05 00:49:38.397344 EDT | MinReturn                   3.28868
2017-05-05 00:49:38.397753 EDT | AverageEsReturn             0.988051
2017-05-05 00:49:38.398162 EDT | StdEsReturn                 0.0794973
2017-05-05 00:49:38.398569 EDT | MaxEsReturn                 1.98824
2017-05-05 00:49:38.398973 EDT | MinEsReturn                 0.110849
2017-05-05 00:49:38.399393 EDT | AverageDiscountedReturn     5.97032
2017-05-05 00:49:38.399798 EDT | AverageQLoss                0.0151288
2017-05-05 00:49:38.400200 EDT | AveragePolicySurr          -9.46233
2017-05-05 00:49:38.400604 EDT | AverageQ                    0.00668926
2017-05-05 00:49:38.401006 EDT | AverageAbsQ                 0.00708741
2017-05-05 00:49:38.401409 EDT | AverageY                    0.00717983
2017-05-05 00:49:38.401813 EDT | AverageAbsY                 0.0131683
2017-05-05 00:49:38.402216 EDT | AverageAbsQYDiff            0.00889758
2017-05-05 00:49:38.402619 EDT | AverageAction               1.07026e+07
2017-05-05 00:49:38.403024 EDT | PolicyRegParamNorm       2236.53
2017-05-05 00:49:38.403434 EDT | QFunRegParamNorm            7.85137
2017-05-05 00:49:38.403838 EDT | AverageForwardProgress      0.0018051
2017-05-05 00:49:38.404241 EDT | MaxForwardProgress          0.0419363
2017-05-05 00:49:38.404645 EDT | MinForwardProgress         -0.0412161
2017-05-05 00:49:38.405048 EDT | StdForwardProgress          0.0110039
2017-05-05 00:49:38.405451 EDT | AveragePolicyStd            1e-06
2017-05-05 00:49:38.405851 EDT | -----------------------  --------------
2017-05-05 00:49:38.406526 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #14 | Training started
2017-05-05 00:53:55.887983 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #14 | Training finished
2017-05-05 00:53:55.896632 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #14 | Collecting samples for evaluation
2017-05-05 00:54:14.802209 EDT | -----------------------  --------------
2017-05-05 00:54:14.803354 EDT | Epoch                      14
2017-05-05 00:54:14.803939 EDT | AverageReturn               5.9195
2017-05-05 00:54:14.804521 EDT | StdReturn                   0.800818
2017-05-05 00:54:14.805092 EDT | MaxReturn                   8.06843
