StdReturn,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageQ,QFunRegParamNorm,Iteration,MinEsReturn,MaxReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,Epoch,AverageQLoss,PolicyRegParamNorm,AverageAbsQ,MinReturn,AverageAction,AverageAbsY,AverageY,StdEsReturn
0.0,99.9956828753,22.4318181818,1000.0,2.51782,36.1559,42,4.0,1000.0,0.0711291367663,-2.81921,51.0,42,0.0318188,27.5395,2.52217,1000.0,0.413334,2.51963310796,2.51798067685,13.8521375562
39.3768958979,63.1815856787,19.358490566,105.791666667,2.60658,36.6706,43,3.0,252.0,0.0697863656817,-2.89727,114.0,43,0.0297691,27.7401,2.61148,59.0,0.423339,2.60880876553,2.60690139392,18.5646187523
12.3966243794,52.7593173752,15.8196721311,75.3684210526,2.68664,36.9996,44,3.0,122.0,0.0757312410171,-3.00297,70.0,44,0.035079,27.9427,2.69282,51.0,0.477572,2.69064845442,2.6868036552,12.8004971685
3.74441733211,36.6849011609,18.6545454545,45.5454545455,2.77648,37.4159,45,3.0,64.0,0.0814384145839,-3.10251,65.0,45,0.0408954,28.105,2.78219,39.0,0.489625,2.77902912626,2.77705708326,14.6550868386
7.73633766372,47.4113471766,16.7627118644,64.2435897436,2.86482,37.7534,46,3.0,85.0,0.0790495965612,-3.19789,50.0,46,0.0376185,28.3,2.86988,47.0,0.471147,2.8666769566,2.86499688144,13.8666029507
0.0,99.9956828753,21.7391304348,1000.0,2.94999,37.9638,47,3.0,1000.0,0.077760444735,-3.28347,103.0,47,0.0396491,28.4048,2.95432,1000.0,0.549661,2.95172409479,2.9503179216,18.7134394657
0.0,99.9956828753,26.4473684211,1000.0,3.02818,38.362,48,3.0,1000.0,0.0835775368467,-3.36009,167.0,48,0.0471018,28.5912,3.03285,1000.0,0.641212,3.02985745023,3.02861954498,31.8398107046
0.0,99.9956828753,22.9545454545,1000.0,3.12557,38.6868,49,3.0,1000.0,0.0829025395337,-3.46775,116.0,49,0.0459552,28.7538,3.13066,1000.0,0.622672,3.1270005613,3.12576612613,22.9078733443
0.0,99.9956828753,23.380952381,1000.0,3.20847,39.0641,50,3.0,1000.0,0.0865503870617,-3.54558,118.0,50,0.0501722,28.933,3.2134,1000.0,0.555867,3.20907853575,3.20852917572,25.57710321
0.0,99.9956828753,23.3255813953,1000.0,3.28815,39.4511,51,3.0,1000.0,0.0860611936106,-3.63365,100.0,51,0.0500146,29.1252,3.29374,1000.0,0.614384,3.28973768695,3.2887505203,20.181410892
