StdReturn,MinReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageQ,PolicyRegParamNorm,AverageAction,AverageY,AverageEsReturn,Epoch,StdEsReturn,Iteration,MaxReturn,AverageQLoss
112.836217082,685.088363054,846.489483338,25.0743,722.608204862,-2.41101,2.30899327624,0.0816988830617,722.608204862,107.071432258,2.30822,2.30822,28.2306,0.907676,2.3089144021,722.608204862,47,0.0,47,1069.06663771,0.0180182
162.487077109,400.927038208,691.949549527,25.3674,758.505130101,-2.48533,2.38003797669,0.0806251813366,758.505130101,100.46339218,2.37935,2.37935,28.5461,0.904813,2.38000375894,758.505130101,48,0.0,48,982.479042815,0.0148451
75.1550970416,734.141319324,860.931040717,25.6481,653.915500495,-2.57009,2.46707867599,0.0810581940522,653.915500495,105.128890772,2.46651,2.46651,28.8584,0.894957,2.46702092171,653.915500495,49,0.0,49,989.82536346,0.0156528
113.794022968,598.175595716,805.729866369,26.0316,437.967929239,-2.65701,2.554724458,0.082942982086,437.967929239,96.893560067,2.55439,2.55439,29.2506,0.885776,2.55467566431,437.967929239,50,0.0,50,952.65750725,0.0166605
220.645573253,-44.8782490188,540.634610751,26.3541,627.624625275,-2.73705,2.6334298337,0.0848380659753,627.624625275,64.0922636158,2.63235,2.63235,29.6112,0.938109,2.63335986195,627.624625275,51,0.0,51,730.97827557,0.0190864
156.994249442,409.91998391,670.519447804,26.6892,728.708234304,-2.82127,2.71101160551,0.0891756690395,728.708234304,87.6581544368,2.71014,2.71014,29.9078,0.915449,2.71090604751,728.708234304,52,0.0,52,967.10335148,0.0216886
159.811500883,464.40811043,737.267364914,26.9753,575.868561649,-2.92833,2.81562911534,0.0888061297795,575.868561649,116.797857576,2.81481,2.81481,30.2149,0.904392,2.81557039168,575.868561649,53,0.0,53,1013.78262509,0.0192035
58.600513944,686.607820174,782.937254453,27.2773,803.358775485,-3.02954,2.91631367004,0.0888989694417,803.358775485,69.8725920347,2.91578,2.91578,30.4752,0.917668,2.91627681587,803.358775485,54,0.0,54,878.150289847,0.01955
218.129716764,152.722331411,708.682250873,27.6,458.999227409,-3.11098,3.00183052082,0.0909038501043,458.999227409,99.4088611088,3.00096,3.00096,30.7533,0.938333,3.00175978189,458.999227409,55,0.0,55,922.445072118,0.0215469
253.920012854,794.796780937,1071.8703736,27.9078,651.938436873,-3.18444,3.07781028539,0.0911161791244,651.938436873,164.949481225,3.0771,3.0771,31.0368,0.88334,3.07776206721,651.938436873,56,0.0,56,1556.72686576,0.0223049
