Epoch,AverageDiscountedReturn,AverageQLoss,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,AverageAbsY,MaxEsReturn,Iteration,AverageReturn,MinReturn,AverageAction,QFunRegParamNorm,AverageQ,AveragePolicySurr,AverageEsReturn,StdReturn,AverageAbsQYDiff,MaxReturn
43,95.5830403416,11.0288,-8.26874367915,37.809614261,28.5613,38.039,49.1099953402,38.0259601683,152.620181412,43,244.038413241,19.1137542121,0.721797,34.9584,37.7999,-40.8688,32.90719987,88.2393648123,2.00575404946,432.669978331
44,92.9889430269,11.9438,3.45834130105,39.3930661426,28.8417,39.6112,75.6505894589,39.5998948603,228.78681507,44,266.804612006,41.0710020134,0.687222,35.4741,39.3821,-42.5454,66.71196513,125.246249795,2.06028282789,899.784398692
45,124.577154469,12.7453,-16.1284306715,40.7228667654,29.1419,40.922,66.4380553287,40.9138911301,199.595735242,45,245.567452949,161.125632154,0.733667,36.0066,40.7096,-43.9979,99.0723359583,55.2595416006,2.1465440478,417.860487872
46,89.6913633883,13.5385,17.402671184,42.7579839616,29.4361,42.9441,95.0618887447,42.9370164303,362.473538621,46,806.054258151,213.923175095,0.752906,36.5147,42.7446,-46.0384,127.743144968,285.21906468,2.19829632756,1000.19988728
47,98.9423735538,14.3917,0.805886683566,44.688398838,29.7329,44.844,95.8762345572,44.8406062359,260.00420431,47,511.682616249,120.607374952,0.680695,36.9985,44.6795,-48.0476,128.774764701,328.490664004,2.24976105326,968.95605712
48,102.527555942,14.9154,0.32988291692,46.7726007392,30.0763,46.9115,140.047285212,46.9102254283,413.285413852,48,615.713508751,69.2606128197,0.586046,37.4469,46.7615,-50.1866,124.745157585,344.124986518,2.29337117611,1040.52344575
49,104.901296136,15.2299,-4.96898548307,48.7003635078,30.3734,48.8391,119.30872436,48.8374719088,315.977639451,49,367.344991058,50.0634467283,0.672816,37.8512,48.6882,-52.0923,102.846702039,204.315902266,2.32163496772,947.361666986
50,70.5195892416,16.7518,-32.6282703919,50.3048902254,30.6735,50.4301,235.989912238,50.4355235744,712.389056031,50,312.234161201,-36.4836854123,0.712336,38.3229,50.2917,-53.7427,240.535584263,288.927140499,2.41636121896,949.44296898
51,53.1711513265,17.648,-29.4629968883,52.3563558781,31.0063,52.4693,82.1102230231,52.4757816475,225.722398195,51,145.775890982,-67.321072821,0.763961,38.7261,52.3429,-55.7565,74.0655093415,135.11420887,2.45108912551,514.010591231
52,94.3951533789,20.2237,42.5968508826,53.9764743507,31.2792,54.087,52.6968597928,54.0884710476,217.810705262,52,152.142957311,107.474607805,0.764275,39.126,53.9666,-57.4311,151.141197828,31.0947328295,2.56302820979,288.562967351
53,73.8373466585,20.9507,19.6560706591,56.1485863796,31.527,56.2467,59.5790244615,56.253258155,193.074383851,53,170.542714447,2.49497406807,0.818298,39.6103,56.1302,-59.754,133.706753696,117.156468795,2.61718776949,401.568041499
54,98.9274298115,21.6821,30.6210209554,58.4696657937,31.7186,58.5662,78.9068432528,58.5746572426,289.922987444,54,152.717602204,124.055587165,0.841851,39.991,58.4534,-62.2519,152.029571865,28.3612354765,2.69753682148,244.442875012
55,61.983956571,22.4201,40.5320162999,60.793469489,31.9037,60.8833,96.0591411888,60.8907544192,361.904219139,55,89.5749188428,78.5652252684,0.759911,40.3734,60.7717,-64.6341,130.210472176,11.3828283942,2.77957674145,189.790223388
56,62.6634348367,25.319,60.8579067154,63.1082518099,32.1227,63.1976,41.6538591678,63.2098679603,187.594225943,56,92.0694420514,83.3158325432,0.827107,40.7449,63.0879,-66.943,120.596207478,19.3063434288,2.87284512464,307.600611831
57,52.7323127234,26.4456,35.7125946566,65.3429437146,32.401,65.4403,33.8336165488,65.4383361302,143.522714133,57,77.6503282859,65.8794940732,0.819899,41.1619,65.3249,-69.2705,92.5964124221,3.39548771106,2.96656332224,87.2334645506
58,59.9853758978,29.7183,23.3163369771,67.8084010384,32.6295,67.9052,37.7814870091,67.9020209526,171.022555857,58,85.4481954934,79.5461240748,0.902031,41.5897,67.791,-71.7936,80.9995775989,2.62132387439,3.09643125292,91.5612620018
59,69.4076663461,28.8572,16.9383423494,70.3149256094,32.8577,70.4069,37.2934934807,70.4102660252,150.467603559,59,101.410222243,83.9419494222,0.890831,41.9691,70.2934,-74.4413,90.432128822,6.66711462362,3.11407698181,111.276412923
60,68.5889034627,35.2781,9.48738555042,72.5705183382,33.0018,72.6734,72.2519522485,72.6675026263,253.141691625,60,103.706437639,73.9668887325,0.884939,42.3807,72.5505,-76.7121,94.2851460662,16.4308493165,3.31002700257,158.657557543
61,56.3834246082,33.2486,-6.10333331472,74.9487561251,33.1436,75.0518,46.2755539573,75.0468272563,179.586535057,61,81.0062432495,71.1218524043,0.873856,42.7845,74.9293,-79.1028,77.3130294488,3.78098041173,3.2999246628,89.6450854961
62,73.5401984479,35.5924,2.77468704971,77.4731306496,33.2806,77.5756,40.5568354788,77.5676917415,194.637773835,62,119.426565113,81.7909945287,0.823726,43.1759,77.4531,-81.8697,88.097748841,22.8248436347,3.39119171823,183.132244911
63,77.5093234427,34.1956,37.2943195483,79.697204445,33.4147,79.7984,34.2873949683,79.7900264484,178.326841441,63,123.326664593,81.4969515464,0.833646,43.5805,79.6776,-84.146,103.737393505,12.3038398992,3.39510180096,160.884000598
