AverageAction,AverageY,StdReturn,MaxReturn,MaxEsReturn,AverageAbsQ,AverageEsReturn,AverageDiscountedReturn,AverageAbsY,Iteration,QFunRegParamNorm,MinReturn,AverageQ,MinEsReturn,AverageAbsQYDiff,Epoch,PolicyRegParamNorm,AverageQLoss,StdEsReturn,AveragePolicySurr,AverageReturn
0.999794,33.1533819836,175.830286892,1107.38171491,662.856171992,33.1565,662.856171992,130.942178719,33.1565448121,1938,166.988,515.967037363,33.1535,662.856171992,0.285159161175,1938,164.296,1.16262,0.0,-33.2504,732.455185571
0.999233,33.13806991,1082.88931753,3327.32534228,1200.30443976,33.1404,1200.30443976,228.763613059,33.1409167957,1939,167.004,-252.92304144,33.1376,1200.30443976,0.321281059386,1939,164.321,1.63621,0.0,-33.2364,1818.6874346
0.999071,32.9814062029,1087.00090455,3722.69436009,334.652035748,32.9826,334.652035748,256.01799786,32.9839419556,1940,167.05,636.312941953,32.9801,334.652035748,0.327941142541,1940,164.332,1.55325,0.0,-33.0761,2302.16075901
0.998922,32.9911299092,757.832550822,4153.47559872,623.524350126,32.9949,623.524350126,323.656778438,32.9935628063,1941,167.077,1671.86529927,32.9923,623.524350126,0.307149144016,1941,164.357,1.5151,0.0,-33.1043,3484.73864312
0.998898,32.9653207546,887.742510064,4403.78867478,1764.20528624,32.9671,1764.20528624,328.92767234,32.9676566553,1942,167.112,1438.05114927,32.9649,1764.20528624,0.282609707038,1942,164.38,1.07806,0.0,-33.0846,3683.28509142
0.998826,32.962864802,398.497213672,4251.07358183,2857.70498695,32.9647,2857.70498695,311.92010397,32.9650663689,1943,167.114,3028.9285264,32.9627,2857.70498695,0.285049310097,1943,164.443,1.1635,0.0,-33.0746,3889.24830146
0.999231,32.9037165596,1730.91037094,4386.12839277,3143.75334299,32.9037,3143.75334299,308.594615901,32.9062419026,1944,167.158,118.929285818,32.9013,3143.75334299,0.310538345594,1944,164.584,1.74655,0.0,-33.0047,2764.5416351
0.999218,32.8904328027,1096.57744976,4337.72937268,3002.07166276,32.8931,3002.07166276,341.874162502,32.8927266064,1945,167.193,917.234949564,32.8908,3002.07166276,0.28021980344,1945,164.616,1.06589,0.0,-33.0053,2890.33351242
0.998796,32.8616860735,954.865777985,4587.63124043,2881.84764592,32.8637,2881.84764592,347.603004786,32.8637593479,1946,167.261,2059.12582813,32.8615,2881.84764592,0.282766007507,1946,164.639,1.07777,0.0,-32.9727,3981.79895458
0.999028,33.0922674268,998.136343688,3500.13727483,2725.51126136,33.0943,2725.51126136,273.827962862,33.0942239777,1947,167.31,776.301519749,33.0923,2725.51126136,0.294157780243,1947,164.672,1.30074,0.0,-33.2062,2167.52446599
0.998353,32.9548525964,782.369772652,4392.83184675,2751.84712562,32.9569,2751.84712562,324.9588624,32.9580728674,1948,167.371,1693.46911631,32.9534,2751.84712562,0.30180984843,1948,164.663,1.33914,0.0,-33.0616,3743.74633144
0.998421,32.8729203431,960.019154116,4110.26968482,571.543404781,32.876,571.543404781,311.386649568,32.876654382,1949,167.349,777.300307196,32.8725,571.543404781,0.288948609136,1949,164.817,1.22516,0.0,-32.9827,3607.15569509
0.998765,32.9258875772,1187.25490752,4630.03683917,2511.54139204,32.9283,2511.54139204,328.17735858,32.9283133614,1950,167.418,968.007713533,32.9258,2511.54139204,0.282904332277,1950,164.87,1.16582,0.0,-33.0403,3568.40468566
0.998062,32.9246467706,347.260149275,3782.05728419,2819.15915489,32.9268,2819.15915489,284.592867633,32.9268085168,1951,167.496,2470.90573902,32.9248,2819.15915489,0.283705500045,1951,164.929,1.14662,0.0,-33.0286,3454.06969355
0.999367,32.8299658332,1480.08093694,4336.38897551,2434.61665834,32.8316,2434.61665834,279.071517241,32.8326309921,1952,167.529,-191.020274038,32.8291,2434.61665834,0.287432200993,1952,164.975,1.16723,0.0,-32.9256,2035.39256802
0.999421,32.9547462375,779.645122665,3065.48079427,2802.73006584,32.9574,2802.73006584,246.188211804,32.9578256011,1953,167.566,811.678626453,32.9546,2802.73006584,0.29629021252,1953,165.024,1.33472,0.0,-33.069,1829.19432745
0.998927,32.9883347809,950.290146822,3726.21897952,2413.75402469,32.9897,2413.75402469,303.240283842,32.9903843757,1954,167.649,1112.06628962,32.9877,2413.75402469,0.296722588924,1954,165.114,1.39906,0.0,-33.0824,2723.16059724
0.999095,32.8839257127,718.428355193,3896.7657973,2132.65775877,32.8861,2132.65775877,313.486037618,32.8867857801,1955,167.673,1699.82745111,32.8833,2132.65775877,0.300452737637,1955,165.189,1.38508,0.0,-32.9953,3202.96906583
0.998909,32.9670933036,309.137169202,4278.31086534,2758.47663492,32.9684,2758.47663492,311.852927602,32.9693077632,1956,167.74,3124.47426119,32.9663,2758.47663492,0.303096029197,1956,165.188,1.39218,0.0,-33.0859,3657.31258956
