StdEsReturn,Epoch,PolicyRegParamNorm,MaxReturn,AverageDiscountedReturn,AverageQLoss,StdReturn,AverageAction,AverageY,MaxEsReturn,AverageAbsQYDiff,AverageQ,AveragePolicySurr,QFunRegParamNorm,AverageAbsY,MinEsReturn,MinReturn,AverageAbsQ,Iteration,AverageEsReturn,AverageReturn
131.786428109,30,29.4599,384.546759737,173.361311117,5.15818,19.7068112183,0.572331,37.297954834,491.740831693,0.979193935047,37.2922,-39.2063,39.6672,37.3141454098,15.3064974386,308.654740106,37.3245,30,275.466760215,353.402283732
147.682084601,31,30.0088,1250.96475852,221.488529859,5.54519,206.138608141,0.606908,39.7688328119,414.932617391,0.993328092359,39.7637,-41.7065,40.7277,39.7832253532,18.7031235077,414.85048639,39.7926,31,216.00659787,707.563326903
189.71310016,32,30.4513,1211.4193582,222.882719791,6.23866,162.63427898,0.574055,42.2349267694,670.675320569,1.04285799402,42.2285,-44.1761,41.7397,42.2483399055,21.642680902,468.02930617,42.2623,32,282.364836862,938.957445669
230.003860676,33,30.9329,716.191711541,219.223126708,6.6322,18.2871787949,0.623505,44.6951735943,659.924535761,1.10729986029,44.6872,-46.6935,42.7266,44.7093011023,22.3535611094,634.081979923,44.7212,33,293.364182914,678.369390243
173.921747321,34,31.3547,2396.91207681,206.005871332,7.49808,352.079618496,0.636832,47.1840677596,600.008260034,1.18444403823,47.179,-49.2115,43.6783,47.1999256431,24.9132452728,584.811306535,47.219,34,304.359066396,913.915900266
184.234103856,35,31.7619,574.908073101,193.324649022,7.78164,24.3705997216,0.662499,49.5237597464,588.881863529,1.19019670343,49.5165,-51.5861,44.557,49.5409091246,12.6627031722,405.563584051,49.562,35,211.123991512,455.333822368
191.239471873,36,32.2184,475.352694892,179.64036517,8.47495,43.047833892,0.62293,52.0112474334,562.085632267,1.24154544378,52.0069,-54.0968,45.4522,52.02607843,21.2002673053,356.475217736,52.0507,36,277.456981067,402.246700476
152.203767885,37,32.6536,731.479455674,179.857521966,8.76689,116.240817518,0.674411,54.3333244947,487.68321034,1.28037058554,54.3257,-56.4097,46.3865,54.3483155066,30.0246346891,321.913766097,54.3727,37,283.551235668,453.412200388
211.999194638,38,33.0376,586.285635334,176.153453992,9.9317,96.5382407802,0.650376,56.6262142836,759.971771887,1.37574101069,56.619,-58.7348,47.3258,56.6401902838,11.9867416724,343.411973121,56.6653,38,268.498989801,414.94965572
75.6351886332,39,33.4897,358.882610128,162.451348875,10.2157,6.37928871397,0.697934,59.0491724643,441.875345249,1.38909660679,59.0436,-61.1659,48.1897,59.0635739792,176.323528642,325.847371279,59.094,39,350.60088164,337.586403012
206.17487938,40,33.9673,404.875437811,185.499488457,10.3145,7.60675313029,0.690092,61.2661284456,662.205606632,1.42600886659,61.2617,-63.4344,49.0647,61.281047247,11.9690966663,365.781628625,61.3093,40,180.792780095,391.850584802
151.048458183,41,34.3669,414.689946383,177.304403181,11.1498,15.3837478979,0.74239,63.5860190156,389.315328524,1.46813332005,63.578,-65.756,49.9494,63.6010942367,21.3379224045,328.595171641,63.6312,41,191.57086254,373.803955032
123.277997817,42,34.6849,409.527962753,174.549523647,11.8472,44.3060202885,0.731591,65.7751169428,377.650680441,1.51788931678,65.7705,-67.9423,50.8956,65.7900981129,9.35876790031,245.74177868,65.8203,42,215.239754052,351.060174739
151.445075857,43,35.0628,384.41544173,171.615191173,13.2349,14.7244907036,0.705016,67.8585001447,436.667939493,1.56290084051,67.8508,-70.0452,51.7644,67.87342738,10.4135217274,323.881311645,67.9046,43,148.749617649,346.041973441
109.049352699,44,35.429,350.779195592,169.587064622,14.6351,9.95024629832,0.632117,70.0080184738,343.579451553,1.6401130798,70.0,-72.2111,52.5989,70.0231696192,39.0295912341,317.827724061,70.0579,44,157.704929144,333.211864924
115.934185535,45,35.7867,364.412587597,172.039575843,14.6765,5.67871939535,0.639032,72.1726362138,347.300919609,1.68333016699,72.166,-74.4588,53.3948,72.1854499535,32.2597411995,327.464479543,72.2151,45,157.062455162,342.975816333
131.673210515,46,36.0945,391.868193251,177.748829002,17.3022,19.1755524444,0.661299,74.1489871946,358.588093295,1.76448967867,74.142,-76.4569,54.2127,74.1641628398,11.1583470468,294.354750781,74.1999,46,142.085143949,355.48688842
173.034477325,47,36.4668,414.069395533,148.658322305,16.1821,23.5653252346,0.614983,76.1952432058,648.270527916,1.78593445572,76.1903,-78.5791,54.9339,76.2089318964,35.6815002888,238.344609214,76.2475,47,181.7615762,266.909903009
98.0931288491,48,36.8989,408.714568755,172.089059586,16.6725,31.0661191499,0.696925,78.2036529898,295.604362065,1.81531131538,78.1942,-80.687,55.6549,78.2186160516,13.1350130245,282.839738216,78.2533,48,142.999109151,357.319464195
120.101198775,49,37.2776,405.501694308,174.727634818,18.1692,16.5761909843,0.749833,80.4401505628,401.445525634,1.89555302762,80.4363,-82.9856,56.3145,80.4544255816,31.2166222129,317.371369228,80.5007,49,206.152998952,377.298090714
91.1367666884,50,37.6145,398.624316293,170.66753712,18.8383,17.7315334236,0.704507,82.7250997208,320.075078223,1.94776784339,82.717,-85.2979,57.0147,82.7396247622,14.5006947347,315.111275906,82.7823,50,190.55703805,361.806051269
116.285389929,51,37.9131,402.020524289,173.602945375,19.7919,22.4611619533,0.701029,84.8003510695,342.009215688,2.01734457541,84.7929,-87.4147,57.7278,84.8165602385,14.3930015357,283.606219128,84.8641,51,163.112007074,354.240381255
106.937976677,52,38.2635,392.330077138,167.032931599,20.425,41.4500469871,0.689243,87.0355053276,340.059296207,2.01858086518,87.0282,-89.6556,58.347,87.0546588137,12.6515650098,206.758010592,87.1015,52,188.811446721,348.498583402
108.878913977,53,38.5438,440.066049841,158.072353699,22.8748,78.7281087439,0.735483,89.1131074065,362.189413127,2.12532254915,89.1045,-91.7642,59.0514,89.1320763292,10.1257180748,98.5756784032,89.1817,53,129.949826953,314.548067096
136.904832747,54,38.8417,526.120882333,168.716458423,23.1514,86.1898046751,0.638444,91.0777698586,380.10998559,2.11952405935,91.0687,-93.7652,59.7513,91.0946614187,8.2626269666,277.066993783,91.1476,54,167.605215415,365.681455559
97.8953301999,55,39.1268,398.9970395,146.334222799,25.7866,50.2177501358,0.79696,93.0780166451,335.440716593,2.22624562994,93.0695,-95.8339,60.4795,93.0973765517,10.7919179948,203.210311928,93.147,55,178.310035733,275.100374858
123.732321377,56,39.4448,390.614505973,158.226272418,25.8303,49.7596256515,0.728711,95.4189653685,412.135665066,2.2556621079,95.4126,-98.1729,61.1744,95.4370333048,10.0105003988,222.610609213,95.4918,56,218.020235202,310.172387909
104.591318882,57,39.7597,384.647296592,182.706217555,25.7212,3.55621544906,0.661439,97.2721731429,346.740755394,2.28695269302,97.2649,-100.074,61.8738,97.2929920054,6.7349197616,365.501233627,97.3524,57,132.310590455,377.96998827
131.744073059,58,40.0749,397.093437476,185.357548076,27.4891,4.38659244168,0.680034,99.499897838,389.274418821,2.33724766506,99.4889,-102.323,62.5537,99.5173834299,22.6955468133,377.165541441,99.5761,58,254.886009392,384.145562143
88.4160979407,59,40.3648,398.000085098,162.971891855,28.5346,79.4104104391,0.698356,101.700065351,325.9422512,2.36648521061,101.691,-104.514,63.2386,101.722004276,54.0134644823,147.934378694,101.776,59,193.822005669,320.183024449
93.0546885331,60,40.6858,382.276549443,177.173641317,31.3194,12.0154282607,0.712575,103.504882026,342.947159526,2.45998316065,103.496,-106.392,63.95,103.525495886,45.382095844,319.395381507,103.591,60,190.237921076,368.456304962
112.020165464,61,40.9567,387.080866182,181.008837782,29.3542,3.95226276238,0.724728,105.657308692,377.830765619,2.45490947815,105.649,-108.558,64.6666,105.679294156,62.4533935951,369.889316944,105.745,61,241.581781288,378.408186758
134.578636619,62,41.2319,383.533435245,179.888608632,31.0365,5.02467196445,0.706748,107.909096105,383.356977675,2.52901086254,107.903,-110.879,65.3872,107.930658331,10.9751356748,359.990888598,107.999,62,216.077015864,377.828570915
117.390503895,63,41.4327,389.165605386,181.451481005,32.8325,3.73206388705,0.737823,109.858508223,367.566932314,2.57276217314,109.846,-112.914,66.0778,109.879440003,14.8291302588,373.505269783,109.942,63,157.063738189,381.374637105
100.363458072,64,41.6992,387.880180083,179.02795043,34.0675,7.93761144089,0.706411,112.143558178,316.040274211,2.61691829088,112.135,-115.233,66.7145,112.166374468,11.8373515919,350.163356476,112.236,64,151.123091278,376.210599017
113.509160299,65,41.8958,400.955201954,182.255381438,34.5211,9.72110901703,0.69332,114.308191099,359.691674138,2.65275773751,114.297,-117.398,67.3761,114.329806001,43.647674347,316.890208763,114.39,65,205.516612788,382.655174436
134.784295202,66,42.1656,407.048421385,165.620316274,36.5746,71.0108424723,0.720237,116.221020018,412.749396827,2.7234808028,116.213,-119.387,68.0229,116.247668341,21.2400364498,147.351644142,116.319,66,195.226726802,331.531031547
128.418845281,67,42.445,394.735480804,179.963064872,43.4902,19.5978779704,0.699179,118.558264638,357.665921639,2.83802096313,118.549,-121.749,68.5977,118.585453756,23.8731367343,315.437904074,118.663,67,174.950609235,374.617499436
157.655331414,68,42.7275,388.317314116,176.320017508,42.9116,45.2339614456,0.710277,120.565346515,558.392604454,2.89025792516,120.557,-123.844,69.2491,120.592507661,21.9323657651,145.155462787,120.676,68,166.74272827,365.037892293
125.869245409,69,42.9372,400.060054317,177.049600512,40.7425,48.1678824512,0.693535,122.86084548,395.650569757,2.86023370994,122.85,-126.129,69.8469,122.889845346,16.8331623947,144.492109124,122.964,69,193.024212441,366.146200248
126.186975165,70,43.1814,421.800018795,182.636138498,45.0101,15.4385616802,0.682051,124.745601605,362.760069494,2.96618751635,124.737,-128.117,70.4565,124.77547669,32.6889630657,318.747088102,124.854,70,166.654937984,382.162579217
111.014035382,71,43.4238,428.549704522,188.994045987,46.9887,9.65210167238,0.676578,127.013217217,358.751132689,3.02612433214,126.999,-130.424,71.0967,127.042120741,41.1828031362,381.504731391,127.115,71,162.750670876,410.768524485
135.204678022,72,43.6694,385.755964919,151.271984262,46.3085,94.8466623585,0.713311,128.809597507,385.674276423,3.06170202175,128.801,-132.283,71.744,128.838835828,20.7351512564,141.269535396,128.925,72,206.412072656,288.856428918
125.390249783,73,43.8718,471.427500588,186.141769947,46.6516,46.4097297212,0.745067,131.091890734,404.181007829,3.07361700764,131.082,-134.548,72.39,131.119753827,5.56577497984,90.6158729502,131.204,73,174.757049216,402.943355166
112.091249929,74,44.127,436.659249296,178.212660254,50.8493,45.0353314795,0.707185,133.228478807,359.392086415,3.14032122919,133.22,-136.727,72.9573,133.253202904,19.9453908767,147.817655056,133.341,74,179.645285756,375.983782861
80.00721789,75,44.3543,431.571817447,171.801357894,52.2185,79.9312595574,0.749969,135.077684227,306.923660365,3.1940965539,135.065,-138.584,73.5141,135.105831549,48.5974162525,77.5192723189,135.198,75,183.856054062,350.041041804
87.5650982642,76,44.5294,382.750567652,174.334718139,56.3875,17.6143732206,0.656186,137.080854279,336.58221042,3.31330215285,137.075,-140.622,74.099,137.113974271,42.6303772095,297.594036581,137.201,76,154.643104743,352.936550774
136.722645469,77,44.6976,408.933048522,118.265711787,55.1833,95.302788366,0.804071,139.284428058,412.445665819,3.32783468308,139.272,-142.817,74.6657,139.312441256,16.2598760513,78.0113472068,139.396,77,211.424053274,196.770970981
162.585255249,78,44.8818,418.786882948,174.352476372,55.0946,20.2252893624,0.713229,141.166296381,495.231290184,3.29260706032,141.158,-144.761,75.2369,141.203476967,33.4732080968,267.324983446,141.305,78,197.029470841,351.910126266
137.650305129,79,45.101,398.742853128,168.76666374,61.0827,30.0531578296,0.825841,143.469186544,461.798624134,3.4429035751,143.453,-147.071,75.8708,143.50242787,13.2173876917,135.463787591,143.59,79,175.135178876,326.573239648
107.778259998,80,45.272,461.240098936,157.33276478,58.852,93.6755855137,0.822607,145.619083339,367.641097036,3.44992005165,145.612,-149.327,76.4109,145.656774663,37.9661658748,71.0780509312,145.761,80,187.922392619,304.820343428
116.077120155,81,45.4668,487.173766624,175.224250516,63.1393,48.411578353,0.823267,147.451849065,351.216200937,3.47963843673,147.443,-151.204,76.9879,147.489126728,9.76475995992,71.7129905033,147.595,81,163.689128294,355.884112329
111.191994075,82,45.6846,545.348587325,192.722403337,64.2181,47.763120956,0.787049,149.607622137,456.116828433,3.60556559061,149.599,-153.473,77.6227,149.64596963,98.7304658168,248.696516753,149.748,82,251.709322807,431.696516107
137.296249742,83,45.8545,462.592444465,187.57632093,64.937,33.5225614742,0.827049,151.774233317,451.319089141,3.61206033317,151.762,-155.668,78.1817,151.812591338,52.7671794144,322.525415396,151.918,83,226.915222559,408.175114034
166.60726691,84,46.0149,429.563693283,183.616751026,66.0369,20.5294251715,0.81486,153.957398951,534.545250583,3.67493607997,153.947,-157.848,78.8298,153.997195164,8.30023854364,324.317778878,154.088,84,224.777439716,390.848465497
104.748904902,85,46.1986,560.585968268,194.162732379,63.6897,35.9133556017,0.823285,155.966842219,387.630070772,3.6582329523,155.954,-159.895,79.3746,156.006209143,49.0879735669,338.813490266,156.115,85,176.151199137,438.68823196
175.148311964,86,46.3937,463.517696235,191.073114016,70.9868,25.5416428773,0.865613,157.924086777,630.709356603,3.77248642826,157.913,-161.896,79.9496,157.969641662,46.3796983903,327.9807909,158.071,86,308.140846581,414.081953131
127.532210097,87,46.5437,566.423989768,185.94121834,68.554,66.4641105562,0.839323,159.828044398,429.16762575,3.7760051498,159.82,-163.834,80.4618,159.872963373,8.6627212063,70.4427391937,159.985,87,192.726078069,408.094666793
136.716828093,88,46.7184,525.640729647,196.332273241,76.6661,40.5441120521,0.822523,161.65241932,430.419454599,3.9081983405,161.642,-165.627,81.046,161.706731987,33.1603400207,332.865018804,161.823,88,210.783202144,450.682810474
109.287592861,89,46.9093,487.187291579,177.354450747,68.4379,58.8191590968,0.803253,163.614821795,422.197115336,3.80321679678,163.601,-167.559,81.5765,163.672050603,26.2616804025,147.768526932,163.768,89,193.923266307,364.899457874
139.402019283,90,47.0657,516.666551725,190.922650787,78.2513,47.8245142573,0.830388,165.426738935,478.96268731,3.92234819675,165.413,-169.39,82.1326,165.480669266,32.3836862962,309.247183503,165.603,90,215.724992821,417.162498108
