MaxReturn,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageQ,MaxEsReturn,Iteration,StdReturn,AverageAbsY,AverageQLoss,StdEsReturn,AverageAbsQ,AverageAction,MinReturn,QFunRegParamNorm,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AveragePolicySurr,Epoch
2990.06632975,35.5436,47.95687579,1.25266450796,1152.60127678,47.9468,1152.60127678,61,909.216119855,47.9574165711,4.37193,0.0,47.9468,0.847266,496.9761843,37.5827,1152.60127678,1694.08026789,212.67974326,-49.3105,61
3156.31407746,35.7579,49.9420876442,1.2325530184,1874.67416308,49.9324,1874.67416308,62,907.721651496,49.9425511771,4.04048,0.0,49.9324,0.857459,265.748990412,37.88,1874.67416308,2239.3336122,236.260369799,-51.2557,62
3384.97158806,36.0634,51.395542555,1.2678824784,1455.59621219,51.3849,1455.59621219,63,1020.34962666,51.3962052126,4.43234,0.0,51.3849,0.847772,715.867169022,38.1616,1455.59621219,1723.73738375,229.854145157,-52.7341,63
3306.22361503,36.352,52.7791634015,1.28586258717,1289.65220248,52.7701,1289.65220248,64,940.344678422,52.779578031,4.64943,0.0,52.7701,0.846691,106.764155163,38.4937,1289.65220248,2688.38210324,261.007479066,-54.1363,64
3177.83434354,36.6417,54.486938513,1.32462136482,1067.19027911,54.4747,1067.19027911,65,219.085063185,54.4875818921,5.16746,0.0,54.4747,0.845546,2372.64671594,38.8066,1067.19027911,2959.28438394,258.053968409,-55.8812,65
3376.56853615,36.9095,56.1279565992,1.36211603899,1809.36100012,56.1156,1809.36100012,66,592.887872167,56.128574145,5.63157,0.0,56.1156,0.870053,1368.02638291,39.1724,1809.36100012,3145.81375091,267.569352841,-57.5381,66
3182.63697718,37.1912,58.0539188049,1.3375603978,1920.28299152,58.0436,1920.28299152,67,950.774270404,58.0546791424,5.18769,0.0,58.0436,0.854054,-67.775249431,39.4978,1920.28299152,2780.64314294,254.687119967,-59.4522,67
3308.5325346,37.4591,60.0748958624,1.37005773086,1936.42107173,60.0644,1936.42107173,68,405.668291318,60.0753802672,5.9272,0.0,60.0644,0.855175,2116.77840757,39.7587,1936.42107173,3027.68788304,274.681720449,-61.4763,68
2957.83411502,37.6823,61.6790918783,1.36108696569,1124.51873292,61.6665,1124.51873292,69,37.0434855202,61.6796087329,5.45398,0.0,61.6665,0.847265,2847.52549283,40.0197,1124.51873292,2888.3275437,252.544503681,-63.1083,69
3083.70264784,37.9018,63.4100692563,1.40893883812,1970.9250714,63.3984,1970.9250714,70,78.030477322,63.4107081659,6.38743,0.0,63.3984,0.867644,2881.69452496,40.3397,1970.9250714,2975.6834535,246.164891182,-64.8257,70
3287.5197367,38.1413,65.2608325285,1.41137918516,2066.07136624,65.2506,2066.07136624,71,628.217359087,65.2612725162,6.37962,0.0,65.2506,0.833692,1097.85467248,40.7182,2066.07136624,2975.98024028,274.204061902,-66.6951,71
