AverageQ,Iteration,AverageAbsY,AverageAction,Epoch,AverageQLoss,PolicyRegParamNorm,AverageAbsQ,AverageReturn,AveragePolicySurr,AverageEsReturn,MaxReturn,MaxEsReturn,StdReturn,AverageY,AverageAbsQYDiff,MinReturn,StdEsReturn,AverageDiscountedReturn,MinEsReturn,QFunRegParamNorm
0.35055,37,0.400572204766,0.918403,37,0.00588746,23.8504,0.394807,-188.40651743,-0.399647,60.3543728871,-69.5885488123,60.3543728871,65.5723021373,0.350716338845,0.0546078924297,-298.326278954,0.0,-7.12915340263,60.3543728871,20.2269
0.37109,38,0.41802772272,0.904343,38,0.00591397,24.1698,0.4124,-30.2788987221,-0.421364,-47.2039491954,68.7127721382,-47.2039491954,46.2496784629,0.371172165344,0.0552981467227,-102.405987102,0.0,-1.24072261602,-47.2039491954,20.5215
0.391431,39,0.435731334571,0.844212,39,0.00636538,24.5472,0.430284,-75.0751594444,-0.440968,74.8811785547,15.6995425282,74.8811785547,49.7044141593,0.391582421414,0.0568289342482,-144.058277199,0.0,1.96073804277,74.8811785547,20.8333
0.419273,40,0.457215906404,0.811278,40,0.0065051,24.8121,0.451936,303.680192726,-0.466799,44.2815273751,362.204318434,44.2815273751,39.4160683515,0.419568661963,0.0574818904268,208.441790253,0.0,25.9648524874,44.2815273751,21.1426
0.444678,41,0.478097676944,0.884434,41,0.00686595,25.0917,0.473401,115.05029888,-0.491511,69.61337512,217.965716336,69.61337512,47.3776859203,0.44470334361,0.0593631081648,49.9528624517,0.0,6.30543828919,69.61337512,21.454
0.463064,42,0.492875722425,0.857224,42,0.00680347,25.4357,0.488592,196.106416082,-0.508314,158.285186968,282.530848399,158.285186968,47.8604261981,0.463257425898,0.0593430455234,108.09165929,0.0,14.4559715261,158.285186968,21.7806
0.487639,43,0.513891259773,0.861937,43,0.00732039,25.8179,0.509938,153.758744508,-0.533576,83.482297091,251.242722975,83.482297091,54.4365452037,0.487852891068,0.0611742736603,69.5903090183,0.0,-7.03076831379,83.482297091,22.1045
0.50391,44,0.528102259753,0.826076,44,0.00753738,26.1245,0.524787,235.028895072,-0.549867,125.816901121,263.946497058,125.816901121,21.9281966798,0.50415128445,0.0625885356638,193.267740189,0.0,25.8406873952,125.816901121,22.4028
0.534478,45,0.556131952547,0.780757,45,0.00846307,26.4647,0.553095,-27.478066143,-0.586531,158.92368794,3.41286187847,158.92368794,19.8460282959,0.534849297279,0.0654760359128,-69.2539824633,0.0,-6.10569061432,158.92368794,22.7134
0.562229,46,0.582704537624,0.838643,46,0.00875066,26.6821,0.579926,274.694151576,-0.616624,118.825887944,397.609967215,118.825887944,80.5343059139,0.562546188717,0.0664683807817,116.748751344,0.0,13.9179510508,118.825887944,22.9945
0.60362,47,0.621942664335,0.804165,47,0.00873269,26.9107,0.619777,18.4977957748,-0.659171,145.180036482,387.954952537,145.180036482,280.574140641,0.603898081021,0.0668706165836,-561.270180639,0.0,-25.9214905659,145.180036482,23.2923
0.636967,48,0.652498421553,0.780614,48,0.00913649,27.2207,0.650994,380.679214896,-0.695125,174.168052032,427.243243236,174.168052032,31.7711412346,0.637229655583,0.0680242863498,316.316631666,0.0,32.3424305674,174.168052032,23.531
0.682466,49,0.696364397979,0.836846,49,0.00909054,27.5538,0.694967,361.941664465,-0.740129,256.866176665,431.383297141,256.866176665,42.2914388067,0.682876134475,0.0681548677033,282.432451632,0.0,29.935140338,256.866176665,23.8116
0.714925,50,0.72808823422,0.853674,50,0.00945113,27.8762,0.726876,335.074724958,-0.776002,103.025438854,421.053753136,103.025438854,56.6790398988,0.715202798588,0.0694737136839,250.425906298,0.0,35.1845467986,103.025438854,24.0689
0.756579,51,0.769508990794,0.866307,51,0.00975033,28.0737,0.768748,297.303627015,-0.824118,217.404663518,405.371512375,217.404663518,82.8511417999,0.756864485954,0.0703888274831,129.340480719,0.0,31.8444123151,217.404663518,24.3304
0.808095,52,0.819140378059,0.827749,52,0.00985781,28.3325,0.818319,749.560351875,-0.879234,204.144505237,955.961808483,204.144505237,150.403169828,0.808467272411,0.0713764724497,498.032338952,0.0,64.8093382075,204.144505237,24.5729
0.858375,53,0.868010680985,0.843938,53,0.00988674,28.593,0.866905,387.492675476,-0.925468,324.980198206,514.222188272,324.980198206,107.657691414,0.858994775857,0.0708009478878,169.739329787,0.0,27.377553308,324.980198206,24.801
0.908031,54,0.917164796794,0.841637,54,0.0102669,28.7969,0.916335,286.031990698,-0.971493,307.445487796,378.846497535,307.445487796,66.2441317354,0.908540899664,0.0712721900535,209.137648921,0.0,6.70824785767,307.445487796,25.0429
0.957732,55,0.965009841399,0.861181,55,0.0104619,29.0413,0.964248,257.917161028,-1.02248,292.35791712,329.631054236,292.35791712,53.0447583653,0.958066938873,0.0719179116598,140.608429746,0.0,18.8693819137,292.35791712,25.3054
1.01205,56,1.01780939,0.828144,56,0.0105592,29.2992,1.01688,516.163055903,-1.083,296.407928118,613.686513799,296.407928118,70.4039583827,1.01258558798,0.0717745432029,387.202234459,0.0,31.0195209825,296.407928118,25.5312
1.07013,57,1.0741031039,0.8689,57,0.0102609,29.4421,1.07331,290.541562896,-1.138,222.449791994,445.590124943,222.449791994,252.277724438,1.07067960106,0.0717289630387,-454.751562962,0.0,35.245579092,222.449791994,25.7144
1.12531,58,1.12871233837,0.809771,58,0.0111591,29.7419,1.12779,455.063114961,-1.19307,314.975658874,679.264668984,314.975658874,131.675234946,1.12588457697,0.0734289172133,244.61026687,0.0,37.4516508822,314.975658874,25.9326
1.1774,59,1.180126552,0.782924,59,0.0106917,30.0889,1.17923,285.184173574,-1.24298,251.787251172,453.603683891,251.787251172,298.113024718,1.17790088238,0.0725327097681,-595.944362371,0.0,24.6220787635,251.787251172,26.1463
1.23198,60,1.2339721883,0.854397,60,0.01099,30.3455,1.23307,221.844426337,-1.29544,326.412152821,312.521068443,326.412152821,60.1964944397,1.23253033454,0.0724108617828,82.2663362818,0.0,6.73847476231,326.412152821,26.3969
1.29189,61,1.29348472784,0.844522,61,0.0120394,30.6068,1.29273,330.717491849,-1.35692,299.398942112,483.527015251,299.398942112,70.02937026,1.29236911189,0.075820969219,207.689333091,0.0,19.7898725667,299.398942112,26.6861
1.3374,62,1.33880146748,0.835322,62,0.0110366,30.8233,1.33809,400.428386618,-1.40155,129.02556589,483.877832111,129.02556589,55.2848564632,1.33785819059,0.0740193921898,301.886722155,0.0,43.6873861827,129.02556589,26.9207
1.39787,63,1.39898072579,0.799683,63,0.0118422,31.0435,1.39824,696.491071424,-1.46485,262.141654798,799.031205405,262.141654798,102.535485805,1.39844533105,0.0758959856784,409.427312037,0.0,60.9461456045,262.141654798,27.1419
1.45574,64,1.4566118761,0.834022,64,0.0120781,31.2717,1.45588,547.209867607,-1.52504,384.553629942,748.749293863,384.553629942,296.230632914,1.45631381794,0.0776186941098,-331.129367485,0.0,53.497402444,384.553629942,27.3774
1.54176,65,1.54255190092,0.841026,65,0.0127669,31.5167,1.54188,1003.60997158,-1.61122,419.101010216,1072.93298424,419.101010216,38.1851727748,1.54231167173,0.0782485900493,936.086739559,0.0,94.0552274106,419.101010216,27.6209
1.58508,66,1.5858918742,0.843053,66,0.0127735,31.7114,1.58515,932.668018001,-1.65171,344.515210364,1049.35973728,344.515210364,228.866964443,1.58573710311,0.0779116886421,251.04889131,0.0,81.1204657375,344.515210364,27.8429
1.65235,67,1.65300016278,0.795545,67,0.0131162,31.962,1.65242,751.544934325,-1.72307,394.904281461,876.902235732,394.904281461,116.66312897,1.65287073125,0.0786448236273,534.315733075,0.0,68.2864056717,394.904281461,28.0429
1.70477,68,1.7053226502,0.825979,68,0.0137046,32.158,1.70481,906.569292236,-1.77483,367.908951222,1036.74685087,367.908951222,208.874844073,1.70524443523,0.0790069928088,290.264794005,0.0,74.4729052787,367.908951222,28.2602
1.76339,69,1.76416778733,0.824775,69,0.0141748,32.4269,1.76346,1275.76836148,-1.83564,329.099459069,1521.2748457,329.099459069,348.011640969,1.76396873455,0.0802491132592,468.572020522,0.0,110.711844568,329.099459069,28.5107
1.83218,70,1.83275918912,0.87581,70,0.0141783,32.5834,1.83219,-263.482920552,-1.9045,357.58642895,-137.593855132,357.58642895,91.6512113091,1.83265389415,0.0819983295002,-418.622480291,0.0,57.3513705407,357.58642895,28.7285
1.8951,71,1.8954431195,0.838616,71,0.0161817,32.7786,1.89513,1096.61330568,-1.96751,605.734266452,1640.05981948,605.734266452,707.706187571,1.89537858705,0.0830407432078,-205.559768544,0.0,135.472813656,605.734266452,28.9585
1.97485,72,1.97580523378,0.791835,72,0.0158788,33.0032,1.97487,1371.45344182,-2.05012,417.560033644,1541.67536235,417.560033644,144.505841275,1.97573244854,0.0850943683827,1031.51185265,0.0,110.52238751,417.560033644,29.1933
2.05951,73,2.06017025678,0.909023,73,0.0193125,33.1452,2.05952,217.39112353,-2.13687,588.192546016,1332.67067487,588.192546016,654.529418783,2.06012045338,0.087941917974,-459.499345574,0.0,89.5782268585,588.192546016,29.4334
2.13458,74,2.13524716714,0.989775,74,0.0166514,33.395,2.13458,-435.874319858,-2.2141,-266.892064907,-255.856785208,-266.892064907,103.486219651,2.13519097408,0.0863522237114,-566.93806695,0.0,31.5575809478,-266.892064907,29.6093
2.23636,75,2.2371428389,0.987424,75,0.0198757,33.6073,2.23636,-197.241704524,-2.31693,1075.98026006,1057.23126004,1075.98026006,482.619557212,2.23706830865,0.0901659864348,-600.810039169,0.0,56.7993071479,1075.98026006,29.7888
2.32576,76,2.32648019041,0.966391,76,0.0193656,33.8516,2.32576,239.695445049,-2.40273,-254.920679646,1206.91027465,-254.920679646,633.758627547,2.3264278724,0.0896741196886,-538.310488032,0.0,78.3423402354,-254.920679646,29.9502
2.41376,77,2.41429701755,0.860535,77,0.0185742,34.0494,2.41376,1209.92459806,-2.48957,767.201287306,1666.69902571,767.201287306,528.756669758,2.41424258138,0.0900534572891,75.9488393405,0.0,113.044667409,767.201287306,30.1236
2.49248,78,2.49325013766,0.978578,78,0.0197323,34.2222,2.49248,-277.220176603,-2.57201,127.247460326,560.17952974,127.247460326,352.610670377,2.49318590281,0.0925655349535,-592.329518159,0.0,26.2590735108,127.247460326,30.3056
2.58613,79,2.58682880277,0.964255,79,0.0239423,34.4493,2.58613,-138.397599757,-2.66452,639.374845348,540.546265688,639.374845348,298.653257776,2.58673705141,0.0966863195447,-494.73428003,0.0,79.1432561087,639.374845348,30.496
2.65168,80,2.65231319536,0.981472,80,0.0217741,34.6494,2.65168,-342.845677335,-2.72875,-328.926257898,-37.2652602022,-328.926257898,150.062437242,2.65222681087,0.0952954806945,-512.242227355,0.0,47.2347283996,-328.926257898,30.6831
2.73133,81,2.732116652,0.947448,81,0.0241785,34.8507,2.73133,-476.30378364,-2.80988,12.2086552792,-363.749252118,12.2086552792,61.5994653629,2.73207186322,0.0979789743741,-564.820452248,0.0,1.65975704809,12.2086552792,30.8734
2.81615,82,2.81679670413,0.859166,82,0.0221559,35.0742,2.81615,2320.2221195,-2.89812,218.973680381,2475.83770938,218.973680381,172.174706834,2.81673948239,0.0971722233909,1817.73284203,0.0,185.467641568,218.973680381,31.0419
2.89584,83,2.89670658507,0.893771,83,0.025275,35.3201,2.89584,1503.19437046,-2.98253,-394.881783279,1666.16636953,-394.881783279,115.071936728,2.89659251592,0.0995454991134,1350.06220341,0.0,115.333133414,-394.881783279,31.1981
2.96786,84,2.96855440437,0.922457,84,0.0251971,35.5106,2.96786,901.982739071,-3.05373,-246.523896398,1637.29251596,-246.523896398,661.876536953,2.96850712636,0.0981893662566,-503.39983496,0.0,110.027471775,-246.523896398,31.4231
3.0454,85,3.04607245165,0.841852,85,0.0248511,35.7792,3.0454,1696.5785394,-3.13016,765.977047593,1826.80157528,765.977047593,69.5162791047,3.04600245595,0.100578919537,1604.93844893,0.0,145.766955306,765.977047593,31.619
3.12875,86,3.12951241025,0.852184,86,0.0282157,35.978,3.12875,2021.22163673,-3.2125,-151.912903017,2128.51262521,-151.912903017,43.809392388,3.12944613474,0.10085154192,1965.60160948,0.0,166.186717064,-151.912903017,31.8008
3.23298,87,3.23389195121,0.77632,87,0.0278194,36.2247,3.23298,1333.17885617,-3.31874,1167.2250179,1505.40310071,1167.2250179,152.972623862,3.23384098012,0.104060756375,1005.44252775,0.0,116.613198484,1167.2250179,31.9768
3.34071,88,3.34134839952,0.781025,88,0.024479,36.4096,3.34071,1834.6890253,-3.42805,1072.61887066,1897.09055627,1072.61887066,43.7507173606,3.34127625058,0.100159309544,1772.71310965,0.0,154.36265875,1072.61887066,32.1409
3.42108,89,3.42180941811,0.84548,89,0.0305893,36.609,3.42108,1860.69196104,-3.5055,1296.63142715,1886.47128595,1296.63142715,32.6728219039,3.42174699294,0.105521264603,1774.83891378,0.0,154.928232964,1296.63142715,32.3312
3.52037,90,3.52119320453,0.817726,90,0.0330648,36.8074,3.52037,1524.16655933,-3.60316,1284.02116959,1885.88964443,1284.02116959,694.564538473,3.52114446599,0.105747345006,-546.620461459,0.0,133.421072666,1284.02116959,32.4713
3.6077,91,3.60858736773,0.845946,91,0.0272868,36.9974,3.6077,2078.06321489,-3.69216,975.233442481,2403.84551033,975.233442481,552.817635646,3.60852630562,0.104215534972,887.028248404,0.0,194.262144046,975.233442481,32.6513
3.69396,92,3.69482210216,0.890942,92,0.0359803,37.2452,3.69396,2143.97732909,-3.78359,1130.34094373,2224.97026269,1130.34094373,47.3175779531,3.6947289725,0.107931520723,2073.78301808,0.0,169.907637551,1130.34094373,32.8281
3.79605,93,3.7968631076,0.872206,93,0.0356179,37.3267,3.79605,1938.57719113,-3.88839,1062.49280397,2061.19807835,1062.49280397,58.3583801594,3.79678964601,0.108287925792,1869.0950737,0.0,163.155386827,1062.49280397,32.9779
3.86539,94,3.86633255951,0.874025,94,0.0335936,37.6153,3.86539,1526.41611892,-3.9576,1184.08603431,1780.92988327,1184.08603431,285.38042369,3.86629478321,0.108314138605,843.064653866,0.0,142.568999332,1184.08603431,33.1666
3.96544,95,3.96643803683,0.899586,95,0.0410792,37.8806,3.96544,2083.49454585,-4.05368,750.250453163,2171.72273482,750.250453163,37.2696723134,3.96637669145,0.113024792972,2056.41010492,0.0,167.55706963,750.250453163,33.3273
3.99751,96,3.99808655565,0.865921,96,0.0367983,38.022,3.99751,2027.1491135,-4.08444,519.50767807,2079.8963176,519.50767807,38.6785826565,3.99802467825,0.109288905956,1947.83996151,0.0,163.432224212,519.50767807,33.4908
4.11721,97,4.11789736548,0.882601,97,0.0359196,38.2416,4.11721,2026.55271143,-4.20714,1219.30855684,2069.42984889,1219.30855684,31.9662027532,4.1178609916,0.109986751814,1976.82969766,0.0,165.488720141,1219.30855684,33.6526
4.22513,98,4.22569659677,0.824474,98,0.0411163,38.4561,4.22513,1295.23971486,-4.32486,1319.01367967,2417.94906209,1319.01367967,526.067359678,4.22564837734,0.114310552732,735.181744016,0.0,187.782264975,1319.01367967,33.8193
4.32681,99,4.32788863968,0.823033,99,0.0402768,38.6765,4.32681,1812.56641104,-4.42544,1197.12362026,2145.04186255,1197.12362026,382.072913584,4.32782716951,0.11565809992,1153.63511038,0.0,175.682102246,1197.12362026,33.9621
4.43182,100,4.43255502919,0.842472,100,0.0413894,38.8503,4.43182,1858.06269503,-4.5337,1635.11636086,2172.95592657,1635.11636086,368.775951346,4.43249038869,0.117879494185,1070.56829609,0.0,175.112198527,1635.11636086,34.1417
4.52802,101,4.52877439408,0.839319,101,0.0420706,39.0601,4.52802,2486.06309684,-4.63094,1257.93778311,2576.68889365,1257.93778311,63.8746197037,4.52872916514,0.118188393967,2349.0333061,0.0,203.68802487,1257.93778311,34.3428
4.63975,102,4.64058720651,0.815602,102,0.0526436,39.2453,4.63975,2178.48062868,-4.74127,944.592702687,2228.33508417,944.592702687,38.4476771533,4.64052172235,0.123364490713,2097.88793663,0.0,181.59566405,944.592702687,34.5428
4.74651,103,4.74717697286,0.79183,103,0.0419307,39.4507,4.74651,1083.2429284,-4.84703,1618.93237462,1738.264446,1618.93237462,372.084010338,4.74713036685,0.120351342786,370.395856215,0.0,160.731066605,1618.93237462,34.7043
4.83539,104,4.83616037355,0.878544,104,0.049376,39.564,4.83539,2271.60688943,-4.94415,681.709755212,2353.08269909,681.709755212,50.3883559604,4.836100059,0.121853986452,2185.15097212,0.0,185.723721834,681.709755212,34.8844
4.94796,105,4.94873274199,0.83958,105,0.0442978,39.8371,4.94796,2146.32449749,-5.06612,1130.81842219,2221.46374421,1130.81842219,47.4541665796,4.94867525591,0.121517471671,2073.27807083,0.0,183.08979511,1130.81842219,35.0302
5.08233,106,5.08368243633,0.813429,106,0.0575116,40.0454,5.08233,1397.94715412,-5.20939,1423.90959372,2351.75417599,1423.90959372,568.955638795,5.08364691295,0.128871768864,709.301991423,0.0,173.520130368,1423.90959372,35.1775
5.19172,107,5.19263255227,0.870776,107,0.0478787,40.3036,5.19172,2382.71741198,-5.30319,1191.53155376,2492.53603705,1191.53155376,62.5289601936,5.1926180421,0.124712068918,2283.52631636,0.0,189.411856627,1191.53155376,35.3139
5.34576,108,5.34673271693,0.819731,108,0.0540149,40.5275,5.34576,1603.52381511,-5.46109,1560.57521876,2223.17226521,1560.57521876,692.771552865,5.34668305322,0.127166800848,527.494587265,0.0,168.443728471,1560.57521876,35.4764
5.42716,109,5.42807662393,0.850646,109,0.0440308,40.7616,5.42716,2476.56729064,-5.53729,1337.53227533,2538.65650836,1337.53227533,38.9920757279,5.42803881302,0.124299668305,2430.71677946,0.0,204.500835423,1337.53227533,35.6742
5.54349,110,5.54441093412,0.802187,110,0.0689118,40.9528,5.54349,1836.09609789,-5.64947,1032.78608531,2464.07993377,1032.78608531,605.264806135,5.54437769178,0.130714867029,769.800789144,0.0,184.221900416,1032.78608531,35.8222
5.64767,111,5.64836156317,0.827703,111,0.0467879,41.1567,5.64767,2099.5220018,-5.75293,986.380498805,2306.84949302,986.380498805,281.5508381,5.64830492027,0.125491093472,1493.34833281,0.0,185.946138366,986.380498805,35.9882
5.75214,112,5.75284141005,0.852661,112,0.0454049,41.4029,5.75214,2133.14293921,-5.85598,1514.82073184,2339.65197029,1514.82073184,356.709428798,5.75280764499,0.124774401495,1088.18306993,0.0,183.138478543,1514.82073184,36.1943
5.83821,113,5.83919373396,0.793481,113,0.0682838,41.5896,5.83821,1976.30722253,-5.9455,762.050071108,2652.40770656,762.050071108,710.224872696,5.83915881436,0.134719989633,754.086033181,0.0,196.036692128,762.050071108,36.3607
5.90908,114,5.91041113513,0.818807,114,0.0771719,41.8003,5.90908,2056.94609637,-6.01972,1486.04318102,2743.52420097,1486.04318102,587.897306736,5.91038706119,0.137336614725,804.998059335,0.0,205.26813839,1486.04318102,36.5385
5.98929,115,5.98968148242,0.790892,115,0.0741585,41.9544,5.98929,745.79857311,-6.10255,347.139528282,1075.04375062,347.139528282,172.191713367,5.98960383867,0.13244101073,588.507325198,0.0,113.134190992,347.139528282,36.7319
6.08308,116,6.08448166357,0.85405,116,0.0570876,42.1538,6.08308,1982.77338245,-6.20006,327.197487713,2293.27212774,327.197487713,271.15725728,6.08445710317,0.128130240655,1546.80563292,0.0,180.346105871,327.197487713,36.8986
6.16609,117,6.16714334929,0.818961,117,0.0666519,42.316,6.16609,1671.2049856,-6.28007,648.188647858,2367.69456284,648.188647858,538.491610172,6.16708792722,0.131925906196,858.281410617,0.0,185.047106879,648.188647858,37.0333
6.25356,118,6.25472217333,0.83211,118,0.0668091,42.4748,6.25356,2644.36838232,-6.37063,536.17938274,2726.2602246,536.17938274,56.1295946335,6.25467482295,0.130435290585,2561.86058645,0.0,219.115848647,536.17938274,37.1801
6.37161,119,6.37298408413,0.884901,119,0.076246,42.6109,6.37161,1403.26445977,-6.49242,1387.64843203,2075.91054839,1387.64843203,414.898543057,6.37293476483,0.136569845848,821.789389959,0.0,165.069721588,1387.64843203,37.351
6.50686,120,6.50811478319,0.880622,120,0.0806487,42.7313,6.50686,2337.87272449,-6.62348,1506.68729356,2404.16968429,1506.68729356,42.8316535253,6.50807071952,0.136574401076,2281.43789915,0.0,187.96222229,1506.68729356,37.4944
6.63576,121,6.63693492593,0.784725,121,0.0562188,42.8797,6.63576,2638.67331485,-6.7514,1597.30477651,2728.46517643,1597.30477651,74.492783062,6.63688774459,0.131668852969,2472.64894484,0.0,225.985460079,1597.30477651,37.6639
