StdReturn,Epoch,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,MaxEsReturn,MinEsReturn,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageQLoss,AverageReturn,AverageY,Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageAbsQYDiff
446.05269704,84,2224.85401606,66.7811,189.438004432,7.06701776822,42.8781,1049.07124355,7.06701776822,7.06701776822,38.7881,66.7955089576,0.0,7.14712,1507.71582615,66.795136047,84,0.92083,-68.0855,66.7811,1.41375435739
514.238420335,85,2632.7034555,67.6866,219.982783983,896.661139348,43.1603,762.14230323,896.661139348,896.661139348,38.9775,67.6994663431,0.0,6.75947,1441.8098731,67.6991332983,85,0.93326,-68.9264,67.6866,1.41513321499
493.81218323,86,3046.02117119,69.0897,226.640063653,795.636257899,43.4113,1719.28957223,795.636257899,795.636257899,39.1966,69.1051480511,0.0,9.06011,2558.36049446,69.104521973,86,0.934509,-70.3476,69.0897,1.51689415563
476.827936518,87,2753.20114391,70.5827,211.800378959,1965.56404767,43.7206,1246.15720251,1965.56404767,1965.56404767,39.4211,70.5950792025,0.0,7.62289,2369.94271543,70.5948030958,87,0.941111,-71.8333,70.5827,1.44659870411
582.752563647,88,3276.76406998,71.7186,229.99817623,717.337592857,44.0164,1471.53965281,717.337592857,717.337592857,39.6624,71.7299961975,0.0,8.08333,2102.89629315,71.7298093961,88,0.934928,-73.0153,71.7186,1.48384448516
368.778977039,89,2719.03857114,73.2959,233.40969581,2395.5211964,44.2534,1492.5632081,2395.5211964,2395.5211964,39.8725,73.3087595665,0.0,9.23579,2059.8711769,73.308427093,89,0.940249,-74.6451,73.2959,1.5029006221
522.063651033,90,2004.19583467,75.0733,189.089154097,2096.36966327,44.5523,134.063265175,2096.36966327,2096.36966327,40.0582,75.0881702094,0.0,9.69013,1161.83020381,75.0877581276,90,0.938581,-76.4021,75.0733,1.54973191311
258.509353475,91,1624.00463115,76.1081,195.120360507,1266.0825676,44.8419,773.179045019,1266.0825676,1266.0825676,40.2721,76.1205673624,0.0,8.65031,1223.50283724,76.1202378506,91,0.930462,-77.4337,76.1081,1.52826459573
422.390459528,92,2323.90674621,77.4492,212.76964409,1317.55381156,45.1198,1089.47681403,1317.55381156,1317.55381156,40.4971,77.4612406345,0.0,9.57558,1636.97965388,77.4608910963,92,0.937023,-78.7924,77.4492,1.58878408019
482.197536105,93,3019.73172578,79.0097,208.382027,2228.3685573,45.3633,1269.2506253,2228.3685573,2228.3685573,40.7169,79.0226971608,0.0,10.27,1766.01222573,79.022233426,93,0.932036,-80.3317,79.0097,1.57563175476
