StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageAbsY,MinReturn,AverageQLoss,AverageQ,Epoch,AverageAbsQYDiff,AverageAction,Iteration,QFunRegParamNorm,AverageAbsQ,MinEsReturn,StdReturn,AverageEsReturn,AverageReturn,AverageY,PolicyRegParamNorm
119.730494192,-11.1747,175.794889201,431.33228167,333.529582453,10.8431989758,292.942603871,0.507462,10.8395,66,0.325775257014,0.575835,66,30.6944,10.8495,18.4583284657,27.8430816586,145.875602082,379.274147649,10.8408006155,33.7195
88.5030809464,-11.3795,167.187447967,351.519240985,322.789022211,11.040354111,304.600205983,0.469585,11.0356,67,0.317354770437,0.653355,67,30.9343,11.044,66.1808759586,11.3314742823,218.257703888,320.311104612,11.037935447,33.8406
99.4490699949,-11.5292,176.223027943,371.838430919,323.931882335,11.2146450531,341.758470791,0.551632,11.2099,68,0.332274961829,0.605805,68,31.209,11.2217,21.000275902,7.39508992455,131.160339986,353.071292403,11.2116814651,34.0421
82.4403152845,-11.7567,163.996115396,340.615406404,330.773238149,11.4471626786,303.479058451,0.434643,11.4421,69,0.312364066563,0.646592,69,31.4488,11.4527,88.2136297838,7.07934247335,239.308382241,314.655272369,11.4443021465,34.2614
123.019068435,-11.9464,177.994246107,359.008255137,351.785458052,11.6446523999,351.985397849,0.5355,11.6396,70,0.333000835098,0.651146,70,31.6969,11.6508,2.99119995432,1.75557558386,187.326347756,355.002156489,11.6414159873,34.4034
147.830285845,-12.1615,183.304910268,416.189952816,430.347445279,11.8476239868,368.501261224,0.496017,11.8427,71,0.320602932376,0.67001,71,31.8701,11.853,9.55533772697,14.4834641617,176.868406472,393.153094895,11.8449317836,34.5992
130.441869479,-12.3152,179.418998236,373.525967649,382.032930677,11.9916694815,363.035319542,0.536461,11.9862,72,0.331499821151,0.586933,72,32.1061,11.998,12.3207290008,2.33274116059,195.021248809,367.779269668,11.9874612249,34.8784
121.500030691,-12.5256,169.555733796,337.941680238,351.964653144,12.2006595646,319.664532324,0.640968,12.1948,73,0.351106085451,0.662135,73,32.3609,12.2038,10.349187427,4.27237437493,172.18971664,328.504741182,12.1982105343,35.103
97.7717083095,-12.706,182.951908883,378.847351987,388.866332972,12.3758223173,368.138639612,0.628729,12.3708,74,0.358407070379,0.70485,74,32.5814,12.3807,65.878066043,2.09631124765,243.784650542,373.638860014,12.3727776575,35.3306
121.410163596,-12.884,183.012964687,401.403530265,385.988345858,12.5554918042,366.392125896,0.607304,12.5501,75,0.352384486335,0.744126,75,32.7716,12.5616,10.3203711686,8.68482696077,214.797337355,383.057535095,12.5526214026,35.542
