QFunRegParamNorm,Iteration,StdReturn,AveragePolicySurr,Epoch,AverageAbsQ,AverageReturn,AverageQLoss,MinReturn,AverageAction,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageEsReturn,MaxEsReturn,AverageAbsY,StdEsReturn,AverageDiscountedReturn,AverageQ,MaxReturn
24.0403,26,104.712165819,-6.63356,26,5.88813,472.69231111,0.54343,365.972474298,0.683151,22.5777,5.87859038413,0.531982849175,210.347883791,210.347883791,210.347883791,5.89884825581,0.0,40.4544329723,5.87403,723.826937688
24.5967,27,436.49180824,-7.1605,27,6.41175,-17.2028988932,0.559191,-688.316685803,0.707454,22.9876,6.40646336737,0.542221431564,242.509917196,242.509917196,242.509917196,6.42021640404,0.0,15.9446138945,6.40215,469.783613964
25.162,28,341.988667641,-7.82398,28,7.01894,275.583544252,0.595372,-442.177714059,0.723228,23.4642,7.01752730806,0.558952344436,326.19576016,326.19576016,326.19576016,7.02775439323,0.0,39.5770154237,7.01242,609.213528804
25.6812,29,309.070156499,-8.51487,29,7.65007,1032.23840686,0.610614,667.285680805,0.800686,23.9655,7.64911988017,0.571248164593,389.919177979,389.919177979,389.919177979,7.6574495344,0.0,104.331730018,7.6443,1627.06949256
26.2026,30,207.60730005,-9.42873,30,8.46514,580.324379867,0.67283,27.3931640309,0.832469,24.3961,8.46721648377,0.592747839376,509.21256848,509.21256848,509.21256848,8.47278521064,0.0,38.5906702569,8.46178,740.215654497
26.676,31,175.380959758,-10.2854,31,9.26766,742.437679264,0.732934,578.479297242,0.860851,24.8953,9.27158884761,0.612753164591,539.020981493,539.020981493,539.020981493,9.27476380124,0.0,82.3138562982,9.26588,1223.18982915
27.0832,32,230.557155535,-11.2693,32,10.2212,851.999135509,0.795386,297.30921413,0.8408,25.3559,10.225674724,0.628944990244,437.160271153,437.160271153,437.160271153,10.2284022217,0.0,118.727522398,10.2196,1112.49871093
27.4888,33,530.459475623,-12.2584,33,11.1956,904.100063525,0.800682,-130.650727603,0.831598,25.8406,11.2001516217,0.635213968384,523.560820014,523.560820014,523.560820014,11.2025016155,0.0,115.543848345,11.1947,1815.40568742
27.9169,34,310.531645949,-13.0966,34,12.0526,659.856770194,0.827786,308.486844446,0.846379,26.2444,12.0587455958,0.641246720768,544.842086719,544.842086719,544.842086719,12.0602465737,0.0,76.8647904763,12.052,1343.14977567
28.2803,35,82.8434517042,-14.052,35,13.0122,1426.04969723,0.862413,1347.88132972,0.893709,26.6081,13.0181378228,0.649674404315,597.700698006,597.700698006,597.700698006,13.0192006325,0.0,123.543670828,13.0119,1603.47249763
28.6475,36,348.556948708,-15.0861,36,14.0963,562.630439882,0.917345,-155.488868669,0.880676,26.923,14.1016619626,0.659160912583,478.779972651,478.779972651,478.779972651,14.1025773664,0.0,79.6492737828,14.096,1117.95164114
29.0259,37,225.203397322,-16.1179,37,15.1313,574.661195965,0.977307,196.264153885,0.865037,27.2783,15.1376815702,0.679546344866,929.005527578,929.005527578,929.005527578,15.1386989116,0.0,128.419152473,15.1313,916.375424119
29.4116,38,152.016762189,-16.9322,38,15.9535,662.846716444,1.1344,436.151271869,0.852808,27.5959,15.9590759213,0.704820001804,597.653446661,597.653446661,597.653446661,15.959824257,0.0,79.6367551106,15.9534,914.449010907
29.8244,39,342.665861465,-17.8861,39,16.8807,365.101898016,1.1536,-77.284968366,0.86022,27.8918,16.8864768053,0.712936108222,432.747159399,432.747159399,432.747159399,16.8873809038,0.0,80.459758325,16.8807,913.151295708
30.2091,40,170.106166319,-18.776,40,17.7453,512.65087597,1.15719,116.013491529,0.906326,28.2743,17.7515062635,0.714995690955,637.959724526,637.959724526,637.959724526,17.7519249175,0.0,60.009982434,17.7453,722.481935336
30.5902,41,246.498898891,-19.7098,41,18.681,724.964257001,1.25783,72.4213011412,0.86816,28.602,18.6870611142,0.735076260406,534.445737964,534.445737964,534.445737964,18.6877121457,0.0,73.0801309612,18.681,926.795546637
30.9384,42,195.599795132,-20.813,42,19.7662,832.693819906,1.33192,511.718664485,0.872175,28.952,19.7732424172,0.749273429013,559.781595424,559.781595424,559.781595424,19.7736434347,0.0,96.4843277679,19.7662,1170.00388933
31.339,43,160.502903756,-21.9455,43,20.8724,811.274512862,1.35703,569.850807672,0.861766,29.2775,20.8790080105,0.76659732952,876.301370909,876.301370909,876.301370909,20.8793366885,0.0,83.8893648516,20.8724,1079.74959133
31.6777,44,229.860358304,-23.0035,44,21.9206,615.981444878,1.41803,98.3320824719,0.84993,29.617,21.9272392352,0.779454140481,906.233774461,906.233774461,906.233774461,21.92771541,0.0,87.1475236734,21.9206,824.89025467
32.0488,45,171.373610782,-24.0695,45,22.9611,644.83243261,1.55902,415.361043908,0.833342,29.9184,22.9678009543,0.796047782647,665.631051887,665.631051887,665.631051887,22.9684535446,0.0,65.9515229981,22.9611,856.821624605
32.3946,46,133.73639843,-25.045,46,23.9363,865.538831189,1.47959,644.545976686,0.834737,30.1994,23.943169779,0.790707239344,703.36044029,703.36044029,703.36044029,23.9436058928,0.0,101.184340733,23.9363,1036.55733334
32.7644,47,228.860479466,-26.1056,47,24.9817,764.116117942,1.64756,326.479611896,0.842503,30.5338,24.9884564025,0.817094034102,705.622586473,705.622586473,705.622586473,24.988808611,0.0,94.7882379726,24.9817,1061.91446308
33.1459,48,464.856959417,-27.2242,48,26.0924,714.886870487,1.71573,-353.255704907,0.848952,30.8271,26.1004438534,0.824341424205,796.230066469,796.230066469,796.230066469,26.1008603211,0.0,128.378800125,26.0924,1551.07657937
33.5194,49,266.036280759,-28.3079,49,27.1555,1244.46517971,1.90117,886.75909001,0.845884,31.1499,27.1625498129,0.848645558705,635.800073048,635.800073048,635.800073048,27.1631009525,0.0,158.317671199,27.1555,1672.55573591
33.8598,50,129.395208244,-29.5055,50,28.3458,526.307729121,2.02393,299.175270839,0.865377,31.4524,28.3530035042,0.863129831215,679.664153329,679.664153329,679.664153329,28.353518221,0.0,88.7997736201,28.3458,748.76886534
34.2048,51,222.566637637,-30.6147,51,29.4691,867.264806953,1.99762,591.618147745,0.868605,31.8012,29.4779013157,0.879240937558,845.790672911,845.790672911,845.790672911,29.4783766677,0.0,115.86776551,29.4691,1346.76228218
34.5421,52,234.104666399,-31.6541,52,30.523,978.566788096,2.26812,585.083815879,0.822355,32.0835,30.5297998574,0.89848326113,622.687853198,622.687853198,622.687853198,30.5301914116,0.0,118.3126142,30.523,1355.99635883
34.9018,53,327.21891485,-32.6448,53,31.4981,879.244392321,2.28962,501.587060773,0.860727,32.3653,31.505082528,0.905145079785,746.955506377,746.955506377,746.955506377,31.5056304736,0.0,139.184579608,31.4981,1699.97791751
35.2342,54,451.12903451,-33.7397,54,32.5983,2194.01143488,2.44465,865.469184446,0.908865,32.6678,32.6051106155,0.919159180031,724.663059189,724.663059189,724.663059189,32.6055268123,0.0,200.844967947,32.5983,2456.0044128
35.5276,55,458.598975689,-34.9844,55,33.8403,2214.06656354,2.20373,870.496673313,0.920099,32.9069,33.8466239294,0.909682101839,764.14934762,764.14934762,764.14934762,33.8468729944,0.0,186.12212889,33.8403,2452.54405152
35.8957,56,85.3121751236,-36.3205,56,35.1701,1969.33894213,2.50581,1820.64331006,0.905454,33.1761,35.1780648794,0.952644232236,1109.30308275,1109.30308275,1109.30308275,35.1784409136,0.0,168.785974194,35.1701,2144.49933386
36.2235,57,305.216345596,-37.8184,57,36.65,1762.81818624,2.58643,1214.17148048,0.864097,33.4234,36.6566866813,0.957870159779,1396.08290601,1396.08290601,1396.08290601,36.657249519,0.0,160.116010023,36.65,2063.05929581
36.5664,58,331.030583146,-39.2797,58,38.0804,1500.35739773,3.06846,897.661261754,0.799974,33.6648,38.0879599866,1.00959569768,1505.91229502,1505.91229502,1505.91229502,38.0884038289,0.0,192.538045244,38.0804,1892.38989668
36.92,59,455.085841047,-40.517,59,39.3235,2568.31732125,3.01009,1212.03833587,0.920216,33.9335,39.3314285787,0.999127520134,970.277710227,970.277710227,970.277710227,39.3319839616,0.0,224.959248556,39.3235,2817.77763621
37.3017,60,211.556190978,-41.8246,60,40.609,2547.12046682,3.19348,2156.55374393,0.921233,34.1911,40.6165710112,1.03081494412,749.383238096,749.383238096,749.383238096,40.6170957782,0.0,217.297114298,40.609,2744.30864819
37.5817,61,676.533420625,-43.4821,61,42.258,1540.762233,3.40774,399.382633952,0.823117,34.4919,42.2662451603,1.05474538019,1732.34700418,1732.34700418,1732.34700418,42.2667469974,0.0,201.530016193,42.258,2656.14005374
37.9216,62,381.091779969,-45.2513,62,44.0088,2471.6205215,3.26129,1699.53576125,0.90419,34.7694,44.0150269632,1.07067219569,1568.98933855,1568.98933855,1568.98933855,44.0154056875,0.0,218.876745644,44.0087,2729.54479913
38.249,63,560.207982136,-46.5512,63,45.316,2415.7377437,3.65299,1328.95956746,0.895945,35.0655,45.3241202746,1.10595135819,1635.39637101,1635.39637101,1635.39637101,45.3243946675,0.0,223.476784571,45.316,2906.56326888
38.5839,64,284.086933995,-48.2001,64,46.9465,2526.86248763,3.76732,1773.04870603,0.92395,35.336,46.9544064719,1.11742632179,1033.80273032,1033.80273032,1033.80273032,46.9546216336,0.0,222.089222724,46.9465,2758.39387585
38.8905,65,91.920322189,-49.6564,65,48.3715,2321.68837595,3.55905,2223.894437,0.936313,35.5805,48.3796681358,1.11464275573,1873.58360148,1873.58360148,1873.58360148,48.3800875288,0.0,197.793248302,48.3713,2501.98010663
39.2338,66,46.7869252045,-51.215,66,49.9295,2763.50597017,4.7133,2678.78084519,0.925117,35.8462,49.9392375964,1.18571614091,952.024734996,952.024734996,952.024734996,49.9395772585,0.0,228.735764269,49.9295,2834.93377013
39.574,67,268.399563572,-52.924,67,51.6206,2746.48158333,4.47066,1954.143829,0.933125,36.1501,51.6294082098,1.17819929991,2062.94483749,2062.94483749,2062.94483749,51.6297766748,0.0,240.717800282,51.6204,2894.18753737
39.8957,68,544.821476009,-55.026,68,53.7266,2593.89062573,4.76961,1552.43020501,0.923111,36.3757,53.7356780146,1.18879888873,2113.88844372,2113.88844372,2113.88844372,53.7361233111,0.0,236.236409572,53.7266,3038.12814679
40.1861,69,495.166643924,-56.932,69,55.6372,2898.35924491,4.69932,1674.16750538,0.914802,36.6459,55.6458120229,1.21246718593,2213.30481355,2213.30481355,2213.30481355,55.6462162919,0.0,255.008515317,55.6372,3244.43365033
40.5123,70,521.694058919,-58.5491,70,57.2586,1563.27973206,5.47626,1040.53183095,0.839465,36.9756,57.2673314001,1.24493352744,2075.7761286,2075.7761286,2075.7761286,57.2677141617,0.0,214.396370123,57.2586,2879.44491068
40.8611,71,748.566095278,-60.4987,71,59.1636,2960.92637588,5.35173,1230.93312232,0.92054,37.2431,59.1739584112,1.24760285007,2122.45030252,2122.45030252,2122.45030252,59.1743230882,0.0,261.753025825,59.1636,3443.44641326
41.1622,72,57.5911713186,-62.5116,72,61.147,3421.43285402,5.70091,3312.34585666,0.946585,37.4987,61.1558497523,1.28185281846,2480.70526072,2480.70526072,2480.70526072,61.1561968795,0.0,285.02703986,61.147,3521.23055725
41.5158,73,49.4640771569,-64.1033,73,62.7197,3121.50829933,6.36922,3030.69100932,0.94831,37.7803,62.7310625073,1.30420945684,1158.10877277,1158.10877277,1158.10877277,62.7314564324,0.0,270.778141094,62.7197,3191.87203192
41.8346,74,840.749441965,-66.0375,74,64.6366,2779.54071552,5.21636,866.82157074,0.914721,38.0113,64.6488852534,1.28891091799,2272.41227494,2272.41227494,2272.41227494,64.6490764694,0.0,271.56497629,64.6366,3409.60458074
42.1827,75,88.8747603404,-68.0258,75,66.6343,3392.8758347,8.15793,3236.73649478,0.942157,38.3273,66.6441679417,1.37800967457,2370.81053489,2370.81053489,2370.81053489,66.6444308842,0.0,276.181970891,66.6342,3553.01390567
42.4987,76,804.087960189,-70.1443,76,68.7027,2539.92012133,7.2935,1382.10675559,0.866402,38.6008,68.7141163852,1.35450177938,2273.71247199,2273.71247199,2273.71247199,68.7145041867,0.0,275.766375994,68.7025,3522.1766551
42.8245,77,1375.42414322,-71.6214,77,70.1663,1701.12286076,7.8784,-559.953190478,0.848874,38.9083,70.1791052048,1.38675592989,1687.90393636,1687.90393636,1687.90393636,70.1796172539,0.0,206.243956153,70.1663,3772.36445506
43.256,78,587.675620864,-73.6276,78,72.171,3192.45489566,9.75762,1617.88816328,0.928893,39.1496,72.1822149757,1.46841394005,2244.75932761,2244.75932761,2244.75932761,72.182700653,0.0,279.017202285,72.1708,3677.9921838
43.5422,79,1101.9230171,-75.0301,79,73.5954,2345.56091174,7.20488,1024.50843625,0.873154,39.4312,73.6068806349,1.39597802785,1276.14192054,1276.14192054,1276.14192054,73.6071384363,0.0,267.833518463,73.5954,3721.48001615
43.8382,80,593.055517792,-76.4477,80,75.0261,1090.50484311,7.69993,-283.872858285,0.784939,39.6224,75.037426089,1.42125707628,933.299055871,933.299055871,933.299055871,75.0378241771,0.0,195.37689541,75.026,1855.19946786
44.1338,81,599.584026736,-77.9875,81,76.4855,1640.61765139,8.46818,1169.98926995,0.824777,39.8878,76.4985301741,1.45816201641,2239.77872559,2239.77872559,2239.77872559,76.4988307807,0.0,192.298036045,76.4854,2895.69400968
44.4739,82,567.104067088,-79.2527,82,77.7966,2913.34412842,7.98342,1223.98289663,0.924208,40.1998,77.8074264849,1.44779612968,837.451352657,837.451352657,837.451352657,77.8078820125,0.0,248.292647586,77.7966,3232.91123732
44.8078,83,532.170084928,-80.8034,83,79.3499,3321.12352595,8.54943,1908.95022428,0.926762,40.4101,79.3630494373,1.4358488355,675.800654839,675.800654839,675.800654839,79.3634937344,0.0,290.553077262,79.3499,3696.97937847
45.1601,84,395.537190603,-82.5902,84,81.1181,3470.92099987,8.6839,2298.13133782,0.931788,40.6694,81.1279188068,1.4501906931,2484.08536193,2484.08536193,2484.08536193,81.1282008769,0.0,305.681500014,81.1179,3699.67862473
45.456,85,57.3992266414,-83.4722,85,82.0205,3507.54308143,10.3488,3428.687204,0.945328,40.9381,82.034703732,1.53619866267,1338.72653045,1338.72653045,1338.72653045,82.0349321621,0.0,282.100440761,82.0205,3607.43924015
45.8046,86,64.7126023659,-85.1521,86,83.6895,3310.74896535,9.74226,3144.51103657,0.952081,41.1418,83.7008718212,1.53319423888,9.08784727477,9.08784727477,9.08784727477,83.7013690005,0.0,276.096083068,83.6894,3398.99133726
46.0824,87,526.391272166,-87.0249,87,85.5342,3483.64357366,9.63431,1923.76791618,0.939282,41.4365,85.5459699876,1.54798986929,2463.02066866,2463.02066866,2463.02066866,85.5463546812,0.0,304.365353708,85.5342,3795.56027352
46.3966,88,1114.30577554,-88.388,88,86.8692,3224.15202376,13.3825,463.213879099,0.928752,41.6643,86.881621312,1.63431007713,1109.9658905,1109.9658905,1109.9658905,86.8818994229,0.0,319.61442532,86.8692,3974.02931581
46.6576,89,666.969746282,-90.3522,89,88.829,2399.43801082,11.8112,1325.87273714,0.859841,41.8898,88.8422626116,1.58260182844,2369.41595639,2369.41595639,2369.41595639,88.8425382772,0.0,274.364856729,88.829,3612.80824144
47.0193,90,1052.99540182,-91.5709,90,90.0445,2143.78362574,11.7732,1185.99551396,0.842035,42.1661,90.0590086628,1.60790866686,1518.20657524,1518.20657524,1518.20657524,90.0593760514,0.0,265.44294998,90.0445,3930.00312227
47.3234,91,786.802349137,-93.7031,91,92.1768,882.361660642,9.6015,-276.542589878,0.863455,42.4284,92.1866550769,1.55881783177,2645.8877555,2645.8877555,2645.8877555,92.1870152397,0.0,214.9135501,92.1768,2050.54457636
47.7048,92,82.3708760611,-94.6469,92,93.096,3569.5631004,12.8267,3348.08395742,0.959346,42.6727,93.1097409796,1.63867028344,1259.26943425,1259.26943425,1259.26943425,93.110162641,0.0,303.584364435,93.096,3665.56476979
48.0777,93,516.948459403,-95.904,93,94.3345,3054.09606099,14.0429,1712.29644593,0.948117,42.9324,94.3480487862,1.67614936197,161.142677515,161.142677515,161.142677515,94.3483139016,0.0,274.671119425,94.3345,3455.31240815
48.3877,94,583.957712801,-98.327,94,96.7334,2965.71433387,15.8872,1815.98856655,0.922934,43.107,96.7459660004,1.71751372806,2467.14354059,2467.14354059,2467.14354059,96.7462051376,0.0,273.163473769,96.7334,3663.10433173
48.6727,95,830.51017833,-99.405,95,97.8111,3143.72948108,13.8772,1220.50541503,0.926616,43.3385,97.82290765,1.69076954723,1494.45769256,1494.45769256,1494.45769256,97.8230861938,0.0,285.201893771,97.8111,3662.45222852
48.9921,96,624.340956714,-101.77,96,100.195,3368.21891025,15.9277,1512.27005518,0.943037,43.552,100.206357177,1.73531888625,2621.11912043,2621.11912043,2621.11912043,100.20661108,0.0,285.339496499,100.195,3776.56689929
49.3336,97,87.5832865746,-103.338,97,101.763,3402.59869461,13.5552,3290.05516437,0.961986,43.7699,101.779269111,1.72412591096,1816.42825599,1816.42825599,1816.42825599,101.779620322,0.0,284.976318119,101.763,3531.67696334
49.6142,98,442.651299859,-104.974,98,103.426,3557.08368911,13.7127,2276.57144179,0.946742,43.9782,103.437378232,1.70883328252,2603.27950438,2603.27950438,2603.27950438,103.437781586,0.0,317.178539276,103.426,3855.79564369
49.9418,99,826.80784015,-107.199,99,105.647,3285.74331374,17.0079,830.429550048,0.970868,44.2554,105.661843201,1.82101735408,1036.52279849,1036.52279849,1036.52279849,105.662252968,0.0,296.236779418,105.647,3701.66075661
50.3368,100,1323.46420016,-108.419,100,106.846,2450.920949,16.1076,131.94703786,0.911632,44.4491,106.858208667,1.77378229053,2795.64479299,2795.64479299,2795.64479299,106.85847828,0.0,292.072178425,106.846,3933.14732832
50.6159,101,1076.79887167,-110.127,101,108.552,2537.01731295,17.4015,873.745636669,0.918358,44.7014,108.564275622,1.82963784417,1565.95988064,1565.95988064,1565.95988064,108.564524902,0.0,306.857145641,108.552,4006.94427987
50.8799,102,1353.80524169,-112.459,102,110.866,2761.81304458,16.8077,-182.301925795,0.942401,44.9808,110.881597095,1.78401511756,2577.48712278,2577.48712278,2577.48712278,110.881813789,0.0,269.032848395,110.866,3866.08554876
51.1947,103,77.6107290399,-114.162,103,112.585,3387.09702695,16.3573,3210.03507165,0.962644,45.1088,112.596398805,1.76332200711,2366.27272273,2366.27272273,2366.27272273,112.596566099,0.0,289.69685326,112.585,3467.6669227
51.4911,104,946.518968748,-116.042,104,114.42,1697.89940504,16.4437,-250.089539077,0.870434,45.3365,114.432094448,1.79526051884,2240.35581286,2240.35581286,2240.35581286,114.432336252,0.0,217.782512535,114.42,3316.32205046
51.8371,105,373.852848221,-117.745,105,116.108,3674.57931505,17.0023,2570.92652737,0.953115,45.5266,116.121197742,1.83796074087,2593.33047701,2593.33047701,2593.33047701,116.121506022,0.0,313.161091535,116.108,3918.19860377
52.1578,106,190.794297428,-120.208,106,118.576,3479.64625473,19.1781,2965.48178439,0.949867,45.7383,118.588404224,1.89432634994,2838.02247533,2838.02247533,2838.02247533,118.588670121,0.0,293.999555203,118.576,3677.31258893
52.4632,107,45.8586630762,-121.965,107,120.347,3615.57595483,18.6122,3529.34944036,0.955597,45.9571,120.359807911,1.87474795874,2232.06323653,2232.06323653,2232.06323653,120.36030809,0.0,303.160700271,120.347,3681.30173568
52.7256,108,974.212027374,-123.511,108,121.885,2490.31539471,19.5277,931.505650506,0.888762,46.1246,121.898679977,1.90874258888,1680.10223079,1680.10223079,1680.10223079,121.899000251,0.0,258.696687985,121.885,3406.09582614
53.054,109,65.6584413468,-125.549,109,123.88,3612.80493395,16.7809,3540.96969706,0.956485,46.3712,123.894909271,1.86750787653,2751.87946798,2751.87946798,2751.87946798,123.895091691,0.0,294.613647055,123.88,3732.36133171
53.4132,110,497.467256096,-127.489,110,125.787,3583.43745798,20.1316,2275.64207249,0.942225,46.5685,125.798719652,1.9708913756,2367.00589647,2367.00589647,2367.00589647,125.799213431,0.0,311.368779191,125.787,3917.0346841
53.769,111,835.357262723,-129.616,111,127.948,1313.69674058,20.1252,484.14179783,0.83054,46.7965,127.96328855,1.96587405859,2718.26710878,2718.26710878,2718.26710878,127.963622326,0.0,225.589847689,127.948,3668.89203739
54.0136,112,904.093365554,-131.178,112,129.503,2869.2512814,20.2663,812.294384114,0.921937,46.9845,129.511702039,1.92734978438,2735.3247894,2735.3247894,2735.3247894,129.512038376,0.0,260.683107944,129.503,3609.83242468
54.3535,113,855.852780714,-133.381,113,131.692,2833.60555485,23.0672,1687.32204814,0.90702,47.1994,131.713456198,2.03756503468,2603.54089104,2603.54089104,2603.54089104,131.713747138,0.0,286.094339096,131.692,3745.80363895
54.6249,114,93.5276036844,-135.71,114,134.008,3644.61646185,27.301,3411.12266347,0.965313,47.4172,134.0222464,2.0814043492,2711.61030777,2711.61030777,2711.61030777,134.022482231,0.0,298.291984119,134.008,3759.31244899
54.9027,115,334.487144528,-137.663,115,135.987,3434.63317123,24.6594,2453.07039799,0.952687,47.5895,135.999100287,2.02867215315,2706.78663236,2706.78663236,2706.78663236,135.999355821,0.0,287.766124456,135.987,3653.6049074
55.1249,116,61.6784957134,-139.584,116,137.863,3677.32565274,21.5817,3569.99397565,0.957176,47.7453,137.874834463,2.02932928119,2820.12583481,2820.12583481,2820.12583481,137.875049248,0.0,296.91039514,137.863,3788.76269063
55.4117,117,94.6632259236,-140.406,117,138.624,3864.82186326,29.183,3692.21946703,0.962665,47.9357,138.636217243,2.09490557221,764.963027637,764.963027637,764.963027637,138.636474501,0.0,315.762821966,138.624,4027.3526544
55.625,118,1046.76743004,-141.628,118,139.825,1988.76666023,23.2857,658.632353507,0.88258,48.23,139.84204512,1.98812553606,716.952025977,716.952025977,716.952025977,139.842306552,0.0,265.015646724,139.825,3647.42900921
55.9999,119,1153.74979652,-143.289,119,141.431,2995.41190092,29.471,1012.63385594,0.903558,48.3963,141.449024722,2.12094882935,1964.91518557,1964.91518557,1964.91518557,141.449273826,0.0,316.626008317,141.431,4341.13844969
56.3007,120,109.751502841,-145.529,120,143.702,3624.79056459,30.8675,3506.13662623,0.967865,48.5419,143.717383587,2.14921730343,2735.03293825,2735.03293825,2735.03293825,143.717663072,0.0,311.695917439,143.702,3872.70622848
56.5367,121,107.804863127,-147.264,121,145.466,3661.42690301,24.7365,3469.95498407,0.964867,48.76,145.477442938,2.06639399894,2736.98901092,2736.98901092,2736.98901092,145.477565255,0.0,301.596731557,145.466,3830.49931325
56.7834,122,51.9769457656,-149.676,122,147.863,3921.9223711,24.0162,3859.72001834,0.966108,48.8761,147.877892179,2.08023741148,2604.56483694,2604.56483694,2604.56483694,147.878307932,0.0,315.154301251,147.863,4009.62149852
57.1163,123,1046.3178848,-150.612,123,148.802,2646.75258711,30.0558,1339.65262308,0.881886,49.0587,148.815007391,2.20659816498,1703.67457454,1703.67457454,1703.67457454,148.815421478,0.0,285.894176576,148.802,3920.99598646
57.3827,124,298.785208845,-152.734,124,150.925,3494.70370691,23.8141,2680.0368048,0.950794,49.2466,150.937860507,2.09659765312,2425.2193848,2425.2193848,2425.2193848,150.938119389,0.0,296.600049351,150.925,3838.98333033
57.6267,125,1075.57832639,-154.952,125,153.157,2717.34925384,31.8517,990.634928671,0.875509,49.4388,153.172986099,2.23110991222,2018.2983195,2018.2983195,2018.2983195,153.173218386,0.0,290.372925472,153.157,3990.81155515
