StdEsReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AverageQ,AverageY,AveragePolicySurr,AverageQLoss,MinReturn,PolicyRegParamNorm,MaxEsReturn,MaxReturn,Epoch,AverageEsReturn,AverageAbsY,AverageAction,AverageAbsQYDiff,StdReturn,Iteration,AverageAbsQ,AverageDiscountedReturn
0.0,807.193511527,32.6328,705.10267065,23.133,23.1402819152,-24.1841,2.12564,-177.789263531,29.4166,705.10267065,1502.67323827,49,705.10267065,23.1430395361,0.894255,0.918660991587,471.093181923,49,23.1349,146.499384844
0.0,709.094023595,33.0139,605.035085236,23.9593,23.9675466722,-25.0216,2.10977,-366.307962214,29.7582,605.035085236,969.831086114,50,605.035085236,23.9696829839,0.887488,0.926421919203,366.112959985,50,23.9606,102.405218343
0.0,1435.47373441,33.4387,684.620003466,25.1933,25.2029778013,-26.2872,2.30744,525.427387724,30.0963,684.620003466,2660.39050627,51,684.620003466,25.2046924482,0.867348,0.942417191693,627.872129021,51,25.1937,191.979792718
0.0,1946.00276132,33.8885,1107.64055203,26.2853,26.2925788163,-27.3893,2.72734,907.687244844,30.4076,1107.64055203,2233.78083569,52,1107.64055203,26.2939266395,0.857296,0.995654575578,423.745761233,52,26.286,176.425776511
0.0,2401.78809549,34.2695,936.13645056,27.6253,27.635093337,-28.7585,2.38868,1807.77930317,30.6996,936.13645056,2672.35779879,53,936.13645056,27.6358693187,0.896192,0.982566386514,321.896149121,53,27.6253,213.261833678
0.0,1981.64330851,34.586,794.049581908,28.5787,28.5858739035,-29.706,2.5866,1267.116659,30.9614,794.049581908,2316.98742397,54,794.049581908,28.5862570722,0.880566,0.990962569952,339.70210419,54,28.579,199.063945293
0.0,1444.69309688,34.9454,415.752478052,29.505,29.5134864182,-30.6182,2.8575,767.650766076,31.234,415.752478052,2617.31608009,55,415.752478052,29.5141156272,0.894533,1.0236544128,507.421897945,55,29.505,190.364516969
0.0,1238.85132849,35.3112,486.746352301,30.5561,30.5657388087,-31.7114,2.943,810.661324331,31.5483,486.746352301,1824.85731583,56,486.746352301,30.5662235479,0.875956,1.02017654099,335.890798121,56,30.5561,203.603883401
0.0,1628.42991733,35.749,1626.94779692,32.3929,32.4048826058,-33.5291,3.1707,799.033109381,31.8254,1626.94779692,2590.71613622,57,1626.94779692,32.4052402337,0.909302,1.09155891698,547.500956947,57,32.3929,217.273663979
0.0,2276.08124994,36.1845,1759.46519319,33.8215,33.8302621821,-35.0002,3.86486,1173.01484938,32.0952,1759.46519319,2636.53908139,58,1759.46519319,33.8309832185,0.870393,1.12054380234,541.706294373,58,33.8215,211.269759849
0.0,2264.43677039,36.5559,771.394003965,35.0855,35.0940289764,-36.2622,3.56369,1617.79804419,32.3446,771.394003965,2491.87325624,59,771.394003965,35.0945959145,0.887446,1.11031315158,239.482476101,59,35.0855,194.747392633
0.0,2476.9560798,36.947,1831.17358014,37.0041,37.016704326,-38.2369,4.14091,1019.5667559,32.601,1831.17358014,3134.22003448,60,1831.17358014,37.0175058267,0.896913,1.1758278801,786.638146853,60,37.0041,242.337899581
0.0,2618.0436814,37.3481,1906.95619708,38.6441,38.655852292,-39.8789,4.90214,1490.50576969,32.8907,1906.95619708,2971.85283464,61,1906.95619708,38.6567169607,0.900697,1.20382396575,484.653341498,61,38.6441,224.561666533
0.0,2056.55920393,37.7614,1884.65596338,40.4004,40.4129819685,-41.6314,4.4091,824.41385145,33.2692,1884.65596338,2929.38489472,62,1884.65596338,40.413550841,0.904881,1.20694862501,731.472205489,62,40.4004,210.145519169
0.0,853.183865529,38.1813,936.005424558,41.946,41.9560240437,-43.1752,4.82721,702.671274995,33.5802,936.005424558,1005.48659241,63,936.005424558,41.9567255022,0.855355,1.22999335054,79.6025254206,63,41.946,113.628598654
0.0,1077.10279097,38.566,1344.43554008,42.938,42.9514631591,-44.1766,4.83047,605.409519892,33.8331,1344.43554008,1811.58707004,64,1344.43554008,42.9523153994,0.869704,1.24848466281,377.090941055,64,42.938,174.407524108
0.0,1867.8732439,38.8883,639.606783516,43.9794,43.994203217,-45.2257,5.1134,824.347319699,34.0758,639.606783516,2915.25517975,65,639.606783516,43.994790644,0.90157,1.2442984861,884.567127689,65,43.9794,211.77957642
0.0,1105.08814609,39.2932,664.514757615,45.3779,45.3901949559,-46.6341,5.64789,516.685179422,34.3416,664.514757615,1903.10805099,66,664.514757615,45.3906232122,0.901049,1.26244228354,463.722010521,66,45.3779,178.723629723
0.0,1384.06565906,39.7737,1340.2649039,46.7903,46.8029412326,-48.0771,5.56342,755.073198134,34.5644,1340.2649039,3369.99404094,67,1340.2649039,46.8037139045,0.886012,1.30081790713,723.926314618,67,46.7903,219.758495727
0.0,1754.7779035,40.0431,762.257164803,47.8012,47.8125290935,-49.0788,4.76743,705.269882645,34.8306,762.257164803,3302.7942033,68,762.257164803,47.8130669173,0.907498,1.26484962424,789.337165063,68,47.8012,240.261995466
0.0,1882.28660394,40.4358,636.043310901,49.2426,49.2558298416,-50.4704,5.53951,797.804847954,35.0302,636.043310901,3273.60129587,69,636.043310901,49.2565657489,0.907162,1.3213373609,808.503960664,69,49.2426,235.681767545
0.0,2743.07167192,40.7845,1391.88386072,50.5375,50.5504749818,-51.7907,5.30862,2559.86541475,35.2992,1391.88386072,2959.92015531,70,1391.88386072,50.5511617104,0.912586,1.29069974436,123.659033633,70,50.5375,221.788573854
0.0,2595.58410364,41.1561,2184.25097635,52.1222,52.1293311388,-53.4052,6.1015,903.836146482,35.5125,2184.25097635,3348.49111157,71,2184.25097635,52.1298802499,0.905425,1.31140278026,694.579140498,71,52.1222,251.747453343
