PolicyRegParamNorm,AveragePolicySurr,MaxReturn,AverageAction,AverageQLoss,Epoch,AverageReturn,AverageY,AverageAbsY,AverageAbsQYDiff,Iteration,MinEsReturn,MinReturn,AverageAbsQ,StdEsReturn,AverageEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,QFunRegParamNorm,MaxEsReturn
59.6327,-5.87688,1000.0,0.301019,0.156228,87,1000.0,5.36548831758,5.37146201494,0.149179290487,87,5.0,1000.0,5.3819,22.8880465196,28.4054054054,0.0,5.36541,99.9956828753,66.1629,89.0
59.8174,-5.94031,1000.0,0.331812,0.154375,88,1000.0,5.44604327152,5.45152741162,0.144658766961,88,4.0,1000.0,5.46111,30.5503799368,28.6,0.0,5.44555,99.9956828753,66.4158,158.0
59.9604,-5.96927,1000.0,0.33561,0.169022,89,1000.0,5.46136303595,5.46720899844,0.153181887132,89,3.0,1000.0,5.47922,34.4453824917,38.625,0.0,5.46151,99.9956828753,66.6613,119.0
60.1125,-6.02007,1000.0,0.322808,0.174547,90,1000.0,5.48855677586,5.49337255688,0.163189411306,90,4.0,1000.0,5.50545,34.5698605016,38.1785714286,0.0,5.48786,99.9956828753,67.0561,120.0
60.3707,-6.08544,1000.0,0.313461,0.186169,91,1000.0,5.57975886255,5.58546298946,0.158493511948,91,3.0,1000.0,5.59802,20.3243243243,26.9459459459,0.0,5.5798,99.9956828753,67.3096,84.0
60.4683,-6.11378,1000.0,0.235518,0.180515,92,1000.0,5.60407824342,5.60998111644,0.152612567381,92,4.0,1000.0,5.62111,17.6674842578,24.1,0.0,5.60367,99.9956828753,67.5007,63.0
60.6225,-6.17077,1000.0,0.202781,0.173169,93,1000.0,5.66812128034,5.67294607525,0.149274314433,93,3.0,1000.0,5.68427,19.8728258887,24.5609756098,0.0,5.66769,99.9956828753,67.7161,98.0
60.7116,-6.19683,1000.0,0.158681,0.17435,94,1000.0,5.69123460329,5.69667464374,0.150877951537,94,4.0,1000.0,5.70711,25.074206159,34.7931034483,0.0,5.69124,99.9956828753,68.0378,99.0
60.8181,-6.28345,1000.0,0.238148,0.191201,95,1000.0,5.77154761968,5.77694569426,0.156397741212,95,4.0,1000.0,5.78854,18.2473957463,26.9210526316,0.0,5.7714,99.9956828753,68.3643,83.0
60.9785,-6.31496,1000.0,0.265088,0.180788,96,1000.0,5.79834048739,5.80412403603,0.154054746195,96,4.0,1000.0,5.81655,19.1431373591,23.3488372093,0.0,5.79757,99.9956828753,68.721,98.0
61.1511,-6.36386,1000.0,0.307158,0.184494,97,1000.0,5.83174149927,5.83507253578,0.157636047158,97,4.0,1000.0,5.84741,19.1377456386,20.9130434783,0.0,5.83199,99.9956828753,68.9127,103.0
61.3709,-6.43202,1000.0,0.220502,0.193046,98,1000.0,5.90928471586,5.91184285769,0.155955783123,98,4.0,1000.0,5.924,20.7420347304,25.3658536585,0.0,5.90844,99.9956828753,69.0459,112.0
61.5083,-6.46511,1000.0,0.223654,0.185359,99,1000.0,5.93409558814,5.93566991693,0.155551591909,99,3.0,1000.0,5.94847,18.1621774949,21.9555555556,0.0,5.93405,99.9956828753,69.4425,75.0
