AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageY,AverageReturn,Iteration,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,AveragePolicySurr,MinReturn,StdEsReturn,QFunRegParamNorm,AverageQLoss,Epoch,AverageAction,MaxReturn,PolicyRegParamNorm,AverageAbsY,StdReturn,AverageEsReturn
0.0543027814709,359.085300242,0.814003,0.814482783418,152.895947212,46,21.5079387825,0.814561,359.085300242,-0.891982,71.2250760244,0.0,21.4478,0.00634622,46,0.878378,220.311161824,27.4912,0.815282079702,46.1653444209,359.085300242
0.0557141037935,437.183834606,0.881151,0.881660445083,582.985716106,47,50.380752074,0.881823,437.183834606,-0.959967,514.575235493,0.0,21.7196,0.00691573,47,0.85688,628.907149353,27.7261,0.882656296766,37.2524338549,437.183834606
0.0549486503105,485.378768665,0.934823,0.935247756961,536.409405886,48,51.643561501,0.935343,485.378768665,-1.01206,493.835088505,0.0,21.9494,0.006271,48,0.78869,577.018059655,27.9402,0.935890848926,26.2848325768,485.378768665
0.0556584875648,337.347121224,1.00299,1.00338224531,717.335668249,49,60.1283063047,1.00338,337.347121224,-1.07938,665.572046807,0.0,22.2052,0.00658808,49,0.824054,763.533584259,28.2149,1.00399936783,34.6312550075,337.347121224
0.0559709058145,340.64304944,1.0605,1.06104846933,587.918548374,50,53.0028270284,1.06095,340.64304944,-1.1389,522.284177367,0.0,22.4657,0.00668071,50,0.834155,631.153841004,28.4612,1.06159359325,30.1750314358,340.64304944
0.0569461366333,463.610876746,1.12213,1.12266531852,816.748987883,51,69.6479264928,1.12235,463.610876746,-1.20119,774.14446204,0.0,22.698,0.00740575,51,0.80732,889.393038744,28.6219,1.12302348219,33.8130965012,463.610876746
0.0581478168715,446.06347746,1.1811,1.1815999916,634.454028203,52,12.3931192548,1.18119,446.06347746,-1.25775,240.169089094,0.0,22.9691,0.00823938,52,0.824545,965.005106671,28.8706,1.18181084306,231.049932092,446.06347746
0.0566844708447,465.164706671,1.2527,1.25313306685,256.763541256,53,23.6960899888,1.25275,465.164706671,-1.3305,127.290442701,0.0,23.1796,0.00697316,53,0.861565,342.909937414,29.0876,1.25324825535,65.1322139327,465.164706671
0.0579149845921,537.928495251,1.31801,1.31843561877,581.05104628,54,47.6364090739,1.31809,537.928495251,-1.3969,483.726550669,0.0,23.3929,0.00738502,54,0.847168,729.66971048,29.3081,1.31856718427,76.8736607198,537.928495251
0.0590965366528,501.494951218,1.38275,1.3833857344,691.823999149,55,30.7612984141,1.3828,501.494951218,-1.46378,446.913058651,0.0,23.6341,0.00819881,55,0.880529,796.722473967,29.4802,1.38347460696,94.9794585951,501.494951218
0.0584354456159,570.314102481,1.4449,1.44544911144,779.513675079,56,46.8383832754,1.44492,570.314102481,-1.52551,525.14137736,0.0,23.8355,0.00816451,56,0.892634,870.399577579,29.7174,1.44552071025,92.9610280172,570.314102481
0.0580576395542,573.968438847,1.5187,1.51926084158,657.971132445,57,41.0479541786,1.5187,573.968438847,-1.60201,423.730241405,0.0,24.0421,0.00758303,57,0.831103,786.142651537,29.905,1.51931597565,106.567388503,573.968438847
0.0598246632282,491.015230929,1.59079,1.59134158934,742.313357245,58,56.5114427525,1.59079,491.015230929,-1.6754,634.197787523,0.0,24.2497,0.00895447,58,0.918116,839.160261416,30.1606,1.59139638912,56.9656734639,491.015230929
