Epoch,AverageEsReturn,AverageAbsY,MinEsReturn,AverageQ,AverageQLoss,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageReturn,AverageDiscountedReturn,Iteration,AverageAction,AverageY,AverageAbsQ,MaxEsReturn,AveragePolicySurr,AverageAbsQYDiff,StdEsReturn,MaxReturn,MinReturn
37,97.1084980422,3.28009073432,1.41342673592,3.25558,0.106573,64.1081281955,29.9953,24.2731,159.36586572,92.875572871,37,0.91602,3.25692932961,3.28016,200.44338288,-3.52038,0.19402777326,71.6100202603,307.240203269,-2.5132778677
38,119.250441958,3.50753623461,-8.8506638519,3.48481,0.121048,114.546571063,30.5195,24.8137,131.352449063,64.7017889559,38,0.892736,3.48649090674,3.50707,295.749467555,-3.75651,0.20729826103,94.1421785183,483.584494766,-123.184893835
39,91.5714792193,3.68140905954,-1.7737933194,3.66109,0.135499,53.7341858532,30.9237,25.3428,133.932066885,83.0889606639,39,0.924929,3.66324032584,3.68076,171.658262442,-3.9475,0.218765684579,63.457786731,248.481683937,5.70521483595
40,118.496965699,3.88773956894,14.6831479705,3.86675,0.154772,57.2013662227,31.2973,25.8103,142.825871176,82.7307715554,40,0.906467,3.86921858087,3.88625,271.082611115,-4.16412,0.237445109529,85.3572917248,303.12591181,-0.771146348395
41,67.5737846321,4.10443566049,-39.0162220056,4.08558,0.171294,28.3073515513,31.7016,26.2717,77.9914658239,45.5241877979,41,0.914675,4.08771107982,4.10459,227.007660824,-4.39654,0.251710224926,78.9658843012,168.546435543,33.9287641697
42,40.6417391671,4.31820827567,-62.7254658641,4.29945,0.180722,71.609919576,32.0728,26.6994,78.0102991597,33.5428259328,42,0.914027,4.30168958758,4.31841,148.153132552,-4.65701,0.264022140771,67.4112020783,268.673527447,-44.2804246105
43,10.3102684381,4.57796600653,-72.1005742701,4.56062,0.22112,112.644373733,32.3886,27.254,57.0403158753,19.927375629,43,0.915955,4.56303257429,4.57846,106.638107675,-4.97422,0.284809287935,50.5793941828,308.624475165,-204.164596606
44,22.8970100651,4.85586251845,-89.4040801461,4.83847,0.238311,78.0666520528,32.6706,27.6651,84.4040881154,36.7885789305,44,0.929618,4.84192060898,4.85501,105.733147319,-5.26463,0.302350370188,52.8905655113,376.065103823,-100.741771139
45,29.0704310989,5.14952941556,-86.3879106777,5.13427,0.261238,46.7960178239,32.9166,28.1144,-60.7591692334,-13.8205862951,45,0.895692,5.13688456919,5.15038,142.470468915,-5.59962,0.317584883991,73.1580191024,110.147439978,-189.501126762
46,34.6002748077,5.45810429509,-75.1601818573,5.44262,0.277555,22.2996897665,33.2058,28.529,123.000845562,77.6147390052,46,0.918674,5.44615778167,5.45629,134.714822492,-5.88384,0.330373334636,64.6918074125,204.281328892,54.6534164524
47,115.449792833,5.69539977732,20.1407041707,5.68075,0.307988,24.1972413587,33.4953,28.9499,100.957691988,62.574721345,47,0.919981,5.68325740878,5.69493,203.491645746,-6.08875,0.340561676788,60.6692321558,202.31857392,64.278738089
48,107.259984129,5.96318959913,25.1893503602,5.94842,0.296269,32.5678250252,33.8205,29.385,88.2759244682,51.4093417872,48,0.933971,5.95181618649,5.96199,382.639888845,-6.36615,0.341461981132,98.4221703778,191.906695188,23.8959129234
49,36.7642811645,6.20993873289,-58.2843274935,6.1954,0.346547,44.7624387897,34.1119,29.8757,76.8615985789,47.4376587344,49,0.909803,6.19873483496,6.20835,136.154075014,-6.65137,0.359804725047,56.2004209315,216.246368772,-53.0821624634
50,88.7389949369,6.44995770479,19.9706205879,6.43516,0.3352,42.2549075268,34.3642,30.2788,73.68027487,46.6355561017,50,0.925576,6.43857752317,6.44932,180.753745623,-6.86853,0.359363014896,44.3186181004,206.29658655,-127.926014463
51,106.831140229,6.69722100528,-46.4995543805,6.68239,0.362321,75.0744944245,34.6194,30.6579,171.373489779,75.0689677505,51,0.904021,6.6849130148,6.69609,324.433065037,-7.12424,0.377207219079,108.236543629,377.419806782,-0.424939637373
52,69.1392764433,6.93467783463,-5.4490375215,6.91834,0.355755,36.5610912292,34.8597,31.0408,173.247702629,90.569603097,52,0.900194,6.92171185155,6.93372,121.168787279,-7.34374,0.377332198213,35.9000186695,265.499510324,89.5889300233
53,122.328742154,7.1878196531,4.00049171143,7.17145,0.383138,46.3156093623,35.1223,31.4314,202.956584603,106.443548339,53,0.90567,7.1745544506,7.18748,303.821558489,-7.62413,0.390428146401,86.1169444462,334.986799753,127.928663475
54,124.481596277,7.39006941471,-32.657232299,7.37396,0.417363,64.4348526033,35.417,31.8313,149.900097505,69.0753936614,54,0.882557,7.37731253352,7.38909,430.322442974,-7.84323,0.396610435494,134.508332956,348.230775791,-24.1548662627
55,102.963984012,7.71188562932,-14.1963211549,7.69585,0.380323,32.4201648985,35.6356,32.1986,160.360350856,102.017353084,55,0.916927,7.69856957062,7.71139,300.367927684,-8.17332,0.395003655888,103.762249269,322.767724231,122.570180312
56,111.291426146,7.91914466641,-7.13045385874,7.90384,0.433082,46.5111679408,35.9211,32.56,214.165133025,113.865674032,56,0.88991,7.90678315509,7.9201,260.838330093,-8.37011,0.40843702593,87.1017721621,434.944554076,47.5835500224
57,100.464110473,8.17234135342,-35.0728918043,8.15861,0.454104,30.3986626738,36.1646,32.9637,112.075509558,61.4589095866,57,0.911284,8.16249664594,8.17183,241.026043385,-8.63847,0.414771571203,95.0864293673,249.332340435,62.8102145069
58,107.010472962,8.39663271597,-13.5831677284,8.38376,0.441249,41.4342135014,36.37,33.3435,127.846910394,84.8424017725,58,0.904041,8.38648762204,8.39795,264.904590738,-8.83414,0.413324921341,87.8414672163,262.821306329,89.8675075455
59,59.5573616747,8.56456728663,-45.4286878514,8.55339,0.487711,36.7670622102,36.6196,33.7124,91.9453071461,55.1533320503,59,0.893875,8.556478796,8.56551,341.482214421,-9.00021,0.419898676669,116.229061437,147.637092495,-106.546677562
60,146.190906062,8.77720780655,-0.823123021267,8.76634,0.412856,113.173443603,36.8828,34.0284,72.4011929515,38.0442347945,60,0.871002,8.7699670739,8.77711,370.884605422,-9.19475,0.400025770366,129.730305391,458.349822822,25.4770416673
61,142.503205359,8.95058529895,24.8500195459,8.94174,0.456043,142.335550388,37.152,34.3617,287.103466648,105.750406134,61,0.863016,8.9445490792,8.95199,271.874979394,-9.34937,0.413734747415,77.119680192,752.985311245,22.9364459873
62,242.791455781,9.16724584572,131.745952526,9.15826,0.438762,34.6543310058,37.4186,34.689,421.269653113,131.027811055,62,0.840825,9.16172591134,9.16852,412.184858917,-9.57283,0.406707784752,90.1448829107,549.272478761,363.522761963
63,250.369565202,9.36449980871,23.0463931385,9.35604,0.46028,11.3669953408,37.6219,35.0127,376.666076776,132.309365841,63,0.901593,9.35880722841,9.36662,467.339379496,-9.76636,0.402064894784,157.002903535,400.975282702,349.226442529
64,234.953815274,9.49860561178,15.3250032443,9.49066,0.51039,99.5877646191,37.9295,35.3841,380.468157341,124.501400426,64,0.827912,9.49337316789,9.50063,428.069857222,-9.88483,0.41351506763,159.763433343,630.779917708,213.984340732
65,144.938664304,9.70689547412,-16.6331413303,9.69836,0.483982,77.0957407376,38.1285,35.6966,337.212299314,129.308288409,65,0.82798,9.70217020874,9.70785,304.716586904,-10.0875,0.410755547934,113.340790104,517.610811279,107.050440215
66,264.991703006,9.88338732172,111.763107506,9.87565,0.490604,81.836634201,38.3243,35.978,403.780091987,114.429326261,66,0.803393,9.87837313368,9.88591,389.953238911,-10.2652,0.413593571746,92.0366617798,573.600554134,104.035182117
67,281.847630304,10.0360917663,79.2321696863,10.0281,0.486656,100.400952034,38.5616,36.2181,411.58846551,115.907440639,67,0.839874,10.0318131322,10.038,404.566461601,-10.4239,0.408900978307,146.327903085,556.822149055,92.2150973357
68,294.160433078,10.2416883102,35.0073929398,10.2346,0.504823,41.0105487917,38.7797,36.5374,417.4207064,131.088799984,68,0.803539,10.2377733051,10.2431,502.394221269,-10.6197,0.410403116775,197.231159881,559.691356784,342.631808434
69,279.98741536,10.4280575588,32.0559611995,10.4216,0.489438,25.2726348029,38.9953,36.866,408.423057891,131.512282097,69,0.877243,10.4245457353,10.4296,515.942695628,-10.7919,0.408883893017,196.632739254,463.265531705,364.496006963
70,288.181722684,10.5633687781,47.8436692804,10.5562,0.499298,26.4999903525,39.2617,37.1269,417.30638902,131.869672479,70,0.770817,10.5590972198,10.566,430.577870262,-10.9239,0.410829024906,133.919871769,499.243726929,373.834496145
71,301.958206104,10.7318348823,104.865499291,10.7241,0.461176,287.108714916,39.5267,37.4249,247.37232259,76.2839817032,71,0.782017,10.7275333749,10.7341,414.458846259,-11.0989,0.401926268567,110.588946796,993.818816537,48.5023456473
72,144.19188617,10.8449934408,36.7438092168,10.8378,0.530637,35.2983147565,39.7471,37.7518,371.48853532,138.213768056,72,0.819861,10.8412525788,10.8478,531.907573985,-11.2166,0.412770049841,175.972589034,545.738886667,316.708936512
73,205.700748588,11.0093044546,0.0768669996759,11.0031,0.506921,181.901550881,39.9868,38.0276,454.985337656,118.46143764,73,0.801678,11.0048681161,11.0136,502.582588943,-11.3787,0.404051901118,200.556977839,1137.66842153,57.605682691
74,178.86399751,11.1742243363,43.8641389392,11.1666,0.545664,92.2437931015,40.2205,38.3232,340.298378921,118.270577823,74,0.802147,11.1694527312,11.1778,356.613428766,-11.533,0.417503083761,119.839130567,493.027021821,130.268598802
75,125.179305735,11.2787608893,-3.43223635168,11.2705,0.579833,135.209332618,40.446,38.5985,392.60340385,131.591908836,75,0.805099,11.2739244327,11.2801,456.542672725,-11.6532,0.419760210361,147.950133901,978.778108769,-1.96827189538
76,333.460060214,11.4492522228,41.1238227434,11.4422,0.471341,269.884623259,40.7167,38.8346,489.41842024,121.780107828,76,0.796416,11.4448599462,11.4524,593.13429029,-11.8254,0.403560042199,196.350926318,991.19581676,268.054969552
77,198.569983373,11.6044076014,92.8809707506,11.596,0.59967,299.085408928,40.9357,39.0929,481.760902703,111.011272899,77,0.85057,11.599549857,11.6069,363.62342865,-11.9855,0.430552449646,94.2483995271,980.242891048,-18.8389486169
78,316.934668635,11.7906683636,52.0997694497,11.7826,0.541518,315.788536672,41.218,39.3263,745.154504095,96.1092757667,78,0.829647,11.7858111192,11.7936,543.212262262,-12.1644,0.419957584831,177.087879722,998.014229165,29.9867073831
79,135.954954891,11.8920328691,4.38262093999,11.8856,0.49914,290.098133828,41.5069,39.6076,462.811821006,101.821927999,79,0.821808,11.8874425997,11.8941,590.235291583,-12.264,0.4067743987,190.215518087,970.906307417,-16.4549841129
80,173.147701846,11.9937792735,15.22015019,11.9872,0.57228,163.486868575,41.81,39.905,214.647068218,81.1363902056,80,0.843487,11.9899250002,11.9966,395.929731735,-12.3503,0.420611943932,155.590239791,662.646677994,-103.796561879
81,59.4645679551,12.1359609625,2.42472377411,12.1301,0.528612,135.082878003,42.1092,40.1712,464.052070376,116.272664629,81,0.819734,12.1324168674,12.139,177.556082157,-12.5115,0.418745165009,57.4368694481,1004.67810637,277.745179688
82,196.837047434,12.2947236391,64.7540493982,12.2873,0.56225,71.8657097334,42.3927,40.4395,437.576056243,130.236892574,82,0.85215,12.2908474268,12.2974,337.332857718,-12.6597,0.414755967501,107.672302066,607.72804799,280.109670205
83,216.317311648,12.396982754,-3.59644009056,12.3899,0.580393,307.95911741,42.6514,40.7403,835.016587739,80.5478323529,83,0.84024,12.3930656904,12.3996,426.605063172,-12.7589,0.426059061181,164.015426897,1001.97911394,60.2102869155
84,167.130481807,12.5571176375,7.22295527097,12.5511,0.574398,300.684687877,42.8945,41.0187,449.105105042,106.139252535,84,0.873957,12.5536380485,12.5606,360.373640257,-12.9249,0.423158639123,126.534536247,1142.25815558,-23.4587852409
85,53.9352530308,12.6830803081,31.6883757015,12.6763,0.573947,213.855294001,43.161,41.2519,640.23781343,78.3811179461,85,0.835459,12.67881574,12.6862,95.1181072468,-13.0464,0.422932350186,29.1520282481,1044.41664087,331.373310849
86,185.962594674,12.7714374182,-39.791134232,12.7637,0.583922,138.405964562,43.3801,41.4825,578.204768385,70.4531219741,86,0.847494,12.7670811767,12.7724,401.750629473,-13.1379,0.423992879189,174.959674047,770.776419279,204.67418139
87,245.817963798,12.9355652628,47.4691994424,12.9302,0.589417,203.923049361,43.6895,41.7268,491.165192899,75.0888390247,87,0.870594,12.9322831912,12.9387,477.238505925,-13.295,0.424443548062,150.245262877,947.065002401,44.8814037915
88,250.3023997,13.0185971906,17.3416867851,13.0125,0.598062,111.032447779,43.9561,42.0388,774.428390333,71.6451463116,88,0.861753,13.0152356499,13.0205,634.51245481,-13.3803,0.421702901189,207.973323438,974.581739888,614.594152627
89,146.972837943,13.1756744782,93.6322726885,13.1708,0.582498,183.812136891,44.1908,42.2267,435.111551159,112.549909504,89,0.879097,13.1724250713,13.1796,200.313403197,-13.5407,0.417718221145,53.3405652544,762.009801275,216.852903491
90,325.337553507,13.3065411272,171.534376306,13.3,0.579796,243.727538247,44.4168,42.4531,433.182259231,102.460838954,90,0.883284,13.3028229438,13.3097,492.804274652,-13.6661,0.424970560498,102.930905632,814.862482269,125.24786154
91,170.791166701,13.4057109347,5.22654420325,13.3998,0.646804,143.980117137,44.707,42.7841,298.285960271,97.7258512198,91,0.878212,13.4024329725,13.4096,377.023651822,-13.7804,0.440007358417,141.482896978,635.594511807,-14.3263984914
92,360.522492602,13.513654982,267.45933332,13.5086,0.610499,307.021113562,44.9302,43.0347,612.930870299,108.655758714,92,0.895024,13.5111718184,13.5163,434.210829298,-13.8788,0.439235424314,68.3470872964,941.140713899,64.3685300739
93,195.676124853,13.6512117047,-9.64289987908,13.6462,0.560866,113.118116854,45.2182,43.313,383.104569287,133.231032675,93,0.867738,13.6481989451,13.6546,491.595443276,-14.0181,0.430265564769,170.175178824,691.474378121,129.475402339
94,113.064163511,13.8086695882,-10.9634268678,13.8022,0.594521,179.722404935,45.4428,43.5402,474.63611653,115.845071109,94,0.868584,13.8053115159,13.811,447.509239993,-14.177,0.434350628839,153.439425029,844.445783717,58.8752751031
95,340.729810499,13.940072638,55.6065420357,13.933,0.687086,130.459980022,45.6696,43.8285,377.736259545,95.1485304208,95,0.888527,13.9361797589,13.9431,558.24392807,-14.2974,0.44708686519,198.264129968,671.492172565,12.9712821269
96,184.297341869,14.0214069909,5.48321546908,14.0154,0.572844,181.454175153,45.9311,44.0565,360.594048209,97.3207493097,96,0.871312,14.0176086446,14.024,356.316685227,-14.3758,0.431762788279,144.470222163,895.826802458,19.6831792355
97,206.511941766,14.1016502165,16.5561034988,14.096,0.656478,242.2340427,46.1586,44.3001,749.696063297,71.172237686,97,0.826612,14.0988797739,14.1063,471.062961461,-14.4549,0.44055734147,171.595510394,959.658723273,49.7637700729
98,159.541486847,14.2007147411,27.6388228192,14.1952,0.724726,176.112615725,46.3803,44.525,389.769088047,109.132726235,98,0.813456,14.1974074084,14.2054,280.292870711,-14.5546,0.448641954751,102.18180018,944.493023541,66.4814174638
99,245.069307829,14.3285390077,25.935483447,14.3225,0.691636,149.15600619,46.5863,44.7215,312.548563894,101.247900229,99,0.835067,14.3256413574,14.3319,436.055119104,-14.6739,0.449232699224,168.885177533,594.201853337,29.8558094397
100,176.98804422,14.3588733093,17.5490025241,14.3531,0.688634,102.496728335,46.7803,44.97,509.264199444,123.644294176,100,0.846826,14.3549112232,14.3629,591.409050613,-14.6993,0.451352447453,194.687627835,819.586023889,99.7408461429
101,263.663983883,14.521042685,55.4503431327,14.516,0.584757,251.304155734,46.9583,45.1477,419.076289698,109.62588786,101,0.7957,14.5178226456,14.5241,524.223813899,-14.8366,0.42752969182,167.121096682,979.794228511,52.997925135
102,162.470258368,14.5698460337,16.201099497,14.564,0.636276,228.749759139,47.1753,45.4036,473.229570685,116.417167477,102,0.747289,14.5663830679,14.5735,426.55553267,-14.8808,0.435846376433,161.355775235,1020.28320571,173.262823981
103,235.306858312,14.6221720071,7.32303522949,14.617,0.585213,258.87999877,47.3837,45.6117,488.181080116,116.445236753,103,0.793738,14.6191731636,14.6271,374.695097327,-14.9379,0.427556315392,122.098582991,1063.24133074,68.8890364119
104,241.256395977,14.6673581181,19.4903219131,14.6609,0.670847,147.930456876,47.619,45.8836,358.455258334,96.6652807766,104,0.860301,14.6636985772,14.6722,424.253157449,-14.9915,0.446699497191,147.496005873,735.648397731,-28.1060811193
105,233.143410099,14.6954397812,62.6421097438,14.6903,0.740874,202.502175033,47.8548,46.1205,229.010974947,41.0036320454,105,0.883753,14.6921766495,14.7,469.288965955,-15.0085,0.456934410422,129.216809961,682.062816602,-159.537209574
106,164.848739202,14.7578709914,-3.28986264451,14.7522,0.633065,94.2288698742,48.0582,46.3343,298.992627208,123.634773562,106,0.890476,14.7542101095,14.7628,376.390806277,-15.0754,0.437471437241,125.804992456,722.177432666,66.7421518329
107,144.42056112,14.8004135908,-0.232621082414,14.7939,0.635212,259.788573564,48.2536,46.5698,539.052792841,74.8134708594,107,0.840159,14.796331567,14.8043,427.350931765,-15.1124,0.434878046068,150.309231438,944.432712679,10.6812242742
108,148.255917966,14.8953665901,69.0978920652,14.8882,0.752608,353.516553173,48.4162,46.82,567.524668358,71.494677398,108,0.857877,14.8909330946,14.8995,230.864849126,-15.2165,0.446195438684,63.1148333513,1156.42510115,24.7486060428
109,361.180940911,14.9339702889,160.950498146,14.9278,0.656591,230.543219974,48.6423,47.0484,355.207434554,99.3683709641,109,0.866551,14.9296583671,14.9387,668.398872759,-15.2572,0.438926049155,170.142451682,1004.27159211,63.0337199319
110,203.100361682,14.9847531514,-1.08860990564,14.9788,0.636058,166.172246184,48.8558,47.2887,187.770200712,69.2460167465,110,0.903813,14.9808930976,14.9893,478.886167545,-15.303,0.438287564867,137.382176933,763.710179425,-35.5081406412
111,281.017268861,15.0969098758,135.350213393,15.0895,0.706902,154.176844914,49.0758,47.5118,279.114899016,100.444834277,111,0.873662,15.0921540325,15.1024,401.052810915,-15.4204,0.452667601773,101.624430435,931.424480779,77.6063495148
112,154.882231322,15.076812879,8.39753917779,15.07,0.69681,124.280984993,49.2864,47.772,364.847290651,111.846427951,112,0.885603,15.0723403194,15.0804,373.188161655,-15.4088,0.449106162482,135.339764724,554.616200631,27.5484120115
113,181.57857292,15.1537485175,8.7011858749,15.1464,0.77619,151.268305726,49.5339,48.0098,336.971535307,109.587569364,113,0.895568,15.1493312374,15.1586,332.974465208,-15.4825,0.470483855818,136.588099378,639.065693946,102.345718196
114,204.579087237,15.2115712841,22.3615799373,15.2056,0.631655,142.503465532,49.73,48.1994,244.286987561,106.736439878,114,0.91578,15.2082847047,15.2139,375.896524514,-15.5272,0.438278546907,127.684038564,754.675912076,88.453295241
115,148.687825525,15.2703341747,10.1379572858,15.2639,0.764388,123.251550196,49.8943,48.4146,334.354149429,105.900391336,115,0.89991,15.2655121351,15.274,417.244592022,-15.5835,0.458654181487,146.361197256,622.635317222,145.218072871
116,165.771651779,15.3246795799,-3.74618840616,15.3174,0.800307,138.708377008,50.0874,48.5989,295.283779866,107.372088721,116,0.898764,15.3202092613,15.3289,439.217218743,-15.6535,0.463855502552,145.611092971,823.443429708,31.8455985341
117,195.456110034,15.4223063831,80.9820075569,15.4156,0.710962,112.38821641,50.2626,48.8253,249.903239425,79.857934893,117,0.912619,15.417657295,15.4265,478.615923845,-15.7325,0.456471546051,153.017594753,583.10100232,40.1304466088
118,96.5567539286,15.4207342406,-6.10296022052,15.4124,0.78928,46.3493300017,50.4654,49.0113,148.389824801,82.82118793,118,0.924079,15.4160296674,15.4243,198.016942063,-15.7332,0.469056014017,71.7638072514,378.913460981,58.275322265
119,172.445781316,15.4629081436,14.2188292219,15.4553,0.723993,147.064741565,50.6668,49.2392,268.493894505,91.0547697502,119,0.926182,15.4579526514,15.4666,441.479355865,-15.7954,0.464594694357,142.594766755,818.219934593,37.0866568617
120,197.853724099,15.5702450603,38.4583666205,15.5617,0.838137,117.13965029,50.8088,49.45,262.039476137,82.6477787656,120,0.910563,15.5641725306,15.5754,394.788884544,-15.8843,0.480303997042,135.337010346,669.494953654,90.7513464125
121,89.0807684231,15.668508038,-1.12674513146,15.6616,0.811849,114.988856518,51.046,49.6572,138.963248292,57.4846788471,121,0.925896,15.6641857481,15.6726,343.330140895,-15.9985,0.476089426068,98.6052085623,349.071201274,-165.346345017
122,74.2667435572,15.6534997099,-4.10784545549,15.6447,0.812993,146.391386059,51.2836,49.8404,216.889583791,83.9869638737,122,0.91735,15.6476745602,15.6567,207.40377809,-15.9881,0.478069831854,79.3908462022,714.481033834,-340.985916136
