AverageAbsY,AverageQ,AverageAbsQ,AverageQLoss,MinReturn,Iteration,AverageDiscountedReturn,AverageReturn,AverageEsReturn,MaxEsReturn,AverageY,PolicyRegParamNorm,StdReturn,StdEsReturn,AveragePolicySurr,MaxReturn,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageAction,Epoch
2.6518139838,2.65042,2.65435,0.0431229,38.0,42,43.0528735852,151.873239437,16.9322033898,56.0,2.65085188369,26.1548,302.241901513,12.7994496794,-2.97851,1000.0,0.0844418430987,35.7199,2.0,0.165241,42
2.76217797878,2.76096,2.76456,0.0386151,31.0,43,38.5583765839,141.202702703,11.3522727273,54.0,2.76127446307,26.2756,299.002168469,9.94877764617,-3.07882,1000.0,0.0802603382319,36.2596,3.0,0.174694,43
2.84473020695,2.84352,2.8475,0.0505696,32.0,44,33.4723318926,78.1376811594,11.9285714286,65.0,2.84408899028,26.3716,196.596666197,11.3889939711,-3.17473,1000.0,0.0893610856553,36.7903,3.0,0.143353,44
2.9230895952,2.92235,2.92597,0.0488912,34.0,45,29.8430537342,35.2676056338,14.1142857143,51.0,2.92253440816,26.5229,0.561881810009,13.0499511298,-3.26277,38.0,0.0883404184882,37.331,2.0,0.199778,45
3.00999296479,3.00892,3.01372,0.0551029,34.0,46,29.9304443286,35.3922261484,13.28,53.0,3.00945845387,26.5658,0.660503335019,11.4723551781,-3.35716,38.0,0.0925098056364,37.928,3.0,0.377026,46
3.09165619543,3.0909,3.09531,0.057504,33.0,47,29.4527584684,34.7162629758,16.813559322,54.0,3.09123097179,26.7486,0.667416555218,12.4185134844,-3.4534,36.0,0.0944654203951,38.3254,3.0,0.136259,47
3.16939575235,3.16823,3.17409,0.0655776,33.0,48,28.8911029462,33.9254237288,17.0169491525,46.0,3.16857814972,26.9156,0.287356873933,12.7085871482,-3.54015,35.0,0.100105225989,38.8267,3.0,0.0971339,48
3.27548856427,3.27362,3.27966,0.0599382,32.0,49,28.219792329,32.9901315789,14.4142857143,47.0,3.2741064885,27.039,0.0988485473771,10.5998556016,-3.64931,33.0,0.0959978381296,39.2092,3.0,0.0955515,49
3.36240266334,3.36092,3.36637,0.0633274,32.0,50,28.0397786142,32.7418300654,14.1830985915,45.0,3.36100357708,27.1939,0.437627946421,11.3860674178,-3.74929,33.0,0.0967870026474,39.7782,3.0,0.0917536,50
3.44894452837,3.44611,3.4542,0.0726539,32.0,51,28.0658399988,32.7777777778,15.0769230769,44.0,3.44688877558,27.4303,0.415739709642,12.1557934175,-3.84911,33.0,0.109252845849,40.2935,3.0,0.0789551,51
3.54611341635,3.54374,3.55169,0.0723392,33.0,52,28.2766904405,33.0693069307,13.3815789474,43.0,3.54400166451,27.709,0.253975353235,11.29737639,-3.96167,34.0,0.106242450693,40.7478,3.0,0.165683,52
3.64664201289,3.64462,3.65132,0.07439,33.0,53,28.7894680451,33.7837837838,15.9682539683,57.0,3.64521499097,27.8962,0.419789853162,13.9499880571,-4.05961,35.0,0.106650985295,41.0846,3.0,0.147447,53
3.75080257971,3.74878,3.75586,0.0781639,29.0,54,27.9457842164,32.6123778502,15.2923076923,46.0,3.74922076066,28.1235,0.525793844273,12.2017944165,-4.17426,33.0,0.107100933915,41.6418,3.0,0.216774,54
3.83085580415,3.82874,3.83756,0.0941341,33.0,55,28.7344329753,33.7070707071,14.7205882353,61.0,3.82910835935,28.3697,0.455106275801,13.1404691342,-4.27295,34.0,0.119425703584,41.9649,3.0,0.202111,55
3.89322355461,3.89141,3.90052,0.103949,30.0,56,28.5926144795,33.5418060201,13.5616438356,51.0,3.89172460516,28.5754,2.57867990439,12.6165647815,-4.34296,36.0,0.123778733768,42.4602,3.0,0.157866,56
3.98932004456,3.98701,3.997,0.0970375,35.0,57,29.8801365989,35.3204225352,13.3289473684,56.0,3.98751240238,28.7515,0.598829695792,11.2710483306,-4.45889,38.0,0.122864307917,42.8606,3.0,0.214129,57
4.11455427952,4.11233,4.12123,0.101434,36.0,58,30.8408104229,36.6923076923,15.421875,58.0,4.11277591854,28.9491,0.461538461538,12.9262386828,-4.56768,37.0,0.122982199865,43.3507,3.0,0.159856,58
