Iteration,AverageReturn,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,AveragePolicySurr,AverageEsReturn,MaxReturn,StdReturn,MinEsReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageAction,AverageY,AverageQ,AverageAbsQ
66,-1049.14145437,-540.769497437,0.695178405782,0.00256121836889,21.418,0.000427391,-0.695337,-540.769497437,-967.884614686,45.3981411811,-540.769497437,22.557,66,0.0,-97.8183372208,-1120.34622714,0.996858,0.695177718783,0.695222,0.695222
67,-595.751187419,-921.503821463,0.686899291456,0.00285361703955,21.4866,0.00050005,-0.687171,-921.503821463,-576.439844118,8.6208128399,-921.503821463,22.726,67,0.0,-57.6308286195,-602.90328625,0.998931,0.686898332342,0.68692,0.686927
68,-690.869937579,-927.193803314,0.679221804094,0.00258542651285,21.553,0.000439021,-0.679762,-927.193803314,-663.869525533,15.3217277096,-927.193803314,23.151,68,0.0,-72.9637066015,-720.748907864,0.985528,0.679220974427,0.67925,0.67925
69,-1063.76504498,-550.596619008,0.671615095161,0.00304275744118,21.6145,0.000606328,-0.672365,-550.596619008,-1035.09239972,15.3765015784,-550.596619008,23.5779,69,0.0,-94.8734727577,-1091.6166234,0.985239,0.671613825746,0.671642,0.671642
70,-598.794705121,-477.226269791,0.664128900292,0.00239123204781,21.6657,0.000369299,-0.664425,-477.226269791,-596.149998065,1.19474642439,-477.226269791,23.8037,70,0.0,-58.7687875489,-600.405576623,0.999998,0.664128102881,0.664144,0.664149
71,-599.230978735,-468.587494212,0.656252374503,0.00244965117654,21.7312,0.000443176,-0.656555,-468.587494212,-597.216411123,0.969124245185,-468.587494212,23.9035,71,0.0,-59.1914765344,-600.678097599,1.0,0.656251465669,0.656347,0.656354
72,-574.940873734,-432.043618273,0.648572748197,0.00249640919017,21.7703,0.000421755,-0.648856,-432.043618273,-566.427052687,7.90486109146,-432.043618273,23.9512,72,0.0,-40.6581106586,-587.576220034,0.999458,0.648571924234,0.648535,0.648582
73,-845.622727138,-400.359180907,0.640889822841,0.00243025773892,21.7899,0.000499324,-0.64127,-400.359180907,-826.439031402,12.4417204857,-400.359180907,24.1192,73,0.0,-79.5911563422,-874.573761204,0.989805,0.640888788246,0.640944,0.640946
74,-356.503162932,-398.21824325,0.633535573979,0.00216733844002,21.8282,0.000361034,-0.633686,-398.21824325,-315.15093129,17.8562546481,-398.21824325,24.3297,74,0.0,-31.4815346587,-385.447894173,0.983851,0.633534779439,0.633549,0.633555
75,-1113.11651663,-447.568656444,0.62638255702,0.00200582769174,21.874,0.00036425,-0.626565,-447.568656444,-1072.01993958,25.0988845065,-447.568656444,24.374,75,0.0,-99.1520255691,-1163.31559069,0.992827,0.626381736972,0.626408,0.626408
76,-989.607989577,-430.602290251,0.619341359738,0.00199121234556,21.9129,0.00035055,-0.619631,-430.602290251,-932.692489509,28.7407773578,-430.602290251,24.7271,76,0.0,-90.7547264409,-1041.15396026,0.989162,0.619340485508,0.619371,0.619371
77,-742.25982614,-422.255022588,0.612272676494,0.0019480472309,21.9486,0.000308519,-0.612457,-422.255022588,-709.423579044,28.8317883446,-422.255022588,24.9194,77,0.0,-66.1146815064,-792.198035925,0.982505,0.612271922226,0.612296,0.612299
