MinReturn,AverageEsReturn,AverageAbsQ,StdForwardProgress,AverageForwardProgress,AverageAbsY,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm,StdReturn,MinEsReturn,AverageAction,MaxReturn,AverageAbsQYDiff,MinForwardProgress,AveragePolicySurr,AverageQLoss,AverageQ,StdEsReturn,AverageY,QFunRegParamNorm,MaxForwardProgress,AverageReturn,Epoch
-21.241173681,85.3635113135,0.0974531,0.418851353144,0.380270398561,0.097482082094,32.3894679073,109.316683451,17.562,42.1066046723,6.13143655229,0.881261,116.381874058,0.00382673364373,-0.452458530821,-0.0936406,4.34016e-05,0.0914983,29.4526749362,0.0915056747594,11.0427,0.856947392003,63.403307817,25
-28.8278209694,88.7232520785,0.103008,0.307176232718,0.503613610881,0.103030617357,37.4048652146,125.041812849,17.6735,31.6309461605,1.83663900978,0.905045,121.256357419,0.00393880157034,-0.466089263605,-0.0994976,4.33944e-05,0.0974023,39.24677391,0.0974056804066,11.2189,0.78870430794,75.3476492645,26
-18.8584172779,26.5430890447,0.108565,0.362675599947,0.262767344983,0.10859064399,28.4282629983,115.743737304,17.7723,36.1711314491,-21.3168049663,0.8797,103.324972137,0.00413548325398,-0.39548359926,-0.104502,4.78473e-05,0.102832,55.9615964987,0.102834111604,11.3858,0.738913626663,50.224917122,27
-34.8741424036,30.5452681399,0.11215,0.256869804954,0.112063842716,0.112185497266,17.5292997651,78.1345258389,17.9946,27.2244427231,-13.7057496093,0.904915,75.2945482141,0.00464518733937,-0.500627885568,-0.111702,6.24355e-05,0.106392,27.8555633401,0.106389948012,11.5893,0.533649528975,30.1846053082,28
-6.73198791312,27.3541208843,0.119261,0.171295322882,0.184945249994,0.119348477881,23.7658280431,67.1228827715,18.0906,17.2421850767,-1.62117573207,0.931666,81.5424791505,0.00588319579855,-0.251185509441,-0.117475,9.24223e-05,0.114563,24.1795489805,0.114578898989,11.8013,0.599700388249,37.049963279,29
-38.1884386892,29.2044277705,0.123473,0.298723401956,0.238280394723,0.123506422394,25.6666050297,70.7043765232,18.1844,31.8856937757,-16.6911743777,0.96463,142.995448231,0.00588147996561,-0.60311482346,-0.120246,9.20658e-05,0.118182,24.5302964632,0.118184858708,11.9833,1.11532037298,44.578252638,30
18.2849403384,44.786390066,0.127648,0.319559991903,0.793975241719,0.127681303978,51.8759710201,94.2079788109,18.2947,34.6216286121,-5.22612257387,0.940638,157.445682849,0.00579790798785,-0.0746450235081,-0.123895,9.1921e-05,0.121926,32.0704228178,0.121923522764,12.1445,1.18167771314,107.714111324,31
-20.3731277131,44.3889901581,0.131794,0.409249231109,0.782210540854,0.131795911835,52.7447102483,108.491890594,18.4261,43.1423143374,-1.14456788012,0.944826,161.667534039,0.00583586972959,-0.446079004819,-0.127091,9.44676e-05,0.125882,37.3534942028,0.125877239079,12.256,1.33147666086,104.654719149,32
-27.1093350371,54.8606022925,0.136549,0.273899187784,0.177349395025,0.13656219675,24.186585173,136.745244303,18.5482,26.2561354517,-11.1356895731,0.968051,101.727988919,0.0058067137554,-0.524643767899,-0.132514,9.7674e-05,0.130675,41.7145553624,0.130674686776,12.3926,0.741647691143,36.3446615118,33
17.2433343387,44.1636802872,0.13996,0.303144076925,0.599252770732,0.139977244806,47.5737347317,158.189908554,18.6437,33.6546579493,-21.8082811837,0.966497,137.977839787,0.00581224226917,0.0197643168137,-0.136637,9.60416e-05,0.134362,44.9481756713,0.134363010628,12.5026,1.13709182568,81.0896993515,34
-32.351115479,38.9966718642,0.144946,0.276357898096,0.287154541777,0.145001129367,31.9473968213,96.7591855604,18.7152,29.495303053,-28.6420548598,0.961821,110.627150731,0.00619082472427,-0.508156644793,-0.142351,0.000111506,0.13943,41.3077448966,0.139437951201,12.6244,0.875026457343,48.0334138224,35
-21.3979359545,33.7780133135,0.149732,0.29567159627,0.467464132972,0.149788965901,40.911482291,111.257329313,18.8063,33.6298849259,-11.4630259974,0.970004,142.770061814,0.00611244624796,-0.471008512261,-0.146173,0.000105885,0.144127,36.5549246185,0.144121314699,12.7503,1.14531820921,65.8732351872,36
2.27749477998,49.7081017757,0.154296,0.337773746524,0.618220917596,0.154371468745,48.2016617175,86.0387605525,18.8907,36.5683022651,33.1130863126,0.940593,144.911393145,0.00636356789742,-0.126713564089,-0.151338,0.000112221,0.148456,16.5775051331,0.148461598545,12.8976,1.20622330817,82.4916623779,37
-11.1178553066,72.3486454063,0.158847,0.134221904108,0.142951299649,0.158921850198,19.4690525936,151.80555911,18.9573,14.530505992,-9.98093350225,0.946948,93.9899630854,0.00670097770529,-0.36666470796,-0.15596,0.000128305,0.153064,47.0891570955,0.15305929747,13.035,0.715766201643,26.8699547938,38
-51.1559449967,17.1188364147,0.163831,0.133560144374,0.0165923066895,0.163912054482,14.9435275722,37.0721940592,19.0277,13.9555025399,-1.73254183941,0.950086,50.2759683727,0.00674572774621,-0.795936656939,-0.161727,0.000136773,0.158233,11.9913831614,0.158237633876,13.1613,0.288761239681,17.1970766433,39
-6.56872371578,28.8733436495,0.168966,0.20786187906,0.0737127772969,0.169035795035,19.8171879436,89.9407093992,19.1223,23.4862550962,0.394673002779,0.933198,109.963370916,0.00682427616201,-0.226816603701,-0.166857,0.000128621,0.163424,28.5163707692,0.16342496068,13.2728,0.830959483916,24.8694762956,40
-40.1121668457,19.1272320512,0.173166,0.129335413818,0.0902767511521,0.173240723772,17.76547415,42.0665512119,19.2276,13.2424322541,-0.816282351109,0.920389,70.4561580073,0.00708493024486,-0.649228342667,-0.170341,0.000143414,0.167099,12.6202090935,0.167097479783,13.4141,0.440592127406,23.1686534727,41
-21.6947232816,20.8589759696,0.177866,0.0882163323145,0.053367827078,0.177952750925,16.0586663561,49.147113147,19.3641,9.12278821294,2.34839101515,0.938896,40.6648349974,0.00723438579606,-0.403024126656,-0.175343,0.000148879,0.171767,12.2432272886,0.171781407712,13.5814,0.242452299343,19.6150308287,42
