Iteration,AveragePolicySurr,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,AverageAction,QFunRegParamNorm,MaxReturn,AverageAbsY,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,AverageY,MinReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageQLoss
75,-5.82395,99.9956828753,0.174045223214,5.23853,5.25591,0.361698,50.0074,1000.0,5.24389756399,0.0,100.0,1000.0,24.5184288179,5.23884769036,1000.0,32.4242424242,3.0,75,33.7497,0.179984
76,-5.8755,99.9956828753,0.167874915463,5.30672,5.32444,0.375224,50.418,1000.0,5.31259853946,0.0,68.0,1000.0,17.2332346064,5.30690604458,1000.0,21.375,4.0,76,33.8857,0.170456
77,-5.96284,99.9956828753,0.165838089163,5.36935,5.38451,0.269189,50.7311,1000.0,5.3741449285,0.0,69.0,1000.0,18.0034703158,5.36995905817,1000.0,21.2127659574,4.0,77,34.0434,0.171329
78,-6.04386,99.9956828753,0.174969837078,5.42758,5.44458,0.20941,51.04,1000.0,5.43330635613,0.0,105.0,1000.0,19.1480818481,5.42763173304,1000.0,19.25,3.0,78,34.1403,0.186012
79,-6.11357,99.9956828753,0.172736959367,5.50464,5.52086,0.31483,51.4189,1000.0,5.50900094474,0.0,37.0,1000.0,9.68944319844,5.50489887206,1000.0,12.8961038961,3.0,79,34.297,0.189836
80,-6.18387,99.9956828753,0.171964806112,5.55658,5.5745,0.190428,51.8711,1000.0,5.56211892436,0.0,52.0,1000.0,12.692597875,5.55739090787,1000.0,15.9047619048,3.0,80,34.4557,0.189868
81,-6.26077,99.9956828753,0.176848616415,5.64916,5.66574,0.190044,52.1252,1000.0,5.6531246599,0.0,61.0,1000.0,13.0890784477,5.64930682096,1000.0,15.359375,3.0,81,34.5811,0.206317
82,-6.3211,99.9956828753,0.176521311751,5.70556,5.72136,0.170947,52.5653,1000.0,5.70885039984,0.0,64.0,1000.0,12.792934255,5.70586755575,1000.0,15.2686567164,3.0,82,34.6731,0.195222
83,-6.41901,99.9956828753,0.183606116035,5.79195,5.80604,0.171963,52.8151,1000.0,5.79410602101,0.0,73.0,1000.0,14.6528340052,5.79221162066,1000.0,16.8474576271,3.0,83,34.8571,0.226125
84,-6.44813,99.9956828753,0.172056580268,5.82601,5.84007,0.15036,53.2451,1000.0,5.82811275873,0.0,55.0,1000.0,12.4109685189,5.82620626704,1000.0,14.7575757576,3.0,84,35.043,0.192616
85,-6.5344,99.9956828753,0.179973632852,5.90187,5.91587,0.0979819,53.5017,1000.0,5.90440750191,0.0,60.0,1000.0,12.2177712126,5.90269656031,1000.0,15.9838709677,3.0,85,35.2213,0.208254
86,-6.58147,99.9956828753,0.181457612422,5.97168,5.98623,0.185477,53.853,1000.0,5.97325187779,0.0,68.0,1000.0,13.2782554379,5.97176330645,1000.0,15.1617647059,3.0,86,35.289,0.221653
87,-6.67129,99.9956828753,0.183141601978,6.03884,6.05474,0.211423,54.0395,1000.0,6.04093775955,0.0,96.0,1000.0,16.1006777491,6.03969574966,1000.0,17.9821428571,3.0,87,35.451,0.216545
88,-6.73487,99.9956828753,0.179913789272,6.09289,6.10705,0.102216,54.2801,1000.0,6.09381780065,0.0,54.0,1000.0,12.7087051372,6.09283474081,1000.0,16.1451612903,3.0,88,35.5606,0.217467
89,-6.77454,99.9956828753,0.18296284214,6.14685,6.16173,0.177088,54.5457,1000.0,6.14846701737,0.0,53.0,1000.0,11.0244805974,6.14744094006,1000.0,14.2898550725,3.0,89,35.7677,0.23108
90,-6.85102,99.9956828753,0.181399676733,6.20764,6.22228,0.103197,54.821,1000.0,6.20942481823,0.0,76.0,1000.0,14.5210188385,6.20816274302,1000.0,17.3965517241,3.0,90,35.9192,0.228124
91,-6.86978,99.9956828753,0.192998634346,6.23821,6.2529,0.065172,55.0861,1000.0,6.24043572144,0.0,57.0,1000.0,12.0015227915,6.23916303332,1000.0,16.2131147541,3.0,91,36.0932,0.264486
92,-6.97172,99.9956828753,0.184515421454,6.32244,6.33597,0.395813,55.2932,1000.0,6.32447975333,0.0,57.0,1000.0,10.9994433996,6.32280573815,1000.0,14.5714285714,3.0,92,36.2878,0.243783
93,-7.00926,99.9956828753,0.186789311049,6.36049,6.37463,0.187391,55.6539,1000.0,6.36210992084,0.0,57.0,1000.0,12.5152019023,6.36094679504,1000.0,16.2542372881,3.0,93,36.3623,0.25674
94,-7.07143,99.9956828753,0.182118732442,6.43508,6.44933,0.231566,55.9206,1000.0,6.43628211556,0.0,92.0,1000.0,18.7638984207,6.43497198935,1000.0,17.186440678,3.0,94,36.5296,0.235042
95,-7.13423,99.9956828753,0.19374713163,6.46591,6.48331,0.226152,56.2828,1000.0,6.46802803519,0.0,52.0,1000.0,13.0447419652,6.46656829436,1000.0,15.2089552239,3.0,95,36.5917,0.25777
96,-7.18231,99.9956828753,0.185044811605,6.50817,6.52288,0.25045,56.4575,1000.0,6.51021881295,0.0,63.0,1000.0,12.1951824791,6.50864949303,1000.0,14.1549295775,3.0,96,36.7301,0.241693
