Iteration,MaxEsReturn,Epoch,AveragePolicySurr,AverageReturn,AverageQ,MinReturn,AverageAbsQ,AverageAbsY,MinEsReturn,StdReturn,AverageQLoss,AverageY,QFunRegParamNorm,StdEsReturn,AverageAbsQYDiff,AverageEsReturn,MaxReturn,PolicyRegParamNorm,AverageAction,AverageDiscountedReturn
88,51905.1621773,88,-4287.36,88044.9831545,4276.03,58973.0674666,4276.06,4276.73363881,51905.1621773,18957.1594428,28872.8,4276.73253299,215.417,0.0,78.3690063204,51905.1621773,117706.497639,16.9466,1.0,7240.07676629
89,60131.5807075,89,-4303.12,93552.7772269,4291.82,69379.3954722,4291.97,4292.4177531,60131.5807075,18359.6151675,34738.9,4292.30161825,216.555,0.0,78.8391480944,60131.5807075,117392.541213,16.9466,1.0,7416.41389534
90,53050.1448032,90,-4332.7,88967.9161512,4321.38,69357.276968,4321.42,4322.02795468,53050.1448032,20760.6886904,27534.9,4322.01531832,217.651,0.0,76.2152286939,53050.1448032,117815.044407,16.9466,1.0,7226.16867488
91,51971.4789347,91,-4355.97,86436.2837831,4344.83,69390.3479117,4345.05,4345.48665191,51971.4789347,18266.5851161,30136.5,4345.39799073,218.771,0.0,75.5526058287,51971.4789347,116849.277245,16.9466,1.0,7105.01839211
92,53819.9604153,92,-4378.7,89070.2041308,4367.73,69344.5547318,4367.8,4368.23714412,53819.9604153,23369.5305761,28136.3,4368.21395084,219.698,0.0,77.070487492,53819.9604153,117836.394286,16.9466,1.0,7272.59282625
93,50741.2472521,93,-4410.11,94090.0643881,4398.85,69967.8179031,4398.87,4399.52779532,50741.2472521,20793.7253917,32432.4,4399.47866923,220.887,0.0,80.095929557,50741.2472521,117789.268279,16.9466,1.0,7572.0806354
94,55566.3679975,94,-4415.17,93748.8592617,4404.17,69563.652882,4404.28,4404.66461402,55566.3679975,18452.6627275,35933.1,4404.66461402,222.04,0.0,82.1048850333,55566.3679975,117781.414447,16.9466,1.0,7487.31844602
95,57585.4047035,95,-4459.38,88599.5528684,4448.33,67468.9533336,4448.35,4448.91894898,57585.4047035,21117.9956288,23546.9,4448.90196748,223.107,0.0,73.4934712362,57585.4047035,117786.321186,16.9466,1.0,7136.18587186
96,69750.0119223,96,-4485.99,91267.871636,4475.0,69411.652082,4475.03,4475.55483884,69750.0119223,19739.8905766,31667.9,4475.55483884,224.133,0.0,80.0445371732,69750.0119223,117928.671505,16.9466,1.0,7339.83128116
97,98496.5822699,97,-4504.98,98503.1575022,4494.0,69672.5189667,4494.05,4494.37721767,98496.5822699,20481.5102074,25605.8,4494.37048589,225.205,0.0,75.3625588274,98496.5822699,117646.866652,16.9466,1.0,7688.51033238
98,51795.6640538,98,-4549.86,88884.292836,4538.81,69350.6864916,4538.81,4539.52417674,51795.6640538,20590.1710631,38733.5,4539.46613864,226.438,0.0,82.516082356,51795.6640538,117700.75533,16.9466,1.0,7232.89547963
99,70721.6135712,99,-4583.92,93557.1832483,4572.71,69278.6185549,4572.86,4573.0642919,70721.6135712,23873.2368791,25851.5,4573.03783335,227.688,0.0,77.1333964098,70721.6135712,117776.141758,16.9466,1.0,7389.83114058
100,67002.9009358,100,-4595.72,87481.0975853,4584.42,55860.2014839,4584.61,4585.24781474,67002.9009358,22378.5305897,29932.8,4585.21513477,228.844,0.0,81.3571421152,67002.9009358,117708.014016,16.9466,1.0,7148.30755596
101,53562.2230849,101,-4635.56,84006.607555,4624.29,69249.4904926,4624.35,4624.86201949,53562.2230849,19230.7504388,36513.0,4624.84557277,229.849,0.0,81.9121609499,53562.2230849,117597.953172,16.9466,1.0,6949.85918864
102,72164.6826246,102,-4651.35,98695.252481,4639.97,70442.8054465,4640.04,4640.64627855,72164.6826246,17473.8102092,36734.4,4640.54643365,230.876,0.0,82.7461843399,72164.6826246,117782.776254,16.9466,1.0,7775.72059681
103,103219.044644,103,-4692.6,93659.2720817,4681.06,69435.6792095,4681.35,4681.80682673,103219.044644,21267.6941518,37801.7,4681.70602114,231.923,0.0,84.0765106569,103219.044644,117712.393531,16.9466,1.0,7440.59426137
104,53323.0864529,104,-4704.22,98432.4645649,4692.8,69371.2790046,4692.84,4693.38874832,53323.0864529,17776.5550482,30328.6,4693.38874832,232.88,0.0,79.1351916746,53323.0864529,117730.137188,16.9466,1.0,7687.90659602
105,51617.1146312,105,-4734.09,96317.4307234,4722.79,69594.9543039,4722.79,4723.31740627,51617.1146312,22301.1988177,34403.1,4723.31730683,233.861,0.0,84.9735420918,51617.1146312,117868.766659,16.9466,1.0,7635.54783651
106,106732.408549,106,-4781.35,79638.7893315,4770.06,69588.0583759,4770.11,4770.62381315,106732.408549,15659.6697435,35143.1,4770.60466962,234.95,0.0,81.3946957141,106732.408549,117617.932821,16.9466,1.0,6882.22073743
107,51814.1589989,107,-4802.85,83947.9777146,4791.4,69312.609512,4791.4,4792.03471872,51814.1589989,15795.586009,39111.1,4792.03471872,235.997,0.0,83.355349594,51814.1589989,117117.568974,16.9466,1.0,6949.95016315
108,83314.6608076,108,-4816.16,93356.732892,4804.93,69289.6338336,4805.08,4805.47903865,83314.6608076,21413.0707886,42227.8,4805.47903865,236.948,0.0,85.7099146353,83314.6608076,117504.863998,16.9466,1.0,7318.55408873
109,69240.174468,109,-4851.03,100765.167792,4839.83,69362.2498874,4839.87,4840.43756604,69240.174468,21353.3134033,36575.9,4840.41951654,237.994,0.0,83.0417641492,69240.174468,117635.085998,16.9466,1.0,7744.85603864
110,70035.1059544,110,-4862.12,95929.0666583,4851.01,69421.0978472,4851.01,4851.59680672,70035.1059544,22310.7921523,37612.8,4851.53695828,239.064,0.0,84.7258931979,70035.1059544,117553.538215,16.9466,1.0,7497.01767176
111,68532.4336582,111,-4896.81,103144.2694,4885.88,69871.9242732,4885.95,4886.67472629,68532.4336582,18807.3273612,38010.3,4886.66786239,240.029,0.0,84.7519783357,68532.4336582,117550.06549,16.9466,1.0,7870.93794072
112,97720.3305489,112,-4953.26,93982.7929856,4942.32,69602.7266602,4942.46,4942.78450135,97720.3305489,20992.7631332,35906.3,4942.73695972,241.08,0.0,83.7643326024,97720.3305489,117599.423867,16.9466,1.0,7532.97872321
