Iteration,AveragePolicySurr,StdReturn,AverageAbsY,StdEsReturn,Epoch,MinReturn,PolicyRegParamNorm,AverageQ,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MaxReturn,MinEsReturn,AverageY,AverageAbsQYDiff,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAction,QFunRegParamNorm
19,-7.00057,39.5002581357,6.55801969394,94.436769491,19,19.4816291021,17.7952,5.1502,0.70686,48.400145188,6.53576,270.281794177,2.50527798376,5.15268903923,0.448634143765,76.6053416147,57.4099828205,275.535439707,0.893495,18.1563
20,-7.90566,19.4270819781,7.40504194093,128.636023189,20,50.5090156592,18.4418,6.06106,0.828436,56.7240576919,7.37919,142.139885608,45.2840422036,6.06452287776,0.488670187651,190.833788478,76.0327951231,347.735008642,0.993749,19.0311
21,-8.81919,60.2872950892,8.21455341663,54.2943621241,21,48.6186980181,18.7772,6.93493,0.899165,58.8315609073,8.18927,464.223555278,27.0193014472,6.93877292793,0.505572067009,82.0947963704,89.3693844004,219.893305957,0.989936,19.7438
22,-9.92254,151.297067655,9.22208046375,136.101278615,22,52.3666937992,19.2784,8.01543,1.1034,69.4077641132,9.19867,529.534492252,17.7054879916,8.01816101345,0.54794515547,279.634576187,156.672547059,389.10950102,0.847219,20.4947
23,-11.2169,95.2317910688,10.4721731205,53.308621906,23,47.356723308,19.7779,9.31049,1.42426,59.8262650597,10.4505,596.44541807,227.428017383,9.31566012146,0.609482758943,317.332933142,101.182313525,380.859643648,0.854955,21.1942
24,-12.4664,110.160977193,11.6295059388,122.439011017,24,23.4891915837,20.3749,10.5172,1.69848,101.749235135,11.6093,460.390608567,80.4703483739,10.5201928328,0.634586996703,244.604776128,253.287631857,446.429039134,0.861054,21.8698
25,-13.8351,70.0754370288,12.9310309891,109.7689724,25,12.311591359,21.0754,11.8765,1.85811,123.249713653,12.9139,501.46953909,17.0457292901,11.881248455,0.687545818569,186.07679068,318.780262795,317.796415387,0.840189,22.4661
26,-14.9619,69.3035306808,13.96945672,157.866258806,26,91.1011676829,21.7018,13.0537,2.51686,108.108650626,13.9533,438.615993337,25.7327779261,13.0596224683,0.747846974492,172.959605477,218.411898613,446.030275125,0.822213,23.0778
27,-16.2237,118.466619446,15.0713089755,88.724701171,27,46.6515116223,22.2988,14.2481,2.64522,93.3015698085,15.057,439.814558153,128.589134668,14.2549267446,0.802506004162,234.867943608,231.659448321,390.899651203,0.869396,23.7507
28,-17.6816,109.035170822,16.3906980119,142.258196336,28,41.4207981029,22.7911,15.6736,2.84265,92.6061685703,16.3817,473.833584756,30.3719940677,15.6792066585,0.842725391346,227.043504408,221.83355613,347.162928871,0.87963,24.3593
29,-18.8307,71.2639185496,17.4652639156,42.4488577072,29,49.0337381071,23.3155,16.7958,3.39626,119.864006228,17.4536,508.325676116,113.252457665,16.8044412752,0.913312030391,190.369044915,324.731522897,265.287467699,0.836996,25.0603
30,-20.4688,54.975892071,19.0573946456,89.388136801,30,86.8737671097,23.8252,18.4163,4.44879,119.402551043,19.0465,389.001355517,64.8961085603,18.4235854762,1.01496645451,203.453999775,270.936972515,317.199348948,0.855102,25.7287
31,-22.1607,105.352066456,20.653978884,115.401787592,31,-2.56880789557,24.1699,20.0085,3.75055,61.1693764974,20.6461,368.218462772,15.1975880008,20.0162519309,0.992203604724,193.980235549,118.244341614,342.211655957,0.893376,26.3509
32,-23.3541,143.534276188,21.8685176433,49.5385829366,32,33.7529392006,24.5117,21.2094,4.48854,87.3129299597,21.8569,564.510199168,75.5151742363,21.2198111259,1.09839445138,148.744133357,236.422717227,216.520805583,0.868055,26.9345
33,-24.8689,80.2552072851,23.2889146372,54.5423291501,33,165.944637275,24.8194,22.6601,4.83601,111.820752729,23.2871,525.484216572,154.13696747,22.6663536393,1.12596745179,221.777258614,330.090305524,330.443749412,0.886277,27.6468
