AverageDiscountedReturn,StdEsReturn,MaxEsReturn,MaxReturn,AveragePolicySurr,MinReturn,AverageReturn,Epoch,AverageAction,AverageQ,AverageAbsQYDiff,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,AverageY,MinEsReturn,QFunRegParamNorm,AverageAbsQ,Iteration,StdReturn
35.4367741684,17.1700296259,86.0,49.0,-36.9591,41.0,43.5434782609,49,0.454388,32.9886,1.09856089457,32.9818223846,5.94107,33.6124,22.9090909091,32.9807823468,3.0,59.8477,33.0429,49,1.4189175565
37.5454231432,15.6976543345,50.0,51.0,-37.943,44.0,46.8504672897,50,0.445583,33.7841,1.11115896681,33.7775883937,5.98587,33.7102,21.4130434783,33.7754652992,3.0,60.5166,33.845,50,1.61941340665
39.5368721384,17.058167277,69.0,54.0,-38.7308,46.0,50.075,51,0.491647,34.6179,1.13040013475,34.6102941392,6.44671,33.8847,23.2558139535,34.6089509084,3.0,61.4608,34.6767,51,1.63075902573
36.8592628258,14.9731217594,70.0,56.0,-39.5775,41.0,45.7808219178,52,0.65314,35.3258,1.16880636773,35.3170863031,6.71606,34.0266,19.2641509434,35.3153172362,3.0,62.2803,35.3873,52,2.48049878256
60.5934911915,23.169927828,104.0,281.0,-40.5216,47.0,100.23,53,0.852987,36.2155,1.17508062181,36.2097611216,6.99192,34.1843,32.4333333333,36.2070432387,3.0,62.859,36.2854,53,43.5345506466
42.0540589277,17.9433219546,78.0,79.0,-41.3283,43.0,54.5,54,0.75944,37.0142,1.2543839698,37.0104992668,7.65897,34.4389,30.0882352941,37.0058498778,3.0,63.6024,37.0853,54,6.49749115462
55.3333211491,23.7428558728,75.0,273.0,-42.2661,50.0,88.0964912281,55,0.854189,37.7617,1.30590767872,37.7577902905,8.40487,34.5736,31.7741935484,37.7534004409,3.0,64.1873,37.8384,55,47.4030810491
99.2089952236,20.4845082774,78.0,1000.0,-43.2124,299.0,752.5,56,0.797031,38.6426,1.28976009863,38.6352510597,8.72035,34.7532,24.1666666667,38.6307852324,3.0,64.8103,38.7188,56,270.136142925
99.9956828753,24.5598902403,104.0,1000.0,-44.0622,1000.0,1000.0,57,0.707967,39.4577,1.29609411411,39.4538564185,8.18999,34.9048,23.9523809524,39.4497248206,3.0,65.5819,39.5378,57,0.0
97.2829315166,16.4008736915,72.0,1000.0,-45.0116,209.0,723.142857143,58,0.602491,40.4519,1.32567128209,40.4439556238,8.76709,35.1349,21.5217391304,40.4390535347,3.0,66.2149,40.5276,58,322.366441257
99.9956626492,20.465852243,85.0,1000.0,-45.8435,995.0,999.545454545,59,0.686544,41.2325,1.30854192772,41.2313115244,8.63801,35.2729,26.1315789474,41.225458353,4.0,66.9251,41.3111,59,1.43739893644
99.9956828753,16.7788048843,93.0,1000.0,-46.7931,1000.0,1000.0,60,0.683952,42.1572,1.37456325694,42.1538799253,9.79096,35.3496,21.2978723404,42.148344797,3.0,67.3548,42.2378,60,0.0
99.9956828753,15.228664042,86.0,1000.0,-47.7422,1000.0,1000.0,61,0.723348,43.0395,1.36762156355,43.0359703829,9.568,35.4604,18.7037037037,43.0299659446,4.0,67.99,43.1241,61,0.0
99.9956828753,13.9214299918,63.0,1000.0,-48.5962,1000.0,1000.0,62,0.751705,43.8157,1.39476262663,43.8075336996,10.678,35.6165,19.0384615385,43.8007218989,3.0,68.7326,43.9002,62,0.0
99.9295191952,16.2670603388,65.0,1000.0,-49.3821,505.0,910.090909091,63,0.584619,44.5686,1.36948692998,44.5676541461,9.792,35.6085,22.2954545455,44.5598128685,4.0,69.3444,44.6638,63,157.614866942
98.365932763,21.0229188552,85.0,1000.0,-50.3686,171.0,924.636363636,64,0.742079,45.506,1.47860821788,45.5011872966,11.3984,35.7594,25.2926829268,45.4984879318,3.0,69.901,45.5969,64,238.320743662
99.9956828753,25.0202297816,137.0,1000.0,-51.1648,1000.0,1000.0,65,0.555243,46.1346,1.46593642824,46.1318933917,11.1331,35.8387,23.1860465116,46.1264151197,3.0,70.5948,46.2279,65,0.0
99.9659176669,18.1675424865,75.0,1000.0,-52.2092,568.0,960.727272727,66,0.665782,47.2976,1.48115124063,47.292085715,11.8369,35.9581,20.02,47.2865941257,3.0,71.2226,47.3879,66,124.191268108
99.9956828753,14.4547513379,71.0,1000.0,-52.8564,1000.0,1000.0,67,0.682355,47.8329,1.49807538781,47.8287998866,11.9574,36.0783,18.2452830189,47.8219685734,4.0,71.7901,47.9304,67,0.0
98.0315142958,20.1143939251,86.0,1000.0,-53.7313,148.0,860.75,68,0.697926,48.8615,1.48964926656,48.8587598243,12.3141,36.2097,22.9545454545,48.8524941875,3.0,72.3785,48.9543,68,266.065507285
99.9956828753,16.2485737108,78.0,1000.0,-54.5748,1000.0,1000.0,69,0.743266,49.6818,1.46135434479,49.6819203012,11.847,36.3171,19.9411764706,49.6740532287,3.0,72.8661,49.7717,69,0.0
99.9956828753,13.8779709471,65.0,1000.0,-55.3058,1000.0,1000.0,70,0.78626,50.2587,1.52975924883,50.2654141283,12.7447,36.4022,18.9245283019,50.2549223363,3.0,73.3132,50.3605,70,0.0
99.9956828753,17.846224045,84.0,1000.0,-56.4958,1000.0,1000.0,71,0.801954,51.223,1.6056450866,51.2193690297,13.8923,36.544,21.652173913,51.2108489547,3.0,73.8636,51.3167,71,0.0
99.9956828753,19.3162108701,89.0,1000.0,-57.2082,1000.0,1000.0,72,0.710308,51.9395,1.62163616643,51.9399154746,14.12,36.6043,24.3902439024,51.9288448305,3.0,74.4496,52.0345,72,0.0
99.9956828753,14.9587911309,64.0,1000.0,-57.9925,1000.0,1000.0,73,0.562407,52.8066,1.551801754,52.8073698852,13.6371,36.6336,18.4444444444,52.798573492,3.0,74.921,52.8973,73,0.0
