AverageAction,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MinReturn,AverageAbsQ,AverageQLoss,Epoch,StdEsReturn,AverageAbsY,AverageReturn,AverageQ,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,MaxReturn,AverageY
0.726497,5.65539848527,31.3117,44.1793,413.799246439,46,299.730911014,358.632014864,74.5772,24.7157,46,127.366768424,74.5480095691,371.298465827,74.5176,178.257358026,2.23333479054,-77.5395,7.19995591761,381.089318612,74.5257310965
0.688604,5.04253249079,31.586,44.947,497.679632687,47,265.707227456,359.192467762,77.4711,25.8157,47,142.411024638,77.4475902528,374.426332397,77.4131,178.943681204,2.27255474875,-80.436,55.9581411664,384.069673342,77.4314695931
0.702285,12.8188466928,31.8765,45.7866,361.723221694,48,257.097616673,343.801670477,80.2997,29.3061,48,114.49410475,80.2720885667,369.629672947,80.2417,177.484302149,2.40409149099,-83.248,50.8303632445,387.772348653,80.2596805397
0.715126,40.2358122313,32.1489,46.4627,473.921647595,49,291.896866975,152.804524055,82.5155,30.4424,49,104.529136064,82.4834069956,337.210199071,82.4553,168.054302472,2.44011446255,-85.5994,153.50398642,363.992890624,82.4703678075
0.74442,59.4983085902,32.4543,47.0894,403.10945526,50,265.115276476,142.076763985,85.4257,36.311,50,110.680947355,85.4010129944,315.81116385,85.3729,160.924118791,2.60487285862,-88.5737,48.9428591873,370.374025278,85.3906333029
0.704006,10.210640639,32.7408,47.735,322.667980603,51,187.597324146,322.487308538,88.0054,33.0495,51,109.706224551,87.9761093016,355.13391927,87.9462,174.045688574,2.54809619263,-91.2144,11.9517048015,378.18593274,87.9641806496
0.7179,44.5885950873,33.0016,48.3903,354.945750833,52,214.093089034,159.113885921,90.3692,35.8414,52,105.035387292,90.3454717303,282.344341168,90.3147,151.823232471,2.6132001987,-93.6003,52.8404242012,366.450494335,90.3331782333
0.736359,21.8911060338,33.3193,49.1026,368.920872035,53,247.102494525,142.958456162,93.6433,34.1101,53,98.6540070618,93.6087987571,153.876382502,93.5841,103.681171763,2.64120092258,-96.8958,36.5964635294,274.850911767,93.5995759867
0.708353,13.815047279,33.5137,49.7775,356.15616538,54,267.527426191,281.86125006,95.4029,41.2379,54,92.8891723559,95.3544967956,335.900851379,95.3272,168.278518779,2.76133636965,-98.6362,98.5932590432,349.641474351,95.344068379
0.704028,9.24260495846,33.8012,50.3705,376.610624998,55,246.759080074,328.314949953,98.3962,41.3714,55,96.4590399874,98.3596069391,354.507154141,98.336,173.265668188,2.7476517406,-101.786,13.9436586893,374.847381582,98.3502778366
0.696116,13.31455132,34.0274,50.9876,326.610219013,56,219.836633036,308.731480409,100.68,38.1994,56,94.1869537678,100.646038182,349.585207358,100.621,172.385699472,2.72765451678,-104.027,6.58361610928,364.91383184,100.63664504
0.793671,57.8095208715,34.2836,51.5713,376.175517718,57,209.774265824,152.235044654,103.074,41.3925,57,91.0461719708,103.033379114,293.813319973,103.011,154.9786901,2.88486579322,-106.505,62.3019746197,359.764682688,103.022966298
0.725098,66.050813345,34.5896,52.1707,299.481453491,58,200.087211608,144.462996602,105.76,45.7799,58,106.752645571,105.726089985,225.450136429,105.699,130.311389212,2.92318438871,-109.081,9.18619016172,340.121208424,105.717097163
0.729489,53.1799396927,34.8547,52.8193,339.765085051,59,238.925044985,142.48701571,107.608,47.2465,59,95.7093188697,107.577691094,214.473899788,107.55,126.999096924,3.01251965138,-111.194,74.6918533113,316.042738662,107.569499607
0.772104,62.6255844306,35.1699,53.4438,352.744340696,60,186.771913152,142.924632419,110.733,46.4585,60,112.802015681,110.687292759,279.444812658,110.663,149.248089708,3.05620714261,-114.327,10.4403740054,340.252987488,110.678130465
0.754317,51.4532114373,35.431,54.0654,314.496127409,61,178.593741863,144.595310233,112.898,51.2759,61,98.4149727322,112.864060691,195.529718111,112.834,120.157552082,3.18673636729,-116.357,5.12095411345,272.737576116,112.856373899
0.741824,53.2345394268,35.6963,54.6255,340.4212187,62,197.693195862,138.252236463,115.187,50.1562,62,110.181651968,115.140337602,242.341837136,115.116,137.882370487,3.15055013116,-118.664,15.2242395949,308.08223411,115.131647577
0.744645,45.8012227559,35.9328,55.3065,359.2209003,63,254.414116412,111.754488847,116.99,57.8003,63,85.4187561793,116.946819907,240.557736775,116.914,137.441317183,3.26923114914,-120.549,68.2562485776,328.988732664,116.937777252
0.739615,45.5170470681,36.1662,55.7974,374.496428749,64,209.057210297,108.355217911,119.614,51.5166,64,121.881009875,119.548722385,242.007832564,119.535,138.186741055,3.1976813298,-123.064,8.95621310103,347.018399568,119.538773932
0.759399,27.0239641784,36.3763,56.387,347.098021237,65,254.006861553,289.623076283,121.643,62.0211,65,83.1075730379,121.596847545,343.749359232,121.563,171.047604279,3.38040560849,-125.112,69.4749697476,379.477233695,121.587301378
0.774763,35.7194494009,36.6158,56.9072,345.032236522,66,194.970370699,243.843788085,123.794,57.5252,66,96.7890285314,123.744881552,291.160057938,123.711,154.822648428,3.3807395011,-127.354,36.5992784016,371.366580066,123.73622123
0.806896,97.4736196938,36.8678,57.5233,351.186612803,67,202.823467216,83.3390341523,126.407,55.8078,67,70.2876839802,126.36743385,186.747223763,126.337,112.109086138,3.36004984558,-130.0,113.605840564,343.166630521,126.357665544
0.785246,19.4892784953,37.0786,58.1412,352.512323915,68,259.509207672,305.535821483,128.24,60.6223,68,71.9869518215,128.163069027,355.513857452,128.143,173.921475209,3.40679561641,-131.796,91.52564181,377.778814152,128.152934544
0.74139,50.1578453171,37.2637,58.6462,372.979641483,69,217.463941305,102.697052239,130.229,54.2186,69,99.1747861182,130.178224083,331.295166326,130.145,166.573761327,3.38394581156,-133.741,64.3012617949,387.285946095,130.169864485
0.799553,34.5332868735,37.4621,59.101,371.133814568,70,254.376411358,279.818008012,132.785,60.9165,70,93.0898557177,132.700841946,327.34579526,132.683,165.938992684,3.57142661436,-136.337,100.74750861,373.514136717,132.691385395
0.769797,24.1040443173,37.603,59.6124,364.689714373,71,231.254692977,294.096042431,134.411,61.0483,71,106.07231869,134.359638355,368.172132597,134.318,177.24469881,3.55521725527,-138.012,79.3944151834,397.153215254,134.350889337
0.742503,30.1501667383,37.8004,60.183,348.717657866,72,219.727412517,244.197707185,136.196,71.9902,72,95.8199350789,136.127652201,348.348275017,136.097,171.230138001,3.69039077194,-139.935,84.5114771801,381.713658881,136.116037353
0.726599,38.3049088558,37.9543,60.696,293.089313926,73,171.643736463,159.199818671,138.938,73.1975,73,77.9683649031,138.86108825,336.148816644,138.835,168.38477929,3.83190861648,-142.599,32.3618500748,379.919341324,138.851256519
0.688271,31.2725041526,38.1863,61.1349,352.630979261,74,223.450826318,251.811738505,140.591,74.1609,74,79.7060728232,140.533284977,304.05551336,140.5,158.633249844,3.68674403122,-144.139,101.680698422,376.874355382,140.524252368
0.73554,2.16033127323,38.4067,61.669,357.999706063,75,192.202168129,385.792308431,142.464,70.836,75,118.286865173,142.394091441,389.899097703,142.373,187.928216032,3.74560629352,-146.061,8.14479255887,395.307948057,142.38209389
