StdEsReturn,QFunRegParamNorm,Epoch,PolicyRegParamNorm,Iteration,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageY,AverageEsReturn,MinReturn,MinEsReturn,MaxReturn,StdReturn,MaxEsReturn,AveragePolicySurr,AverageQ,AverageQLoss,AverageAbsY,AverageAbsQ,AverageReturn
173.46873404,46.9962,100,51.7547,100,0.456540006287,0.837306,182.886007888,19.4896698602,192.017059173,360.83716592,10.0383493232,420.312523706,9.15955616849,545.969093887,-19.9257,19.4889,1.14291,19.495001585,19.5059,373.391579733
140.515168445,47.2831,101,51.8942,101,0.450481932613,0.851954,211.746249169,19.573182585,177.875398808,469.669395133,20.3262415422,568.666323942,17.5479408605,428.846884532,-20.0179,19.5702,1.04576,19.5769047639,19.585,515.880189914
201.778011559,47.6072,102,52.0439,102,0.467847553566,0.836504,232.151802343,19.8421115132,228.206700498,567.43236876,7.45698869973,713.932523453,32.0002483394,626.436524262,-20.2693,19.8407,1.30625,19.8468093016,19.8564,644.515635511
181.436479876,47.829,103,52.2094,103,0.442693889381,0.834583,215.011596085,19.9008571469,157.360354398,414.544819148,3.87145557317,705.527922076,97.5199680628,600.309106929,-20.3489,19.8992,1.07169,19.906243275,19.9162,523.030351124
135.268199958,48.0493,104,52.3838,104,0.45474132684,0.83372,189.027511141,20.1671183525,207.370006581,365.4357811,9.17599213661,409.460493272,10.447013576,475.098675018,-20.6221,20.1652,1.20219,20.1721745998,20.1811,391.515537466
221.396979064,48.3775,105,52.5142,105,0.474584875138,0.732108,175.763191306,20.3013274434,203.370780405,317.247125781,11.019944727,374.842162162,10.6193762446,801.085795846,-20.7463,20.299,1.35634,20.3060445918,20.3167,361.09957049
154.221365616,48.6502,106,52.6922,106,0.440142529523,0.764072,191.910497636,20.3604326374,220.391421776,400.779830091,12.5359980488,434.475098953,7.76916289034,549.57372953,-20.8243,20.3587,0.977436,20.3649603856,20.3768,421.61236223
130.696151833,48.8544,107,52.8438,107,0.457524118225,0.812795,201.212960717,20.5550889372,240.493263466,394.628681613,33.9081076094,643.453489084,72.0824019869,461.453490872,-21.0366,20.5537,1.1628,20.5601215088,20.57,453.036987891
125.42362665,49.144,108,53.0369,108,0.487745330532,0.793291,186.345908384,20.7697445015,205.597336714,356.951489093,10.0217419056,392.852811753,6.05283442912,467.397300447,-21.2499,20.7668,1.37923,20.7743932989,20.7837,385.724853288
154.733622492,49.4322,109,53.1653,109,0.476511588871,0.817966,237.11239897,20.938640838,184.998030828,405.82428292,10.1041397537,709.085264586,43.2086852999,537.182652617,-21.4167,20.9379,1.296,20.9413281794,20.9546,618.692082714
188.43607723,49.6818,110,53.2901,110,0.46561846307,0.786599,198.284631975,21.1298343613,298.580421627,378.484101863,9.77836223461,644.106901616,63.6744825549,564.996576901,-21.5886,21.1263,1.23121,21.1328057121,21.1406,427.383512097
118.441426571,49.9072,111,53.378,111,0.46595434271,0.82002,232.425648563,21.3028987256,237.75457489,394.649071993,12.328763829,732.977254118,124.555935335,408.451400622,-21.7709,21.3013,1.24733,21.3062677891,21.3159,633.481358142
197.253687505,50.1541,112,53.5307,112,0.472629281682,0.804858,238.662897937,21.4539334547,221.508243383,428.616116017,16.4595439879,934.897123663,77.3872064415,738.86182998,-21.9082,21.4511,1.39162,21.4575019764,21.4655,700.278899865
279.219382752,50.3785,113,53.6952,113,0.492427988637,0.774161,171.547678534,21.5432764338,261.098303285,150.947767085,34.3777858053,383.228091565,51.7050409734,978.212976691,-22.0076,21.5415,1.54252,21.5462533359,21.558,345.894252641
186.553407416,50.6539,114,53.8077,114,0.489138328101,0.793137,206.473812027,21.721801552,282.554518186,380.112687642,9.13038040116,671.18652944,106.747431299,643.385424837,-22.1971,21.7185,1.44756,21.7250136648,21.7338,481.331386003
145.848849262,50.911,115,53.9931,115,0.508023067479,0.80985,186.707848855,21.8079472534,202.50777568,366.658335667,10.0160613772,470.538839096,20.7963597301,455.455499564,-22.307,21.8063,1.52103,21.8126952321,21.8239,386.82118785
193.051614194,51.1423,116,54.1721,116,0.453840193254,0.820683,238.855734111,21.9915018033,254.600340161,446.649348646,61.6102623644,1297.27047172,127.9453707,619.30368072,-22.4832,21.9891,1.08683,21.9947128189,22.0047,757.023659188
197.408768811,51.3955,117,54.3951,117,0.486229285379,0.841651,227.560247781,22.111609663,229.677234324,451.220112289,5.42925694938,1348.25128718,214.966534131,530.275271074,-22.6111,22.1095,1.32592,22.1142374828,22.1244,677.52006474
228.773344174,51.6237,118,54.5302,118,0.485137660915,0.8107,229.242956602,22.3809627551,393.138275738,448.874119173,85.3297756857,761.675784622,97.530082654,852.751505265,-22.853,22.3787,1.26586,22.3854681591,22.3947,635.873475091
203.834008395,51.8192,119,54.6944,119,0.48853775319,0.783464,186.484659862,22.4081787567,225.312656544,328.125197127,14.781687714,691.964035896,67.906224581,574.94151285,-22.8706,22.4064,1.37493,22.4121096461,22.4197,394.224412595
228.721806276,52.0923,120,54.8593,120,0.506305506104,0.813285,176.51397461,22.5029918126,253.603925639,180.539171099,27.5190558119,1048.22471298,154.886398992,729.601095353,-22.9934,22.5005,1.51146,22.5073870879,22.5194,425.94065167
169.228827565,52.3151,121,54.9926,121,0.480525295009,0.881734,223.79111348,22.6866541262,355.146142806,388.760246201,104.875643417,1623.24118849,296.887494061,581.666386361,-23.1747,22.6853,1.33489,22.6905978343,22.7015,738.226393681
189.836417931,52.4711,122,55.1454,122,0.49932885745,0.829863,226.380911858,22.7982647507,341.240719628,293.272864026,71.7243919932,2748.75106359,541.623890556,631.825012814,-23.2861,22.7951,1.36294,22.8031300277,22.8124,1240.53437361
240.640199554,52.6927,123,55.2763,123,0.484816188528,0.800558,117.24918235,23.0473363675,207.596927875,111.695295815,12.9277539405,323.37658144,48.2290083415,646.306364156,-23.5056,23.0451,1.36567,23.0512278229,23.0616,184.70477756
