AverageY,Iteration,Epoch,AverageQLoss,AverageAction,PolicyRegParamNorm,MaxEsReturn,AverageQ,MinEsReturn,AveragePolicySurr,AverageAbsY,StdReturn,MaxReturn,StdEsReturn,AverageAbsQ,MinReturn,AverageReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm
15.2662577952,40,40,1.24455,0.807501,26.9361,1237.16190419,15.2606,1237.16190419,-16.1252,15.2812776117,347.772680793,1943.16917221,0.0,15.2705,683.464001598,1710.73856164,0.72657915203,146.54298898,1237.16190419,29.3269
16.2639580487,41,41,1.45628,0.708051,27.2078,205.125569253,16.2564,205.125569253,-17.1533,16.2727523565,630.340365405,2062.44713226,0.0,16.2611,379.647937326,1071.07263888,0.739068733431,111.237512575,205.125569253,29.7122
17.0801068317,42,42,1.71143,0.863883,27.5031,891.23320218,17.0728,891.23320218,-18.029,17.0858193032,278.932820531,2186.54888541,0.0,17.0763,1155.89032411,1981.90985169,0.772850467398,182.102094937,891.23320218,30.1866
17.818141791,43,43,1.80077,0.867838,27.7913,473.049790013,17.8104,473.049790013,-18.8047,17.8220824301,85.1247267668,2242.73163315,0.0,17.8117,1936.3520623,2170.25333392,0.787250474221,179.792173274,473.049790013,30.6424
18.7767521529,44,44,1.4674,0.839284,28.1556,366.790324453,18.7689,366.790324453,-19.7606,18.778644324,257.230089592,2272.24929791,0.0,18.7696,1382.55494483,2041.15790623,0.775446799708,186.627953621,366.790324453,31.0548
20.2339530544,45,45,1.88159,0.785785,28.4783,1286.64641308,20.2262,1286.64641308,-21.2295,20.235897536,607.171045262,2156.30691492,0.0,20.2267,548.96570545,1234.17000335,0.825549545875,155.711697072,1286.64641308,31.4479
21.5395442447,46,46,2.21181,0.805569,28.8112,1173.50316778,21.5314,1173.50316778,-22.553,21.5405086899,677.031167182,2268.71663441,0.0,21.5315,651.560506226,1679.35987159,0.85303207809,187.318781713,1173.50316778,31.8928
22.6281634476,47,47,1.9806,0.880614,29.0688,825.297482576,22.6195,825.297482576,-23.6681,22.6291884826,46.6130303931,2577.95627878,0.0,22.6195,2441.73484314,2515.33854651,0.856984558745,216.94877136,825.297482576,32.2997
23.9105366702,48,48,1.98952,0.873018,29.3389,1501.4767255,23.9021,1501.4767255,-24.9851,23.9108924946,19.0258797093,2221.95263051,0.0,23.9021,2156.66923449,2196.24661384,0.864240374096,194.616798347,1501.4767255,32.6653
24.8358062369,49,49,2.32766,0.858673,29.7042,517.64839165,24.8284,517.64839165,-25.9593,24.8364100385,96.2405175682,2230.40421513,0.0,24.8284,1933.18895723,2105.63585413,0.899031944082,183.957985083,517.64839165,33.079
25.6302670316,50,50,1.95598,0.829856,29.9717,514.795291748,25.6202,514.795291748,-26.7407,25.6307775277,40.9136215462,2338.19887579,0.0,25.6202,2202.58120205,2251.92711733,0.876755634387,194.297417222,514.795291748,33.4512
27.4820071059,51,51,2.36319,0.851963,30.2852,1533.66327381,27.4732,1533.66327381,-28.6393,27.4826609675,56.4784570008,2441.8613671,0.0,27.4732,2261.24989436,2362.8796796,0.916414202134,210.320327562,1533.66327381,33.7926
29.0077183929,52,52,3.20583,0.857474,30.5825,1588.61979637,28.9973,1588.61979637,-30.176,29.0083575026,63.5473041532,2456.98349042,0.0,28.9973,2247.8898126,2336.32940573,0.959527894629,196.896971944,1588.61979637,34.2423
30.5946270372,53,53,2.1399,0.883236,30.928,1022.90844436,30.5858,1022.90844436,-31.7937,30.595040843,53.7647345484,2559.21055166,0.0,30.5858,2398.99940642,2473.87206748,0.92325150019,210.895270253,1022.90844436,34.5404
32.2686009265,54,54,2.55871,0.855603,31.2453,1609.36530515,32.2613,1609.36530515,-33.5064,32.269104711,537.667532006,2774.09206527,0.0,32.2613,1291.02688115,2462.9461584,0.953094199374,235.938077952,1609.36530515,34.8805
33.5979905758,55,55,3.02622,0.882184,31.5116,807.924711871,33.5879,807.924711871,-34.8325,33.5982729476,33.0527628875,2422.02505938,0.0,33.5879,2319.92130006,2367.08262292,0.973372222401,208.279461357,807.924711871,35.2037
34.8600662193,56,56,3.70964,0.855767,31.83,1784.46655888,34.85,1784.46655888,-36.1473,34.8605095294,512.617944327,2444.01421596,0.0,34.85,944.102516552,2118.97128601,1.00521372832,206.77482327,1784.46655888,35.4753
37.205797012,57,57,2.9572,0.89144,32.1099,1851.30730503,37.1928,1851.30730503,-38.5014,37.2060254986,48.8467345937,2596.66056873,0.0,37.1928,2455.21004235,2523.80023825,1.00302879517,217.385720287,1851.30730503,35.8489
38.9163790093,58,58,3.95576,0.849481,32.474,1705.14657751,38.906,1705.14657751,-40.2604,38.9168784145,698.782601262,2857.27226622,0.0,38.906,927.677036815,2322.88446489,1.04401072226,226.503238465,1705.14657751,36.1782
