AveragePolicySurr,StdReturn,Iteration,MaxReturn,AverageY,MaxEsReturn,AverageAction,AverageAbsY,Epoch,PolicyRegParamNorm,MinEsReturn,AverageReturn,AverageEsReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageAbsQ,AverageQ,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss
-4.03205,52.1778556097,58,434.0,3.67439867864,54.0,0.300267,3.6749457514,58,33.1427,2.0,325.290322581,12.2098765432,95.6456481711,216.0,11.1894086268,3.68152,3.67452,41.7671,0.0988746286531,0.0694731
-4.10202,65.3988953286,59,466.0,3.72852739325,60.0,0.330383,3.72914841201,59,33.3266,3.0,286.314285714,13.6438356164,93.1606580568,172.0,11.4871814956,3.73486,3.72812,42.298,0.102531181383,0.0736113
-4.1814,0.0,60,1000.0,3.81063820098,47.0,0.325073,3.81165259745,60,33.4932,3.0,1000.0,11.2111111111,99.9956828753,1000.0,8.61844848688,3.81785,3.81038,42.5694,0.10064336025,0.0753151
-4.27081,0.0,61,1000.0,3.87374495315,57.0,0.094597,3.87518596219,61,33.6421,3.0,1000.0,11.7294117647,99.9956828753,1000.0,8.94083590683,3.88212,3.87347,42.9757,0.107340777218,0.0811026
-4.32184,244.735231083,62,1000.0,3.93125022203,49.0,0.0967944,3.93222665722,62,33.8545,3.0,683.0,13.1052631579,99.3803844535,392.0,9.67576863174,3.94034,3.93118,43.3881,0.109870275684,0.088375
-4.40108,35.6726777917,63,289.0,3.99540703882,54.0,0.0902649,3.99641866138,63,33.8542,3.0,192.807692308,13.527027027,84.8455910498,175.0,11.2204241537,4.0035,3.99554,43.6855,0.106701461354,0.0778908
-4.46142,42.9104682367,64,284.0,4.05999027132,78.0,0.116688,4.06094868073,64,34.1431,3.0,216.574468085,16.5409836066,87.6114597295,172.0,16.0323175365,4.06791,4.05926,44.0462,0.11302665382,0.0942345
-4.53546,0.83107242847,65,82.0,4.12747171021,60.0,0.183281,4.12891224048,65,34.3661,3.0,78.9527559055,16.5666666667,54.7725909112,77.0,13.1216953512,4.13721,4.12708,44.4336,0.120456387603,0.0964419
-4.60565,44.5621694606,66,205.0,4.17706773919,73.0,0.136921,4.17890136573,66,34.5199,3.0,140.957746479,13.6712328767,73.1852541325,83.0,13.6943692003,4.18798,4.17701,44.8578,0.123822364441,0.103899
-4.69955,34.6626938603,67,159.0,4.28051281843,68.0,0.0748596,4.28266728895,67,34.6,3.0,138.410958904,16.3833333333,73.2760477602,67.0,14.0012995429,4.28867,4.27989,45.2541,0.114052799726,0.0897191
-4.77256,2.85100752194,68,98.0,4.34201258002,68.0,0.300792,4.34399086799,68,34.8,3.0,79.6031746032,15.0441176471,55.0511716157,77.0,12.7457418766,4.35269,4.34207,45.6303,0.122010737996,0.106838
-4.85144,22.1784932139,69,138.0,4.40644441046,53.0,0.266814,4.40887048123,69,35.0939,3.0,90.6486486486,15.1363636364,58.8572565284,68.0,12.2818989298,4.4182,4.40575,45.9916,0.130800186043,0.109482
-4.93966,1.64282953738,70,86.0,4.48820523482,67.0,0.173428,4.49069886096,70,35.3876,3.0,83.3666666667,12.6794871795,56.7305533247,72.0,10.8574606156,4.49968,4.48806,46.4044,0.127529336359,0.118672
-5.01856,1.22235223796,71,69.0,4.56602064537,78.0,0.10184,4.56896901198,71,35.5083,3.0,66.5298013245,13.25,48.7559817183,63.0,11.4949931893,4.57839,4.56582,46.7745,0.13440294903,0.122721
-5.0974,14.1080918754,72,148.0,4.6442609755,55.0,0.311239,4.64680907924,72,35.7814,3.0,124.543209877,13.602739726,71.0805832197,83.0,11.6451409421,4.65417,4.64377,47.0504,0.129006083467,0.116803
-5.18017,22.6190036315,73,153.0,4.70487439835,41.0,0.214958,4.70803296649,73,36.0151,3.0,102.183673469,13.1948051948,63.3247328346,81.0,8.90503864527,4.71723,4.70455,47.5118,0.133772468556,0.129772
-5.2532,12.8560837306,74,191.0,4.77452161521,73.0,0.135732,4.77875017223,74,36.3064,3.0,167.233333333,13.7605633803,81.2132690986,134.0,12.4634279515,4.78736,4.77443,47.876,0.137110959808,0.131798
-5.35298,2.01592117866,75,133.0,4.86280144745,60.0,0.250448,4.86479329634,75,36.5282,3.0,129.012820513,12.582278481,72.6489873734,124.0,10.6493092365,4.8749,4.86258,48.1703,0.142580573514,0.137287
-5.43804,37.9436807399,76,499.0,4.9456136295,42.0,0.142569,4.94809579988,76,36.7108,3.0,371.407407407,10.5102040816,97.4263201459,277.0,8.58718183079,4.95691,4.94471,48.5463,0.138556760585,0.138732
-5.52997,33.2999472723,77,248.0,5.02484693177,68.0,0.184418,5.02776101764,77,36.8124,2.0,185.759259259,13.8333333333,83.632582253,126.0,12.7801930085,5.03895,5.02498,48.8928,0.154311719704,0.161161
-5.61994,18.8304789901,78,191.0,5.11542053998,70.0,0.138292,5.11845416614,78,37.08,3.0,164.262295082,15.9206349206,80.448501259,127.0,15.0188258448,5.12977,5.11518,49.3139,0.161124921803,0.168802
-5.71285,78.9091774385,79,568.0,5.18440729475,60.0,0.332438,5.18812788857,79,37.217,3.0,396.269230769,11.7831325301,97.5402597638,299.0,11.1150047209,5.19888,5.18385,49.6145,0.15063100709,0.154786
-5.80778,66.4661769277,80,535.0,5.27987397224,63.0,0.163411,5.28338151487,80,37.3966,3.0,347.620689655,15.3333333333,96.2849300468,221.0,15.4550504968,5.29228,5.27887,49.9756,0.151715491173,0.162079
-5.88038,3.9321404343,81,235.0,5.3743954325,52.0,0.1323,5.37726446023,81,37.5028,3.0,225.222222222,15.15625,89.5939132437,216.0,12.0470675244,5.38876,5.3743,50.2227,0.16092982083,0.178518
-5.9641,5.06637043832,82,153.0,5.42336130226,73.0,0.137066,5.42772035603,82,37.6986,3.0,133.328947368,14.4225352113,73.782314489,124.0,13.8397895163,5.43619,5.42295,50.6951,0.149206665944,0.165575
-6.05261,14.7615382369,83,164.0,5.50356574082,78.0,0.318906,5.50692379598,83,37.975,3.0,45.1261261261,14.2112676056,35.9326672236,38.0,13.3521275331,5.51816,5.50314,51.0167,0.161741719096,0.192338
-6.12575,30.4907021428,84,148.0,5.57231596863,76.0,0.191541,5.57625534811,84,38.1077,3.0,115.172413793,13.36,66.7899473559,42.0,14.1106484614,5.58836,5.57233,51.2729,0.156028705742,0.176142
-6.22606,0.432482700165,85,37.0,5.66125209184,60.0,0.243373,5.66416243866,85,38.2277,3.0,36.7509157509,13.8955223881,30.8816258496,36.0,11.9265592596,5.67405,5.66043,51.5792,0.162249129598,0.180543
-6.3188,2.02596482805,86,38.0,5.75129937682,77.0,0.254645,5.75568497654,86,38.3615,3.0,34.3780068729,12.8674698795,29.1993072762,29.0,12.5407971195,5.7689,5.75098,51.9336,0.175473917079,0.215491
-6.39338,3.04496816778,87,42.0,5.84611616271,53.0,0.277334,5.85120263688,87,38.6073,3.0,37.4104477612,14.776119403,31.3064179029,31.0,12.7183272339,5.863,5.84556,52.2567,0.169235790844,0.201517
-6.49392,34.6012648374,88,141.0,5.89942015939,46.0,0.27095,5.90419541742,88,38.7126,3.0,96.0095238095,15.4090909091,59.4229463557,33.0,11.417659465,5.9165,5.89956,52.46,0.168020112909,0.200584
-6.60069,63.7779512568,89,427.0,5.99849249543,96.0,0.302813,6.00301904736,89,38.8264,3.0,198.019607843,12.9868421053,83.8368421451,124.0,14.5371515173,6.01336,5.99735,52.7262,0.178207564849,0.213685
-6.71019,207.749381601,90,977.0,6.08669534213,74.0,0.217117,6.08953904455,90,38.9206,3.0,341.833333333,20.2244897959,90.9718827174,130.0,17.1883507135,6.10402,6.08565,52.9086,0.192717965549,0.24363
-6.77704,0.0,91,1000.0,6.16046083373,96.0,0.162291,6.16321060543,91,39.0654,3.0,1000.0,13.2297297297,99.9956828753,1000.0,14.2141415093,6.17646,6.16032,53.2025,0.188498321408,0.250143
-6.88865,0.0,92,1000.0,6.26947488921,92.0,0.134014,6.27201832219,92,39.2347,3.0,1000.0,15.1230769231,99.9956828753,1000.0,16.6848689558,6.28662,6.26915,53.4666,0.188640721329,0.245767
-6.99413,0.0,93,1000.0,6.35795802655,62.0,0.0282597,6.35974297007,93,39.4054,3.0,1000.0,13.6447368421,99.9956828753,1000.0,12.1240343591,6.37272,6.35739,53.6219,0.182109371287,0.237411
-7.08754,0.0,94,1000.0,6.447838924,61.0,0.390944,6.45024029296,94,39.5981,3.0,1000.0,12.425,99.9956828753,1000.0,12.4013860112,6.46632,6.44733,53.9459,0.199729484545,0.269824
-7.17978,0.0,95,1000.0,6.51082032381,89.0,0.249691,6.51339147696,95,39.7161,3.0,1000.0,14.7058823529,99.9956828753,1000.0,15.7527390928,6.52878,6.51059,54.2814,0.189388187885,0.253599
-7.2605,0.0,96,1000.0,6.58847686759,77.0,0.409368,6.59155626971,96,39.8901,3.0,1000.0,16.1587301587,99.9956828753,1000.0,16.8496680286,6.6064,6.58777,54.6971,0.198320108495,0.279437
