AverageY,PolicyRegParamNorm,AverageAbsY,MaxReturn,AverageQ,AveragePolicySurr,AverageQLoss,Iteration,AverageEsReturn,MaxEsReturn,AverageAbsQ,StdReturn,Epoch,AverageAction,AverageAbsQYDiff,StdEsReturn,AverageReturn,QFunRegParamNorm,AverageDiscountedReturn,MinReturn,MinEsReturn
2.42406279304,36.4962,2.42413583197,866.702209566,2.4233,-2.51193,0.0149023,56,533.597372684,533.597372684,2.4233,248.887744819,56,0.928549,0.0751112659941,0.0,564.171866406,27.9203,59.7628928542,228.048686993,533.597372684
2.50915978545,36.7926,2.50920338405,941.093876941,2.50839,-2.59831,0.014339,57,735.669472821,735.669472821,2.50839,227.602289806,57,0.932133,0.0756575184643,0.0,686.439564284,28.1756,52.5738800167,152.880457051,735.669472821
2.59039868002,37.0974,2.59047220073,1107.4170866,2.58968,-2.68246,0.017755,58,657.209776067,657.209776067,2.58968,151.838106362,58,0.92111,0.0785741023048,0.0,957.140893712,28.443,67.0466671131,691.543005966,657.209776067
2.67490560678,37.3575,2.67495614812,807.928367988,2.67413,-2.76546,0.0172061,59,620.30066006,620.30066006,2.67413,238.273710681,59,0.924591,0.0787462697543,0.0,617.226697515,28.7045,42.5741208985,-67.0575838933,620.30066006
2.76103984129,37.6466,2.76110648512,956.285330242,2.76028,-2.85296,0.0182903,60,703.419533735,703.419533735,2.76028,595.867947949,60,0.919133,0.0798937900097,0.0,528.90592009,28.9769,52.9876933196,-978.799606663,703.419533735
2.8459675683,37.9309,2.84602412704,1040.14091644,2.84504,-2.94072,0.0198483,61,633.86827561,633.86827561,2.84504,72.9374131754,61,0.918655,0.0817935732851,0.0,958.847167588,29.2433,67.7365433849,764.243527825,633.86827561
2.93519131185,38.2456,2.93524809064,830.922837101,2.93435,-3.03019,0.017706,62,590.664598551,590.664598551,2.93435,55.7246864031,62,0.922962,0.0800113138027,0.0,749.060650979,29.539,63.7354295443,627.910086771,590.664598551
3.01906961953,38.5933,3.01915412625,548.854780845,3.0182,-3.11628,0.0200595,63,663.919950611,663.919950611,3.0182,74.6106518156,63,0.925918,0.0825476450898,0.0,454.044362169,29.8701,39.5312537903,334.913081501,663.919950611
3.11417492952,38.9732,3.1142651966,800.85981068,3.11337,-3.20905,0.0214168,64,658.113885231,658.113885231,3.11337,127.356351794,64,0.92703,0.0849921929306,0.0,651.38092582,30.1079,58.8678852999,401.057929196,658.113885231
3.1997294048,39.2471,3.19979190451,935.719165607,3.19895,-3.29418,0.0230035,65,693.053796267,693.053796267,3.19895,58.858867053,65,0.940194,0.0869486051562,0.0,881.916197668,30.3608,65.6057717633,717.560480706,693.053796267
3.28647155105,39.5454,3.2865210259,1081.14834401,3.28552,-3.38344,0.0224188,66,667.32128441,667.32128441,3.28552,179.906484263,66,0.918507,0.0868985081745,0.0,926.090435431,30.6019,79.3986478392,403.791585598,667.32128441
3.37455753747,39.8743,3.3746369894,764.123418836,3.37375,-3.47233,0.0241995,67,523.459852495,523.459852495,3.37375,61.9376655793,67,0.933073,0.0882039160491,0.0,686.958294866,30.9276,57.8125331827,530.030540474,523.459852495
3.46704727454,40.1248,3.46707970315,733.230524535,3.46625,-3.56399,0.024687,68,689.343906422,689.343906422,3.46625,236.793436035,68,0.956805,0.088880667751,0.0,551.357158432,31.2014,51.9676225372,-140.186214336,689.343906422
3.55132445277,40.4169,3.55143812377,822.830122617,3.55029,-3.64958,0.0317468,69,627.378509162,627.378509162,3.55029,85.9031171375,69,0.938007,0.0962706482238,0.0,704.431359105,31.4758,54.4609534381,585.636303557,627.378509162
3.63752037965,40.7616,3.63758352194,1071.42056314,3.63648,-3.73795,0.0264549,70,-20.591797543,-20.591797543,3.63648,158.077633035,70,0.943551,0.0939488774976,0.0,777.340190541,31.793,67.9879962661,571.922690303,-20.591797543
3.72314448189,41.0308,3.7232041244,777.637077879,3.72236,-3.82381,0.0297384,71,591.859875289,591.859875289,3.72236,167.630534823,71,0.943153,0.0949841343735,0.0,614.28786505,32.0127,58.943308362,275.816619615,591.859875289
