AverageDiscountedReturn,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAbsY,AverageY,PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,StdReturn,MaxReturn,AverageReturn,AverageAbsQ,Epoch,AverageQ,AverageEsReturn,AverageAction,MaxEsReturn,Iteration
112.374802366,2.92868,53.7544706613,0.769960106919,33.529779524,33.5230138293,30.2853,34.4584,170.291445409,-35.3141,21.9644987742,1.42695202822,177.792999837,173.973189562,33.5427,32,33.5188,136.123911787,0.794862,195.379949163,32
113.716075482,2.90965,32.7910143916,0.792296278053,35.1668192563,35.1613773748,30.8661,35.2005,175.041509464,-36.9696,91.3859724961,1.42986797253,181.531539203,177.559809165,35.1813,33,35.1582,170.884104212,0.719205,213.110879325,33
116.099433269,3.26212,45.3997747226,0.813980167948,36.7593063494,36.7532515043,31.3706,35.9651,181.317275729,-38.5598,68.1642137978,1.17622270006,186.208249213,183.670637716,36.7732,34,36.7484,150.681152148,0.689117,190.179113915,34
115.145505241,3.4089,51.7243574796,0.84703324201,38.2900129144,38.2838563388,31.8476,36.7185,177.131209755,-40.1265,44.5071071053,1.15225565907,184.11873797,181.641737986,38.3072,35,38.2815,142.200630407,0.709408,194.000353041,35
114.937763394,3.56663,40.0005660586,0.859823084434,39.8554469009,39.837994242,32.2715,37.4447,173.776928631,-41.6924,41.0947798115,3.2433701795,188.620230266,180.834554323,39.8723,36,39.8336,167.022848752,0.612734,191.590666455,36
117.260224208,3.71045,51.9724780262,0.882201643213,41.376606577,41.3562193383,32.5677,38.1814,182.363069332,-43.2084,33.8708482045,1.75315198709,189.429836898,186.567302307,41.3932,37,41.3522,157.081932163,0.702008,208.212410287,37
118.023943124,4.34081,59.3688632515,0.928559437468,42.8580054177,42.8437463297,32.9055,38.8921,184.614639145,-44.7414,8.49782092635,1.42057561111,191.020672984,188.636300485,42.8755,38,42.8411,123.446660521,0.677511,193.907361101,38
129.09283311,4.76008,55.2839727941,0.975884911813,44.4468372454,44.4351304978,33.128,39.5809,212.939578908,-46.4289,62.5660854372,2.62041118575,225.291284523,217.96410732,44.4686,39,44.4292,150.226194822,0.666487,253.682438085,39
129.961182343,5.04548,22.0182528256,1.00744632721,46.1732529204,46.1580024419,33.4487,40.3374,212.175941336,-48.1997,172.769153575,3.33929703898,226.909450031,220.458154213,46.1954,40,46.1548,215.254589806,0.647012,261.815455932,40
125.632136836,4.88631,56.6764942369,0.998358609027,47.9380853812,47.9217809514,33.7431,40.9817,204.931880918,-49.9892,52.2158792929,3.00370316499,218.890628255,210.826897203,47.9556,41,47.9156,167.074779931,0.653297,222.679417211,41
127.83279967,6.26924,79.1382663479,1.05467591842,49.4866489859,49.464464831,34.0745,41.7176,207.177007524,-51.4799,9.37479135539,3.09953189701,221.490310408,214.574491511,49.5092,42,49.4601,152.700998062,0.741355,225.884344592,42
126.369293614,5.92737,49.6258230999,1.06350461977,51.1360348312,51.1172352284,34.3216,42.406,204.300650171,-53.2,62.7447070505,2.84485613608,217.201431543,211.072984312,51.16,43,51.1142,158.630041852,0.725674,215.414912229,43
124.648128443,6.15037,54.9034041484,1.08171814376,52.6794966622,52.6622079134,34.6384,42.9833,200.486919199,-54.7355,32.2044267065,2.25899041132,210.123957445,205.256998528,52.7056,44,52.6572,163.992849224,0.738696,216.896501753,44
121.03803721,6.59996,57.2085080779,1.10602351935,54.3866956799,54.3732260256,34.9488,43.5534,185.973864649,-56.4664,37.4503642655,7.26180064201,218.681244942,198.258224965,54.4129,45,54.3692,151.828522771,0.645682,203.611499423,45
