Epoch,AverageReturn,AverageAbsQ,StdReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,MinEsReturn,AverageAbsY,AverageQLoss,AverageAction,AverageQ,AverageDiscountedReturn,MaxReturn,AverageY,AverageEsReturn,QFunRegParamNorm,MinReturn,AveragePolicySurr,MaxEsReturn,StdEsReturn
23,355.3763106,0.989206,110.2424152,0.0642342522876,18.3232,23,-6.21893822174,0.991735416778,0.0121808,0.857895,0.934041,113.36904784,834.535695318,0.934453278354,130.38671134,14.8194,37.8801737508,-1.20587,337.698726701,144.140681562
24,246.185620353,1.0939,302.771432354,0.0670535728427,18.8663,24,-30.320241173,1.09664451437,0.0128317,0.725114,1.03436,45.4378756117,829.327572728,1.03483718837,196.287363135,15.2701,-8.28334544197,-1.30198,361.932085416,146.146391112
25,70.2492015625,1.19625,120.785186306,0.0679123774577,19.421,25,-57.2859625711,1.19890888428,0.0134742,0.797549,1.13821,33.5457142676,483.257856274,1.1386667461,67.3662093059,15.7299,-13.8904368971,-1.42381,405.016487119,156.844861434
26,48.1741486987,1.28528,88.4392654447,0.0706345567003,19.8221,26,-32.7455741676,1.28761568436,0.0141118,0.831749,1.22573,31.4267068674,447.580546485,1.22614956688,38.2135216518,16.1331,2.00079722114,-1.49659,324.980294677,118.654258765
27,276.476908087,1.38057,173.570726559,0.0784750421399,20.3008,27,26.3269496827,1.38300238124,0.0198867,0.758621,1.31692,80.2382798222,713.742261105,1.31753278598,199.569340432,16.5706,58.3712813007,-1.59049,457.912871265,176.042830888
28,502.267426241,1.48297,293.905468836,0.079941342021,20.6751,28,-10.2831361298,1.48514880143,0.0196815,0.722892,1.42027,95.4896850143,1202.89053115,1.42069715939,45.7482702688,17.0388,67.7324947692,-1.70004,291.341502719,100.579814747
29,510.352595272,1.57275,201.446743687,0.082253775613,21.2022,29,-35.121627972,1.57496934037,0.0211408,0.727242,1.50676,97.351817577,977.765130246,1.5073464204,97.4671295414,17.5212,94.1296468998,-1.78041,525.792991356,193.279614456
30,360.955880579,1.65141,268.183163812,0.0894691644255,21.5457,30,29.1781312349,1.65454821556,0.0267218,0.807094,1.58095,92.2266357625,1069.18834777,1.58172917251,105.681143373,17.9986,50.450343062,-1.84942,244.87973345,89.0763541296
31,356.57439847,1.74688,122.567429708,0.0930219057876,21.9036,31,83.4875503488,1.74954207203,0.0271212,0.845859,1.66996,108.086033925,567.127435476,1.67064145693,216.514855991,18.5154,40.4251717074,-1.94294,453.973238829,168.313791781
32,140.741722019,1.83577,194.805118979,0.0984940430419,22.3533,32,35.2031257885,1.83842031706,0.0305517,0.812453,1.76047,60.701909075,740.446473246,1.76113528255,260.598121722,19.0201,43.3338311228,-2.0406,484.178553476,170.576242455
