MaxEsReturn,AverageAbsQ,AverageReturn,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,AverageY,AverageEsReturn,MaxReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageQ,AveragePolicySurr,Iteration,MinEsReturn,AverageAction,AverageAbsY,AverageDiscountedReturn,MinReturn
50.0,26.8432,53.3882978723,0.927213573074,8.87641335924,62.3476,3.99784,26.8010173483,13.4794520548,91.0,36.6936,42,10.8578733368,26.8048,-30.5009,42,3.0,0.653822,26.8015875001,41.302814291,43.0
65.0,27.8276,49.0833333333,0.967825132492,6.83043338753,63.4965,4.24987,27.7815758568,20.612244898,90.0,36.8526,43,14.6702758297,27.7854,-31.6329,43,2.0,0.608341,27.782842297,38.801439668,39.0
73.0,28.7576,39.2666666667,0.981856612444,1.25848752464,64.5975,4.63487,28.714986213,22.3409090909,46.0,37.0611,44,15.3296254799,28.717,-32.6124,44,3.0,0.601943,28.7162941125,32.6025582554,34.0
49.0,29.6046,39.0859375,1.01960339148,1.55386284662,65.7434,5.02024,29.5539257745,16.3709677419,43.0,37.1673,45,9.96321277204,29.5568,-33.4807,45,4.0,0.630911,29.555087389,32.4772020431,36.0
67.0,30.5127,38.7374517375,1.06376897984,0.791232648981,66.9208,5.21241,30.4565995634,23.6666666667,41.0,37.2866,46,15.8319548272,30.4597,-34.509,46,3.0,0.71301,30.4575269744,32.2464144356,37.0
51.0,31.5098,36.3623188406,1.07360711623,0.54429889734,68.0412,5.46798,31.4556339645,19.3921568627,38.0,37.4738,47,12.5058079548,31.4573,-35.5515,47,3.0,0.696729,31.4568457023,30.6107726894,34.0
49.0,32.3548,34.9407665505,1.11500146577,0.507755295664,68.9471,5.99227,32.2907100541,16.4516129032,36.0,37.6809,48,12.6308345437,32.2961,-36.4531,48,3.0,0.64823,32.2927998041,29.6124240007,34.0
49.0,33.2182,34.156996587,1.11631019722,0.363797551794,69.8789,6.26071,33.1571451924,14.7794117647,35.0,37.7977,49,13.0956274564,33.1592,-37.5802,49,3.0,0.11731,33.1595174447,29.0562317044,34.0
43.0,34.1215,38.7906976744,1.1443014867,1.55356264038,71.0211,6.4316,34.051792477,15.1692307692,42.0,37.9447,50,10.9341655526,34.0556,-38.6428,50,3.0,0.596912,34.0552967506,32.2765329109,36.0
60.0,34.9724,35.7214285714,1.15908838265,1.49555463741,71.9251,6.68953,34.8997473079,17.1403508772,37.0,38.0521,51,14.558338295,34.9011,-39.3905,51,3.0,0.480622,34.9048679743,30.1554799423,32.0
49.0,35.7649,36.8933823529,1.20249346922,0.799604884586,72.8454,7.49565,35.6882045657,18.8,38.0,38.239,52,14.1952616934,35.6918,-40.2489,52,3.0,0.608455,35.6954810811,30.9789194,30.0
56.0,36.5995,39.3568627451,1.20644887443,1.02234925577,74.0046,7.68437,36.514971658,20.0625,44.0,38.4096,53,15.3248249718,36.5187,-41.0422,53,3.0,0.654492,36.5236704438,32.6654706804,38.0
113.0,37.2137,318.875,1.23860452304,415.429051554,74.8611,7.94937,37.1250164116,27.5945945946,1000.0,38.5078,54,24.3371137549,37.1298,-41.6696,54,3.0,0.546597,37.1350081771,54.6071284513,31.0
65.0,37.8075,378.214285714,1.22927965053,463.465467749,75.7704,7.96713,37.7208281467,17.4137931034,1000.0,38.5782,55,13.5418056184,37.727,-42.2884,55,4.0,0.391917,37.7306881868,53.7103599698,28.0
95.0,38.4695,912.545454545,1.28955272164,276.555555371,76.7514,8.49967,38.3762394889,18.3333333333,1000.0,38.6459,56,16.0623784042,38.3766,-42.9219,56,3.0,0.476507,38.3884275035,93.7910335683,38.0
110.0,39.2126,1000.0,1.31367378093,0.0,77.6129,9.12078,39.1130663354,23.7804878049,1000.0,38.7653,57,19.7959249257,39.1176,-43.772,57,3.0,0.574556,39.1267932934,99.9956828753,1000.0
141.0,39.9599,1000.0,1.25784115242,0.0,78.4089,8.1588,39.8585181519,21.3265306122,1000.0,38.8432,58,24.0164805278,39.8629,-44.4516,58,4.0,0.566579,39.8724772508,99.9956828753,1000.0
91.0,40.7325,1000.0,1.3344540584,0.0,79.2491,9.01904,40.6385475804,21.1489361702,1000.0,38.8825,59,16.6733048498,40.643,-45.3296,59,3.0,0.601179,40.6503951046,99.9956828753,1000.0
71.0,41.3838,1000.0,1.35939356165,0.0,80.0387,9.6984,41.2872184929,17.3859649123,1000.0,39.0128,60,14.4352813231,41.2889,-46.1066,60,3.0,0.66135,41.2999981928,99.9956828753,1000.0
69.0,42.1189,1000.0,1.39353366747,0.0,80.8223,10.1989,42.0185651853,20.5102040816,1000.0,39.0623,61,16.451688641,42.0227,-46.8319,61,4.0,0.491501,42.032020727,99.9956828753,1000.0
70.0,42.8322,1000.0,1.40725212153,0.0,81.6168,10.0722,42.7264884162,18.2545454545,1000.0,39.2386,62,15.577627526,42.729,-47.6632,62,3.0,0.530874,42.741247218,99.9956828753,1000.0
77.0,43.7284,1000.0,1.41412880778,0.0,82.4325,10.5262,43.6209101381,14.3768115942,1000.0,39.3333,63,12.9033210524,43.621,-48.5911,63,3.0,0.504591,43.63740182,99.9956828753,1000.0
51.0,44.363,1000.0,1.43775443036,0.0,83.2231,10.8327,44.2564896393,13.6567164179,1000.0,39.4823,64,10.0544075711,44.2587,-49.4098,64,3.0,0.823559,44.276556779,99.9956828753,1000.0
115.0,45.2198,358.607142857,1.46201427937,166.666548895,84.0441,10.7906,45.1015558985,18.1355932203,803.0,39.6174,65,21.4218782724,45.1052,-50.193,65,3.0,0.845085,45.1252859792,93.2317457968,120.0
