AverageAction,Iteration,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageY,AverageQ,AverageQLoss,StdReturn,Epoch,AverageReturn,AverageAbsQYDiff,MaxReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsY
0.856067,55,26.546,89.693943126,95.6305168645,2.54910917494,2.5487,0.0837971,1.03272167769,55,93.146669986,0.0792759441444,94.3150065235,43.0784,-2.665,90.9840866109,93.4855046846,2.55985,41.1729646571,1.72987061781,2.55622261363
0.905168,56,27.0543,89.5686061358,95.8907874179,2.73239515714,2.73223,0.118908,0.572970956194,56,93.7046787208,0.0946464717361,94.3896367748,43.4196,-2.85364,91.030795611,92.7130726189,2.7449,45.8600374693,1.7847462832,2.74003029537
0.759755,57,27.3198,88.6615499792,94.2167258987,2.86482373077,2.86483,0.100277,2.39880439639,57,91.0339939933,0.0903904149402,94.6832099592,43.6886,-2.97356,88.3673689511,92.3438489593,2.87848,27.3938793708,1.76320483276,2.87391355708
0.850983,58,27.5383,89.8538186092,99.3085890147,2.958402418,2.9578,0.0643074,0.388421329488,58,93.8655754224,0.0730671297432,94.522273181,44.0101,-3.06715,93.1588134387,93.0909624922,2.97177,44.7399868633,2.62919493982,2.96848154753
0.81793,59,27.7278,90.0652120524,95.1738232064,3.12182823998,3.12184,0.0665137,1.74243850086,59,91.9738660745,0.0789372439939,94.231339163,44.313,-3.21919,87.9371766906,91.9096856703,3.13553,33.5621578818,1.48371233242,3.13171896446
0.826641,60,27.8913,89.6950118169,97.2094821731,3.28277318207,3.28284,0.0461234,1.66190218775,60,91.0171668138,0.0649860234126,92.9217073981,44.6121,-3.37764,84.0668837588,92.2186073521,3.29488,29.2439259791,2.17975718114,3.29313912181
0.801445,61,28.0362,89.0129838088,92.575927208,3.30825330079,3.30825,0.0355085,1.34939150479,61,91.0247076325,0.0663780495457,93.2824107708,44.9618,-3.40091,84.7253718717,91.0674609888,3.31989,28.1461127885,1.27407173543,3.31802008143
0.791391,62,28.16,89.6603812668,96.645932892,3.4412625488,3.4413,0.0506782,2.11124142151,62,92.0734250888,0.0687357843302,94.5580337373,45.3105,-3.51874,83.3180409172,91.9198399159,3.45161,33.177004055,2.21894488326,3.44915968888
0.845966,63,28.3348,91.1594429367,99.880841365,3.55024754335,3.55033,0.0424998,0.290464764077,63,94.0246203127,0.0666311714605,94.5151258887,45.5525,-3.6197,93.4341739245,92.9790904378,3.5588,45.5540859785,2.86601263558,3.55714348784
0.875176,64,28.576,90.7531056466,94.577708491,3.61512860061,3.61511,0.057554,0.148579825157,64,93.9882608655,0.0679080613583,94.1562655921,45.8347,-3.68587,93.6610078695,92.8608169252,3.62228,46.4137488994,1.20775780052,3.62093285244
0.721824,65,28.8488,90.5112232361,96.6445555775,3.62238540353,3.62219,0.0504156,0.445660620542,65,94.4783222418,0.0767336184697,94.989905761,46.1325,-3.68719,93.4107444587,93.0098568921,3.62687,43.3317827159,1.7544002505,3.62660828054
0.803278,66,29.0239,90.4315053081,99.5962954134,3.74509046515,3.7449,0.0508401,0.237739892565,66,94.2756450379,0.0744034539379,94.5901824048,46.4958,-3.81134,93.7166737343,93.5699936887,3.74889,45.4557358592,2.45494123876,3.74813034774
0.843001,67,29.321,88.2218101002,99.9360437718,3.7881863034,3.78789,0.0267704,0.172898942645,67,93.8485331549,0.0646346719819,94.1453647874,46.8508,-3.85335,93.5862053781,93.4181485377,3.79016,44.3029401915,3.00972343383,3.78968614443
0.868048,68,29.6823,89.9186835668,97.9511517449,3.90785113311,3.90764,0.0493585,0.512400715147,68,93.3187037427,0.0781003255111,94.233611625,47.2049,-3.97801,92.688542365,93.9957263635,3.90957,42.0879977932,2.11178575934,3.90869365073
