AverageAbsQ,AveragePolicySurr,AverageReturn,AverageAbsQYDiff,MinReturn,MinEsReturn,AverageDiscountedReturn,Epoch,AverageAction,QFunRegParamNorm,PolicyRegParamNorm,MaxReturn,StdEsReturn,AverageEsReturn,AverageY,AverageAbsY,AverageQ,Iteration,MaxEsReturn,AverageQLoss,StdReturn
42.9216,-47.4095,1000.0,1.12996688533,1000.0,3.0,99.9956828753,64,0.32256,92.3408,37.1828,1000.0,9.76688490852,14.4714285714,42.866040551,42.8750491924,42.8639,64,41.0,8.07728,0.0
43.6698,-48.2094,1000.0,1.15060924467,1000.0,3.0,99.9956828753,65,0.231949,93.3121,37.4957,1000.0,11.8917406131,14.7058823529,43.6013955068,43.6140703062,43.6013,65,52.0,8.33972,0.0
44.4041,-49.0427,1000.0,1.16004730522,1000.0,3.0,99.9956828753,66,0.30029,94.0281,37.7136,1000.0,9.389053253,13.8888888889,44.3391166006,44.3522059647,44.3379,66,51.0,8.54611,0.0
45.2565,-49.9078,1000.0,1.20429551367,1000.0,3.0,99.9956828753,67,0.245477,94.8733,37.9853,1000.0,10.3863037758,14.1571428571,45.1875812824,45.2030250122,45.1845,67,44.0,9.2385,0.0
45.9761,-50.7158,1000.0,1.19218948203,1000.0,3.0,99.9956828753,68,0.30384,95.5486,38.2988,1000.0,9.04138000943,12.156626506,45.9135396557,45.924925678,45.9136,68,47.0,9.35552,0.0
46.8061,-51.5977,1000.0,1.19169869294,1000.0,3.0,99.9956828753,69,0.176246,96.2289,38.5426,1000.0,10.797116866,12.0240963855,46.7429008322,46.7542157455,46.741,69,64.0,9.16383,0.0
47.4693,-52.3818,1000.0,1.22375132005,1000.0,3.0,99.9956828753,70,0.231404,96.9235,38.788,1000.0,11.2130016034,11.1363636364,47.3981928857,47.413161928,47.3975,70,63.0,10.086,0.0
48.2955,-53.3231,1000.0,1.26829591617,1000.0,3.0,99.9956828753,71,0.29411,97.7854,39.043,1000.0,12.7205167084,14.1830985915,48.2209042497,48.2331102,48.218,71,60.0,10.5505,0.0
49.0771,-54.2243,1000.0,1.31224443587,1000.0,3.0,99.9956828753,72,0.212845,98.4922,39.2814,1000.0,8.98584926462,14.2394366197,49.0012546721,49.0183807121,48.9995,72,47.0,10.759,0.0
49.7956,-55.0133,1000.0,1.31896898084,1000.0,3.0,99.9956828753,73,0.146367,99.317,39.4581,1000.0,16.5431764299,14.9846153846,49.726178111,49.7393980957,49.7228,73,103.0,11.148,0.0
50.7758,-55.9273,1000.0,1.30666177936,1000.0,3.0,99.9956828753,74,0.255124,100.103,39.7209,1000.0,9.45177995803,12.961038961,50.7013259648,50.7187660676,50.7004,74,41.0,11.1155,0.0
51.4126,-56.732,1000.0,1.39130516556,1000.0,3.0,99.9956828753,75,0.183607,100.786,39.873,1000.0,11.7885884462,15.1194029851,51.323142812,51.3372010493,51.3202,75,62.0,12.7971,0.0
52.1676,-57.5829,1000.0,1.38046290209,1000.0,3.0,99.9956828753,76,0.274346,101.226,40.2055,1000.0,9.57897491442,11.5697674419,52.0805073355,52.1019288107,52.0792,76,69.0,12.1884,0.0
52.9683,-58.4725,1000.0,1.37770560437,1000.0,3.0,99.9956828753,77,0.210027,101.85,40.4433,1000.0,17.4312459413,16.0806451613,52.887687864,52.9036684513,52.8833,77,86.0,13.0737,0.0
53.8046,-59.2625,1000.0,1.38388753216,1000.0,3.0,99.9956828753,78,0.232273,102.54,40.7202,1000.0,13.7808534655,14.4929577465,53.7222466776,53.7434754924,53.7221,78,95.0,12.6684,0.0
54.6839,-60.2699,1000.0,1.41413848829,1000.0,2.0,99.9956828753,79,0.216304,103.191,40.9013,1000.0,16.0418203456,16.4,54.5894042519,54.6105759367,54.5858,79,87.0,13.146,0.0
55.5536,-61.103,1000.0,1.40105265716,1000.0,3.0,99.9956828753,80,0.197179,103.907,41.1421,1000.0,12.8156552859,14.2428571429,55.4640500054,55.4858309229,55.4656,80,74.0,13.2099,0.0
56.1689,-61.8084,1000.0,1.42466571318,1000.0,3.0,99.9956828753,81,0.242599,104.46,41.3089,1000.0,14.231410278,16.1774193548,56.0688662647,56.0935973855,56.0653,81,62.0,13.6951,0.0
57.1483,-62.9071,1000.0,1.48957823051,1000.0,3.0,99.9956828753,82,0.145074,105.33,41.5912,1000.0,10.8912417109,14.9545454545,57.0547788312,57.0762643786,57.0526,82,58.0,14.6703,0.0
57.9631,-63.8282,1000.0,1.48638111395,1000.0,3.0,99.9956828753,83,0.106629,106.24,41.7514,1000.0,13.9848269426,15.8,57.8677349081,57.8897938736,57.8653,83,72.0,14.6901,0.0
58.76,-64.7625,1000.0,1.53835951532,1000.0,3.0,99.9956828753,84,0.137383,106.709,41.9776,1000.0,12.7575685597,16.6666666667,58.6618284221,58.6864935802,58.6575,84,55.0,16.9072,0.0
59.6325,-65.6948,1000.0,1.52320702838,1000.0,3.0,99.9956828753,85,0.20887,107.539,42.2505,1000.0,9.58916278599,13.0921052632,59.5356238952,59.5546187082,59.5338,85,49.0,15.7056,0.0
60.4588,-66.6183,1000.0,1.60036095299,1000.0,3.0,99.9956828753,86,0.202417,108.498,42.5394,1000.0,10.722007219,12.4320987654,60.355646843,60.3776700777,60.3553,86,71.0,17.4084,0.0
61.3511,-67.6143,1000.0,1.52172740791,1000.0,2.0,99.9956828753,87,0.182778,109.385,42.7329,1000.0,12.9648667583,13.6527777778,61.2635800351,61.2841768011,61.2606,87,73.0,16.5937,0.0
62.2649,-68.591,1000.0,1.61783603443,1000.0,3.0,99.9956828753,88,0.169432,110.217,42.9511,1000.0,14.925565239,14.9848484848,62.1576688544,62.1850271476,62.1572,88,67.0,18.8925,0.0
63.0805,-69.4899,1000.0,1.67125044725,1000.0,3.0,99.9956828753,89,0.215758,110.714,43.1735,1000.0,12.7523853978,17.1,62.9643657899,62.9890644689,62.9606,89,47.0,18.6206,0.0
64.1635,-70.5032,1000.0,1.57982017762,1000.0,3.0,99.9956828753,90,0.12506,111.274,43.3957,1000.0,17.9117823679,15.7301587302,64.0560690036,64.0860772916,64.0524,90,111.0,17.4094,0.0
64.8194,-71.3662,1000.0,1.69458007603,1000.0,3.0,99.9956828753,91,0.145678,112.033,43.6722,1000.0,12.1788549108,13.5810810811,64.7066134377,64.7398608213,64.7035,91,76.0,20.2134,0.0
65.9041,-72.4716,1000.0,1.66735612629,1000.0,3.0,99.9956828753,92,0.197439,112.64,43.9411,1000.0,9.39606359495,13.2368421053,65.8019631647,65.8278018569,65.7993,92,43.0,19.6009,0.0
66.801,-73.5248,1000.0,1.68847117266,1000.0,2.0,99.9956828753,93,0.253771,113.328,44.2059,1000.0,17.4770007597,16.5666666667,66.6848027008,66.7052246304,66.6812,93,88.0,20.0755,0.0
67.6758,-74.4027,1000.0,1.78623944616,1000.0,3.0,99.9956828753,94,0.173896,113.954,44.441,1000.0,8.57668457891,12.3456790123,67.5524267374,67.5732836402,67.5509,94,39.0,21.542,0.0
68.535,-75.487,1000.0,1.7988606993,1000.0,3.0,99.9956828753,95,0.156547,114.456,44.6304,1000.0,12.9953661558,14.6323529412,68.4187824711,68.4428191876,68.4164,95,60.0,21.7979,0.0
69.3574,-76.2413,1000.0,1.73368415076,1000.0,3.0,99.9956828753,96,0.141937,114.955,44.8113,1000.0,12.383766274,14.2253521127,69.2321768869,69.2569822295,69.229,96,65.0,21.2577,0.0
70.1189,-77.2162,1000.0,1.85212551142,1000.0,3.0,99.9956828753,97,0.254789,115.531,45.0903,1000.0,11.1451755442,13.1216216216,69.9921255781,70.0179453593,69.991,97,52.0,23.4934,0.0
71.0985,-78.1235,1000.0,1.83178010914,1000.0,3.0,99.9956828753,98,0.171882,116.3,45.2343,1000.0,12.5108864209,13.8648648649,70.9627870146,70.9940611241,70.9633,98,57.0,24.2635,0.0
72.0754,-79.1482,434.25,1.88000285256,212.0,3.0,97.371938374,99,0.205944,117.154,45.4737,661.0,11.9622529811,12.858974359,71.9401047833,71.9717453205,71.9339,99,64.0,24.6125,127.448110356
72.8269,-80.0282,1000.0,1.93404995425,1000.0,3.0,99.9956828753,100,0.176877,117.9,45.6421,1000.0,14.5473122791,16.3114754098,72.6836900624,72.7113526255,72.6849,100,65.0,26.5172,0.0
73.4324,-80.8015,1000.0,1.87937367401,1000.0,3.0,99.9956828753,101,0.21297,118.591,45.8472,1000.0,15.0084822637,17.2807017544,73.2968960442,73.3299097492,73.2945,101,88.0,26.2934,0.0
74.5719,-81.8365,1000.0,1.87594988708,1000.0,3.0,99.9956828753,102,0.246923,119.396,46.0998,1000.0,9.66556549378,13.8767123288,74.4465424633,74.4801196689,74.4445,102,43.0,25.8788,0.0
75.306,-82.566,1000.0,1.92764208769,1000.0,3.0,99.9956828753,103,0.179561,119.942,46.3538,1000.0,10.8217270661,13.3698630137,75.1492323436,75.1956500924,75.1485,103,58.0,25.4751,0.0
76.0646,-83.5333,775.461538462,2.01614127697,286.0,3.0,99.2234742133,104,0.170131,120.523,46.589,1000.0,12.4701598641,12.9620253165,75.9070813419,75.9428419531,75.9044,104,73.0,28.4486,262.832387474
76.7761,-84.3533,1000.0,2.01449462581,1000.0,3.0,99.9956828753,105,0.283617,121.411,46.8446,1000.0,10.1377697251,12.525,76.6312704429,76.6630534757,76.6261,105,56.0,27.9023,0.0
77.8005,-85.3458,1000.0,1.96409126601,1000.0,3.0,99.9956828753,106,0.256858,121.811,47.0941,1000.0,13.8837743114,14.9552238806,77.6612348944,77.6918580351,77.6558,106,59.0,27.41,0.0
78.3928,-86.0239,1000.0,2.06656766866,1000.0,3.0,99.9956828753,107,0.217776,122.384,47.2731,1000.0,10.3268333298,12.6075949367,78.2328068316,78.2701235046,78.2349,107,61.0,30.0965,0.0
79.1876,-86.93,1000.0,2.02460935258,1000.0,3.0,99.9956828753,108,0.193299,123.029,47.4681,1000.0,12.1694155388,15.4615384615,79.0373809446,79.0698727461,79.032,108,56.0,29.1769,0.0
80.2078,-87.859,391.230769231,2.10141781857,212.0,3.0,96.7529158847,109,0.192235,123.526,47.6763,699.0,12.310606013,13.8571428571,80.034614196,80.0709510126,80.0308,109,62.0,31.3078,117.952176649
80.8944,-88.6615,1000.0,2.05022535555,1000.0,3.0,99.9956828753,110,0.285741,124.204,47.9094,1000.0,15.2045012909,18.6363636364,80.7401021692,80.7811923685,80.7404,110,65.0,32.63,0.0
81.5431,-89.4245,275.459459459,2.16996732262,171.0,3.0,91.8941164965,111,0.173585,124.691,48.1275,450.0,12.1876148428,13.4266666667,81.3878520235,81.4166423034,81.3842,111,64.0,32.6859,74.6500283646
82.4269,-90.4042,492.095238095,2.14964135692,283.0,3.0,98.2654987604,112,0.391461,125.363,48.319,1000.0,9.45774227228,13.3333333333,82.2573655194,82.2949775162,82.2565,112,52.0,34.188,170.224195237
83.1616,-91.3807,334.1,2.20110946543,206.0,3.0,95.443715493,113,0.206614,125.8,48.5069,513.0,11.2122692829,12.1604938272,82.9826864927,83.0138281856,82.9832,113,52.0,33.995,77.1787319581
