AverageQLoss,AverageReturn,AverageAbsQ,AveragePolicySurr,MaxEsReturn,QFunRegParamNorm,StdReturn,MaxReturn,AverageY,Epoch,AverageAction,AverageAbsQYDiff,Iteration,AverageAbsY,MinEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,AverageQ
6.31079,207.766702001,26.9284,-29.6587,519.121907637,36.1441,79.8293407961,370.697061981,26.4316455992,48,0.780339,1.41551154164,48,26.9387550594,193.979410346,90.9018512787,-19.272492607,28.6552,112.509269037,309.871630547,26.4228
6.29321,317.352328519,28.2987,-31.1575,262.004514308,36.6511,63.7425373963,608.3635847,27.8135628524,49,0.766309,1.43973353035,49,28.3055276272,6.75847260697,123.787330222,202.920133286,28.992,80.5325105291,105.124116916,27.8048
6.80482,247.728668842,29.8577,-32.7784,344.07751459,37.1301,90.2674320278,415.609651417,29.4024351885,50,0.787084,1.48415621992,50,29.8614696469,22.2899617877,98.3907789446,-43.1589620163,29.2991,91.7474552337,218.550301689,29.395
7.21394,223.123173204,31.3548,-34.2971,315.876168185,37.6322,112.183550535,942.110582865,30.9314851848,51,0.790328,1.53977926881,51,31.3623927925,161.58063589,97.5120286348,102.588066804,29.5914,50.5436144874,244.722961694,30.92
8.04642,194.878568663,33.1109,-36.3037,416.323930479,38.1504,72.5129418071,415.600040422,32.7249964707,52,0.771185,1.61764655004,52,33.1150679309,48.8151437497,92.1689997914,79.0707512748,29.8616,122.814360411,256.760319688,32.7136
8.11337,214.520199885,34.6385,-37.7875,322.40357742,38.5719,44.6247267306,331.028584632,34.266733573,53,0.800128,1.61741938676,53,34.6415589445,40.9767136032,102.079871934,90.7898822805,30.1994,109.518942581,196.465772379,34.2577
8.47419,211.331413048,36.2714,-39.6082,388.483812932,39.0322,49.13584889,374.483673602,35.9061789808,54,0.795757,1.66378460832,54,36.2735720418,-25.4967304038,96.3987040582,122.738530612,30.4408,140.113257282,130.735841478,35.8974
8.97264,174.382831701,37.6604,-41.0041,393.039217223,39.4701,110.605840961,825.750125339,37.3042844528,55,0.810231,1.73233665858,55,37.6679692508,6.58201324179,84.4951517017,43.6917819851,30.7422,124.112347435,122.702546549,37.2922
9.97888,230.941089332,39.3968,-42.7558,299.604752281,39.8933,64.2204729573,442.417067339,39.0514892881,56,0.792593,1.78548388629,56,39.4059559329,-0.716653590421,108.873802089,21.1985231194,31.0085,92.1494981675,185.375092644,39.0391
10.5505,196.695064291,40.9123,-44.3236,216.763397454,40.3696,82.4646848538,388.850964736,40.5895239168,57,0.781189,1.82935220484,57,40.9164806832,17.7806238114,97.102028565,11.5141311153,31.2166,55.3744263631,151.042608587,40.5795
10.4232,237.166186487,42.385,-45.7744,253.991408221,40.7845,53.1458214788,457.655946465,42.0691482389,58,0.821651,1.86112203209,58,42.3890988365,56.8399150957,106.870178225,105.530630194,31.4247,58.0645337527,154.624249997,42.0582
