AverageAbsQ,StdEsReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageAction,AverageReturn,StdReturn,MinEsReturn,AverageDiscountedReturn,Iteration,AverageEsReturn,MaxReturn,AverageY,Epoch,AverageQLoss,QFunRegParamNorm,MinReturn,MaxEsReturn,AveragePolicySurr
0.946857,0.0,0.946849,0.0109274442604,0.946962007767,20.8109,0.938673,44.7541932461,399.833100296,-102.81596556,21.2941422558,40,-102.81596556,433.010821258,0.946955563166,40,0.000797717,18.678,-864.440550159,-102.81596556,-0.955712
0.939396,0.0,0.93937,0.0104053920716,0.939473758726,21.2155,0.998607,-597.267815466,1.03180321139,-186.030171932,-57.6901553894,41,-186.030171932,-596.313848355,0.939466195149,41,0.000842044,18.9077,-600.06844275,-186.030171932,-0.948916
0.930699,0.0,0.930699,0.00948565458591,0.930769143042,21.3844,0.996195,-594.946572604,1.04204017557,-161.383880194,-56.6561295019,42,-161.383880194,-593.51913963,0.930763382783,42,0.000679041,19.101,-596.927533951,-161.383880194,-0.936071
0.919197,0.0,0.919197,0.010851491467,0.919271338187,21.5663,0.951993,-428.815170691,31.0685743109,-350.08412852,-43.2698224179,43,-350.08412852,-381.988864351,0.919262819245,43,0.00099182,19.5157,-507.015025458,-350.08412852,-0.928548
0.913358,0.0,0.913358,0.0101219313213,0.91343990117,21.8831,0.939543,-413.494342829,49.5393112728,-277.005948658,-14.6863285682,44,-277.005948658,-356.932609516,0.913433630533,44,0.000653771,19.8085,-538.180521884,-277.005948658,-0.919802
0.904887,0.0,0.904875,0.0102962240719,0.904951020167,22.0782,0.927658,-110.942687782,139.899502632,-398.514549164,-6.18916340017,45,-398.514549164,37.3945473801,0.904942405138,45,0.000904385,20.0933,-485.467250367,-398.514549164,-0.91023
0.893442,0.0,0.893442,0.0106229349423,0.893556008684,22.5002,0.936475,97.2501444363,242.054222057,-88.9777000078,32.5220198322,46,-88.9777000078,431.059700601,0.893548736935,46,0.00100314,20.336,-272.639879682,-88.9777000078,-0.90087
0.88462,0.0,0.884534,0.0106914901392,0.884612563744,22.7799,0.955182,262.807338174,191.57059121,-72.4804495923,20.4460095646,47,-72.4804495923,441.26398092,0.884601154784,47,0.00102379,20.6326,-270.824176449,-72.4804495923,-0.891663
0.877049,0.0,0.877043,0.0097085015501,0.877079726599,22.9887,0.94426,-119.782597997,115.113198294,-325.538353674,-6.81653974938,48,-325.538353674,98.0259209408,0.87707295297,48,0.000661858,20.807,-259.025297942,-325.538353674,-0.885037
0.87055,0.0,0.870549,0.0102066810899,0.870576660374,23.2572,0.95587,-372.853355519,69.4854817717,-141.770097848,-19.2391149508,49,-141.770097848,-261.22102468,0.870568647684,49,0.000845303,21.0432,-466.682957626,-141.770097848,-0.878436
