AveragePolicySurr,Iteration,AverageY,AverageAbsQ,Epoch,AverageEsReturn,StdEsReturn,MinEsReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,AverageDiscountedReturn,AverageAbsY,PolicyRegParamNorm,MaxEsReturn,MaxReturn,StdReturn,AverageQ,AverageReturn,AverageAction,MinReturn
-8.5541,19,7.23498777247,7.25404,19,56.4309900546,23.103027807,14.7574837828,0.296937912437,20.3258,0.485177,62.3643047302,7.25481030353,15.4823,121.42001421,78.4164262096,0.600774008987,7.23221,77.2114250343,0.770266,75.7486518071
-10.4087,20,8.8495868509,8.86387,20,81.2219067846,16.3696286222,46.9947664477,0.305273310859,21.4023,0.441195,68.8865449035,8.86354083991,16.8154,116.756217834,89.6357294026,0.887312855796,8.84796,87.7911999323,0.732685,85.7639520282
-12.3468,21,10.6222393225,10.6345,21,85.3705082915,41.4057227078,3.41275422872,0.346625727729,22.3241,0.574004,110.718152001,10.6334248451,17.8427,167.297707419,176.631449786,3.65734665778,10.6201,170.184358521,0.667061,163.399461574
-14.2612,22,12.3597034391,12.3691,22,145.362404913,35.4150052208,78.1922052412,0.365936302374,23.2794,0.613183,112.531297293,12.3678312757,18.7254,180.295850277,177.106015642,1.38214537011,12.357,174.719546642,0.684366,171.368468478
-16.2881,23,14.1961732523,14.2045,23,158.340726268,50.7982571955,5.70739577976,0.414534595466,24.2807,0.807174,111.674482876,14.2021613096,19.6331,197.884526468,175.9832078,1.37205504352,14.1937,173.165706877,0.686822,169.601119967
-18.3626,24,16.1255304631,16.133,24,160.457617932,29.1387563465,70.5582545411,0.452151805312,25.2514,0.896172,108.973403935,16.1305575931,20.6694,182.796762342,172.272535734,2.40522371924,16.1232,166.719691054,0.551744,160.437862683
-20.3575,25,18.0372589779,18.0442,25,161.492396639,40.542129531,55.5340939053,0.508452757713,26.1828,1.15744,110.859010955,18.0411950199,21.4037,201.38134765,173.744132076,1.97071943378,18.0342,170.797983514,0.547246,165.247024901
-22.3478,26,19.9444095183,19.9511,26,142.099935889,43.9059849671,58.4193935409,0.54209040806,27.11,1.35224,112.210930061,19.9485115016,22.1166,180.89271222,177.557945305,2.60970667633,19.9406,173.909779132,0.462247,163.92184606
-24.2988,27,21.8193606282,21.828,27,136.037935053,50.1130438001,34.097403321,0.606934054358,28.2656,1.71063,111.876139171,21.8227842237,22.8182,212.816164796,176.944351429,2.10220861871,21.8166,172.914060888,0.535462,159.963554837
-26.2568,28,23.7229756421,23.7326,28,152.067159364,44.9638481395,18.5692795246,0.647263431699,29.3784,1.89361,113.150087029,23.7260683606,23.5332,184.566562165,179.201891732,1.58897724396,23.7195,176.182113793,0.535922,171.245834958
-28.0682,29,25.5543895399,25.5651,29,150.958634028,38.9471130508,75.7081013092,0.704054872926,30.3714,2.36492,112.808965381,25.5573439732,24.1825,205.19876249,177.601397456,1.19407792806,25.5505,174.582250716,0.578758,171.889978513
-29.8815,30,27.3358123632,27.348,30,171.012190101,22.4920628025,114.759848648,0.709062728009,31.3047,2.18207,114.066917404,27.338992707,24.8032,211.59715858,184.419587861,3.1964146978,27.3332,177.526125066,0.554601,169.134186012
-31.6563,31,29.1280285575,29.1393,31,141.795207951,49.4504730576,7.63097116589,0.713566590254,32.1944,2.27963,115.720921181,29.1313866764,25.3534,197.650272525,189.057031827,2.78050605327,29.1245,181.620866212,0.558021,176.691651802
-33.1772,32,30.63593194,30.6496,32,140.230378628,61.6530019686,12.8126627859,0.793348520936,33.1146,3.04721,112.571280226,30.6390470006,25.9033,196.301185588,179.972389615,2.76461787953,30.6323,174.098859866,0.671803,165.122176657
-34.9127,33,32.3317597701,32.3443,33,132.278804232,55.9399410043,17.9811691943,0.776934119412,33.8454,2.76554,116.129069581,32.3347190674,26.4079,187.025902275,187.947522761,2.59132679705,32.3282,182.69088562,0.506837,176.681220165
