AverageQ,MinEsReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,StdEsReturn,StdReturn,AverageAction,AverageEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,Iteration,AverageAbsY,Epoch,AverageAbsQ,AverageReturn,AverageY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff
2.9054,-225.235082471,19.9445,0.318598,-65.0414152937,0.0,71.1065429403,0.643516,-225.235082471,2.58804558243,-281.287137823,19.4902,20,3.23977661611,20,3.20438,-171.139747847,2.90819499156,-3.63133,-225.235082471,0.412393259259
3.22552,-134.405186843,20.6384,0.348158,28.3964147768,0.0,69.6298713475,0.681535,-134.405186843,16.5605657974,-232.713420754,20.1233,21,3.48109153845,21,3.44689,-107.037965341,3.2281470326,-3.93933,-134.405186843,0.43287008278
3.59012,-72.6167900114,21.3545,0.391741,152.061428804,0.0,59.704207318,0.670406,-72.6167900114,13.3310686872,-50.5630910622,20.6062,22,3.79221236659,22,3.76244,64.8761734075,3.59297791959,-4.31718,-72.6167900114,0.455343491263
3.98187,70.7999927581,22.0273,0.420368,136.577259401,0.0,46.1974807189,0.712446,70.7999927581,17.7144529799,9.73914912051,21.208,23,4.13594916207,23,4.1097,88.041487838,3.98567421146,-4.73924,70.7999927581,0.47264458378
4.42058,40.6247465491,22.6928,0.484541,1076.7228461,0.0,196.657562659,0.834519,40.6247465491,98.734834967,383.373292301,21.7908,24,4.54674133001,24,4.52012,590.124418512,4.42430111597,-5.18385,40.6247465491,0.502470017957
4.85202,67.0745679189,23.3115,0.509021,863.954666411,0.0,296.325448173,0.845851,67.0745679189,47.5581661416,-165.5056725,22.4003,25,4.96013502948,25,4.93457,455.486498551,4.85667332141,-5.66596,67.0745679189,0.518920208954
5.36092,194.773468169,23.9094,0.564837,642.646764225,0.0,89.8169113699,0.829976,194.773468169,43.6568386824,312.274433076,23.0139,26,5.44525591818,26,5.42197,425.432283062,5.36647139143,-6.22988,194.773468169,0.547232224475
5.96466,224.750234218,24.5261,0.620563,942.36924871,0.0,96.6862053276,0.85476,224.750234218,75.8934687579,596.765345664,23.5216,27,6.02912304279,27,6.00837,748.625897894,5.96942451689,-6.89442,224.750234218,0.575782277903
6.68371,282.097873386,25.1566,0.696022,693.833627268,0.0,107.411736538,0.798051,282.097873386,82.7081937905,314.673581655,23.9548,28,6.73465257245,28,6.71625,549.162273376,6.6896523392,-7.64599,282.097873386,0.608029601739
7.35893,297.280362731,25.6883,0.740543,947.227101852,0.0,95.4655348856,0.845745,297.280362731,91.629971917,588.567835697,24.4681,29,7.39276973616,29,7.37788,687.602485825,7.36467940101,-8.30475,297.280362731,0.630101499539
8.12029,387.100062354,26.2389,0.803964,1152.50030096,0.0,181.462583795,0.816801,387.100062354,115.193483552,629.391309433,24.9923,30,8.14539970968,30,8.13242,865.956612305,8.12631054484,-9.10421,387.100062354,0.647636738359
8.82354,430.838584371,26.7225,0.872852,1067.1702723,0.0,139.503049079,0.799817,430.838584371,111.86969806,647.732459289,25.368,31,8.84298998476,31,8.83167,825.562104677,8.8302362055,-9.80204,430.838584371,0.671301780698
9.85617,411.893643258,27.199,1.00696,1829.84908602,0.0,321.248037882,0.814346,411.893643258,111.202848645,678.282736954,25.749,32,9.86995943347,32,9.86092,883.735101608,9.86294370382,-10.842,411.893643258,0.704252084759
11.0545,950.358447837,27.6826,1.04408,1025.82788893,0.0,128.709296367,0.758583,950.358447837,117.503557579,545.508058828,26.1324,33,11.0664509742,33,11.0581,787.802526038,11.0607701597,-12.0747,950.358447837,0.723819795913
11.8232,678.68993843,28.1324,1.09258,2106.06590336,0.0,356.274905014,0.819754,678.68993843,173.183013321,961.925923057,26.5024,34,11.8352045807,34,11.8256,1332.6584716,11.8311292472,-12.854,678.68993843,0.72952568578
12.7558,425.592317884,28.6051,1.17348,1029.48439339,0.0,116.088870698,0.811901,425.592317884,102.184697203,645.078377291,26.9042,35,12.7661390313,35,12.7576,839.575290041,12.7632406681,-13.8186,425.592317884,0.754775390421
13.8049,573.890398119,29.0669,1.27348,1072.57980606,0.0,83.1955582289,0.800071,573.890398119,116.002779113,820.417516745,27.2701,36,13.8146428174,36,13.8057,920.123951136,13.8128144996,-14.8875,573.890398119,0.775310126842
14.827,1006.55491207,29.5669,1.397,2060.68621725,0.0,450.342355933,0.863774,1006.55491207,128.852921578,165.84429299,27.636,37,14.8361427536,37,14.8276,965.393147267,14.8346653743,-15.9428,1006.55491207,0.804816429591
15.7784,490.71526266,30.0416,1.45847,941.734313687,0.0,103.554650893,0.769897,490.71526266,92.3113150335,593.638892503,27.9784,38,15.7872323849,38,15.7786,722.868977725,15.7861899568,-16.928,490.71526266,0.812114228494
16.9156,651.592013893,30.4938,1.56792,1010.01929813,0.0,102.71081694,0.774589,651.592013893,105.749192912,684.735649289,28.3952,39,16.9239679579,39,16.9157,822.137066496,16.9231561905,-18.0892,651.592013893,0.833974972817
18.2746,707.978839051,30.9113,1.60807,1123.27314435,0.0,585.455768275,0.802268,707.978839051,83.3966777533,-1016.81459635,28.7119,40,18.2825936825,40,18.2746,703.068127279,18.2822525582,-19.4509,707.978839051,0.844605969411
19.8141,1912.12297276,31.3492,1.95936,1508.86116609,0.0,367.147208385,0.789947,1912.12297276,124.207245489,31.2509836328,29.0372,41,19.8233440604,41,19.8141,847.625789219,19.8228278515,-21.0165,1912.12297276,0.891366374131
21.2087,873.9252205,31.7906,2.18639,1606.37585863,0.0,454.973661484,0.804593,873.9252205,118.779354058,-58.4677855734,29.3316,42,21.2186730005,42,21.2087,851.087949692,21.218129566,-22.4195,873.9252205,0.916153817971
22.4601,824.798884916,32.1989,1.94184,1322.02818724,0.0,350.163347669,0.821879,824.798884916,151.852673413,32.6492904361,29.6793,43,22.468377135,43,22.4601,766.302980731,22.4680434282,-23.6899,824.798884916,0.910398732757
23.6783,1071.72118222,32.6219,2.24012,1005.64245959,0.0,516.694292303,0.850389,1071.72118222,88.3821085503,-604.231839171,30.018,44,23.6894197094,44,23.6783,473.179095498,23.6888932263,-24.8981,1071.72118222,0.937583577987
24.9183,525.743082202,33.0997,2.37834,2634.99285708,0.0,366.19004812,0.84473,525.743082202,210.054787436,1272.90936598,30.359,45,24.9275736553,45,24.9183,2323.92163319,24.9270748999,-26.1942,525.743082202,0.962914961136
25.9307,736.355169522,33.4801,2.25083,3144.37437856,0.0,836.190505943,0.825412,736.355169522,225.974414431,602.462633556,30.6216,46,25.9401651637,46,25.9307,1896.01372568,25.9397018385,-27.2233,736.355169522,0.952642563434
27.5697,704.540305171,33.8773,2.61495,2767.66825615,0.0,860.03696529,0.812028,704.540305171,205.24449738,-220.168449416,30.9447,47,27.5787734695,47,27.5697,1763.79630801,27.5783730245,-28.8662,704.540305171,0.98833074955
29.4867,1945.2136098,34.2928,2.81858,2468.23558443,0.0,611.291082685,0.76746,1945.2136098,147.349549073,32.4735937694,31.2743,48,29.4969361764,48,29.4867,995.21752946,29.4966149532,-30.7828,1945.2136098,1.01853090271
31.032,1992.15236075,34.73,3.02898,3061.33027503,0.0,872.11987818,0.857705,1992.15236075,229.12796993,300.740621279,31.6055,49,31.0440476169,49,31.032,2115.86012433,31.0436721975,-32.3894,1992.15236075,1.03647887506
32.1102,644.647601765,35.0741,2.98998,2712.20609947,0.0,800.990089743,0.8589,644.647601765,193.566863735,847.795433776,31.9225,50,32.1182686082,50,32.1102,1740.60279341,32.1177138933,-33.4642,644.647601765,1.04809988358
33.8634,733.959398209,35.4746,3.17847,2141.22125757,0.0,765.584355588,0.82476,733.959398209,147.354265389,-560.754392629,32.1864,51,33.8758141462,51,33.8634,872.908202212,33.8753526454,-35.2125,733.959398209,1.07034841303
35.5816,1766.99077507,35.864,3.51404,1382.0794602,0.0,339.820721342,0.809604,1766.99077507,190.680443626,239.760100554,32.5432,52,35.5925004632,52,35.5816,949.394329054,35.5919952713,-36.9522,1766.99077507,1.10054060576
37.2119,80.7750340635,36.1968,3.88817,3227.55495803,0.0,1513.04316174,0.950087,80.7750340635,160.819034587,-488.265618416,32.802,53,37.2226108834,53,37.2119,943.284798242,37.2222224212,-38.5995,80.7750340635,1.14815061815
39.0841,1849.94956308,36.5787,4.36079,1319.26762468,0.0,213.479522794,0.8231,1849.94956308,189.11270174,410.704615188,33.1133,54,39.0972225798,54,39.0841,961.232079622,39.0968748958,-40.5016,1849.94956308,1.17192396721
40.7641,1500.86654625,36.9235,3.74573,2239.48801182,0.0,519.671863792,0.848423,1500.86654625,229.622233758,692.600316632,33.3588,55,40.7750176076,55,40.7641,1304.58742323,40.7745941901,-42.1883,1500.86654625,1.16223463996
42.3438,1530.99668843,37.287,4.41852,1744.23033237,0.0,418.193657518,0.802383,1530.99668843,211.367373406,-10.5904534979,33.6321,56,42.354433124,56,42.3438,1003.56922727,42.3539837254,-43.7609,1530.99668843,1.19353667233
44.0421,1242.85164167,37.6688,4.32898,2549.14091191,0.0,537.352459186,0.812999,1242.85164167,233.225928718,616.115401507,33.9489,57,44.0555879942,57,44.0421,1251.78855945,44.0550827074,-45.4784,1242.85164167,1.20771078581
45.8759,1945.11004901,38.036,4.7571,1984.94203459,0.0,647.953811389,0.850495,1945.11004901,182.742506314,-565.627443633,34.2575,58,45.8867256499,58,45.8759,993.121717812,45.8862538862,-47.3314,1945.11004901,1.23147573737
47.0016,935.064582315,38.4071,4.47074,3865.91587894,0.0,1187.95940628,0.839993,935.064582315,246.303153956,391.967591029,34.5075,59,47.0123260242,59,47.0016,1823.51159387,47.0118467675,-48.4502,935.064582315,1.22567797988
48.5494,924.173306634,38.7916,5.06152,2963.49711693,0.0,685.226025207,0.822021,924.173306634,217.007701249,623.294639353,34.7943,60,48.5607873091,60,48.5494,1426.02806832,48.5603935258,-49.9634,924.173306634,1.26594392623
50.1833,2646.92963707,39.1504,4.65981,3828.62697626,0.0,1045.0280394,0.840258,2646.92963707,277.822515508,999.756249221,35.0833,61,50.1939911512,61,50.1833,2163.18927318,50.1936395712,-51.641,2646.92963707,1.25116445774
51.8108,693.450486857,39.5343,4.88677,3815.11502994,0.0,899.042200287,0.876668,693.450486857,296.59050945,1497.63914922,35.4023,62,51.8232656635,62,51.8108,3072.67587049,51.8228994708,-53.2744,693.450486857,1.28761491528
53.2254,1004.35183448,39.8924,6.13499,3813.44906044,0.0,850.799880092,0.854432,1004.35183448,252.131465967,646.458250481,35.7004,63,53.2381125759,63,53.2254,1465.5432042,53.2377156413,-54.7269,1004.35183448,1.32778932816
55.6501,2623.55024144,40.2656,5.7035,3670.29015122,0.0,927.488741491,0.858772,2623.55024144,268.01875217,860.222078574,36.0131,64,55.6612979528,64,55.6501,1929.20771449,55.6609668209,-57.114,2623.55024144,1.32638316768
57.22,1677.08718773,40.6499,6.07308,2982.72686429,0.0,686.285497281,0.858691,1677.08718773,252.601211242,779.561359846,36.2867,65,57.2321822229,65,57.22,1632.95220306,57.2317239703,-58.7563,1677.08718773,1.34511390648
58.776,1336.31107959,41.0137,6.79201,3954.70081692,0.0,1210.89033007,0.871527,1336.31107959,258.500358543,634.35606025,36.5389,66,58.7883630409,66,58.776,2123.44299549,58.7878470993,-60.2967,1336.31107959,1.39788771506
59.7806,667.11576842,41.4215,7.44747,3901.55212983,0.0,1309.14931735,0.888649,667.11576842,255.718339939,552.396638623,36.8222,67,59.7943735737,67,59.7806,1999.89340537,59.7940303651,-61.3352,667.11576842,1.43801976654
61.4905,836.39828181,41.8158,6.13849,3998.21427862,0.0,1201.2984508,0.884594,836.39828181,292.259145607,993.134509901,37.1336,68,61.502646217,68,61.4905,2722.782832,61.5022317462,-63.031,836.39828181,1.40496247026
63.291,1226.00451215,42.2564,7.58713,3835.77590908,0.0,1038.67519193,0.880986,1226.00451215,304.539550705,1228.31574974,37.3961,69,63.3042536487,69,63.291,2743.39986124,63.3040016323,-64.8868,1226.00451215,1.47221407427
64.845,2120.60038829,42.6554,8.37095,2471.77075574,0.0,548.694962639,0.853894,2120.60038829,242.222677888,606.836763771,37.7149,70,64.8584280266,70,64.845,1395.38499382,64.8581128121,-66.4424,2120.60038829,1.51035133424
67.4266,2628.74149699,43.0723,7.4339,3321.8440629,0.0,719.14718725,0.858622,2628.74149699,278.733585338,859.937915435,37.9705,71,67.4403927541,71,67.4266,1709.69200156,67.4400366787,-69.0384,2628.74149699,1.50747225307
69.9472,2851.18225018,43.5094,9.11923,2230.15298458,0.0,424.765093625,0.850946,2851.18225018,223.822375542,736.424265711,38.2201,72,69.96160016,72,69.9472,1118.40411348,69.9612671081,-71.5857,2851.18225018,1.5921737023
72.2418,2338.35102183,43.9726,8.00124,4307.02160132,0.0,1138.09653317,0.878843,2338.35102183,319.008397937,1084.46074663,38.524,73,72.2535210914,73,72.2418,2659.73656416,72.2531787244,-73.8285,2338.35102183,1.54912753397
74.3706,2557.67582044,44.3359,7.26283,3850.59917614,0.0,1027.4197827,0.87204,2557.67582044,281.655110483,1171.94595639,38.7507,74,74.3834129057,74,74.3706,2705.21519175,74.383303491,-76.0514,2557.67582044,1.55062356583
77.2622,2924.03409027,44.7385,12.0104,3725.30236048,0.0,943.887059314,0.909619,2924.03409027,288.00880978,928.404995786,39.0529,75,77.2749222149,75,77.2622,3175.9524801,77.2745504996,-78.9184,2924.03409027,1.69890257435
79.4127,2279.1175238,45.1363,9.22337,4066.92889967,0.0,1148.29327651,0.899237,2279.1175238,286.642711517,851.090608988,39.35,76,79.4275425446,76,79.4127,3187.36755328,79.427284077,-81.1253,2279.1175238,1.62665757078
81.398,2684.32429846,45.5261,11.0327,4258.88086946,0.0,1010.53218207,0.893644,2684.32429846,306.273810842,809.168286258,39.6384,77,81.4122376752,77,81.398,2457.13590756,81.4116165561,-83.1557,2684.32429846,1.68250220477
83.8563,2012.88515795,45.9471,12.4542,4517.40526302,0.0,1177.09604472,0.886234,2012.88515795,340.895360358,1454.23396085,39.9185,78,83.8735046556,78,83.8563,3101.90107451,83.872891832,-85.6315,2012.88515795,1.76959413941
86.5814,2964.37945238,46.3179,9.92403,4344.91656744,0.0,1384.58930872,0.875494,2964.37945238,294.278447784,-128.6233704,40.1862,79,86.596751713,79,86.5814,2509.64679773,86.5964315623,-88.3462,2964.37945238,1.71696084481
88.9633,2809.49080652,46.7069,11.7174,4500.00381572,0.0,1306.25085519,0.900069,2809.49080652,344.454684679,1051.31929817,40.4348,80,88.9752585856,80,88.9633,3204.85417824,88.9747365221,-90.7295,2809.49080652,1.78427726627
90.8178,2874.9519401,47.0932,12.4277,4166.00979541,0.0,1005.8737935,0.860403,2874.9519401,275.217953483,506.283753753,40.6561,81,90.8334126648,81,90.8178,1545.72428963,90.8329671585,-92.6286,2874.9519401,1.78032839908
93.2248,1515.52264096,47.475,12.849,1415.5102263,0.0,245.246761528,0.857994,1515.52264096,227.976685764,673.17849884,40.8927,82,93.2380106213,82,93.2248,1047.24862318,93.2376408356,-95.0174,1515.52264096,1.82086925413
94.7531,2666.94722653,47.8931,14.6013,4196.90325544,0.0,1013.59577592,0.894188,2666.94722653,322.445574724,1448.22629335,41.1874,83,94.7693895272,83,94.7531,2706.87957748,94.7690388793,-96.5787,2666.94722653,1.85053780389
97.1241,639.121026172,48.308,14.4695,2089.77100543,0.0,650.788987097,0.867536,639.121026172,220.866049494,-92.291360037,41.4157,84,97.1352634779,84,97.1241,1009.51136207,97.1348649078,-98.9709,639.121026172,1.85273947216
98.5241,2728.89522651,48.8229,16.7981,3440.15797477,0.0,1031.64763882,0.895918,2728.89522651,253.952868603,-208.188749593,41.6671,85,98.5424538619,85,98.5241,1445.67853533,98.5419840479,-100.411,2728.89522651,2.01209360802
101.272,587.763355784,49.1964,17.2055,4101.98419685,0.0,1209.92215009,0.879698,587.763355784,307.386242916,465.063703684,41.9392,86,101.289239524,86,101.272,2189.85368281,101.288850711,-103.174,587.763355784,1.98518420171
103.721,3047.66500885,49.5857,14.4836,4182.77103576,0.0,1537.35402063,0.906851,3047.66500885,292.302550997,386.18811362,42.2317,87,103.737189666,87,103.721,2255.84429503,103.736631408,-105.604,3047.66500885,1.95890512054
104.834,565.362659249,49.956,18.7311,1851.14318108,0.0,589.624876071,0.855163,565.362659249,240.837612154,44.5952776377,42.441,88,104.850508924,88,104.834,859.420098973,104.849984024,-106.718,565.362659249,2.03360937415
107.791,2925.62940618,50.3367,18.5569,2307.30412673,0.0,756.450163185,0.86771,2925.62940618,299.07460588,232.068767696,42.6958,89,107.804157237,89,107.791,977.502660386,107.803917437,-109.693,2925.62940618,2.04137456592
109.64,2812.69575091,50.6896,16.5167,3562.99694104,0.0,966.363985852,0.883667,2812.69575091,237.943087354,-113.439270141,42.9669,90,109.659666257,90,109.64,1009.89961238,109.659303992,-111.564,2812.69575091,2.0325371628
111.468,747.6708578,51.1002,21.6413,2535.70440105,0.0,663.662042478,0.859848,747.6708578,276.883339829,137.067815721,43.1935,91,111.483294192,91,111.468,1414.5776973,111.482901516,-113.374,747.6708578,2.09910790086
113.662,2321.28939203,51.5256,18.8469,4425.48927181,0.0,1283.47799196,0.865137,2321.28939203,259.664073519,-142.566602538,43.4077,92,113.681487798,92,113.662,1202.28110972,113.680931197,-115.564,2321.28939203,2.10093004489
116.15,2943.88684399,51.9163,24.2342,2633.37282456,0.0,631.219912878,0.859127,2943.88684399,272.42193451,358.7674138,43.6822,93,116.168286365,93,116.15,1351.72173251,116.167855388,-118.107,2943.88684399,2.18991798102
118.961,2877.77202453,52.2465,20.1466,3784.07028952,0.0,1098.60665777,0.884933,2877.77202453,291.058631017,646.000506712,43.8914,94,118.978108424,94,118.961,2175.42886234,118.97765789,-120.909,2877.77202453,2.16455163154
120.588,1347.19221469,52.5868,20.7752,4294.98155846,0.0,1334.78975213,0.862583,1347.19221469,277.46040642,549.419657549,44.127,95,120.604533142,95,120.588,1995.86447812,120.604205001,-122.568,1347.19221469,2.15588241022
122.704,1909.36268403,52.9671,23.8656,4177.98729743,0.0,1179.15783418,0.873035,1909.36268403,274.154313075,-195.001730143,44.3624,96,122.71983005,96,122.704,1789.07808079,122.719398149,-124.73,1909.36268403,2.23224217109
124.474,3005.86943805,53.3206,25.1175,2023.04854402,0.0,620.279771514,0.875285,3005.86943805,252.960460895,-229.982827997,44.5967,97,124.494817098,97,124.474,967.076030233,124.494493955,-126.488,3005.86943805,2.27577749596
126.223,1228.24717484,53.6821,21.1736,4400.46083547,0.0,1131.35997949,0.886128,1228.24717484,333.917528891,1754.55547204,44.7653,98,126.237818437,98,126.223,3149.56181978,126.237428934,-128.236,1228.24717484,2.19431012785
128.133,970.359778856,54.1569,28.4999,2971.48265919,0.0,798.124566943,0.885426,970.359778856,287.887977137,631.247902994,45.0427,99,128.150541186,99,128.133,1569.78975583,128.150339718,-130.16,970.359778856,2.33305447266
130.717,3193.84453567,54.5345,24.3704,4069.71160036,0.0,1188.76444722,0.867336,3193.84453567,302.853668372,736.370121157,45.2334,100,130.73220478,100,130.717,2140.61982869,130.731659871,-132.77,3193.84453567,2.31700735531
132.524,2742.23040676,54.8792,20.9215,4424.94027317,0.0,1215.10215681,0.905509,2742.23040676,339.593457302,969.466409006,45.4885,101,132.540568613,101,132.524,3359.43953687,132.540088748,-134.572,2742.23040676,2.26045076527
134.502,1210.85571539,55.2355,22.2486,4291.66991208,0.0,1360.08651582,0.881363,1210.85571539,313.099649265,248.159619959,45.713,102,134.515609267,102,134.502,1926.36322692,134.515269307,-136.534,1210.85571539,2.27891083342
136.551,3241.37228435,55.5938,28.2738,2998.18160834,0.0,810.14132443,0.879867,3241.37228435,296.85975967,113.475162979,45.8878,103,136.572561893,103,136.551,1546.63327113,136.572264772,-138.646,3241.37228435,2.3905682419
138.58,929.262772995,56.0019,29.3524,4192.77512137,0.0,1145.74881081,0.893729,929.262772995,328.131791127,1259.55861932,46.0785,104,138.591548267,104,138.58,2994.00262814,138.591206146,-140.688,929.262772995,2.37696080798
141.002,2914.53421151,56.3327,25.9296,3075.50553773,0.0,931.125048315,0.880696,2914.53421151,264.635994174,219.351942537,46.3066,105,141.020965894,105,141.002,1545.98616502,141.020527252,-143.156,2914.53421151,2.3355140726
143.011,1851.60792355,56.6596,25.2793,4646.26516427,0.0,70.0769391268,0.923846,1851.60792355,367.677714427,4415.33795122,46.5199,106,143.024521217,106,143.011,4491.01260418,143.024129737,-145.043,1851.60792355,2.32773314604
145.147,2788.88841826,57.1145,31.0067,4214.72039722,0.0,50.4244143598,0.903443,2788.88841826,332.731999462,4042.83304266,46.7272,107,145.162311709,107,145.148,4137.26405856,145.161906853,-147.188,2788.88841826,2.42877935219
148.031,2831.11895892,57.5059,32.9409,4548.35456817,0.0,997.465519863,0.911696,2831.11895892,351.815747098,1106.40512643,46.9728,108,148.049386083,108,148.031,3837.24822001,148.049005607,-150.11,2831.11895892,2.49292046266
150.159,2694.57211544,57.8167,28.6939,4676.32288509,0.0,81.121410269,0.908839,2694.57211544,353.876984776,4399.19623721,47.15,109,150.177833576,109,150.159,4492.65947465,150.177481566,-152.238,2694.57211544,2.39292475155
152.108,1601.09993131,58.1254,31.8867,4709.82816076,0.0,1003.75065797,0.910231,1601.09993131,366.065574394,1647.15893866,47.3302,110,152.119950589,110,152.109,3949.07754966,152.119454643,-154.235,1601.09993131,2.4735540112
154.107,3209.34151126,58.5346,31.9045,4714.73788553,0.0,102.813720258,0.916695,3209.34151126,366.714805403,4369.82198342,47.5051,111,154.12624969,111,154.108,4557.32616036,154.125890151,-156.201,3209.34151126,2.46834311967
155.979,1699.69298862,58.8689,30.9188,4546.55751747,0.0,155.771467029,0.930829,1699.69298862,350.38309039,3958.69953482,47.7822,112,155.991005478,112,155.979,4328.9579944,155.990708961,-158.108,1699.69298862,2.45917935774
158.584,2912.39937084,59.2,40.6641,4576.3165241,0.0,1309.78351316,0.916837,2912.39937084,353.295745568,1053.28445319,47.9422,113,158.608727747,113,158.585,3856.00618306,158.608430282,-160.68,2912.39937084,2.60321380217
161.069,2747.73374177,59.5762,35.3965,4773.74744733,0.0,311.036014033,0.921485,2747.73374177,375.439658844,3810.52026296,48.2264,114,161.08398564,114,161.07,4452.25709355,161.083576593,-163.187,2747.73374177,2.55770064976
163.359,3023.63546101,59.8481,41.086,4508.17798505,0.0,1565.78215949,0.90236,3023.63546101,311.863050159,360.075071363,48.4577,115,163.379255488,115,163.36,3555.17955131,163.379016705,-165.432,3023.63546101,2.59669884077
166.442,3273.12317034,60.164,37.1089,4605.68284389,0.0,1527.71731131,0.918894,3273.12317034,340.791977841,59.8539549822,48.7152,116,166.453457856,116,166.442,3324.08084807,166.453179253,-168.597,3273.12317034,2.58554772454
168.552,3233.83789857,60.451,32.2001,2417.22532494,0.0,738.809125628,0.946217,3233.83789857,255.658293215,-199.795609802,48.9027,117,168.565496317,117,168.552,582.749079368,168.565154836,-170.681,3233.83789857,2.55198466135
171.12,2973.05986522,60.7446,35.2249,4684.7929649,0.0,991.611623486,0.937594,2973.05986522,351.081428003,1233.73762421,49.106,118,171.140075845,118,171.12,4198.21156532,171.139839266,-173.278,2973.05986522,2.58900140553
172.534,2668.51264485,61.1457,47.9434,2710.87498138,0.0,426.617687067,0.930631,2668.51264485,350.094769097,1498.06319774,49.2983,119,172.555042924,119,172.534,2124.19095821,172.554542577,-174.748,2668.51264485,2.76292154086
175.549,2870.85626653,61.3664,39.8382,5084.35651309,0.0,1239.67907551,0.929616,2870.85626653,377.054842624,1292.12867916,49.5339,120,175.567144153,120,175.549,4112.53720834,175.56686724,-177.716,2870.85626653,2.63603307005
177.631,3203.15545997,61.6834,36.6947,4946.70759864,0.0,1852.29049008,0.937026,3203.15545997,339.153188623,7.601262748,49.8025,121,177.647377014,121,177.631,2869.78737896,177.647123543,-179.795,3203.15545997,2.60991814248
180.357,3178.94235389,62.0054,41.9005,4816.52713313,0.0,94.1572429745,0.923799,3178.94235389,377.375836225,4482.31163512,49.9881,122,180.375936095,122,180.357,4626.02311821,180.375533631,-182.482,3178.94235389,2.7185925525
182.142,2977.21451166,62.3361,46.7763,4779.22988256,0.0,124.515355206,0.929812,2977.21451166,371.934760233,4366.91715922,50.1747,123,182.154019766,123,182.142,4651.69639754,182.153461337,-184.28,2977.21451166,2.77548008673
185.101,3012.62119582,62.6581,43.0009,4917.63595951,0.0,1183.61432786,0.932296,3012.62119582,369.627690318,1165.17767413,50.3759,124,185.121505688,124,185.101,4103.68222273,185.121170835,-187.296,3012.62119582,2.75795998311
187.317,3149.5576201,62.8951,45.0976,4572.97826081,0.0,1209.84356276,0.926908,3149.5576201,335.399062313,366.220024492,50.5398,125,187.333998266,125,187.317,3982.53726772,187.333767487,-189.488,3149.5576201,2.73202560921
