MaxEsReturn,AverageAction,AverageAbsQYDiff,MaxReturn,StdReturn,AverageDiscountedReturn,Epoch,MinReturn,MinEsReturn,AverageQLoss,QFunRegParamNorm,AverageReturn,StdEsReturn,AverageAbsQ,AveragePolicySurr,AverageY,PolicyRegParamNorm,AverageAbsY,Iteration,AverageQ,AverageEsReturn
400.450178132,0.603561,1.8779209316,369.176332314,9.86421855453,168.108949091,44,325.202369832,74.6545047565,17.75,42.6814,350.13377187,116.558374104,66.7495,-69.2504,66.6982887619,29.1528,66.7304864374,44,66.6858,209.943920529
422.326261017,0.648425,2.02577191537,381.224972794,15.5296619793,166.51093773,45,314.240039827,53.846643685,21.1859,43.4136,342.722633134,126.074451151,69.4275,-71.8665,69.3710249111,29.4515,69.4007158515,45,69.3615,241.049827557
379.162995447,0.651336,2.03821567772,427.403793354,14.8873271074,175.71000846,46,347.409323142,159.059807795,19.6412,44.0613,376.586409302,68.3801047891,71.6646,-74.286,71.6182347334,29.7983,71.6482950497,46,71.5984,290.242406923
442.943739735,0.644194,2.14941429678,372.429967957,9.82514098755,170.145281198,47,326.70860064,88.2736405743,23.4934,44.8279,354.116551714,121.450379731,74.0237,-76.7151,73.9671656073,30.12,73.9955133481,47,73.9575,244.376818583
560.177328859,0.588997,2.21172757215,411.277059774,11.0956045747,181.148803848,48,367.760235008,52.963135709,24.5515,45.5959,390.690753246,152.110739311,76.6174,-79.3619,76.5736882288,30.4241,76.6004582244,48,76.5557,287.867815076
366.887580952,0.56414,2.24075215077,418.088553253,18.6724963368,177.118292102,49,345.933487182,195.614208515,24.6701,46.3074,381.560118218,57.2211961727,78.6151,-81.3829,78.5521414534,30.7466,78.5797801067,49,78.5405,295.979899958
444.158264381,0.607871,2.40478332779,517.730761706,46.0535520821,190.380940272,50,379.258392434,41.9125496815,28.6048,47.1284,442.729573512,117.626621565,80.9371,-83.724,80.8740787504,31.0613,80.9020381764,50,80.8603,275.605607081
381.244036834,0.610376,2.38719218679,480.919961015,43.7358350401,177.367814066,51,289.232023112,5.25007099214,26.9319,47.8048,385.041464206,139.731057744,83.5894,-86.4008,83.5235440634,31.3534,83.5546102411,51,83.5039,234.261890783
402.375878811,0.641455,2.42893802641,520.539713926,50.6807454544,194.970046135,52,376.37366338,26.9570804993,29.3454,48.4212,472.012887556,121.840152977,85.5315,-88.4477,85.4673302606,31.5846,85.5025099016,52,85.4493,265.713695406
419.814957174,0.604336,2.44415317039,510.405796495,93.1028962739,170.798410572,53,200.031405692,95.53924378,28.273,49.1503,360.693504537,95.9286574601,88.4698,-91.3459,88.4149791039,31.8195,88.4401677657,53,88.4031,216.76776706
496.122321445,0.575824,2.52196211357,401.986188217,9.68854113124,180.034283204,54,364.631305817,12.8028461976,29.6942,49.7528,378.990600228,149.05423857,90.3772,-93.3195,90.317373848,32.0602,90.3441385347,54,90.295,345.69043549
324.277057383,0.52773,2.54502267476,438.677725232,12.4208011102,178.517412896,55,348.12898562,92.1762243379,29.8774,50.3627,376.069584749,73.4188062967,92.698,-95.636,92.6202149112,32.3411,92.6452130037,55,92.6055,223.280657274
393.816346083,0.585118,2.75127421324,383.57144554,4.30276894756,179.698256595,56,357.601985707,82.8842660018,34.8268,51.0427,377.195535761,84.3517755108,95.0019,-97.9345,94.9361866372,32.6263,94.9621316963,56,94.9185,235.764666613
328.525694313,0.586642,2.75665754759,379.602413313,4.21166201295,176.004368186,57,348.067956113,69.5704723383,34.9437,51.6967,357.179074864,92.6133945274,96.8596,-99.9522,96.7945107064,32.9085,96.8316270882,57,96.7769,183.625483899
493.84431971,0.631373,2.80494919601,460.572708387,35.4755336243,186.092485264,58,275.400862308,175.890921451,38.2891,52.2938,405.315800774,97.825769671,99.4551,-102.531,99.3822122746,33.1493,99.4168970588,58,99.3642,287.067354148
433.116257118,0.560729,2.90499780163,453.805376866,33.8657719609,177.92978812,59,322.007649762,7.56133470269,41.581,52.9796,379.799023674,129.308377611,101.332,-104.485,101.248159219,33.407,101.286727996,59,101.232,235.51328952
384.633977831,0.57524,2.8962901866,481.949904391,48.2772747609,180.759385555,60,319.967619679,5.81154732114,36.4711,53.5926,394.851144226,108.808800437,104.165,-107.311,104.101031409,33.671,104.136619261,60,104.074,235.874897629
381.608913034,0.584451,3.04113090928,375.872956548,15.7640816998,171.981383125,61,296.64138139,24.8405277898,44.7017,54.2486,353.63928499,103.517314224,106.203,-109.319,106.102945959,33.9897,106.139457841,61,106.082,230.892941142
383.447560477,0.561613,3.01818168814,489.677224213,44.1257336528,165.155824139,62,271.478269374,158.47118418,41.9613,54.8185,329.14011647,81.7433308272,108.27,-111.381,108.167559645,34.2508,108.221873852,62,108.151,266.417575019
410.073963564,0.593064,3.09940846289,480.031942749,45.1164664934,162.803514637,63,307.911804581,56.838637474,48.1654,55.3831,350.707390768,88.4819119821,110.221,-113.382,110.128491618,34.5112,110.174426372,63,110.109,194.479566359
508.525154181,0.53419,3.11528630275,552.887810188,49.3118220309,176.762987899,64,322.776674879,14.5569401748,45.5224,55.9837,433.187763218,178.766512381,112.25,-115.508,112.138201712,34.711,112.192500819,64,112.117,274.082199977
399.480487616,0.615307,3.19770757563,352.202777084,8.91961854714,170.927699889,65,296.421720882,18.7888345423,50.3421,56.5791,341.085355194,117.171882326,114.824,-118.064,114.711160399,34.9364,114.764003772,65,114.691,209.328026509
417.009220658,0.556978,3.22179840182,466.265338452,55.7600972618,183.501653711,66,268.596024189,86.1093951017,49.8988,57.1161,398.8955537,117.010441909,116.787,-120.017,116.672891412,35.2057,116.720849423,66,116.655,249.827142051
366.289880511,0.581012,3.34258922099,386.47706006,19.2327897193,168.035448019,67,297.1388111,105.734133789,51.1309,57.6582,338.235608756,77.5800512418,118.924,-122.323,118.819699823,35.47,118.866111541,67,118.8,240.558537919
373.59424702,0.533959,3.50160877841,384.902746796,16.5731385942,174.97003878,68,285.882457538,9.56282966826,59.3298,58.2598,359.559588968,124.181279022,120.892,-124.237,120.762366879,35.5748,120.828256022,68,120.741,225.257124882
386.635259831,0.587701,3.42841725402,404.916472675,16.3718117726,174.918206336,69,336.898820218,10.8837988247,53.4947,58.8891,355.006946488,128.499349459,123.206,-126.457,123.101828734,35.7617,123.151196068,69,123.08,196.206551779
463.89372152,0.536611,3.46570059858,416.708376423,30.2868072759,159.880254889,70,268.918788589,12.0130392281,55.3642,59.4694,326.892892423,159.3662637,125.06,-128.435,124.953851443,35.9682,125.006864032,70,124.926,229.592041439
448.508025485,0.48516,3.52234808016,346.347020499,28.3630658635,142.462461093,71,232.737297168,19.1013128865,54.7919,60.0132,256.391784375,149.245801043,126.847,-130.143,126.72080044,36.2139,126.780620361,71,126.699,207.447282347
