PolicyRegParamNorm,MinEsReturn,AverageY,AverageAbsQ,MinReturn,AveragePolicySurr,MaxReturn,AverageQLoss,Epoch,QFunRegParamNorm,AverageDiscountedReturn,AverageEsReturn,AverageAction,AverageQ,AverageReturn,StdReturn,AverageAbsY,StdEsReturn,Iteration,MaxEsReturn,AverageAbsQYDiff
19.7446,47.2990755945,7.3628710694,8.50419,94.5473153912,-8.94821,490.07282001,0.923551,22,19.8004,92.3841793634,203.663595533,0.851389,7.35956,259.484386043,125.426941978,8.5228423829,135.606102987,22,398.248149501,0.53725877455
20.2935,41.3800224568,8.4027190859,9.46445,310.979022409,-9.95086,978.46690241,0.948697,23,20.42,95.7770143623,143.2026293,0.796973,8.39834,868.775488798,227.078870549,9.4790275439,92.8049648157,23,279.82416526,0.558006490338
20.6456,54.5042890071,9.4674021548,10.4734,56.7763419106,-11.0927,922.868331051,1.28475,24,20.9935,100.146140164,239.941155341,0.634485,9.46232,285.501230377,146.620342508,10.4928708887,127.004756954,24,386.566617123,0.629723192669
20.9065,36.8365834092,10.8185623125,11.7884,248.853685814,-12.4621,968.750725133,1.30042,25,21.5556,116.292596903,162.413188525,0.613674,10.8137,340.325269618,104.680731478,11.8047984085,119.32497215,25,334.614651199,0.666895181919
21.4079,29.4802228573,11.8664588633,12.7746,-27.1566763969,-13.4689,536.133266167,1.66834,26,22.252,40.4039805068,159.207314231,0.694779,11.8613,95.0841590816,146.891939802,12.7924307209,107.570228766,26,362.83614442,0.729501878714
21.8675,77.3569980727,13.0467221471,13.9054,96.5911632297,-14.6633,964.871031976,2.27427,27,22.9205,88.563870721,215.413827747,0.654678,13.0423,655.553264721,344.627881638,13.9205161355,93.8888810496,27,316.665756162,0.80620740649
22.3194,36.6138055633,14.3589150334,15.1105,205.489195193,-16.0274,296.548931132,2.44354,28,23.5527,120.422901423,219.531693453,0.679918,14.3516,264.357404134,20.6426088989,15.1282509616,123.056462274,28,358.054422544,0.838947722309
22.697,32.4366848918,15.4198039469,16.1571,107.831137588,-17.1546,1014.0900293,3.0778,29,24.304,100.772417814,140.695488753,0.609687,15.4115,521.417799697,324.887061974,16.1721817105,81.5907724923,29,270.598807998,0.918695659551
23.1463,144.840764881,16.7779678549,17.4639,100.499851824,-18.5293,533.405641471,3.43934,30,24.8104,107.347738325,238.1461077,0.789751,16.7698,334.22877665,78.6593365879,17.4773685678,87.4867226407,30,383.170416232,0.957037833051
23.4842,7.57845686163,17.8535991259,18.5021,172.569989475,-19.6683,491.931123033,3.70192,31,25.5372,112.868291752,301.715252689,0.671566,17.8465,287.693732877,82.5652294389,18.5163640335,294.136795827,31,595.852048516,1.00096019501
23.9265,53.1228245652,18.9262085193,19.5318,212.877835093,-20.7753,987.236749063,3.98248,32,26.1781,110.25630643,205.074632833,0.773802,18.9169,430.316283427,179.95475874,19.5446291445,126.377449934,32,388.236540619,1.0562560021
24.2868,20.8526333783,20.2868342121,20.8272,193.828225663,-22.2616,983.849250721,4.00914,33,26.7789,111.676996764,310.101592548,0.77455,20.2779,353.892039616,166.32082484,20.8338314934,204.339725043,33,589.867054865,1.0912086861
24.6729,64.0672711203,21.7936089179,22.2822,147.261916923,-23.8741,437.933361168,5.44003,34,27.4688,116.998477581,186.778687599,0.769582,21.7837,290.235813811,43.8867542995,22.2870592263,57.6536662318,34,269.113508309,1.19798021139
24.9884,73.6407995457,23.4860958813,23.9744,202.922510838,-25.5491,543.94226866,5.3871,35,28.1474,110.147153527,188.173386267,0.802958,23.4775,318.548064044,85.4206441718,23.9804727546,59.9954636899,35,263.820821089,1.25200697375
25.3725,90.129556738,24.8199413383,25.2675,125.97634714,-26.8024,368.247029851,6.32405,36,28.788,108.502943607,189.924676756,0.766632,24.8123,214.11493752,47.4232193333,25.2737552397,62.8152050431,36,271.382294925,1.33856160414
25.6728,59.026094021,26.0290971409,26.4748,50.5006599259,-28.141,332.880921239,6.40023,37,29.3624,104.215167149,179.694367523,0.747966,26.0183,226.533264883,52.5138159588,26.4801488931,76.0042356968,37,312.202386229,1.36357230601
26.0235,13.5623130246,27.4867441822,27.923,148.347771629,-29.6055,312.997451461,6.73969,38,29.9873,115.005115712,174.165112775,0.747669,27.4762,248.942228265,29.2363025675,27.9235659236,90.874334622,38,283.356033242,1.43076016401
26.3252,55.482365423,28.951660499,29.3552,147.728229778,-31.0226,672.844358692,7.1723,39,30.6484,92.1533711411,195.613829133,0.889993,28.9419,273.735093944,138.680099416,29.35772537,72.4374029556,39,277.094052933,1.46579009981
26.5684,-22.8365891702,30.3258660867,30.7183,151.357144521,-32.4238,1027.61510814,7.41589,40,31.1383,100.444342738,129.544459967,0.873471,30.3163,391.219429065,338.720810947,30.7191595054,94.3343283313,40,266.104678378,1.51255050252
26.8035,3.39389006309,31.6208934007,32.0026,119.963709238,-33.8275,881.506656083,8.48132,41,31.7395,100.680130006,174.586910655,0.808202,31.6112,191.642509354,86.2456198631,32.0129653096,130.287314253,41,301.510826631,1.61370192234
27.0555,6.44542705832,33.0986191296,33.4463,64.9781431673,-35.2995,622.238016972,9.59304,42,32.1669,89.9278970372,122.789594312,0.766665,33.0882,211.294718525,78.1110578159,33.4514303329,87.9700326369,42,248.062800673,1.72518966172
27.3137,124.626343811,34.0659043586,34.3784,135.516938015,-36.3455,265.635400526,10.2183,43,32.7842,109.668431801,483.236617207,0.726346,34.051,188.061027752,28.2392164051,34.3868945431,358.610273396,43,841.846890603,1.75414072288
27.5428,24.1363862385,35.744409106,36.0302,131.376583359,-38.1121,864.0297455,10.1494,44,33.1755,102.60140744,120.056322849,0.790411,35.7324,207.488485572,84.065109795,36.0402142911,59.3905825909,44,223.091799339,1.79922140798
27.7516,-1.57776018415,37.4447092769,37.6907,-73.6233093754,-39.7417,337.180199901,11.4158,45,33.7145,51.2261833678,167.267677978,0.756582,37.4325,99.7836303715,112.402672156,37.7047238832,107.560692226,45,305.74051178,1.89470981608
28.0451,-8.63418713717,39.0484692539,39.2627,49.8171799976,-41.41,214.30074595,14.0842,46,34.2086,57.0897440442,131.627813241,0.745691,39.0296,88.8539365587,54.021056607,39.2843532414,104.320518284,46,311.212336626,2.06069914318
28.2721,35.3294322422,40.3743315354,40.5716,54.031580938,-42.767,317.183182804,16.1341,47,34.6301,86.0290965812,108.113773723,0.738247,40.3595,145.811018957,42.0679123538,40.5916803468,76.6092220721,47,291.391068916,2.08988366598
28.5171,5.26619783702,42.5564493699,42.7178,41.5142593589,-45.0688,51.5216660874,15.7797,48,35.0601,33.831091089,83.2509576776,0.791532,42.5417,46.9229069722,1.74061070747,42.7356153981,70.9580757688,48,234.541895265,2.08849904974
28.7862,-0.267454127885,44.007011306,44.1403,21.155253659,-46.5909,332.944032942,18.9857,49,35.4725,41.9393818423,76.9290271065,0.781083,43.9899,74.2466033468,83.0787787796,44.1628941107,91.0570129964,49,267.937760743,2.2296603274
29.0418,4.77260992988,45.5228634253,45.6362,59.9014346209,-48.1603,448.516068233,20.7063,50,35.9291,99.8059841699,61.7155491726,0.879199,45.5039,249.251296546,89.5254399845,45.6642203341,67.0975165683,50,236.816381097,2.28469948956
29.306,10.7683980099,47.4010376641,47.5011,24.146872419,-50.1198,920.245136315,21.506,51,36.3464,87.571358019,91.0608511068,0.760699,47.3863,207.436979007,150.867268016,47.5215227476,81.9778860242,51,307.531104808,2.33914659581
29.5194,3.11686489227,49.4277491859,49.5082,15.800895393,-52.2272,708.689678951,22.6579,52,36.8142,49.5742474769,89.88873112,0.802393,49.4052,93.2516287055,128.210290828,49.53519929,84.1888726077,52,237.934411627,2.39168428688
29.7889,-1.75629341061,51.2083986626,51.2687,-30.4237352812,-54.0082,250.822320756,25.8276,53,37.2212,85.1161156338,56.2225359166,0.761217,51.1819,158.650243584,66.1506577467,51.3040538725,64.3238337192,53,176.822651418,2.48152403439
30.0675,0.159509099192,52.5500864383,52.6176,123.325907726,-55.379,330.391904668,26.0804,54,37.6539,100.233973617,102.989569556,0.756368,52.5354,183.845218023,40.2698640582,52.6352968713,62.8847056805,54,185.209059845,2.5275955939
30.2827,-27.6152759637,53.8938488686,53.9443,72.499277716,-56.7587,324.161709756,24.1353,55,38.0594,91.2297075642,61.822906932,0.785161,53.8757,152.040101097,43.6822961939,53.9718770245,69.2174817707,55,212.065277737,2.52112011035
30.5412,-0.934743274361,55.6483360686,55.6987,74.6389069164,-58.5927,255.850849176,24.212,56,38.4117,100.800418706,95.5063115541,0.755848,55.6302,172.394938927,34.2691057705,55.725711472,84.0324453675,56,254.442466323,2.52728808502
30.7905,-0.796835200727,57.4079302153,57.4589,-1.60720471815,-60.3359,1210.37195623,27.3914,57,38.8101,77.9264978337,68.3190906925,0.773763,57.3856,339.854293278,356.264367019,57.4835882311,71.093640633,57,202.342793739,2.67356028655
31.0274,19.6548161485,58.7348443162,58.7912,99.1070294746,-61.8162,391.636252054,29.2214,58,39.1847,98.3212697215,112.802177424,0.799213,58.7124,172.635720831,46.0978831092,58.808421668,68.8536498467,58,219.159026863,2.7290638322
31.258,1.41286860638,60.6648789921,60.7106,-9.38693130837,-63.7749,816.392966441,30.6082,59,39.5907,89.3744697069,84.3533864014,0.814073,60.6395,172.792765138,105.353288287,60.7308726191,95.4461419934,59,311.368836758,2.79781780888
31.4647,-0.279701222702,62.2327446436,62.2851,81.8842653882,-65.4369,215.593504181,27.8726,60,39.9904,81.4159975512,80.574922124,0.801462,62.2122,128.391414165,26.2467974273,62.3028901853,68.4501851865,60,187.600189658,2.7441846207
31.7245,-1.0257767447,63.9292435367,63.9981,52.3289128274,-67.0121,699.061992132,28.4988,61,40.3478,57.7105829774,83.353957795,0.846743,63.9113,190.542409399,142.073205143,64.003482313,65.9570798161,61,203.966603461,2.80400555276
31.9241,-1.72040777371,65.3799301745,65.4369,-16.393710472,-68.509,1021.14828438,29.1213,62,40.7266,80.0180867858,98.3553132452,0.789361,65.3602,288.709888411,211.357806189,65.4458818507,113.026270433,62,336.992695226,2.82840891206
32.1825,-1.51913296365,66.8264509576,66.8833,104.853254312,-70.0045,471.912132305,31.0147,63,41.0798,100.087344036,109.26160353,0.798935,66.808,207.986391723,70.4828188112,66.8908873338,75.2183232948,63,238.431233956,2.82369830973
32.4076,9.85526992058,68.7942283958,68.8564,124.054670175,-71.9525,455.145427084,33.8207,64,41.4156,106.057561609,148.33517149,0.829243,68.772,213.775457195,71.1886897292,68.861124912,148.143774045,64,512.659817553,2.96814332752
32.5439,-2.03082244491,70.0747366399,70.1374,112.559685026,-73.1582,477.778791259,34.0949,65,41.8068,109.882443133,133.247692572,0.782648,70.0573,238.839154997,76.3386207678,70.1394820899,114.659789378,65,267.540452706,2.96936149728
32.7835,0.248414022095,71.6476951452,71.6999,30.6254320402,-74.7648,472.193372343,34.7748,66,42.135,100.383190268,116.627207544,0.824446,71.627,225.534899583,82.6574238811,71.7058491923,76.1444517417,66,251.444220897,3.01281638724
32.9923,0.108383366901,73.2118967654,73.2653,163.19965361,-76.5088,807.875228756,33.74,67,42.4755,93.7758440485,102.005608265,0.828461,73.1862,413.649059267,156.085334577,73.2745442177,79.2900850533,67,206.791496689,3.00852937335
33.1777,32.5741708357,75.019721802,75.0737,-43.5699318364,-78.3568,1196.33775935,35.4427,68,42.8296,81.8180996234,147.203015016,0.881935,74.9984,328.455718514,267.047512086,75.078375669,96.6805315666,68,269.233005833,3.06448468064
33.3168,33.6793652859,76.6242609405,76.6867,142.492510879,-79.9623,366.804922878,35.1327,69,43.1292,103.99256019,138.911325349,0.830159,76.6004,201.170605493,43.3758648309,76.6941887012,62.0121742926,69,215.230898303,3.04969412337
33.5106,-0.264486626635,78.5410524854,78.5949,123.507869859,-81.858,454.134067002,36.2231,70,43.4868,95.1724469168,68.8916544171,0.839448,78.5179,200.703350636,68.8647185483,78.5981217341,62.5105946535,70,214.206892483,3.0569440137
33.7251,35.3242553222,79.4774239175,79.5548,128.951114998,-82.748,1115.25309628,33.2382,71,43.7681,84.2031144288,138.32341533,0.884158,79.4609,704.825301735,354.654669761,79.5393969761,53.5529188004,71,204.945057024,2.99495011441
33.9176,66.5884047149,80.8291155575,80.8917,102.947180338,-84.1605,343.747947118,38.4462,72,44.1165,92.096374201,123.547675338,0.837569,80.8034,180.773005132,47.44764184,80.8965818481,35.1745654768,72,176.944185265,3.17430277905
34.1651,53.4606011655,82.3031388368,82.3642,124.740108123,-85.6884,463.93417489,38.2596,73,44.3934,98.5000880299,134.759666426,0.871302,82.2773,218.725307914,69.5633216696,82.3564044936,44.3232826766,73,204.26934044,3.12410175865
34.3297,11.2043481954,83.637650163,83.7094,120.016080399,-86.9557,762.960753912,40.4021,74,44.6921,91.4914031931,119.921699219,0.858118,83.6178,270.705322173,146.396406017,83.6943295921,100.916789139,74,258.973464777,3.17923463583
34.5369,0.0599025162198,85.3712852419,85.4207,126.924870504,-88.4588,690.94235344,38.501,75,44.9978,100.246573894,91.8778520454,0.824499,85.3455,269.183914791,114.76704905,85.4222236764,70.6231781927,75,218.378942271,3.0996644574
34.7667,23.756107317,86.4161941733,86.4636,149.922962993,-89.6097,757.087436131,38.6204,76,45.259,105.533606689,169.074078531,0.848563,86.3886,279.062557196,101.477837035,86.4700653277,82.4811286541,76,278.693429758,3.20170344227
34.9854,-11.9002979288,87.6182291035,87.6986,81.8137736926,-90.9548,505.088371149,41.2902,77,45.6079,111.520259005,99.6744220074,0.866961,87.6105,264.481501476,110.281687356,87.6760064439,91.1991213532,77,241.328385949,3.17850863719
35.1499,21.6596557119,89.1240417413,89.1966,99.9909374327,-92.3484,375.336348336,40.1405,78,45.8624,92.8180095444,158.318229406,0.843111,89.1011,174.34223127,50.6162804531,89.1898489984,113.585618727,78,336.068823746,3.21805036153
35.3026,4.49605367635,90.0185833301,90.0896,61.1480776339,-93.2258,364.691058455,38.8715,79,46.1663,85.7407276168,81.9657372224,0.828503,89.9921,160.884257143,67.1498565819,90.0820094395,60.6049326423,79,198.354963737,3.19742168663
35.5069,17.15722749,91.5141662747,91.5977,69.2968659257,-94.8252,633.476444655,39.9428,80,46.5043,95.3465081181,118.205519845,0.819964,91.5025,281.260812134,103.815781012,91.5674582987,90.1677394766,80,317.063517462,3.22901158156
35.714,15.7855438833,92.8401579776,92.8944,91.3628273075,-96.1814,452.94570255,40.6937,81,46.826,102.773736772,143.440860961,0.856826,92.8101,194.225920882,89.6299835426,92.9014013582,131.348759466,81,370.885784828,3.24006955793
35.8866,0.242631527092,94.196024625,94.2806,156.392706309,-97.5912,547.030807076,45.6512,82,47.1456,108.983758168,87.4786188757,0.878698,94.1729,315.149855411,75.2845360033,94.2636793309,75.6509980453,82,285.083180326,3.33244101777
36.0368,-0.724628849816,95.737562181,95.829,120.805927991,-99.1746,598.581481906,43.5046,83,47.4526,115.355220144,150.614845813,0.862347,95.7207,265.194662194,91.4451843441,95.8008779547,131.411085465,83,368.222425015,3.26128825564
36.194,14.3425550988,96.9474253063,97.0269,117.791903782,-100.311,374.365304467,45.2094,84,47.7389,107.204274513,88.0960955683,0.841249,96.9258,214.769175786,52.5688980936,97.0045247644,69.5301363331,84,205.886251902,3.33788356043
36.3993,16.0919434884,98.3191139193,98.3994,170.97935613,-101.77,997.067682289,44.2119,85,47.9794,101.638225936,68.8330429334,0.864499,98.2941,532.801363768,314.7333373,98.3741792835,59.0854568929,85,204.148081261,3.25132602217
36.5491,36.7813907184,99.4881853319,99.5514,51.4188154972,-102.9,489.303861343,46.9506,86,48.2507,103.999669363,167.92681598,0.874299,99.466,246.418886614,89.3261999611,99.5354572717,78.1393931267,86,293.36106941,3.34656284959
36.7603,2.13610756587,100.857021766,100.919,103.36806701,-104.126,431.792597327,45.2839,87,48.542,86.5085132525,99.105381509,0.880264,100.831,275.979691341,68.5930783112,100.911747656,84.9359422259,87,267.455630564,3.31116221132
36.8946,6.40078652866,102.093508503,102.169,73.7141722117,-105.419,815.759859457,48.5596,88,48.8539,115.980263472,117.378075015,0.869768,102.069,389.590631832,167.51182727,102.146175893,74.1722582922,88,213.766977757,3.3418828998
37.0865,69.291380971,102.75219807,102.844,0.933831297669,-106.308,793.535506669,49.4965,89,49.1327,73.3047057184,204.928556966,0.83886,102.734,304.96721722,200.149225043,102.80798254,86.1257748712,89,354.010611842,3.40700798635
37.2235,-2.76268022295,104.87932194,104.935,35.0528732022,-108.485,702.841919435,47.7691,90,49.4221,55.2088671446,95.041222698,0.888852,104.849,151.846207854,132.820040953,104.930710634,83.7047148655,90,250.823757602,3.38495073082
37.4057,1.40784331604,105.65115183,105.728,180.61307699,-109.159,622.406748336,49.5673,91,49.6884,137.073498748,182.064863987,0.868507,105.631,325.806789134,79.5247501321,105.707395389,164.405568605,91,546.05827479,3.38673666001
37.5716,20.1202415265,107.011512258,107.082,-35.1495351032,-110.451,924.444226472,51.1912,92,49.9636,85.0565285455,181.867270434,0.810596,106.989,286.378570219,178.171596052,107.065657515,174.233097991,92,473.765270712,3.46115581347
37.6936,2.47601840103,108.197339096,108.276,132.826115739,-111.711,557.202778457,46.6669,93,50.2288,109.951657496,98.709688065,0.813834,108.177,270.794438907,102.711151388,108.240210462,97.3495807329,93,326.379099188,3.39485093348
37.8165,6.52885069655,109.403331749,109.486,56.7992873535,-112.813,799.32323441,50.5756,94,50.4729,93.136535068,152.392912758,0.822117,109.38,297.429410399,170.36296261,109.460916551,115.567877229,94,379.845320128,3.46737939286
37.9856,4.28281126664,110.525099323,110.616,94.4690633043,-113.881,946.101828812,55.9597,95,50.7451,98.3520876839,161.458892234,0.846553,110.502,230.263327747,157.605752624,110.584523735,132.923259781,95,391.230154908,3.5444012141
38.1564,52.3584766227,111.45103046,111.55,148.178466086,-114.905,627.397475463,45.7223,96,51.0247,119.747836267,358.161858364,0.848928,111.432,318.276962114,120.29767306,111.509017469,312.918823438,96,881.068608768,3.38512307865
38.3377,38.0034372242,112.384009694,112.48,236.602026957,-115.648,539.644446152,55.162,97,51.3204,129.673901725,230.553730098,0.888375,112.356,337.128651353,75.7741598673,112.450665097,172.473301734,97,546.516061022,3.52854185748
38.4934,-12.9073906744,113.271220097,113.38,-44.0222065555,-116.514,606.005582379,56.8047,98,51.5818,38.6071385206,125.570820574,0.845288,113.252,112.063201919,133.199933436,113.342652555,92.0187132666,98,274.674671245,3.53961970029
38.646,6.11399641527,113.968914518,114.062,-66.383330012,-117.193,801.603987796,54.866,99,51.9013,74.9340210298,215.522717505,0.827007,113.947,210.902671693,146.573014505,114.024313995,148.478001422,99,406.760568405,3.50321055179
38.8028,-18.6186285355,114.664031923,114.772,50.5778474821,-118.143,475.658005185,56.0877,100,52.2135,91.8753530491,161.396615001,0.852001,114.65,208.770025983,89.6437368546,114.717260448,197.698814373,100,611.670907108,3.56113787873
38.9837,0.29937406823,116.21349253,116.299,146.582490152,-119.413,482.071630299,49.342,101,52.424,125.199513484,175.73670418,0.89685,116.192,263.920171628,90.8843543397,116.267168475,157.783322626,101,382.904668337,3.5094654009
39.1429,6.1876643153,116.597026504,116.69,-10.1950454739,-119.862,710.330276561,49.6054,102,52.647,71.9373359169,181.413376579,0.841975,116.58,213.510061918,186.699079456,116.659148461,176.220418695,102,527.387052086,3.48497630674
39.329,0.182671974239,117.401270283,117.515,-18.4810816153,-120.712,875.652754846,49.6007,103,52.9248,94.8348423628,102.02549047,0.857914,117.385,210.579279865,123.535362244,117.463706284,103.564892455,103,299.156450242,3.50800862469
39.5092,3.55016299406,118.237726729,118.34,62.2317435413,-121.543,668.596849874,55.0462,104,53.1902,106.704564211,189.366027571,0.871825,118.219,274.878009223,124.988839502,118.304703394,107.149805635,104,324.177569601,3.54129626443
39.6924,-32.456659689,119.279844251,119.382,75.7269596822,-122.523,665.728067033,55.4266,105,53.4414,119.761101469,96.5553155721,0.848584,119.257,322.891227081,124.941095325,119.338659646,153.163027256,105,494.73351788,3.58401289517
39.861,-33.1397784721,119.639114482,119.743,70.1454905762,-122.926,652.614693147,50.5832,106,53.7276,101.344927042,64.2696750689,0.839824,119.624,280.121988355,118.97560528,119.70460764,98.2206502708,106,207.381644502,3.51890737472
40.0771,-0.957755519952,120.362229718,120.455,76.043277942,-123.642,611.740995804,56.1998,107,53.9482,99.1980270975,121.273765813,0.877472,120.341,216.471617352,116.505046234,120.416621344,156.232120881,107,412.208876251,3.66074495622
40.2027,-121.641477349,121.080467932,121.174,-73.5850236594,-124.405,696.98708306,61.0488,108,54.1918,63.5864083399,73.8806592687,0.848366,121.058,240.416665571,175.770785235,121.144402016,133.07877249,108,315.290541152,3.63387771668
40.3373,-11.501059245,121.623450265,121.737,-78.9576765919,-125.017,603.96810653,56.2229,109,54.4585,12.2269770362,88.9525655456,0.850653,121.6,78.2524701478,174.941226611,121.693882943,123.672393333,109,365.99066533,3.62681734978
40.4727,17.96528729,122.729884183,122.847,-28.2306866062,-126.152,-2.92185145772,56.6702,110,54.6984,-5.89609866055,133.478655589,0.852468,122.716,-8.26532937262,3.76191313321,122.801068069,111.497075846,110,351.58705457,3.63390765228
40.6898,-20.2693023406,123.400660112,123.516,-43.4059058611,-126.812,-5.16523175844,60.9961,111,54.9934,-6.60952107251,109.276231881,0.855045,123.387,-15.5154748591,7.09104215106,123.459108331,165.935868612,111,531.908914039,3.76174445394
40.8103,-29.2282577088,124.251959943,124.357,45.1902623441,-127.587,509.703899874,60.8359,112,55.1918,106.068206298,75.3376061229,0.879708,124.23,200.929556857,100.277862466,124.312664309,99.10819226,112,250.117534341,3.75117350385
41.0016,4.30732943879,124.732157278,124.825,29.7651674862,-127.926,655.306029525,62.4601,113,55.4293,113.443506425,86.1806415663,0.858619,124.701,249.397195476,103.141892682,124.791998165,79.3550812289,113,287.545058019,3.82005117759
41.1158,29.2232437545,125.730007793,125.842,37.2424680291,-128.98,596.071523037,58.2783,114,55.6881,112.394583734,181.464732157,0.860208,125.713,283.667435783,110.934153925,125.793825658,118.072469551,114,343.977462138,3.72742134172
41.3387,8.18164067703,126.211102454,126.308,-9.98708440605,-129.549,537.922694927,65.9282,115,55.9464,66.8915717191,112.57037761,0.854656,126.184,149.82462222,142.517132615,126.286280467,97.4996876681,115,311.445675464,3.8402338061
41.5031,1.0147852403,126.420887566,126.536,41.4522157736,-129.67,719.260416113,65.908,116,56.1826,98.8463861592,118.263943825,0.87154,126.403,278.027411665,139.133019882,126.483092844,126.511674844,116,363.944962506,3.90790573297
41.6676,1.36534553962,127.516178588,127.617,-60.5236415492,-130.629,566.592430496,58.58,117,56.4318,64.4867717988,198.771380397,0.865877,127.494,145.115941632,149.253197177,127.580717849,124.335208572,117,353.278163789,3.78329378453
41.825,-0.798045290314,127.498225267,127.624,-2.04030775081,-130.614,478.515483069,66.7283,118,56.6961,85.502545821,110.444624153,0.866677,127.472,190.106973387,110.985073124,127.569036997,84.2556346899,118,229.683367198,3.95841716169
42.0265,10.9695470616,128.650967715,128.766,-23.9222266495,-131.645,562.769038227,62.5589,119,56.9668,83.9744657831,111.645625677,0.878787,128.629,273.279678574,162.925723764,128.719677122,88.2563021205,119,248.894108957,3.92953823021
42.1916,105.820250132,128.723200497,128.852,11.0407573006,-131.941,529.74069975,71.7116,120,57.2065,91.9422032056,254.275799983,0.86951,128.699,224.655675338,112.513880882,128.79281968,127.467475459,120,473.098322977,4.0220235791
42.3427,0.241158252175,129.403103337,129.54,75.1009713709,-132.633,461.566242393,66.5179,121,57.459,106.356647945,119.978275039,0.888943,129.39,228.521162697,80.0080108719,129.475066189,94.801395825,121,240.904890739,4.05753819468
42.497,-0.674761786798,129.845392105,129.97,26.0148803694,-133.101,597.844586147,69.788,122,57.664,109.974954853,86.8534329829,0.881521,129.822,253.578288366,128.235650287,129.92065081,89.8834631937,122,266.354987011,4.0336260528
42.6278,2.23903319902,130.734223307,130.849,103.644372417,-133.926,541.114512522,65.8503,123,57.8437,96.6304650868,113.969697489,0.88484,130.712,172.709920285,82.4189693747,130.813753935,67.9812954766,123,216.280280374,4.00099282424
42.7625,64.855401962,131.569644047,131.678,27.2760814235,-134.846,661.246606795,70.0488,124,58.119,90.8380268433,195.462791387,0.869878,131.546,285.767802725,157.783426578,131.639905941,89.3448817262,124,375.163977057,4.10135664417
