AverageQ,AverageReturn,AverageY,MaxReturn,PolicyRegParamNorm,AverageAbsQ,AverageAbsY,AverageDiscountedReturn,MaxEsReturn,Iteration,AverageEsReturn,AverageAction,StdReturn,AveragePolicySurr,AverageAbsQYDiff,MinEsReturn,Epoch,QFunRegParamNorm,AverageQLoss,StdEsReturn,MinReturn
5.06638,305.766950295,5.06752638394,370.118588475,18.6725,6.68316,6.69943388225,115.818493445,439.949086348,19,233.179969586,0.62221,16.8572802592,-6.9895,0.404955895081,34.023911744,19,19.0009,0.460039,129.532045555,281.131871708
6.31618,292.315043114,6.31837701737,658.571357271,19.2748,7.77457,7.79141904586,105.738086996,322.136516011,20,202.417859335,0.647506,103.229064136,-8.27201,0.448725609231,22.0626052318,20,19.8543,0.677902,123.645161356,66.1567961227
7.5018,483.896080135,7.50419369804,1190.90208876,19.703,8.80935,8.8235372201,103.047612983,315.689449475,21,187.369853279,0.63013,245.090389098,-9.4782,0.495671073567,-0.78484305007,21,20.7847,0.884061,110.544442219,99.4192058231
8.73693,295.755138903,8.73990536844,460.211869342,20.2966,9.93348,9.94580404914,106.142135996,400.901303497,22,270.658039919,0.670824,86.8860799237,-10.7511,0.518775069518,91.026627499,22,21.6247,0.945707,115.993972498,73.8481454858
10.0193,321.412569066,10.0222610856,480.335681239,20.8161,11.1068,11.1178987934,114.009398369,309.33871078,23,177.90093079,0.658591,55.9512418796,-12.0227,0.565155963061,41.7089109637,23,22.4996,1.28819,98.1774355258,227.821678578
11.3478,209.346982503,11.3510246173,336.459516317,21.4504,12.3762,12.3880504551,110.974780748,281.898374588,24,227.250681084,0.666232,37.5461910519,-13.3476,0.603307059714,80.0705609132,24,23.3465,1.38299,65.2096086291,114.990970413
12.6852,310.240690041,12.6886282245,473.08385462,22.0438,13.6747,13.6840672434,110.014215552,292.780274509,25,155.146442989,0.659806,82.3879868657,-14.7,0.662328256669,6.89254290446,25,24.1712,1.72888,98.806089077,79.2934557965
13.9036,275.147539573,13.907470073,1218.79507281,22.4381,14.8474,14.8609127987,84.0053273488,379.476433368,26,188.488182156,0.717974,262.74411779,-15.9656,0.722805119692,55.5484019554,26,24.9293,2.06619,122.030725945,38.3741418976
15.2096,371.996919022,15.213852599,942.569673754,22.8698,16.076,16.0908585384,96.5333920384,782.439959544,27,502.574210368,0.818504,214.019479725,-17.3545,0.762054496065,310.323453845,27,25.6295,1.98539,202.452939291,75.2809310085
16.5786,399.698102593,16.5846892079,601.727444243,23.2265,17.4051,17.4213236808,104.206288738,366.896797401,28,254.114510987,0.810357,125.215693519,-18.7179,0.817799501461,16.5616135054,28,26.4505,2.40586,124.663941886,153.10932228
17.9103,363.191667297,17.9164955678,491.742852609,23.6137,18.6682,18.6853795072,119.746733813,376.540406029,29,191.478370926,0.776339,45.4711011359,-20.1184,0.860927924068,56.051883675,29,27.1616,2.66583,118.131646712,246.136750239
19.2744,450.834947158,19.2795921848,580.494536579,24.1201,19.9691,19.9827139964,130.49859968,419.553315924,30,243.688139791,0.845912,60.3313023953,-21.4821,0.913238266209,6.66785653439,30,27.8405,2.91051,155.012809176,343.101851708
20.5564,298.493978932,20.5612052229,603.029874304,24.4308,21.1957,21.2051951206,98.5803445081,431.234060175,31,248.910645669,0.837073,165.38234122,-22.7613,0.949783952397,30.8403838159,31,28.4809,3.26418,163.000105551,55.8583264848
22.1444,498.637161335,22.1507778036,605.072603075,24.8359,22.7313,22.7393895148,115.539689765,459.558365601,32,275.098753595,0.795877,45.9508215267,-24.3696,1.00241566164,4.57174953131,32,29.0826,3.58403,184.909787956,433.021939081
23.5299,369.498755509,23.5366442086,576.18440218,25.2276,24.0716,24.0746358915,112.927075892,372.964866266,33,272.217399378,0.816997,74.9102351179,-25.8275,1.09136842065,82.2059888351,33,29.7884,4.36439,114.026098986,220.702784185
24.8861,434.798795473,24.8919764644,593.009574617,25.6673,25.3712,25.3780486905,113.215906577,305.057159888,34,163.10642223,0.803466,73.0910180168,-27.1554,1.08779883527,67.3578179404,34,30.3552,4.12988,85.1616867026,233.212791325
25.9797,310.230223822,25.9872378704,578.061141263,26.0179,26.4618,26.469116604,93.9674046118,333.393210738,35,265.169658178,0.826483,150.46293475,-28.1787,1.15567904152,143.111656197,35,30.9913,4.63173,76.1885593903,55.5179429906
27.4247,237.02315352,27.4300402732,513.015833537,26.4243,27.8824,27.8860967102,93.9751284658,493.336568118,36,296.540607459,0.832651,128.23130217,-29.7096,1.20264167229,151.493572347,36,31.5751,5.20343,119.583703924,55.7601192096
28.8351,223.189337275,28.8409433168,684.950425874,26.7467,29.2653,29.2699123997,73.2799156928,548.915838259,37,338.501397334,0.807107,207.446257631,-31.0585,1.28013659871,178.787224174,37,32.1635,5.53496,159.579757897,42.2009824321
30.4072,432.667010738,30.4168202943,959.055703348,27.1047,30.826,30.8346693098,93.7652587049,358.419088456,38,216.531435167,0.85891,212.32785475,-32.6986,1.33190963575,68.5240592294,38,32.7792,5.99797,110.890110288,58.9843613797
31.7469,272.848621303,31.7543035644,716.488633192,27.4943,32.1402,32.1476148744,84.3279109224,344.271052889,39,242.310491686,0.856387,185.500257478,-34.0336,1.40793009937,102.998676737,39,33.3165,6.92309,85.1908197115,-15.5940386774
32.9102,153.228346771,32.9186433954,714.659610694,27.7998,33.309,33.3164999441,51.0498951358,231.02670116,40,109.42993511,0.853592,198.011530053,-35.2478,1.48506304845,54.6983398167,40,33.934,7.46214,69.5747926331,-48.9575786702
34.3605,234.982359148,34.3678193938,894.722106523,28.1052,34.7334,34.7406921866,73.769579093,140.609304559,41,42.8711974203,0.856993,173.0969963,-36.7737,1.55103199367,-10.3309924741,41,34.5249,7.79835,49.319737112,-2.38213972035
35.4123,533.526042449,35.4210751122,1001.59499548,28.3255,35.7938,35.8061588937,81.1677471457,332.295628093,42,105.880061075,0.872216,369.122744332,-38.0103,1.65296095794,-32.1172548311,42,35.055,9.16494,111.500554355,-3.22517718984
37.0394,362.372170062,37.0546700179,1052.90603278,28.5563,37.4109,37.4272598573,63.3117733023,303.713839342,43,86.8450688659,0.805876,443.937049846,-39.7849,1.71766752709,-0.105138555228,43,35.642,9.56173,111.765739091,18.6301977417
38.9289,207.632544666,38.9399242381,938.864092872,28.7188,39.281,39.2900728039,57.9788300634,94.9308241835,44,38.9788898064,0.853178,285.888647308,-41.9056,1.87139330101,2.13432471648,44,36.2053,12.618,29.4217617624,-76.6207378347
40.8462,925.492368938,40.859353671,1017.3987543,28.9916,41.1501,41.1628708487,100.942257105,268.318611874,45,42.5367970829,0.840798,279.432990139,-43.8966,1.95867362923,3.21187091644,45,36.7684,14.3093,57.7564620462,41.8693903381
42.7764,46.5028443724,42.7954111866,148.268152183,29.2795,43.0565,43.070162184,32.5379208806,164.492238786,46,23.1806686792,0.891541,29.8899129417,-45.9812,2.0251087841,-2.15439391833,46,37.294,15.3387,33.3660845055,5.9535872283
44.8436,91.0726065998,44.8596923513,138.374986903,29.5499,45.1017,45.1076381971,56.1839401784,361.893155664,47,78.3572265894,0.855666,24.7566161804,-48.1135,2.18015418147,1.19587616099,47,37.9823,18.5854,103.406197017,40.4089192626
47.0514,152.924434484,47.0653336044,357.244839252,29.836,47.285,47.297196395,58.5188090578,146.821775256,48,39.0728387187,0.795831,87.8744560648,-50.3533,2.2498645945,-2.79346712916,48,38.4955,19.5653,47.8764592541,47.6314322129
49.2479,998.173103641,49.2632264221,1039.81453925,30.1454,49.4714,49.4782646868,102.352844936,223.392330976,49,44.0533302136,0.83357,26.2531075875,-52.6461,2.28033015789,-1.16706438153,49,39.0168,19.1946,69.1556700027,952.874563314
51.2122,120.27961487,51.233721879,305.329723658,30.4473,51.4033,51.4180035033,62.5900412642,220.08561072,50,55.1534933381,0.783226,74.3833053461,-54.7715,2.42099050146,0.0106922795691,50,39.5885,22.0811,70.4829093647,-79.2303600066
53.5879,188.335566207,53.600273385,468.612096957,30.7226,53.7496,53.7542506511,82.1120727293,246.928446061,51,84.8710409247,0.780674,124.068606676,-57.3473,2.40352040279,0.00352783390361,51,40.1441,21.1742,83.3164758292,-36.0010581483
55.5596,424.177203983,55.5775579876,526.328551559,30.9841,55.7146,55.7254648065,130.471355859,295.879681987,52,98.1369805065,0.807574,75.9513696947,-59.3299,2.56145013872,2.11956854735,52,40.6906,23.6828,104.113114842,210.718944138
57.6972,277.130695745,57.7141588231,463.670002875,31.2241,57.8292,57.8382762244,108.099433793,361.846253454,53,147.19583511,0.787423,67.428059424,-61.4223,2.59696667117,39.4354192302,53,41.198,24.2207,104.155762423,112.621673528
59.6953,263.604692087,59.711298805,453.439218835,31.5177,59.8186,59.8291539612,112.92990373,271.590480517,54,60.0124005025,0.803072,64.7037778996,-63.4545,2.61201634915,-27.1765241108,54,41.697,24.7334,89.4381161034,143.582519188
61.8437,61.7268446541,61.8623591702,385.354407497,31.8705,61.9582,61.9739679063,38.0848607632,331.050960404,55,93.8470581907,0.753702,68.4730166454,-65.5631,2.71780494516,-29.2673518262,55,42.2111,25.5597,105.516303358,18.275620393
63.7279,47.5001932449,63.7470732385,322.219091261,32.1725,63.8448,63.8552758204,29.230527444,220.026199674,56,69.7713643222,0.79756,80.622423828,-67.4851,2.73192711712,0.204754858205,56,42.6612,25.3203,70.3123837224,-22.6991865406
65.3846,27.0885259894,65.4033104314,38.1500164723,32.4494,65.5014,65.503440656,20.481605423,226.770150385,57,81.3297861149,0.854052,9.56248091237,-69.1189,2.83674874707,17.4948381171,57,43.0989,29.1716,80.1060408771,14.6654308108
67.2948,185.746448521,67.3121243568,547.775362922,32.6948,67.4098,67.4189482836,100.361498172,311.154148974,58,159.730243272,0.804097,81.7263492073,-71.0615,2.82055216441,17.0170833342,58,43.5339,27.8045,116.661839226,6.73845119882
69.2823,185.061251612,69.3030441123,355.226313147,32.9581,69.408,69.4069200024,98.59010952,318.05836576,59,97.4877683363,0.796201,56.0598717162,-72.987,2.9330788265,4.95893707833,59,44.0322,30.8435,96.5373602235,26.4815621024
70.7599,274.121385702,70.7718746895,479.40253572,33.1787,70.8786,70.8735035887,112.298702666,261.704141305,60,161.084814375,0.7793,71.768303928,-74.3624,2.98625424623,29.1728274159,60,44.5074,30.5609,92.0402736823,8.25359512255
72.4225,235.082734631,72.4392201527,500.354329094,33.4545,72.5347,72.5393342254,111.991938094,259.820546009,61,146.096166428,0.808675,86.3837790976,-76.0434,2.98526872608,17.1460332681,61,44.9398,29.9366,90.9136523502,-2.69204068653
74.4232,269.695036435,74.4359550493,337.101031872,33.7276,74.5399,74.5278471083,128.63360053,418.381552447,62,219.500405628,0.812256,36.7532229244,-78.1783,3.05094246221,60.0735437248,62,45.3983,32.0035,134.569721405,181.082977204
75.8893,275.485655423,75.9048529777,447.484443092,33.9868,76.0087,76.0066173069,103.370016559,366.727861777,63,275.364585876,0.806485,98.956677467,-79.6802,3.11158079064,194.275166373,63,45.8237,33.1797,64.262956925,-35.7052851395
77.7914,195.125834903,77.8125199127,440.19782949,34.2311,77.9162,77.9136341215,93.4494905951,303.343119339,64,128.323954199,0.809649,108.632961933,-81.552,3.16077368467,-18.9823627222,64,46.2378,33.1603,121.525217209,-114.166109824
79.2426,273.422487735,79.2552504891,498.864154939,34.4006,79.3652,79.3585096302,115.340966884,386.487958657,65,186.828770807,0.77266,80.4054452484,-82.8925,3.18821222631,55.532332082,65,46.6243,33.3384,108.159496267,67.2590065764
80.5294,268.626569218,80.5500712938,402.054245901,34.5524,80.6509,80.6474261671,115.095965801,387.572383723,66,193.436436806,0.790031,72.1711222001,-84.227,3.27558955296,19.1046393916,66,47.0604,35.971,122.840909574,-7.92608386963
82.3171,231.310215348,82.3310815561,378.76487859,34.7055,82.4319,82.4256298653,115.118397817,299.701537091,67,176.052872577,0.782221,51.24401313,-85.9847,3.24721007488,59.1009489052,67,47.4577,34.4831,67.1250662827,-13.6219795844
83.8523,282.626541504,83.8679395944,374.495403797,34.8707,83.9703,83.963506997,120.880891736,382.826950313,68,212.048533689,0.799375,47.2117598089,-87.6142,3.27084237429,1.54342941291,68,47.8372,36.5025,128.34439247,179.088096134
85.4437,129.231037818,85.4638389131,297.597123818,35.0778,85.5654,85.5571218254,62.045642224,313.700205998,69,127.036941571,0.831227,97.8004770403,-89.2026,3.33983449686,-3.46162213363,69,48.1826,36.6597,112.252244389,-44.3163427747
87.3554,133.10295833,87.3704494698,305.686978106,35.2372,87.4827,87.4705249975,44.3677585324,386.081736628,70,166.612364576,0.812279,87.7160938667,-91.1633,3.33006409612,-45.8514651614,70,48.5742,36.314,157.313707049,-72.8882208805
88.4247,281.532774524,88.4465513572,600.533543926,35.4072,88.5478,88.5434691576,116.61566151,283.820656304,71,108.734517928,0.798012,87.5091341295,-92.2293,3.39466145343,1.1003471375,71,48.9329,38.2086,97.5606991328,66.2061416611
90.2853,121.108053012,90.3010517197,543.560980228,35.5688,90.3986,90.389618555,48.7145891679,400.486003696,72,123.98166756,0.791124,118.909524813,-94.1111,3.48377699419,-55.239786198,72,49.3072,41.2364,139.52977643,-73.5864318593
91.4769,198.965920817,91.4979135963,486.618362578,35.761,91.5961,91.5868765701,66.8203195023,267.476094701,73,115.814457907,0.782332,151.936610607,-95.3564,3.45543670083,-4.43842172545,73,49.6845,39.2815,106.159162827,-87.6630231295
93.06,225.404364424,93.0770235004,417.732306649,35.9301,93.1728,93.1600902883,120.9669543,341.630697091,74,148.210885873,0.824472,68.3429333057,-96.8989,3.5354552744,-57.6129222079,74,50.0649,42.9863,145.17745091,129.061302253
94.6898,247.187419674,94.7067857814,519.860327083,36.0856,94.7963,94.7875752477,112.239927725,530.35062221,75,125.791141516,0.793761,71.2750132283,-98.5209,3.58617274965,-55.7288766249,75,50.3724,41.9542,196.419433547,75.4045816859
95.4842,238.16628658,95.5024306386,379.861763325,36.2491,95.594,95.5794306513,120.573268512,207.540684921,76,72.5970159961,0.804735,54.6571947622,-99.3781,3.5992507839,-30.2989387584,76,50.7209,41.7549,95.0640868451,136.681699211
97.083,224.516134525,97.1043018589,497.886505134,36.3969,97.1862,97.1807801664,98.5405893598,293.083075732,77,141.613350981,0.815333,139.997710583,-100.985,3.60886354572,-3.79092572187,77,51.0079,42.8484,114.220849367,-12.2221188077
98.3305,124.639764682,98.3493704633,447.273978867,36.578,98.4382,98.4241768575,44.2434945925,312.622482281,78,116.564953544,0.794549,149.650003458,-102.276,3.71935112258,-28.2870826348,78,51.3956,46.0434,127.332844991,-170.849336843
99.7068,-2.34457706836,99.7276461176,405.963146003,36.7179,99.8168,99.8033524568,1.35061193521,310.052075448,79,193.282517485,0.773864,96.5460112346,-103.626,3.71250247063,49.5061959753,79,51.6904,45.1844,96.7643372129,-184.158406726
101.179,34.8845315388,101.198677436,609.499011001,36.8801,101.291,101.275939788,12.0996819924,313.077342153,80,142.78330472,0.746506,91.7618159377,-105.143,3.75035073645,-26.6482495563,80,52.0206,46.7992,134.398667518,-99.055013292
102.22,306.39186055,102.242055558,632.614481759,36.9826,102.326,102.311911642,128.901950111,335.661024825,81,112.39895619,0.807242,97.781714957,-106.135,3.75211171066,13.5706812073,81,52.2796,45.9168,113.788107311,49.6965034094
103.502,290.680068498,103.525650647,481.434292332,37.1151,103.609,103.598883537,115.040554775,284.784630384,82,124.839202455,0.784062,84.8326417464,-107.417,3.79483193739,-2.79350609883,82,52.5549,48.7477,96.2125757569,64.6482383587
105.0,58.5475403511,105.019738366,888.572746663,37.2339,105.106,105.086879137,14.4139767714,188.242009459,83,56.3487379337,0.783455,161.108074845,-108.895,3.73775948683,-31.6071262884,83,52.8277,43.142,66.2699593599,-202.093251779
106.05,261.175989172,106.067461439,820.369169126,37.4307,106.159,106.140468032,56.7372603022,202.841069082,84,72.0226400924,0.797666,208.790560774,-109.992,3.74214589572,-19.3557758925,84,53.1048,46.6923,82.7413486244,-100.502166355
107.345,-25.296308687,107.369045335,163.741403451,37.5582,107.449,107.435659165,-13.542191976,363.065363268,85,102.985032816,0.835454,22.800120502,-111.283,3.79437972058,-31.0091640373,85,53.3795,45.9801,138.177768913,-65.2241895119
108.031,82.2377597933,108.050043794,389.152817449,37.7151,108.135,108.114289301,26.7394228297,334.551336954,86,49.3911406478,0.783186,138.767952402,-111.885,3.89475629187,-43.6860094426,86,53.6889,52.7889,111.089038047,-153.2248748
109.166,-36.3119061155,109.186066669,-11.4722410918,37.8731,109.266,109.252520793,-17.5077077392,327.633084944,87,130.203711237,0.821261,15.3566658541,-113.09,3.79912642847,-22.4767748409,87,53.9642,48.3791,117.274216407,-94.319590356
110.378,-19.2018395782,110.408897552,106.054915634,38.0445,110.487,110.474140608,-9.76885054563,301.225361311,88,62.9518644062,0.841816,21.306693134,-114.228,3.91553559,-26.4636473631,88,54.2486,51.4244,114.886106779,-87.2286139117
111.017,70.3964537025,111.036285038,411.222511084,38.1854,111.122,111.101732565,21.9087838548,287.702279618,89,68.8070371476,0.799326,152.575088458,-114.897,3.94990157262,-22.4904335038,89,54.522,53.2047,103.814465008,-61.2272595503
112.012,36.5055620809,112.030738541,492.125234878,38.3774,112.111,112.094033777,12.2675809222,353.630124211,90,68.1923405662,0.796436,121.11500675,-115.932,3.86007142481,-19.8430600774,90,54.828,48.3573,110.801071997,-81.0735309357
113.121,196.374213483,113.142568525,1119.65113786,38.542,113.222,113.204316479,63.8285078399,262.451018311,91,47.929022942,0.776456,201.438733925,-117.017,3.93597863392,-84.4301846804,91,55.1012,49.8766,115.508690783,-64.8796289666
114.242,466.486480018,114.265090204,1020.07175025,38.6992,114.338,114.325850363,139.197238362,347.690768983,92,164.357710193,0.760926,141.995916468,-118.112,3.97020380235,-2.93647997357,92,55.3704,50.4995,135.031157703,247.271030505
115.265,278.699516052,115.288529218,808.227173351,38.8393,115.377,115.359529016,110.463439395,387.572401076,93,139.122600954,0.808756,163.07349511,-119.046,4.03657285909,5.53284085313,93,55.6611,53.5918,138.305334335,95.8592688157
116.118,361.915897856,116.136076655,791.588140999,39.0043,116.23,116.206634937,119.949172903,511.907634125,94,267.675035098,0.815523,147.533467453,-119.87,4.00883555843,-1.7708533589,94,55.9215,53.8823,199.423705204,33.0230636631
117.272,351.115720388,117.288483373,993.921259384,39.2055,117.374,117.359338236,98.3675396146,511.539106025,95,201.716770683,0.778185,172.458941374,-121.069,3.99615002085,28.2449396769,95,56.2354,49.8759,183.547877625,10.9837531254
118.038,341.614740058,118.061658874,526.45993576,39.3879,118.148,118.138345954,115.951280869,418.820783612,96,145.02275555,0.833523,120.075141943,-121.976,4.06630185125,-25.4108360828,96,56.5294,56.7469,155.80670923,45.1214697359
119.347,338.653694281,119.364034517,558.470615727,39.5612,119.464,119.444751405,111.669619564,426.296225772,97,277.451903139,0.800847,99.4882856346,-123.157,4.07961472613,36.0568449246,97,56.7718,55.4081,121.722450082,23.369680116
120.261,308.786779368,120.27926605,492.554771577,39.8062,120.373,120.360775975,125.208982762,424.266082432,98,284.682496312,0.837483,95.5684415895,-124.098,4.15882094701,78.6613487397,98,57.0797,59.3678,122.076254412,49.9375345129
121.073,326.765646709,121.093678912,967.150986796,39.9882,121.202,121.178681387,127.323512976,375.143541017,99,265.494601493,0.825408,123.199651336,-124.994,4.19484716933,134.718099415,99,57.3052,59.387,82.2991615923,141.242405321
122.526,371.335930476,122.537351904,1009.03594697,40.174,122.644,122.619083994,125.774067622,360.444325538,100,204.772147256,0.79547,126.88064879,-126.337,4.06714549214,38.138901262,100,57.613,54.2537,124.115162793,201.221662224
123.547,365.318248326,123.571734246,1027.25679669,40.3708,123.671,123.666899518,120.125141799,340.276825562,101,229.462203737,0.854833,147.281895716,-127.417,4.16148394298,13.9002295518,101,57.9052,55.4915,123.101245559,169.865165156
124.826,349.974652432,124.848750251,1019.92206327,40.6053,124.96,124.941343242,111.830564781,353.613635313,102,174.666131658,0.817374,197.148510765,-128.615,4.12272590151,14.3073609176,102,58.1422,56.711,122.512346063,40.1903573313
125.224,322.406345702,125.242964618,658.911139058,40.7893,125.354,125.336758111,103.113697309,514.243876293,103,229.690094265,0.817322,125.335080705,-129.016,4.16894183963,29.8916134194,103,58.4181,56.8463,157.767977695,26.2264601219
126.836,233.988803507,126.850832336,545.024759895,40.9784,126.963,126.94303977,105.139092075,370.421347853,104,258.677552035,0.859316,92.5169090172,-130.577,4.16318510905,75.1339547305,104,58.6948,57.3752,105.597902726,111.344622667
127.732,366.620300949,127.753335404,565.808464685,41.1523,127.862,127.844782158,125.990662219,373.582884548,105,190.240306271,0.838178,98.851726248,-131.52,4.16229314529,21.5282418528,105,58.9609,57.0795,133.073325498,139.171859349
129.023,332.63752651,129.041113204,695.051794932,41.3599,129.153,129.129526477,113.750752768,420.793147479,106,172.696126256,0.834854,118.792169445,-132.764,4.24295269016,-8.47213212037,106,59.2442,63.9478,145.382429898,127.179076984
129.62,366.398188014,129.637809937,745.56893606,41.5168,129.754,129.730167443,105.360341319,705.634793844,107,237.885951892,0.835401,106.400491283,-133.514,4.35934216425,24.5145792835,107,59.5097,65.128,201.331743858,193.911501323
130.521,514.210233601,130.54262993,1018.01949197,41.705,130.654,130.634217659,111.744810268,397.846483083,108,150.150373946,0.755046,229.156211012,-134.316,4.34026919613,20.8470462353,108,59.7804,65.5499,135.942486527,138.579520702
131.359,330.323941559,131.382293214,708.038341659,41.9034,131.5,131.481095801,121.294297194,437.812926335,109,158.690476468,0.852776,93.3099785469,-135.248,4.24802396385,1.43532076688,109,60.0265,58.8692,142.63493657,93.7079031617
132.253,387.429296325,132.270525807,1030.23161687,42.0791,132.387,132.370018309,110.918483621,357.77363266,110,215.341534319,0.78617,179.329955867,-136.105,4.2854308592,82.0204864539,110,60.2938,59.7783,98.5491030042,193.376001941
133.118,361.345847852,133.135552996,1059.51565219,42.2771,133.273,133.245899702,116.192826084,353.636646587,111,152.152632801,0.841016,252.139425623,-136.941,4.33508253421,4.44223395337,111,60.5592,65.8015,135.032794755,160.918271726
134.34,296.653380208,134.353050109,462.422704389,42.4337,134.478,134.456924753,118.341899657,293.714978306,112,138.3529318,0.838741,71.5228961758,-138.114,4.26724996829,-1.64280449145,112,60.7815,59.8693,100.729277628,160.391937092
134.985,451.375303472,135.007465436,1119.37027957,42.6076,135.121,135.104190707,110.852100794,301.966519727,113,140.53767135,0.831994,235.560288363,-138.774,4.40198095612,0.227935512837,113,61.0689,65.4935,108.554686321,57.2777306235
136.125,385.111256774,136.146623288,1076.62825792,42.7779,136.275,136.247807203,111.625719404,368.986945796,114,197.362044545,0.812992,238.973447091,-139.945,4.30278576001,25.7444394856,114,61.3026,60.5267,115.870155007,27.102168657
137.054,411.550750234,137.076737061,993.400798663,42.9861,137.199,137.175867435,114.400291293,479.035825976,115,208.692922894,0.837315,169.83358282,-140.94,4.41456667891,74.3976834658,115,61.6036,66.1325,141.710478353,211.849686018
137.683,383.100765667,137.703312062,1018.04694093,43.1645,137.834,137.813282345,125.316362066,462.269087754,116,294.752879771,0.838722,147.772805045,-141.667,4.52791446561,215.204452038,116,61.8794,68.7134,80.2107965109,208.163772566
138.887,298.283813571,138.91161739,435.271349108,43.3985,139.035,139.010521173,126.650525902,428.754445293,117,205.230219713,0.855298,58.4668084274,-142.792,4.421866387,74.3782148334,117,62.1313,64.5632,132.666257176,183.489662785
139.984,381.800555595,140.001160421,1039.70454096,43.5571,140.129,140.106496865,119.23703838,380.72559568,118,160.598877984,0.805625,179.797928096,-143.872,4.43933720977,9.65157769625,118,62.4053,65.4715,123.504128097,-8.15643271521
141.14,317.071081889,141.157927181,604.047460373,43.7662,141.287,141.247181048,112.820967053,356.935055016,119,202.159888144,0.852151,108.649001474,-145.038,4.52429997202,3.19378921491,119,62.6423,68.9111,127.536565875,-22.7472145708
141.808,308.385252817,141.824706465,557.491961326,43.9054,141.944,141.915235195,105.617841358,421.844385229,120,182.015906455,0.844053,98.3519762172,-145.78,4.52149457404,12.841274067,120,62.9154,68.4033,159.685817831,153.968689616
142.423,311.125343313,142.442340407,448.349248155,44.0643,142.554,142.536108553,116.575152506,557.234121889,121,205.900909892,0.852262,79.4747708235,-146.461,4.50173826185,14.8299196514,121,63.1742,67.7426,187.911170025,112.588911609
143.933,321.588274724,143.950556565,556.91389131,44.2374,144.075,144.047530691,130.898894928,287.440076177,122,175.658395603,0.850385,72.961063851,-147.91,4.58710075212,-203.159770574,122,63.4092,70.9508,171.554699547,182.743944975
144.506,321.023343691,144.531663623,611.201383928,44.4043,144.641,144.623139172,129.742861902,422.684311325,123,305.764721052,0.862131,83.6118716464,-148.468,4.53522411971,182.364896336,123,63.6674,68.8918,90.9743628916,153.584300589
145.647,339.122816139,145.662436158,504.082369544,44.5583,145.779,145.744779724,126.701291335,243.583973866,124,121.477197458,0.84928,62.0559640674,-149.562,4.52416238723,1.46611709822,124,63.8728,67.2314,102.647163986,192.158235091
146.727,295.756348193,146.7458396,934.862883444,44.696,146.868,146.83274309,97.0010355217,330.972320316,125,165.105683982,0.839572,148.34087168,-150.504,4.57500551649,14.4149013103,125,64.0392,72.8856,109.112021658,-35.3406956818
