PolicyRegParamNorm,AverageReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAction,MinReturn,AverageAbsQ,AverageEsReturn,AverageY,AveragePolicySurr,MinEsReturn,StdReturn,MaxEsReturn,AverageDiscountedReturn,MaxReturn,Epoch,Iteration,AverageQ,AverageQLoss,AverageAbsY,StdEsReturn
27.8233,2123.76097852,30.0801,0.754108456452,0.867755,1483.71098114,17.1459,1005.1919414,17.1525103397,-18.2507,1005.1919414,216.240466071,1005.1919414,175.690814951,2281.08377504,39,39,17.1457,1.28241,17.1536603091,0.0
28.2236,1244.56588726,30.4938,0.765837168746,0.848224,590.1324405,18.1697,702.667863802,18.1758808129,-19.2981,702.667863802,514.94674564,702.667863802,146.679752386,2493.27742325,40,40,18.1696,1.31068,18.1766185008,0.0
28.5983,1037.98024134,30.9065,0.788474849429,0.849438,677.036793259,19.2295,819.352517353,19.2351137151,-20.376,819.352517353,178.088061282,819.352517353,153.301833102,1391.60887631,41,41,19.2295,1.45272,19.2357584419,0.0
28.9693,921.501511436,31.3066,0.810866222749,0.856014,375.989066847,20.5013,821.368173269,20.5086537462,-21.6805,821.368173269,335.905769053,821.368173269,134.67230911,1576.65295489,42,42,20.5011,1.51251,20.5096573213,0.0
29.3645,729.379208877,31.7378,0.830019385273,0.847184,217.36928821,21.8951,913.434232542,21.9023109841,-23.0999,913.434232542,203.389540162,913.434232542,83.2332604818,904.919994706,43,43,21.8951,1.5804,21.9029383503,0.0
29.7532,1525.91006392,32.127,0.907931365516,0.87966,854.716537952,23.111,1352.57303211,23.1186280684,-24.3379,1352.57303211,596.269423122,1352.57303211,198.839149053,2525.49886418,44,44,23.1109,2.07048,23.1191336128,0.0
30.1134,886.9513205,32.6011,0.940889851355,0.859985,617.80157381,24.6736,311.122611581,24.6827606399,-25.9367,311.122611581,235.764827796,311.122611581,156.813239997,1414.95250889,45,45,24.6736,2.18471,24.6833629623,0.0
30.4555,2157.12730387,33.0284,0.950380506369,0.906973,1187.87393386,26.1964,1778.42789298,26.207710144,-27.4619,1778.42789298,391.729297688,1778.42789298,191.162000868,2460.48361591,46,46,26.1964,2.23603,26.2081386463,0.0
30.8141,703.106893672,33.4296,0.946436935925,0.874727,523.578367371,27.4719,801.998600065,27.4825717582,-28.7643,801.998600065,88.2196569052,801.998600065,75.0880245063,853.696864918,47,47,27.4719,2.34271,27.4830188957,0.0
31.1168,1317.44292406,33.8647,0.955353261605,0.890966,806.123743683,28.807,911.662241121,28.8171090569,-30.1335,911.662241121,543.612463366,911.662241121,171.003008507,2542.0965464,48,48,28.807,2.26642,28.8175693999,0.0
31.443,930.991220542,34.3072,0.983391035418,0.894684,730.560195797,30.1792,791.878158057,30.1892423812,-31.5387,791.878158057,165.987604686,791.878158057,139.16847489,1283.62488508,49,49,30.1792,2.54762,30.189668425,0.0
31.756,1941.55462352,34.7562,0.993610418405,0.908257,1006.28599328,31.5546,1072.28453465,31.5641833873,-32.9085,1072.28453465,743.594643529,1072.28453465,218.607205118,2814.22144131,50,50,31.5546,2.71756,31.5646978073,0.0
32.1208,2881.23842109,35.1331,0.996530462104,0.918575,1244.75675637,33.2145,899.637454676,33.2250653189,-34.5999,899.637454676,551.102457249,899.637454676,249.698360515,3156.87050257,51,51,33.2145,2.47703,33.2254886956,0.0
32.4742,1434.57159697,35.4927,1.01322945735,0.887339,961.444197726,35.1981,1978.4954711,35.2073407413,-36.5685,1978.4954711,522.735239183,1978.4954711,170.265849102,2818.96255379,52,52,35.1981,2.83666,35.2078489147,0.0
32.7272,2273.46471161,35.87,1.02225631777,0.908081,985.607024676,36.5811,1619.92075878,36.5918660937,-37.9321,1619.92075878,585.899309696,1619.92075878,225.307149969,2937.14107943,53,53,36.5811,2.9097,36.592506489,0.0
33.0351,1719.97207241,36.243,1.04232981267,0.877878,872.713940251,38.0969,864.089030549,38.1076114116,-39.4494,864.089030549,627.074759007,864.089030549,211.027737582,2833.67572517,54,54,38.0969,3.21207,38.1080025713,0.0
33.2979,1982.63893821,36.5932,1.03869804176,0.882959,1119.73056811,39.7297,1122.10979852,39.7396044508,-41.0717,1122.10979852,506.573748298,1122.10979852,227.046055098,2859.57215157,55,55,39.7297,2.93056,39.739956618,0.0
33.5915,2404.2058551,36.9987,1.06309586271,0.904578,974.42121832,41.7102,1953.97351849,41.7198041162,-43.0589,1953.97351849,633.140641817,1953.97351849,208.312206064,2997.59413248,56,56,41.7102,3.21363,41.7203209391,0.0
33.8368,1283.26423037,37.4052,1.0982271472,0.843989,1069.03179365,43.3101,2050.31627243,43.3200188571,-44.6388,2050.31627243,155.350262301,2050.31627243,204.891629019,1654.62809939,57,57,43.3101,3.74228,43.3203789668,0.0
34.1178,2256.2160292,37.8494,1.10228377202,0.891345,1153.86372636,44.5313,669.465216891,44.5412468043,-45.8824,669.465216891,645.3130407,669.465216891,248.44247897,3093.75936608,58,58,44.5313,3.77958,44.5418881693,0.0
34.4039,1715.96056555,38.2763,1.11153860072,0.874092,1127.66021337,46.0464,905.662047423,46.0555021278,-47.4118,905.662047423,861.072507105,905.662047423,239.274926515,3491.15457887,59,59,46.0464,3.65121,46.0560607411,0.0
34.7016,2091.7101472,38.6314,1.15251625469,0.885987,1040.66803176,47.7357,1703.49274271,47.7454143325,-49.1166,1703.49274271,780.072848495,1703.49274271,255.895474522,3425.4274937,60,60,47.7357,4.23781,47.7458807972,0.0
