MaxReturn,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,Epoch,AveragePolicySurr,MinEsReturn,StdReturn,AverageReturn,MinReturn,QFunRegParamNorm,AverageAction,AverageY,AverageAbsQ,Iteration,AverageQ,AverageAbsY,StdEsReturn,PolicyRegParamNorm,AverageQLoss,AverageEsReturn
-5.52018718624,0.233737316756,-25.8017354228,-7.7392533561,48,3.05582,-55.1640593825,3.03946717657,-9.59324007251,-17.5962216691,33.0733,0.0219584,-3.67996607707,3.67737,48,-3.67737,3.67996607707,8.22416134211,30.3976,0.179847,-38.9978658401
-5.0009527703,0.237874773188,-21.3937582148,-7.55427342469,49,3.14129,-50.4142014439,2.97330696829,-9.33263462703,-16.4362380939,33.4717,0.0213017,-3.77299536278,3.77131,49,-3.77131,3.77299536278,7.11742880307,30.6861,0.194853,-35.5136328167
-3.03624265898,0.233357974856,-25.3216386075,-7.30311578577,50,3.19929,-57.350445233,3.20136030146,-9.01921250673,-17.3072798583,33.8764,0.0188161,-3.82302947588,3.82099,50,-3.82099,3.82302947588,9.63617318082,30.9343,0.186089,-36.9177541694
-1.23803931487,0.231646109813,-21.3398626925,-7.34602970285,51,3.2732,-43.9259801038,3.36564016,-9.04250445411,-17.4685988077,34.2501,0.0195481,-3.89809076858,3.89652,51,-3.89652,3.89809076858,6.48374164305,31.1424,0.179027,-33.8809530217
-1.53039972125,0.245084888265,-24.0402905454,-7.34349273757,52,3.34289,-52.8860730487,3.24949995242,-9.05906968805,-18.0597757823,34.6681,0.0182857,-3.96861772889,3.96615,52,-3.96614,3.96861772889,7.60287109806,31.3981,0.206084,-38.0800767794
-2.22185572951,0.253225604366,-27.641775717,-7.49727011085,53,3.41306,-48.8208177779,3.3379848478,-9.24001371028,-18.4667457965,35.1168,0.0200589,-4.02289024958,4.0209,53,-4.0209,4.02289024958,5.99296399099,31.604,0.220657,-37.3176072589
-4.50186514862,0.246751678296,-24.3539031862,-7.90159580497,54,3.48566,-55.9132530221,3.33393874553,-9.82404248725,-19.1062432012,35.5099,0.0209437,-4.10229098687,4.10044,54,-4.10044,4.10229098687,8.14871596072,31.8513,0.212723,-36.5150447488
-2.96805252255,0.24923140159,-25.0124667693,-7.25979915706,55,3.54473,-44.9232138586,3.05916655077,-8.96632977989,-17.1899876784,35.8678,0.0191502,-4.16070354421,4.15827,55,-4.15826,4.16070354421,5.61521779819,32.0525,0.220566,-34.3727788888
-2.46367862868,0.261211010031,-20.9443879082,-7.25306550099,56,3.59622,-48.8297751544,3.31392847972,-8.9469313872,-17.3055193395,36.2556,0.0209235,-4.21353884818,4.2109,56,-4.2109,4.21353884818,6.54245368338,32.2805,0.242309,-35.2126516919
-4.04540921834,0.257763392504,-20.7678801647,-7.28012878553,57,3.677,-56.6989293477,3.33437104889,-9.0181758739,-19.5095994587,36.6333,0.0187296,-4.28748780415,4.28583,57,-4.28581,4.28748780415,7.67120525995,32.5287,0.241789,-37.0005166066
-2.66842111239,0.25745569753,-26.2880415255,-7.9877035138,58,3.73047,-55.3949931196,3.67457928126,-10.0251366574,-21.982174807,37.0074,0.023534,-4.33516825796,4.33415,58,-4.33415,4.33516825796,8.33478101915,32.7902,0.239317,-38.4306927022
