AverageAction,AverageQLoss,AverageAbsQYDiff,MinEsReturn,AverageEsReturn,StdEsReturn,AverageQ,MaxReturn,QFunRegParamNorm,AverageAbsY,PolicyRegParamNorm,MinReturn,Iteration,AveragePolicySurr,MaxEsReturn,AverageY,AverageReturn,Epoch,StdReturn,AverageAbsQ,AverageDiscountedReturn
0.845731,0.88187,0.403906863083,16.7286497488,148.563911795,52.2971058051,11.2853,171.000738425,21.9812,11.2989579492,21.4013,160.60603844,19,-12.3911,194.757652428,11.2881951253,167.719728634,19,2.17588872535,11.3014,109.629579591
0.834845,1.00945,0.433802740474,96.334606603,162.548937715,24.1289969885,13.0518,174.734772704,23.1866,13.0612943756,22.2097,165.150759443,20,-14.2332,185.083824302,13.0534672705,170.51741194,20,1.5646365074,13.0653,111.050634551
0.709497,1.32574,0.492148967629,102.447245177,166.482634102,18.6688716555,14.8049,173.956638644,24.4469,14.8150594855,22.9536,167.262293817,21,-16.081,177.373696693,14.8078514793,170.856843774,21,1.27836541414,14.8184,110.887161837
0.629603,1.56719,0.544824395478,18.4206316403,151.245765475,50.89844065,16.5387,172.244870812,25.6888,16.5480495128,23.6104,161.987190582,22,-17.8994,203.158079874,16.5418143485,169.107228056,22,1.58053816604,16.5534,110.029710691
0.708929,1.79629,0.569802893876,75.0635511216,161.806139209,29.4295183946,18.3994,174.340555766,26.8995,18.409251185,24.4236,168.360104668,23,-19.8481,182.466953143,18.4041880886,171.081217192,23,1.22604523729,18.4118,111.098564251
0.727185,1.90857,0.592758895578,63.4880715355,162.645760917,31.7469020959,20.2161,174.362989159,28.0917,20.2231655994,25.088,167.411340746,24,-21.7858,185.798324744,20.2177600804,171.321329109,24,1.56058713269,20.2302,111.315507688
0.67085,2.0908,0.630480472724,23.0353999237,160.99826947,49.7811911641,22.1718,181.336719599,29.1089,22.1808338996,25.7527,174.205841381,25,-23.8484,201.570259519,22.176291891,177.281102766,25,1.55010256505,22.1851,113.349135177
0.626191,2.55334,0.683477509749,59.7533455866,155.653683768,41.8982437074,24.1442,189.815684975,30.1643,24.1521312119,26.4846,177.007419967,26,-25.8819,200.126976071,24.1470296801,183.696700412,26,2.55721930912,24.159,115.293267846
0.612372,3.06904,0.707213214782,30.2029499211,144.287345974,55.5250288063,26.0891,185.70946314,31.1156,26.0959046551,27.3072,176.222344104,27,-27.9504,205.693979809,26.0925478728,182.047372008,27,2.17653535201,26.102,115.556632583
0.545986,3.30804,0.747824438619,99.0063834045,173.492395926,30.390812702,28.006,203.362655529,32.0072,28.0138539956,27.9603,150.846794288,28,-29.9094,207.106115073,28.0107192993,172.266050056,28,14.495481503,28.0207,109.758421416
0.537479,3.78009,0.802241299334,89.5021498352,175.591812669,40.3655283226,29.921,194.38573391,32.9354,29.9284850581,28.5658,184.951525774,29,-31.851,215.131146061,29.9252812487,191.736804869,29,1.39255736732,29.9361,118.101173697
0.710324,3.64243,0.796631574591,69.9293869093,171.917190124,32.4582547372,31.8201,187.435685056,33.868,31.8265914366,29.1811,176.937104693,30,-33.7091,198.576144839,31.8233827969,181.450643842,30,2.0946702576,31.835,115.557259678
0.686613,4.07313,0.827464949801,44.1704700739,162.54131782,48.7859092524,33.5795,181.668418469,34.7123,33.5850331197,29.8174,171.185044418,31,-35.4636,217.13414307,33.5818365898,177.128215686,31,2.26114664785,33.5956,113.650277696
0.695134,4.58838,0.88908021043,13.4109081504,149.374326458,59.7818468544,35.3026,179.781535743,35.5553,35.3086443059,30.3654,164.721043521,32,-37.191,190.192252477,35.3052211711,173.46996723,32,4.4870377795,35.3218,112.245299815
0.650862,4.44986,0.879384174461,96.9632338863,172.522045527,30.2151727285,36.9903,184.047218373,36.4,37.0003038049,30.9425,177.043629027,33,-38.9121,217.980545218,36.9962643874,180.940974493,33,1.94026490112,37.0119,115.272574648
0.726583,5.4412,0.952027086967,36.5716313104,143.340396771,53.1655031628,38.5786,170.729446041,37.1273,38.5862834397,31.4674,166.820669132,34,-40.5341,189.627468666,38.5829506058,168.275940133,34,0.856992843466,38.6017,109.916354269
0.712427,5.70118,0.985913348528,40.4681330466,158.338065435,37.1149596698,40.1498,178.694673558,37.8798,40.1603416528,31.9324,168.586220961,35,-42.1638,182.991213523,40.1537311767,173.039195136,35,2.46675777913,40.1792,111.855783778
0.767708,5.91446,0.997513389533,158.295478162,173.756039406,9.31294311933,41.7974,165.222538535,38.6495,41.8142092479,32.3213,161.613436578,36,-43.818,188.138369545,41.8010456435,163.434779227,36,0.851112064869,41.8344,107.94809607
0.707025,5.51233,0.977621867594,16.7761981748,140.054404009,70.8861677167,43.4917,178.280146143,39.3447,43.5051763731,32.6892,168.203468665,37,-45.5242,223.355516978,43.4954198351,173.372705612,37,3.35076082775,43.5249,111.920622085
0.708828,6.21606,1.03415371802,12.187966451,141.849791212,62.5677015333,45.0786,176.540852716,40.0766,45.0897943812,33.1163,168.14381287,38,-47.1279,222.558922321,45.0814377465,173.712885228,38,2.02450526145,45.1136,112.074692876
0.746816,6.6253,1.05169257988,14.4007895918,128.154146253,63.5425384398,46.6432,179.55817467,40.7993,46.6561629332,33.5224,174.673562404,39,-48.6831,204.052926475,46.6487007021,178.12933776,39,0.811874304312,46.678,114.054403483
0.744804,6.53765,1.06460720916,7.04073439628,155.808998067,53.0355251703,48.1807,180.182653686,41.4609,48.1919366675,33.9726,177.303676964,40,-50.271,192.60826572,48.1848789783,178.620723986,40,0.609542049857,48.2172,114.241441642
0.719003,6.58743,1.05661426898,83.8881078083,154.898403968,34.3763139623,49.7323,177.009045247,42.0223,49.7427619839,34.3473,168.070892051,41,-51.8662,210.781183976,49.7367873498,174.152413331,41,2.26039761027,49.7652,112.025911178
0.711787,7.82299,1.12636492932,17.3679471291,148.033991815,55.2226133812,51.3188,177.087262631,42.6297,51.3309979808,34.7878,172.986005188,42,-53.5,190.502291078,51.3246941402,174.830796453,42,0.953984879844,51.358,112.23053584
0.668255,7.68939,1.1322588087,40.6499698647,139.234099529,53.1442446901,52.9115,182.735485638,43.27,52.9281439383,35.1521,152.394510841,43,-55.1474,199.838017031,52.9195380788,169.702024174,43,5.40350217378,52.9437,110.030396078
0.686469,8.73785,1.18883477256,54.1277696801,159.226480599,47.1323054543,54.4048,177.403074789,43.9387,54.4201797366,35.5168,156.815457853,44,-56.6705,199.566985098,54.4093251072,168.797815485,44,5.8843548901,54.4448,109.541608781
0.652474,8.74644,1.17398525773,61.7150966067,152.374160833,47.5504795571,56.0515,188.327156259,44.5918,56.0663052326,35.8027,172.555967584,45,-58.3434,205.543123085,56.0572960873,183.85545721,45,2.7058278919,56.0898,116.105526359
0.675851,9.63755,1.19080545781,53.3249285548,169.829266734,41.7108953326,57.5906,186.91174976,45.2108,57.6069631219,36.1781,147.159899473,46,-59.8766,219.952889612,57.5983557065,181.584183292,46,3.9708538345,57.6229,115.605200668
0.627514,8.33648,1.21717740436,24.6425770653,159.955396597,50.798945105,59.0263,189.055022117,45.8421,59.0392432105,36.489,178.18890924,47,-61.3839,200.138853157,59.0312589666,184.03660369,47,2.39461716425,59.0633,116.003338002
0.721352,10.1631,1.25179627195,33.8203587142,158.414601026,57.1802972,60.6631,190.384964311,46.5029,60.6755622434,36.8223,183.266860053,48,-63.0406,200.943651712,60.6673225642,185.609593204,48,1.29273602878,60.6992,117.582234097
0.700927,10.5218,1.27054855481,9.15171560066,145.187097253,68.3188233846,62.2918,193.578943136,47.119,62.30686678,37.1415,183.737372456,49,-64.6547,206.032197405,62.2999193373,187.30918167,49,2.30299257048,62.3289,118.375448276
0.767314,10.6642,1.2907184033,59.3900090512,163.854538233,54.801942082,63.9824,193.804008852,47.7136,63.9933707187,37.4464,173.426019046,50,-66.3994,207.313250765,63.9881259784,183.265778786,50,4.41715262596,64.0143,116.644537887
0.719568,10.4242,1.28177788411,9.95010973337,151.301034694,67.396759301,65.3896,191.430076497,48.3144,65.4008658146,37.7716,181.106196482,51,-67.8044,205.022290576,65.3952488667,184.785801498,51,1.66867365254,65.4262,117.281531187
0.765718,12.5913,1.37685508675,44.1731191584,143.772183089,52.6734595231,66.8744,190.594312508,48.9701,66.885862148,38.0786,164.972157957,52,-69.2602,187.339764797,66.8797279697,176.93640703,52,6.58188573186,66.9134,114.151170154
0.770877,10.4252,1.30514519519,8.36924202268,151.002117048,69.4262843653,68.2604,191.664115644,49.5353,68.2731613881,38.4392,179.578123375,53,-70.6959,228.124802204,68.2666955069,185.510690125,53,2.80192375908,68.3007,117.764142266
0.785797,11.5288,1.36636086172,40.6542170364,146.23441936,61.5356192244,69.782,193.508173922,50.1955,69.7963711128,38.8221,183.79233846,54,-72.2445,219.085214678,69.7884227941,188.479295918,54,1.9801948602,69.8201,118.900453206
0.737728,13.0947,1.41138615701,7.50811634361,173.02135325,53.2421016211,71.3413,191.611142893,50.8151,71.3554759173,39.1017,174.2792276,55,-73.7666,224.72716152,71.3497892177,185.113234859,55,4.02453521988,71.377,117.383271561
0.714837,12.7208,1.37944958651,48.0538727547,129.7457401,63.1740475488,72.6468,196.390111484,51.374,72.6569036307,39.3873,187.251547101,56,-75.0543,223.411693738,72.6501501492,191.499362221,56,2.03716337092,72.6868,120.456520052
0.716073,15.2544,1.47848196217,15.1423848866,171.177194637,56.5047642855,73.7638,199.243482542,52.0723,73.780254119,39.6879,183.979286629,57,-76.2721,224.448347508,73.7744868293,191.716306549,57,3.07136483527,73.8063,120.451733711
0.702568,14.5319,1.45273688288,12.4107440062,166.037942989,55.9862989039,75.2701,199.284049396,52.7166,75.2836138425,39.9486,190.982637052,58,-77.7307,212.000724739,75.2764136885,194.597416751,58,1.93863126884,75.3103,120.825345459
0.700082,15.8066,1.48459909807,41.5162826359,171.682005407,50.030874082,76.4959,198.478525669,53.2468,76.5098840398,40.2386,188.001356718,59,-78.9296,218.172812531,76.5035186261,192.313583105,59,2.30621540185,76.5419,120.160172983
0.742246,14.1201,1.47563166192,19.2910737654,156.052089327,60.0637344813,77.7906,201.13719463,53.8072,77.8094035308,40.5448,187.441037754,60,-80.204,223.545268225,77.7998777081,193.669326249,60,2.8591254191,77.8335,121.260331789
0.732003,15.5028,1.51081298167,105.474314697,192.242400246,28.8415334902,78.9025,208.31514893,54.4399,78.9150197749,40.7745,197.873437437,61,-81.3864,226.063955923,78.9073676631,202.813414779,61,2.77231016525,78.9506,124.793076993
0.7366,14.6719,1.51188303898,22.2549822745,158.679766118,57.0053578345,80.1228,207.795528498,54.9676,80.1389002085,41.073,186.320345567,62,-82.6429,204.413117869,80.1289327078,197.871558665,62,4.07048787653,80.1728,122.855584344
0.722297,17.7118,1.58796064074,44.3101819902,142.490788799,67.7851546651,81.3578,209.566284557,55.5934,81.3771642578,41.2903,196.305107335,63,-83.9649,261.220404762,81.3701223247,201.425552304,63,2.57479995236,81.4053,123.820782226
0.687887,15.0157,1.49365103278,11.0035832252,166.190081165,63.538696169,82.758,215.615539734,56.1344,82.7705437738,41.5376,163.774361725,64,-85.35,215.647258923,82.7632522596,175.142609732,64,9.15213572547,82.7981,112.645813352
0.724062,16.8007,1.59079613312,26.6302866893,178.073214334,54.5237073819,83.9629,205.132673659,56.6041,83.9767487148,41.8046,188.219251251,65,-86.6164,217.744326446,83.9699493268,200.635312827,65,2.32802688594,84.0094,123.612228098
0.761831,19.449,1.64176347839,39.0632716809,172.105760891,61.2082989774,85.2954,211.275152906,57.2314,85.3081479481,41.9876,194.425524341,66,-87.898,229.880310025,85.3035750925,203.491783215,66,3.16518550997,85.3414,124.990863774
0.700989,19.1288,1.65123589308,40.8206844923,155.436484688,69.7865501588,86.3063,177.367224069,57.7984,86.3173091905,42.1904,143.97505712,67,-88.963,232.642881657,86.3127191248,162.748043806,67,5.77548614192,86.3522,107.508452745
0.67807,16.3416,1.60006924244,10.1400359078,122.811410928,80.3273000735,87.4519,203.028875994,58.3823,87.4620389435,42.4067,169.077062297,68,-90.1403,235.152050937,87.4586636902,183.612182393,68,6.94055972587,87.4992,116.795941855
0.755874,17.8964,1.63186432294,53.5997908923,163.789402091,50.6805042453,88.9477,200.274012627,58.8867,88.9609338233,42.5855,171.134314243,69,-91.5936,218.409309348,88.9574502352,184.800005708,69,5.69173898025,88.9941,117.13778805
0.669931,17.8879,1.63225300182,28.1879931161,171.179362533,58.4911915064,89.9531,201.964501985,59.4115,89.9650600981,42.8123,191.045245088,70,-92.6681,220.250426988,89.9624685864,197.706768136,70,2.10872459686,89.9868,120.483622714
0.650189,20.2092,1.66774750309,29.9663453789,165.292859982,60.1206963881,90.9902,211.847462688,59.8722,91.00102805,42.9526,188.6684619,71,-93.6554,230.040354596,90.9979970506,206.149574917,71,4.77837441342,91.0337,122.590644626
0.757631,22.2402,1.72373587739,63.6725764029,177.191290164,48.4494453487,92.0612,209.869749354,60.4153,92.0717896059,43.2021,180.744485684,72,-94.7743,221.681855892,92.0681686178,194.58250827,72,6.81328357366,92.1087,120.532014071
0.665889,19.5427,1.67615959812,13.827791793,174.125085422,71.1947093682,93.0816,199.891309514,60.9014,93.0929179229,43.4419,183.933645256,73,-95.8109,230.651862543,93.0897276853,191.76659851,73,3.71246856396,93.1295,118.324788622
0.677604,21.3034,1.74719247047,57.2483023382,165.119613694,54.5712021659,94.146,216.350697435,61.3844,94.1543277101,43.6329,198.499660833,74,-96.8635,218.439647172,94.1513070168,208.666318523,74,3.99472679879,94.1902,125.671080699
0.664929,21.0141,1.64950494171,10.3238543946,129.589945475,78.6484180468,95.0425,209.534850246,61.8407,95.0557525396,43.8766,200.619756043,75,-97.8363,221.371522194,95.0529290562,204.618557047,75,1.58121367248,95.0788,122.705316508
0.716205,23.0743,1.7523281757,11.6600412252,157.863370831,81.9604304725,95.8173,194.758378377,62.3144,95.8250882826,44.1196,184.17970796,76,-98.6003,232.15238983,95.8205596689,189.731710968,76,2.15319980591,95.8681,118.521345886
0.68694,24.3254,1.75627400201,5.87819256552,150.662369096,77.9944610819,96.8094,201.936562956,62.7947,96.8250385839,44.2974,182.91219079,77,-99.589,227.91462287,96.822121416,196.118994218,77,3.65117085591,96.8538,121.056813613
0.690413,21.0622,1.68011893232,31.213984626,172.040117481,53.9287577951,97.8048,208.59836065,63.2358,97.8141563131,44.5278,193.564777996,78,-100.51,223.084708839,97.8087153848,201.107661906,78,3.30460536068,97.8498,122.639061701
0.648803,22.0016,1.72957484989,9.36913168832,179.181530353,61.9609280654,98.6254,224.155819258,63.6887,98.634744476,44.6879,206.353807823,79,-101.346,242.045108544,98.6314043102,213.198825648,79,3.69520980388,98.6736,127.015625804
0.607462,24.9402,1.76533424345,52.5570941408,163.185613413,59.1711754917,99.4671,235.687091171,64.1953,99.4783797674,44.8919,220.402153723,80,-102.236,232.345194946,99.4751938399,227.704480479,80,4.22029785351,99.5175,131.989614569
0.639119,21.882,1.72071339227,4.3691668264,137.835833408,71.1253410502,100.377,222.021054003,64.6402,100.385529525,45.1226,205.580759273,81,-103.115,236.240262869,100.382508127,214.96900196,81,3.55363609665,100.42,127.229522897
0.718037,26.0939,1.81269266511,36.6555724128,186.603784644,69.6481463742,100.978,212.23850635,65.0619,100.994203491,45.3339,180.27344544,82,-103.69,244.591889798,100.989778307,199.435252176,82,4.88846044987,101.026,121.770747179
0.61274,23.1798,1.76576856477,13.8652534771,147.513889951,75.3991422874,101.673,238.800304199,65.5142,101.680681351,45.5068,215.622156962,83,-104.371,240.574893361,101.676291323,227.525083875,83,5.86713716985,101.718,130.552737299
0.677647,28.2014,1.8816622204,8.55308898321,157.733645733,78.5348425703,102.203,224.496314747,65.9236,102.217432082,45.7174,208.748903266,84,-104.945,258.236015238,102.213101592,214.591561603,84,3.23593850953,102.255,127.820649717
0.728793,25.0229,1.82698000714,9.54760112192,145.579349373,89.8271104152,103.356,202.096622829,66.3903,103.366569248,45.903,53.2758939141,85,-106.006,235.385799838,103.363776925,185.956009228,85,14.085542563,103.406,116.997040313
0.71456,25.8914,1.79879912466,6.3223243665,150.964043407,67.3775644687,103.924,228.719067442,66.7483,103.932350379,46.1021,184.740180913,86,-106.614,219.70482972,103.929028064,200.550781434,86,13.5845127641,103.975,122.135085319
0.660819,26.4265,1.83428303153,12.5096410963,154.023062067,71.7950802042,104.587,237.39669319,67.2669,104.596179356,46.343,206.750841701,87,-107.366,219.841390196,104.592315414,222.128388548,87,7.65407635725,104.641,129.248176178
0.622985,30.3826,1.96702224375,15.833126945,150.423450869,66.2218981239,105.132,237.234198023,67.7323,105.146823596,46.5565,202.212007555,88,-107.914,218.492809482,105.142544352,221.256607385,88,7.81078455378,105.184,127.876111861
0.644351,20.7821,1.74614628003,23.221602978,176.114709951,57.809232556,105.565,249.327596085,68.1509,105.573958665,46.7508,55.9639106437,89,-108.397,228.438317596,105.569262391,233.684958235,89,19.9827043642,105.615,130.960525218
0.739278,25.207,1.83273478334,13.9561326372,155.898903365,77.4733093312,106.512,210.017706626,68.6486,106.523043721,46.945,172.255177779,90,-109.213,235.845705391,106.520342936,192.408510673,90,7.95405571737,106.558,119.581537854
0.63331,21.9535,1.77754080095,21.2548084211,157.751553427,62.5917240134,106.979,213.551679655,69.1099,106.987067289,47.0681,61.9149352656,91,-109.825,214.376770141,106.98483375,202.125026195,91,20.354067947,107.036,119.814857375
0.710843,31.9492,1.9808648028,18.2796112101,139.179980381,82.2728733498,107.365,223.871537089,69.6106,107.379696384,47.2559,177.520058008,92,-110.182,235.189839826,107.376854877,196.138815826,92,14.1417899553,107.423,120.429542905
0.623392,26.4019,1.85942608328,10.264183261,127.132315975,82.1349098182,108.533,239.256717298,70.124,108.537069772,47.3845,202.857531902,93,-111.309,242.617245488,108.532655157,226.729150267,93,9.10297580439,108.585,128.61424327
0.718538,25.7525,1.87588665959,17.3416939763,153.069182285,70.1175822801,108.998,240.725231709,70.5841,109.013034861,47.5632,48.2842121254,94,-111.883,230.840432865,109.008353446,192.706051337,94,51.8068764213,109.053,116.199529231
0.668671,31.1452,1.95092348661,23.3744152153,167.115787109,78.8683245074,109.474,243.434543042,71.0206,109.484936319,47.7724,221.118765083,95,-112.351,249.810671778,109.481881405,231.041131695,95,4.05780224942,109.528,130.707019913
0.657162,29.7326,1.94668623928,10.9063893478,159.953154073,82.9398597127,110.059,238.906179842,71.4559,110.069615985,47.9275,222.311427607,96,-112.924,231.6616542,110.065359348,232.75742638,96,2.94347175284,110.131,132.835108508
0.63193,27.6989,1.92033640851,69.8430763603,172.836896554,58.6628281781,110.954,225.643793241,71.8708,110.964050258,48.0965,212.010953477,97,-113.794,234.04719731,110.960341945,218.135554162,97,3.14077066349,111.003,127.507746954
0.679834,29.8142,1.96130916903,8.67321326812,137.603530917,79.6750498329,111.674,237.46021687,72.3807,111.686119967,48.2415,226.767770957,98,-114.541,240.840785374,111.682803007,231.581164661,98,2.39133634822,111.723,133.165623174
0.663583,27.5875,1.93872124292,20.3149371707,157.145789457,82.6221357456,111.908,239.500130115,72.7616,111.915910634,48.4025,219.395857117,99,-114.763,228.962327867,111.913026515,231.673449174,99,3.73440534821,111.966,132.547700272
0.665271,30.2552,1.9438887035,14.0095363977,169.955507413,78.6109499375,112.505,242.513200021,73.1763,112.515829585,48.5808,224.083564961,100,-115.36,249.049003216,112.513411566,232.756955453,100,4.53813958982,112.562,133.407075717
0.612622,29.0452,1.93461691474,17.7923827927,163.314643116,78.9185358028,112.896,238.831576018,73.7101,112.905369819,48.6802,224.797932431,101,-115.712,222.550779155,112.902064595,233.854176078,101,2.89416296136,112.951,133.616897283
0.588664,31.2353,2.00366559153,18.4458846805,149.474518502,73.2916818631,113.899,244.744296306,74.0993,113.911658218,48.8004,233.020419432,102,-116.678,228.559868692,113.907511989,238.02750851,102,1.92308181848,113.953,134.207715889
0.608505,28.3333,1.96055790242,8.29571213734,140.575653743,87.6058004165,114.091,244.022124861,74.4403,114.108492089,49.0195,231.486852183,103,-116.917,237.391666056,114.105696521,237.788670326,103,3.0036303216,114.146,133.950086967
0.611642,30.779,1.96613602839,9.45960130269,178.071527856,81.2068192018,114.729,239.82882075,74.8064,114.731694842,49.1971,215.67053508,104,-117.536,241.331010515,114.728836564,228.685317082,104,4.92926093645,114.782,131.226222975
0.643907,31.1754,2.00413655149,24.0124363397,165.71650601,74.2818810254,114.783,238.701008859,75.2441,114.797891632,49.3908,227.237222981,105,-117.671,235.264106318,114.794642667,234.084260049,105,2.39520994235,114.837,133.269347794
0.621531,31.0214,2.01891778266,8.97415156636,158.985360018,79.3523702292,115.37,243.399986211,75.626,115.378723767,49.5624,234.252392867,106,-118.189,237.311420439,115.376341025,237.987322315,106,2.17136625353,115.42,135.140251569
0.647957,29.6149,2.00004417658,17.7991252832,146.261383771,81.6739817588,115.615,243.915775529,76.1189,115.623427877,49.7402,229.290758561,107,-118.573,238.224052128,115.62094215,234.565585509,107,2.76340067045,115.67,133.689092388
0.62609,33.6275,2.090043896,26.2093973985,165.061409095,61.3704437821,115.937,248.660793282,76.4874,115.947549027,49.8923,232.576254469,108,-118.864,235.221810289,115.945947665,240.805072668,108,4.10551849906,115.995,134.940215323
0.666366,29.8855,1.94367949828,44.5378766391,179.915824667,60.0737345152,116.779,243.23900945,76.8776,116.786888738,50.0515,232.355413573,109,-119.768,232.242132113,116.785228956,236.452710917,109,2.42674689737,116.828,134.371100438
0.663953,29.4715,1.96863148584,24.5211639517,142.720263412,83.0172591977,117.054,242.573063839,77.2436,117.06552196,50.2366,225.991901205,110,-119.957,244.990622542,117.063351357,238.205153747,110,2.98149040641,117.1,134.437094777
0.665025,34.0883,2.05733267916,10.4911136107,133.030863318,74.245775169,117.283,249.925585339,77.618,117.291751085,50.3939,234.496864753,111,-120.16,235.584525505,117.2894997,243.173023158,111,3.73148489877,117.338,136.211292837
0.684753,31.4894,2.03286302,8.31540365384,179.344203824,68.1886550486,117.902,237.187453513,78.0335,117.910205881,50.6082,208.481374392,112,-120.708,236.263523832,117.908017169,222.767300139,112,6.62311595546,117.948,129.453850491
0.70502,34.4725,2.05512594861,8.31701255098,103.986492215,90.3512182868,117.882,232.593181124,78.4593,117.891032055,50.8336,224.979703237,113,-120.776,230.759875033,117.889136665,228.802875321,113,1.68137862784,117.943,131.174582257
0.692635,30.2295,2.00281069769,9.84864911283,113.002329288,94.2723786051,118.264,226.144327204,78.7715,118.274887153,51.0087,207.899690125,114,-121.078,236.576895123,118.272501188,218.847025557,114,3.14243132837,118.321,127.549578627
0.687405,34.8915,2.08447083044,12.5072416676,155.709833725,75.9757457217,118.353,233.415496844,79.0932,118.360990692,51.1804,209.17532368,115,-121.256,236.396022065,118.359312848,224.425557162,115,5.61354214449,118.41,128.977549214
0.732924,33.9388,2.078650433,8.85979850747,149.671967202,84.153692894,118.442,233.059738498,79.5303,118.451617101,51.3367,219.089692218,116,-121.342,227.974140888,118.449278455,225.58191922,116,2.44241616921,118.502,129.929549989
0.715272,35.2245,2.0983239947,18.4384757132,176.56671459,76.2375263255,119.017,245.489586012,79.9146,119.022998957,51.4876,218.757254587,117,-121.864,232.375924373,119.021828108,229.871362363,117,7.29387410982,119.068,131.105767368
0.728726,34.2304,2.08115823312,13.1810547887,144.51593247,80.3403116394,119.761,248.069320936,80.3191,119.773215108,51.6393,221.588733336,118,-122.613,230.590697436,119.770341305,236.13268579,118,4.00814386191,119.817,132.552790272
0.668078,37.1923,2.14458294463,23.4060347934,163.230184998,67.1997656894,119.965,252.657871831,80.6581,119.975742657,51.834,233.069578916,119,-122.809,239.410357523,119.974071613,244.366107674,119,4.38788167776,120.025,134.104158369
0.634035,33.4429,2.10851615644,20.8337447838,152.974456348,85.2509914379,119.814,255.790613115,81.0145,119.822953308,51.9571,227.540242059,120,-122.767,245.633679117,119.820843238,242.453977511,120,7.07346843299,119.869,133.571035665
0.667422,33.8169,2.11138501812,79.1493032941,175.298288239,57.840625141,120.397,249.692207191,81.3546,120.402550341,52.1203,220.709254792,121,-123.3,244.379940888,120.400796217,233.994655323,121,6.7565047529,120.452,130.76170108
0.679743,35.283,2.13514583662,10.3297509685,144.349785295,100.630553534,120.446,245.059612169,81.6487,120.457077362,52.3398,227.563075004,122,-123.414,246.024714893,120.455762509,235.37001616,122,2.68755053911,120.504,130.760789778
0.677058,37.5262,2.16791705987,27.1566118757,137.523730227,86.2719947157,121.1,251.000618229,82.0316,121.109330104,52.4825,229.512413948,123,-124.031,245.416658107,121.105562935,238.946880951,123,4.65968082399,121.155,132.15409604
0.6863,37.5191,2.13785461553,7.94057199142,195.1322224,88.6574822129,121.061,253.368890895,82.3074,121.074297221,52.6429,220.013300245,124,-123.877,253.030365847,121.071672219,238.920773866,124,4.9622064688,121.123,132.635761616
0.739419,38.3977,2.2100856301,10.5911813468,166.231950594,80.2260483729,121.636,250.426958851,82.5843,121.644791397,52.7899,216.917950252,125,-124.484,232.833101168,121.642057474,236.431000311,125,7.72935210538,121.695,132.19275677
0.679314,39.0456,2.18982269968,32.3941679763,178.763715454,74.1973107212,121.656,256.827000849,82.9499,121.668896701,53.0034,243.289129688,126,-124.504,244.211935703,121.664677954,250.908614613,126,2.6467794591,121.713,136.353044216
