Iteration,StdEsReturn,AverageDiscountedReturn,StdReturn,AveragePolicySurr,AverageQ,AverageAbsQ,AverageAbsQYDiff,AverageEsReturn,MinEsReturn,QFunRegParamNorm,AverageQLoss,AverageReturn,MaxReturn,PolicyRegParamNorm,MaxEsReturn,MinReturn,AverageAbsY,AverageAction,Epoch,AverageY
26,64.0332515189,114.27151972,1.93325287299,-0.739216,0.664828,0.666286,0.0272153559303,138.942698279,9.69371684072,16.2119,0.00335516,179.482447925,183.560402471,20.4553,212.769143711,174.986448181,0.665896245945,0.8746,26,0.665047622791
27,69.3123562652,168.14686727,69.8064613207,-0.775684,0.70159,0.703162,0.0268593028915,225.959493022,60.8073691413,16.7167,0.00308235,360.637852474,542.960867637,20.9687,321.565978445,185.369482296,0.702644912965,0.91436,27,0.701769679347
28,180.049118601,177.169388314,45.5083020889,-0.814049,0.735595,0.736747,0.0274642957038,292.78644145,27.5003323911,17.2315,0.00316624,412.076187176,720.901425515,21.2996,530.766640225,362.089872438,0.736344567633,0.88758,28,0.735750473036
29,107.675590015,210.754033407,542.658025597,-0.853169,0.776424,0.777512,0.0296024250669,197.372196744,26.8956902596,17.7071,0.00375646,1042.38992216,2719.64376335,21.7461,357.710365737,500.577423025,0.777122730501,0.923248,29,0.776618894447
30,95.6368772664,207.684758996,76.2231385292,-0.882518,0.808713,0.810048,0.0295353229082,281.233449763,55.9002809384,18.2042,0.0038103,599.764429123,796.834081977,22.1048,398.15343123,298.534215195,0.809519721047,0.913545,30,0.8089467936
31,193.989056399,219.622864647,91.960332142,-0.91353,0.838005,0.839527,0.0297832191409,320.768529109,6.93843284979,18.6867,0.00373617,610.503849157,828.397263528,22.5274,536.320920936,273.52562848,0.838828698089,0.915979,31,0.83813312491
32,220.341591689,169.720024962,173.246381862,-0.951645,0.87795,0.87942,0.0312873751513,296.119637808,47.9256779168,19.2268,0.00424507,477.051537737,1133.35463945,23.13,757.186496073,184.278553744,0.878842878129,0.862784,32,0.878199996395
33,178.078966501,169.87982385,475.616180564,-0.985017,0.909259,0.910464,0.0315571260942,297.243733834,53.5779560877,19.6912,0.00455552,649.204241001,2425.74674744,23.7241,553.809787872,181.146606151,0.91004921635,0.892497,33,0.909532199585
34,127.739363247,76.1274272066,40.0857877196,-1.01417,0.940465,0.941798,0.032442082094,243.586505716,91.1950397927,20.1651,0.00449387,113.582711957,488.930283183,24.1137,484.808969246,89.9139821957,0.941107978455,0.909788,34,0.940657552974
35,128.331902312,67.0223669715,62.616263956,-1.04216,0.97085,0.972166,0.0315996852571,158.564098223,46.4562307474,20.5982,0.00430894,106.157675785,368.065968134,24.4676,434.118172084,54.9774948248,0.97146040778,0.778271,35,0.971058509911
36,148.986013025,140.82097305,100.856101982,-1.06398,0.994098,0.995358,0.0328694166506,271.909699884,27.238919924,21.0433,0.0048767,335.537778916,596.693425728,24.8755,470.777409695,127.551953742,0.994712713558,0.870408,36,0.994228242115
37,200.073013822,150.037532602,42.9413530459,-1.09397,1.02663,1.02792,0.0326132877591,222.811183103,18.9602055641,21.4452,0.00487165,395.668227148,505.011653445,25.2645,673.383048804,225.586316346,1.02736167839,0.862836,37,1.02682068751
38,158.021362538,127.036902931,377.24789969,-1.1189,1.05244,1.054,0.033008270637,277.903090308,55.5273404844,21.8746,0.00515232,1070.33026774,1412.15046478,25.5836,468.4212889,297.441878711,1.05325777184,0.782863,38,1.0526941096
39,233.414245825,128.159492602,195.022968289,-1.14595,1.07829,1.07975,0.0327798095397,276.522390482,21.1060581666,22.2544,0.00482378,1074.37533693,1328.59247824,26.0184,725.91914923,774.932045084,1.07891126321,0.791744,39,1.07842145745
40,150.86987519,142.248453752,27.2050287787,-1.16704,1.10412,1.1056,0.0343798575317,357.169985003,140.076583697,22.7112,0.00558911,411.275902299,523.520675747,26.3546,553.045952001,373.996268099,1.1048074606,0.852832,40,1.10436389338
41,123.764002303,113.798472239,221.347728071,-1.18754,1.12535,1.12693,0.0332690830452,305.792529887,182.028527584,23.072,0.00533116,1014.16531815,1309.06631137,26.5892,429.556532191,663.022418512,1.12606655849,0.82038,41,1.1255406225
42,302.216142048,118.948490248,240.119261245,-1.20409,1.14584,1.14741,0.0333251143824,344.060761048,61.7960650441,23.4964,0.00517178,883.594568802,1299.57864545,26.959,891.385541407,563.129416971,1.14655376348,0.815085,42,1.14597512274
43,236.368598121,116.513123342,294.327857082,-1.22036,1.16017,1.16159,0.0353891842956,416.101168925,212.181884578,23.8479,0.00617366,936.412545946,1211.69463182,27.3387,747.446654973,263.774241344,1.16089019814,0.755935,43,1.16046783821
44,200.846974584,113.426160286,104.449334147,-1.23996,1.17853,1.17994,0.0343801659759,253.556046732,10.1016889534,24.242,0.00574915,1062.79307485,1201.59228785,27.6707,649.064449891,878.611609607,1.17903276887,0.816825,44,1.17866462221
45,152.880564838,114.759772972,140.066866809,-1.25892,1.20077,1.20198,0.0331750665718,357.268172587,197.749724881,24.5752,0.00550091,344.702463259,642.168921637,28.021,543.714991597,152.948819579,1.20122535179,0.810236,45,1.20090424208
46,414.088788886,107.057990235,245.388230037,-1.27459,1.21873,1.22001,0.0320219060351,643.460815253,229.372026367,24.8806,0.00488186,756.962514622,1074.19932687,28.1984,1057.54960414,273.918200172,1.21923285364,0.798876,46,1.21890783179
47,62.7924282536,116.387100761,130.012369352,-1.27838,1.2236,1.22522,0.0346702008698,164.726674772,76.053836326,25.251,0.00600088,949.652021296,1207.61761191,28.472,275.931991374,805.403223538,1.2241125336,0.859074,47,1.22376616565
48,241.628205089,126.769368558,97.6534510742,-1.29707,1.245,1.24631,0.0321009646274,215.91589189,9.62246000344,25.5375,0.00498154,561.071373286,691.371915897,28.6694,611.766828899,305.959881528,1.24541896742,0.894485,48,1.24512284192
49,189.418637471,144.142046047,73.705146632,-1.29584,1.2473,1.24864,0.0339016600025,227.879439985,57.4268528766,25.8424,0.00573953,340.362514802,560.187827353,28.8596,576.27973055,281.582689843,1.24784460909,0.905924,49,1.24748752027
50,134.056081242,144.761101507,8.95988039719,-1.30701,1.25713,1.25883,0.03556565618,204.102852075,9.55981008164,26.1312,0.00684894,313.776743141,343.084914229,29.1578,363.499160296,294.916458292,1.25758824958,0.873089,50,1.25723402038
51,124.088533397,142.650921826,20.2818253207,-1.32488,1.2745,1.27596,0.0342105643966,182.072610859,7.45283664501,26.4314,0.00564296,361.566062471,403.963265635,29.2287,368.76945949,315.341540744,1.27484073401,0.909238,51,1.27456557351
52,138.898013406,143.285067209,26.8768576972,-1.33562,1.28271,1.28414,0.034315371455,222.321424044,12.2070699107,26.7338,0.00591312,407.118212869,480.955143254,29.5592,471.362617007,339.066989889,1.28327749842,0.923805,52,1.28294934483
53,129.14816435,143.886128887,15.2486796193,-1.34896,1.29934,1.3006,0.0339132840862,287.555361981,8.99817358239,27.0255,0.00587747,268.943032542,334.122311901,29.8932,394.569964604,235.714134507,1.29975669108,0.913116,53,1.29943096033
54,32.1194556475,138.105250703,4.09548313822,-1.3617,1.30899,1.31027,0.0348403621016,268.667783673,222.028812992,27.311,0.00627001,247.397491056,255.182152769,30.0724,329.133761746,239.658197624,1.30955735929,0.780427,54,1.30912154945
55,58.9035959729,139.51828261,2.81485067822,-1.37471,1.32239,1.32361,0.0329742028692,235.163370896,137.748150452,27.592,0.00527518,255.764472362,261.250440594,30.3383,312.387296396,250.137651408,1.32273523842,0.871913,55,1.3224259646
56,108.239461295,139.762127118,4.14290636022,-1.39553,1.34087,1.3422,0.0351466118389,231.698187915,3.80260592118,27.8901,0.00623081,254.138516096,267.585237765,30.5992,357.376405331,248.67909028,1.34129625312,0.824839,56,1.34103136475
57,92.7785515141,140.449798796,3.59301073772,-1.40833,1.35205,1.35324,0.0353069013819,205.145927058,51.4865833745,28.153,0.00638786,257.495416478,267.331861709,30.6641,325.233984475,250.439058105,1.35246264344,0.864102,57,1.35220899899
58,110.861583378,140.662306089,3.50674059332,-1.42402,1.36995,1.37115,0.0351447350322,289.739733217,84.4309292149,28.4069,0.00629994,259.010522118,267.906699136,30.8289,465.849094277,253.035025719,1.37026893022,0.822011,58,1.37004630864
59,87.9544361471,155.556511211,25.5872954435,-1.44257,1.38623,1.38753,0.0361506688174,262.292581006,121.078246582,28.6846,0.00695,301.805102502,353.538987605,31.1142,397.773868491,251.365999998,1.38674956291,0.858059,59,1.38647276582
60,103.424561838,126.222138507,77.3943527027,-1.46435,1.40666,1.40789,0.0360014158756,193.794235837,9.51661918573,28.9865,0.0064269,218.360632928,365.788041861,31.3967,338.054116352,62.3654733364,1.4070040847,0.876132,60,1.40676215445
61,92.6820386631,166.990797917,30.6993444187,-1.47853,1.42219,1.42347,0.0344910278149,182.201542087,12.9078664617,29.2178,0.00597733,345.716656415,429.285797312,31.7347,301.666561132,284.120055916,1.42273703117,0.851057,61,1.42243495694
62,55.6400420364,142.007418658,26.7089393741,-1.49621,1.43936,1.44081,0.0378093091706,289.137952055,204.511476425,29.4895,0.00766917,259.092167543,375.249674742,31.9617,390.695707497,233.936893967,1.43977749886,0.895016,62,1.43949191934
63,113.549506483,172.019791249,18.3798972309,-1.51466,1.45513,1.45633,0.0372946310752,281.56660772,10.6217385502,29.7353,0.00712584,350.316218458,382.634204982,32.2494,408.57497359,315.417486025,1.45558679736,0.83393,63,1.45537823398
64,83.885737436,170.478710271,30.1638715296,-1.53411,1.47695,1.47811,0.0372851400998,285.052967647,149.145391233,29.9614,0.00728087,365.365144863,413.356541583,32.4837,371.189001672,252.122357057,1.47735617857,0.788266,64,1.47713200636
65,155.170225465,48.1739305154,92.6253633256,-1.54928,1.48972,1.49126,0.0394343870387,202.880899676,24.0503059918,30.2429,0.0079471,72.9863514125,518.397043398,32.8836,481.049270865,37.893084793,1.49016267333,0.86109,65,1.48992715888
66,156.873985798,170.390509893,50.3910032803,-1.57948,1.51818,1.51921,0.0390315943993,166.621527808,12.4766005112,30.4763,0.00778084,382.105087618,643.806242259,33.075,522.560993777,317.55572308,1.51857950033,0.715971,66,1.5183905294
67,163.469019952,162.242260499,73.0060147258,-1.60154,1.5373,1.53872,0.0404631864834,243.561149925,87.5156034368,30.717,0.00816703,394.820380184,559.944149688,33.2695,580.678764921,336.732167482,1.53775847136,0.723043,67,1.53753870997
68,168.396627996,131.123214604,109.688543427,-1.62385,1.56012,1.56138,0.0396575253769,231.041391643,27.7374405667,30.9666,0.00791993,262.683783322,466.6179768,33.4976,493.970332053,87.9517700815,1.56045870713,0.765404,68,1.56021399348
69,123.194115387,156.073295016,27.5976732122,-1.64891,1.58359,1.58463,0.0415181379387,128.406018033,12.4645534323,31.2291,0.00869362,322.496884234,421.151406594,33.7326,353.318413173,294.655958884,1.58406868495,0.73654,69,1.58385673183
70,132.404047402,165.563480761,9.08689380701,-1.66816,1.6036,1.60471,0.0411799765533,161.97354714,10.2661902636,31.4757,0.00888008,328.121711353,384.82269082,33.8819,348.647874463,315.520041267,1.60409624671,0.734817,70,1.60383010721
71,169.728284121,177.552581617,22.5581724465,-1.69864,1.6266,1.62782,0.0409352735182,250.155061525,23.9086464596,31.6992,0.00843096,372.356252775,489.06175342,34.1379,487.202034282,336.764304923,1.62695189645,0.688617,71,1.62675059267
72,129.11530339,141.170204671,20.2611386952,-1.72456,1.6555,1.65678,0.0402841960951,263.241924155,24.8763159628,31.9752,0.00825418,262.465817755,297.865849706,34.3119,461.061131233,220.538220744,1.65587024872,0.653878,72,1.65564763179
73,181.646061945,160.932671546,17.2651670027,-1.75,1.68195,1.6833,0.0411482240598,228.866920138,38.8138475449,32.2715,0.00847686,327.177308904,373.25932271,34.5201,590.684344202,295.853901951,1.68236653139,0.681808,73,1.68208507156
74,133.323795703,161.652265209,4.39075280972,-1.772,1.70223,1.7037,0.0415002706351,215.37159765,19.7718452308,32.5272,0.00881531,318.585649171,330.266817999,34.8112,408.18858117,307.625442597,1.70276182514,0.67701,74,1.70246208187
75,131.997484409,173.317131866,3.59116381049,-1.79583,1.72434,1.72597,0.0456085724212,162.607401972,6.99595562631,32.7743,0.0105472,343.386242685,352.591609341,35.0294,374.964726946,336.354604596,1.72503714418,0.725803,75,1.72452887737
76,98.0617824675,161.441065957,7.07018910215,-1.8182,1.74964,1.75088,0.0444257104659,265.917791498,4.26663500801,33.0262,0.0109209,304.111275434,314.576649362,35.2487,364.766232072,286.124138709,1.75013826639,0.713343,76,1.74984977466
77,106.245305293,157.014851606,27.5719728943,-1.84427,1.77673,1.77804,0.0438742743642,145.60117973,21.9536943561,33.2313,0.0101353,325.444519083,354.964902657,35.4637,336.863717725,269.79060639,1.77728780628,0.633062,77,1.77693450217
78,121.584131238,163.697135368,5.88677802389,-1.86534,1.79792,1.79915,0.0448147873507,211.080464667,23.0710701597,33.453,0.0102479,337.780680052,348.100532572,35.7279,407.419560677,322.190109308,1.79846521841,0.688759,78,1.79814545053
79,129.0769318,187.237973797,17.1082136121,-1.87413,1.81105,1.81233,0.044741094562,221.453689236,17.2939979129,33.7118,0.0104302,404.34027903,459.620837012,35.9629,357.332243047,371.815422026,1.81145920153,0.689455,79,1.81119062478
80,98.9515310873,168.759760412,10.3805353838,-1.90002,1.83549,1.83686,0.0431437554068,248.813704548,34.9034457661,33.9607,0.00935566,342.048083748,402.74297149,36.0841,359.145362115,327.710358259,1.83592714799,0.639194,80,1.83560055301
81,135.069506151,171.282836981,11.8687865753,-1.90572,1.84322,1.84438,0.0437823716291,224.930369493,22.8440952068,34.1551,0.0104352,357.193365127,384.590474096,36.2873,371.627548306,333.832704636,1.84379578369,0.670902,81,1.8435146062
82,135.848294451,147.146082114,10.200579506,-1.92408,1.86147,1.86297,0.0450148101983,155.79558981,11.1980940646,34.4165,0.0109246,274.107677977,308.274038524,36.495,335.401450481,258.724677707,1.86203611586,0.796023,82,1.86173570917
83,127.866250337,149.955447027,5.85014978915,-1.93931,1.87382,1.87512,0.0447222999912,191.631652492,33.3985923838,34.6376,0.0109517,277.664677355,299.561869761,36.7267,356.154742069,264.044047136,1.87425843336,0.702205,83,1.87399748877
84,117.213069681,146.918307701,14.2073931033,-1.95085,1.89249,1.89393,0.0457748982185,188.923777974,3.0022632979,34.8573,0.0121603,270.370864203,352.649405855,36.915,329.454512584,251.566957353,1.89315107085,0.752358,84,1.89278468144
85,115.602598803,145.795957222,11.9830032757,-1.96058,1.90227,1.90389,0.0475949143266,167.776994754,18.7817357091,35.0608,0.0131607,268.493119192,296.749079217,37.1567,313.63253004,234.925759427,1.9027516829,0.773602,85,1.90242845134
86,89.6614158185,151.735518813,23.0641410367,-1.97338,1.91502,1.91651,0.0442823908969,204.651218987,31.2944276089,35.2659,0.0110586,288.995151399,324.80962913,37.2471,317.475895178,208.87918638,1.91564842328,0.729099,86,1.91522777955
87,98.4739115067,143.229563553,18.5019532379,-1.97613,1.91922,1.92097,0.0469767213275,130.419010122,11.4240885031,35.4997,0.0127476,256.917572905,308.714140144,37.425,273.585375684,212.796586595,1.91996474601,0.767551,87,1.91951510577
88,112.149665176,150.377057325,13.801113119,-1.98642,1.93058,1.93222,0.0472169026525,136.636672133,35.071063561,35.7237,0.0130833,278.554281323,305.632803314,37.6069,295.377757898,245.738664485,1.9313146858,0.785812,88,1.93074861928
89,94.0366368741,146.750423007,24.3413096189,-1.99068,1.9347,1.93666,0.0475654834202,156.070687982,19.4368480219,35.9331,0.0121011,263.614651905,307.52489039,37.8171,304.371916891,204.580506523,1.93570112704,0.845712,89,1.93493145405
90,103.759345636,126.083985746,43.5407537753,-2.00018,1.94248,1.94474,0.0499924236674,178.671248068,23.4551237956,36.0987,0.014065,211.395229553,438.932805852,38.0313,300.949105619,32.9096423139,1.94328263542,0.783514,90,1.94260170081
91,84.0271242132,98.7799173015,0.79593126214,-2.01066,1.95418,1.95639,0.0478785923838,103.920191295,21.7475803865,36.2978,0.0126892,981.66869216,983.137328857,38.1133,257.028493085,980.351790212,1.95498658506,0.738023,91,1.95434932375
92,112.513435866,122.476400441,39.4054356799,-2.00446,1.94903,1.95105,0.0510711076101,106.995258953,9.50566356681,36.5173,0.0152746,200.570724817,258.536963446,38.3297,328.16426752,150.867939983,1.9499678928,0.858827,92,1.94922163542
93,103.939918983,148.828294305,28.942426519,-2.01943,1.96879,1.97066,0.0489132493334,143.166426136,24.0717785151,36.725,0.0128599,273.86904034,329.98868807,38.5972,329.929542507,173.293822085,1.96973289561,0.830934,93,1.96900827061
94,81.8162882043,152.6564771,25.7576369716,-2.0274,1.97385,1.97597,0.0507322277793,214.88421303,46.0635602093,36.9711,0.0143992,284.852226189,355.270788048,38.6626,311.589197759,227.045787095,1.97468518822,0.848454,94,1.97392823467
95,78.9138533525,157.150901344,22.6933435099,-2.02764,1.97956,1.98161,0.0507686559458,249.451507728,57.5565608011,37.2227,0.0147652,291.753882227,335.376255472,38.759,369.9005705,243.07866187,1.9803208523,0.812212,95,1.97970250583
96,97.1609236775,144.521254714,19.9520163879,-2.02844,1.98024,1.98243,0.0504724847882,200.537158015,45.6477376664,37.4311,0.0134177,257.609948147,337.567979785,38.9757,344.266353473,233.397993566,1.98105604878,0.821766,96,1.98042220792
97,110.507289191,142.119568551,40.7190130386,-2.03865,1.98676,1.98876,0.0501261830042,213.706374122,42.622810209,37.627,0.0141318,257.44800338,337.885279636,39.0994,405.377466268,94.2904162785,1.98764826067,0.820489,97,1.98698217438
98,100.618919604,174.01625445,48.8048556614,-2.03392,1.98201,1.98361,0.050674238279,269.466845569,31.8460139088,37.8619,0.0140348,359.114108669,574.983879944,39.2578,384.143398926,293.146298524,1.98239266654,0.857251,98,1.98198506518
99,149.533621377,173.091732571,67.2485259639,-2.05261,1.99886,2.00061,0.0534969795558,199.437242414,21.4983146413,38.1391,0.0159608,352.909869846,467.072468532,39.4064,455.691702898,199.598845622,1.99952896982,0.841888,99,1.99909990904
100,160.88865067,186.797640885,28.6827398661,-2.06494,2.01211,2.01383,0.0520260281283,280.428621755,34.2384883098,38.3387,0.0143386,394.061502645,434.265339903,39.4482,577.386216654,276.788692148,2.01254081551,0.853578,100,2.01208583216
101,177.669055237,180.489787057,62.331381944,-2.06808,2.01243,2.01423,0.0515141074707,183.989178645,24.9431116139,38.5277,0.0141011,378.205732018,456.774461905,39.6757,463.904073214,265.804736775,2.01321108983,0.827296,101,2.01277926309
102,108.612114912,136.510232111,115.070957339,-2.08433,2.02808,2.02975,0.0541229050785,179.625762412,29.9205508062,38.7353,0.0162775,261.702933308,433.865018998,39.8028,320.947112478,31.0457242692,2.02873287441,0.854301,102,2.02828940306
103,188.896993664,208.230709884,68.083290167,-2.09629,2.03936,2.04124,0.0506707336419,203.511925719,13.3508776665,38.9648,0.0130884,540.161196359,712.374585484,40.0262,575.977793297,447.385791487,2.03996923132,0.851836,103,2.03954751178
104,130.189142367,206.343538382,47.1022326982,-2.1055,2.04926,2.05101,0.0526706104716,300.125536323,47.4661284506,39.1425,0.0153472,523.748554553,683.354123132,40.1938,528.729264882,440.61089457,2.04993262355,0.851496,104,2.04953900555
105,168.587174339,199.891643967,61.2526560641,-2.11421,2.05843,2.06021,0.054203147187,381.951148857,26.3134373274,39.3915,0.0170124,484.782096119,616.89060765,40.3671,610.01250546,306.869836831,2.05905381301,0.872003,105,2.05861900112
106,109.075193486,175.812200415,70.785705737,-2.13567,2.07718,2.07881,0.0517308603132,312.689181469,111.271641323,39.5523,0.0132571,356.90249862,544.301430265,40.5244,474.618916327,216.734114773,2.07798229613,0.897445,106,2.07757657064
107,140.978648089,180.064400468,97.3223297296,-2.149,2.09114,2.09315,0.0551360273311,307.242419646,15.6524659615,39.7313,0.0166699,444.244555329,634.193343197,40.6018,450.70336329,246.48300373,2.09163600358,0.87559,107,2.09126073344
108,135.551676588,178.354913012,120.00295885,-2.16414,2.10549,2.10711,0.0542304939148,269.810991864,7.56338020912,39.9368,0.0159557,470.743510417,647.697865838,40.7463,466.875366411,242.641221066,2.10612654169,0.88968,108,2.10571989856
109,185.976136512,224.707161156,14.5032390867,-2.17216,2.11544,2.1172,0.0533636619536,209.283778563,15.7070961571,40.1524,0.014796,658.054733218,688.324730133,40.9168,564.810097533,618.324150686,2.1160742615,0.889177,109,2.11562106759
110,185.657215117,126.418966062,34.8607429282,-2.19816,2.14006,2.1418,0.0546908649608,269.550883153,10.6188769401,40.3712,0.0157342,221.189346868,459.491472211,41.0963,576.235758794,195.704094931,2.14093697327,0.879075,110,2.14042142748
111,175.840275575,206.318142571,134.656695563,-2.1993,2.14152,2.14361,0.0549860909545,247.278220723,31.2915625884,40.5567,0.0161145,623.434364889,715.177202524,41.3034,622.38715983,196.93908808,2.14210975764,0.861715,111,2.14156161228
112,159.862334291,208.841692487,33.1868005266,-2.2252,2.16659,2.16826,0.0541446624132,300.199035265,4.8957835501,40.7356,0.0161609,636.996142729,715.051230385,41.3738,527.438701234,563.830930396,2.16728127676,0.867166,112,2.16687015024
113,236.34613581,160.150863723,220.518229602,-2.22841,2.16939,2.1711,0.0561122448918,272.016854907,7.28506864269,40.931,0.0185026,459.308393514,1169.63360248,41.5777,656.323012571,302.902436503,2.17018607153,0.935519,113,2.16972177172
114,157.837178744,180.693257549,320.801206385,-2.25298,2.1962,2.19777,0.0546373548707,247.773412017,15.0263251705,41.1595,0.016518,774.493338315,1394.97552571,41.6496,519.081958186,275.956985305,2.19700618792,0.911535,114,2.1965420691
115,214.277077655,213.13529481,147.994338268,-2.2621,2.20377,2.20551,0.0558668201449,266.136166691,10.8199534565,41.3563,0.0164518,730.919139656,1006.85045996,41.869,553.137274184,527.949972642,2.20445448866,0.86927,115,2.20393706607
116,239.820075692,220.747356413,77.8792099762,-2.27772,2.21716,2.21905,0.0555875137481,451.076560748,59.2718052778,41.5596,0.0162442,719.303318251,928.753966934,41.988,732.184570966,622.859091421,2.21806749913,0.906793,116,2.21734692406
117,156.05236204,184.864145499,264.00557267,-2.29474,2.23551,2.23741,0.057227329493,167.100048756,30.4872060708,41.746,0.0187581,500.550523871,936.617800268,42.0837,496.41469786,195.78056735,2.23667708643,0.871715,117,2.23591484491
118,218.164587905,215.024006715,80.3618671373,-2.30074,2.24368,2.24572,0.0581704688496,376.944142489,71.3721891672,41.9487,0.0184832,543.814967611,678.240608062,42.1954,656.103647253,368.215615207,2.24456170503,0.904546,118,2.24392463378
119,259.527750128,165.088778451,580.16742196,-2.31591,2.25715,2.25904,0.0597191447648,306.826032329,21.29078266,42.1305,0.0190466,686.144256569,2099.70133209,42.3243,814.185367324,271.337180198,2.25793934905,0.906602,119,2.25736511653
120,197.811561945,129.827808555,9.66951756455,-2.33274,2.26965,2.27173,0.0598484105417,242.948311242,14.7997298404,42.3037,0.0202853,234.72257758,255.809743486,42.3863,674.944722794,211.71258209,2.27065728773,0.915117,120,2.2700178503
121,194.120588609,144.233465106,410.688470056,-2.34221,2.28179,2.28365,0.0588037605374,255.838842717,28.1729618914,42.5255,0.0188978,385.470725503,2268.16278673,42.4966,652.779580143,214.015228503,2.28250827185,0.872947,121,2.2818743187
122,138.41692042,217.048770724,154.381720427,-2.36607,2.30132,2.30339,0.0582543311555,211.730047502,6.81224491635,42.7169,0.0179655,752.282131693,1180.4148165,42.6087,462.581098977,450.227301396,2.30249705837,0.854154,122,2.30185110483
