AverageAction,MaxReturn,MinReturn,AverageDiscountedReturn,AveragePolicySurr,AverageEsReturn,MaxEsReturn,Iteration,AverageQLoss,AverageQ,AverageAbsQ,QFunRegParamNorm,AverageAbsY,AverageY,StdReturn,AverageReturn,AverageAbsQYDiff,StdEsReturn,MinEsReturn,PolicyRegParamNorm,Epoch
0.903278,782.276710021,94.0082611893,118.814694609,-10.8051,167.998926743,262.26756968,99,0.486703,10.3278,10.3404,42.7486,10.3404367385,10.3307912709,121.479936116,215.862838766,0.403274428759,68.1776649,43.5453800386,37.789,99
0.87402,1046.86613978,82.3209173684,97.5007976633,-10.9187,173.302239787,582.319525715,100,0.472499,10.4361,10.4492,42.9737,10.4492542084,10.4392888991,160.103830042,213.945262135,0.400915767434,161.3142025,7.73013015312,38.0008,100
0.84949,615.249536631,75.0606800763,76.7584522742,-11.1196,167.822320908,292.876181494,101,0.433987,10.6587,10.67,43.1734,10.6704705196,10.661686936,88.8210970554,140.011939761,0.390853363535,82.7700290013,6.71057683019,38.1658,101
0.883512,608.886414081,118.939429992,107.859396854,-11.2025,199.912129408,464.936783497,102,0.474397,10.7357,10.7475,43.3764,10.7476933434,10.7382260531,93.8669332661,208.018828999,0.400922073231,140.350933305,27.5766459845,38.3308,102
0.879756,910.457289933,80.2868113371,89.6369757131,-11.24,226.048486879,417.487632459,103,0.444535,10.7686,10.7813,43.5937,10.7807851257,10.7717104237,155.935020245,192.065171099,0.401268268043,125.81148661,106.211562723,38.4913,103
0.887517,628.295220279,76.2779556117,103.071869544,-11.3336,161.558306315,349.792261102,104,0.514797,10.8613,10.8774,43.8387,10.8737653307,10.8630069017,92.9888085246,195.322001868,0.415042109758,112.879912707,-3.5041162284,38.6907,104
0.884586,275.560007551,79.6053277908,67.6805331097,-11.4734,164.089659096,339.069420487,105,0.477023,11.0012,11.0143,44.0953,11.0144462742,11.0048445031,17.8161831426,94.5646788419,0.409172475652,112.890584248,8.36510905138,38.8674,105
0.895103,860.09222972,112.077230849,108.596148392,-11.5914,238.210973881,493.820031926,106,0.503719,11.1117,11.1273,44.3135,11.1262496832,11.1150480746,156.311310751,237.189831103,0.414930405275,165.877766341,63.7637809967,39.0127,106
0.902239,1116.88830793,94.1566424272,105.490512686,-11.6329,138.229673774,246.984373064,107,0.516818,11.1412,11.1568,44.5425,11.1554380106,11.1438731783,170.634739003,235.598217425,0.415401910367,83.745072376,-4.72485548831,39.1565,107
0.893593,1012.37656953,115.87634556,135.105904498,-11.787,177.907866078,470.407032099,108,0.552399,11.2912,11.3078,44.8291,11.3066415483,11.2948183991,224.268012548,420.845898086,0.423822995845,149.512219665,-6.1214082317,39.3207,108
0.904411,1204.84604293,87.6609321747,99.1799902673,-11.8477,191.706783756,395.299516988,109,0.532253,11.3535,11.3687,45.047,11.3670574839,11.3565434675,214.938643457,252.065051697,0.419305017222,90.3533023537,88.7526603828,39.5208,109
0.900438,509.238279236,94.8601008192,102.646366188,-12.0223,141.784166817,386.181022619,110,0.520243,11.5202,11.5363,45.2702,11.5346940404,11.5229359546,78.3639792716,188.875041932,0.419030694918,101.764595788,2.39860889128,39.7272,110
0.923615,1063.18187404,124.929633322,150.438258682,-12.0954,230.882652206,407.428468805,111,0.564965,11.5957,11.6115,45.4724,11.609247272,11.5982091935,201.290244278,514.264592822,0.432510768888,103.527750322,68.0205137009,39.9248,111
0.844086,982.699230638,90.2070903833,87.0800350273,-12.2601,210.775759457,484.822004977,112,0.505474,11.7702,11.7856,45.714,11.7845558055,11.7736636261,206.066989148,305.028974339,0.418919764701,158.78921437,-0.0735711806474,40.1106,112
0.870234,1124.49504835,35.4921751993,105.624498238,-12.3315,246.143591219,614.163210148,113,0.571473,11.8389,11.8551,45.9771,11.8535694771,11.8424143785,208.439389032,309.856074496,0.432736475835,187.197089047,24.1356890506,40.2671,113
0.945814,593.556852527,89.566968552,96.3244700615,-12.4453,206.179782378,638.19467974,114,0.555116,11.9516,11.967,46.1918,11.9659139898,11.954604955,93.7498052449,180.829757069,0.434016590084,219.035383104,7.11369717716,40.4748,114
0.920645,513.230530481,89.0606445409,88.5117483629,-12.5388,128.136985633,358.672637547,115,0.610229,12.0341,12.0492,46.4001,12.0476210325,12.0371203708,95.4889416036,171.212050288,0.444173706885,131.806340528,-32.1484008633,40.6668,115
0.924859,552.181182291,12.3791358918,94.3271598296,-12.6871,176.062579744,365.354403612,116,0.67137,12.1587,12.171,46.6164,12.1707061317,12.1613938962,116.197856089,267.856711117,0.449112700224,108.248596179,14.5212470388,40.8357,116
0.92851,483.351653405,100.870692475,87.9948922636,-12.7809,147.822440141,348.943770356,117,0.562147,12.286,12.2997,46.8175,12.299355477,12.2895791284,81.7615536917,186.798154627,0.444048098554,115.609624667,1.26959173836,41.0081,117
0.911772,759.672663586,133.103773438,114.890304073,-12.931,205.17212516,486.469839917,118,0.620498,12.4286,12.4432,47.018,12.4418990616,12.4311703594,92.851140315,234.101960372,0.443116741259,146.102858033,-3.52475157013,41.1593,118
0.926201,976.51117358,119.540547035,100.15639802,-13.0029,118.966357201,269.14278418,119,0.576281,12.5113,12.5272,47.1875,12.5254514268,12.513444047,100.116384784,195.608982674,0.439814159493,100.347604012,-7.64761647896,41.2887,119
