MaxReturn,StdEsReturn,PolicyRegParamNorm,AverageQLoss,StdReturn,AverageAction,MinEsReturn,AverageAbsQ,MinReturn,MaxEsReturn,AverageAbsQYDiff,AverageY,Iteration,AverageQ,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,Epoch,AverageReturn,AveragePolicySurr
1007.76145307,107.665386743,21.3676,1.77711,332.388427649,0.690235,40.1964502733,14.9992,15.5656440823,298.438478797,0.74072015131,14.2193427694,27,14.2157,15.0082080425,64.3630501754,163.082263407,22.8994,27,262.332314835,-15.9139
618.45866118,122.188705144,21.8639,2.31621,146.168162946,0.75316,4.97442646984,16.1272,38.6066933334,291.328634688,0.813454890939,15.3756692158,28,15.3679,16.1419631398,91.6473917562,183.402311273,23.5399,28,265.230318913,-17.1307
551.908711249,116.474169041,22.3528,2.3474,123.220889714,0.80966,5.1508421805,17.2456,15.7733497387,307.790920201,0.835067783638,16.4929594411,29,16.4869,17.2550355476,101.87411258,119.703937128,24.1019,29,280.872672805,-18.3217
481.925930799,127.663182272,22.8346,2.9418,119.93081868,0.762333,-5.16331515695,18.1624,33.272676554,350.541896782,0.90605075518,17.4032117664,30,17.3989,18.1711253934,87.203178265,106.349363623,24.751,30,232.364780101,-19.2077
986.458879123,95.3469746813,23.2699,3.05319,207.613506856,0.81192,13.5301294335,19.3717,70.4746897164,291.255027935,0.934469875017,18.6339247307,31,18.6263,19.3807130436,107.07440663,186.04109444,25.2903,31,373.779828012,-20.4554
974.045748562,113.430729571,23.6557,3.58796,279.440934938,0.835256,-8.59313280405,20.5352,127.076151129,314.599609621,1.00295188155,19.8078978007,32,19.8009,20.5413221956,102.353625203,168.499812192,25.8101,32,546.071511061,-21.6746
418.352014063,65.647370346,24.0918,3.85357,40.7844214639,0.834819,118.071277943,21.8281,248.422649836,273.539868086,1.05193969311,21.1218716527,33,21.1129,21.837309158,129.329152101,231.53825181,26.3951,33,323.210575323,-23.0831
532.634624476,177.252005617,24.5188,4.36073,107.223244812,0.734209,-34.2206132806,22.7426,39.5445851583,376.110952883,1.09689056319,22.0332646674,34,22.0235,22.7534994028,65.8310916816,118.051556515,26.9754,34,130.045626017,-23.9755
667.738731263,108.371429929,24.9168,4.4268,145.377173288,0.815784,86.7403014762,23.9635,34.497679219,391.688712124,1.14333435707,23.2579393171,35,23.2497,23.9701702258,108.33688782,154.401410376,27.5554,35,349.475356778,-25.2438
598.093860986,110.918128779,25.2645,5.13187,149.565000337,0.80624,7.98504888677,25.1134,73.1462769508,297.781019284,1.20124472989,24.4681791442,36,24.4588,25.1185316305,69.9150365812,140.160361443,28.0952,36,164.093670026,-26.4152
542.383212942,120.271596778,25.6224,6.1576,135.850589239,0.838155,11.5814337119,25.7881,30.5889017132,304.297655039,1.30273689102,25.13259661,37,25.1232,25.7934450566,118.680719937,139.491586941,28.6988,37,345.341251878,-27.1308
551.260580619,136.993722018,25.9772,6.00234,120.97764311,0.803193,28.6014322576,27.1592,82.3153205767,413.798464041,1.30629658084,26.5570711903,38,26.5487,27.1684661365,108.086930556,260.822967443,29.2352,38,336.37071448,-28.592
1045.85764345,102.538979657,26.3204,6.41093,312.47058596,0.779858,4.00046790313,28.3427,156.013997493,294.023972836,1.38186174002,27.7592985292,39,27.7496,28.3474319367,115.715277307,123.504478801,29.8579,39,596.765892611,-29.8327
731.673348244,150.255700254,26.6378,6.82941,169.789381,0.838434,4.40235781893,29.3323,49.655530303,416.405652176,1.44913171509,28.7514354218,40,28.7407,29.3423734907,84.7890576619,148.008112742,30.4851,40,318.350678484,-30.8099
887.107408885,182.029006845,26.9112,6.97986,239.265481067,0.831492,-7.90386121453,30.5844,-12.0591191517,456.78376563,1.49289943554,30.0245027473,41,30.0164,30.5915290193,71.9632174587,259.496555057,31.0264,41,301.128563701,-32.0718
971.053425529,112.856699742,27.2532,7.72685,194.989134649,0.821804,63.1838208257,32.0263,201.785885562,391.602985835,1.5563399041,31.4832893025,42,31.4726,32.0340427121,117.055418987,219.178512064,31.5348,42,472.642427664,-33.5586
839.563261208,45.2401743658,27.5793,8.92394,170.943309691,0.849722,193.303521875,33.2437,-18.5628371928,314.621165728,1.61950372789,32.6955491085,43,32.6861,33.250915901,45.0005540103,253.374892313,32.0774,43,146.214375968,-34.8585
650.377262939,150.985214169,27.8494,9.1502,110.030157315,0.832154,156.339690539,34.6824,144.786522033,562.096854537,1.67362258679,34.1436870759,44,34.1319,34.6948413105,111.78110029,393.090025157,32.5218,44,338.913876563,-36.1871
881.69867843,94.9371123207,28.1328,10.2553,136.892807667,0.836339,159.029691787,35.9168,171.051024317,411.082491879,1.74426818006,35.4225192344,45,35.4137,35.9285301855,120.473764362,272.812693421,33.0227,45,358.04995513,-37.5586
877.76350687,131.098974149,28.4503,9.97481,227.22491163,0.843432,48.879505446,37.5174,112.268638111,392.759890606,1.80130849808,37.0318651468,46,37.0181,37.5280733501,100.646535488,238.921431218,33.5951,46,378.653644138,-39.2118
464.785034008,114.544757498,28.7038,11.0296,74.232716192,0.859336,58.2457950428,38.623,158.651394625,335.886719714,1.86595192923,38.1321241979,47,38.1213,38.6255078338,111.13717871,199.556332855,34.1382,47,273.251550848,-40.3305
995.360798501,87.0623303376,29.0051,11.6945,274.519000875,0.782789,59.0109807747,40.1579,127.694008234,323.967918473,1.91439905691,39.7241106213,48,39.7085,40.1745694858,95.5530461043,229.734044016,34.6644,48,524.662010341,-41.863
442.944747724,132.226482733,29.1744,13.0777,55.1037489954,0.848368,27.5100890344,41.5952,41.9158364137,429.350023828,2.0188940234,41.1971268774,49,41.183,41.6048677828,107.722115988,225.149143782,35.066,49,207.250112041,-43.5068
329.702682743,115.810058569,29.3185,13.3877,32.4718923496,0.825578,62.3764779931,42.5285,172.729136277,422.822378981,2.02645337254,42.1592332402,50,42.1451,42.5391731775,111.94263101,234.705325829,35.5862,50,224.785018169,-44.5195
412.733568777,119.600703149,29.5371,12.8792,48.3881951542,0.82319,68.9486151249,44.1116,145.690230538,382.972070329,2.0561699964,43.7936248643,51,43.7866,44.1062604693,112.895008556,209.589324823,36.0598,51,239.418661461,-46.1515
308.296028372,110.846625705,29.8561,14.1371,61.0779229681,0.829422,12.4217413683,45.5272,2.15241000255,299.328248293,2.15315252235,45.2503379235,52,45.2305,45.5452491544,93.9321011434,180.064536612,36.5355,52,187.11446787,-47.5967
434.893352939,82.2371832905,30.0371,16.2326,104.888560424,0.838576,19.9757353344,47.1572,-26.3271858851,312.557608817,2.23334721266,46.8969000958,53,46.8843,47.1603984918,108.351548596,189.367647112,36.9747,53,230.564599727,-49.253
645.05718557,81.3746144143,30.3183,18.5558,169.281728937,0.843197,192.852789792,48.8061,-23.4917882606,401.433356604,2.31822662336,48.5751912046,54,48.5621,48.8043054431,98.1987122181,284.008371114,37.4141,54,246.049657705,-51.009
460.894759539,131.402216483,30.5398,18.3741,44.8238311743,0.872181,7.4592860874,50.0012,212.830753792,373.428200838,2.35543220506,49.8007835381,55,49.7831,50.0063627364,142.774642049,205.548064171,37.832,55,343.355163751,-52.2926
361.896924715,134.227616853,30.7803,18.6242,57.1567677437,0.869884,11.1706255225,51.5833,39.3300757241,417.736611922,2.35749979968,51.4044510924,56,51.3866,51.5911408715,109.18298267,172.100981208,38.2009,56,222.608865367,-53.8549
1091.88465675,117.116016592,31.0554,21.1826,308.121910781,0.874011,6.182014813,53.5807,10.0403535476,318.296196615,2.44073966483,53.4249927313,57,53.4086,53.5821519205,102.61807913,143.058711266,38.6571,57,463.982044374,-55.8443
891.746150535,123.445832026,31.2841,19.8463,169.726322086,0.854318,-12.0369261565,54.843,42.1076858992,391.22651373,2.43549783631,54.7018376571,58,54.6814,54.8494209598,105.925101971,118.66046746,39.0645,58,431.461423703,-57.2818
702.909549617,107.809899122,31.5146,21.5582,125.494621411,0.844156,3.84421651432,56.5699,167.330482199,295.234242931,2.4946907129,56.4441832355,59,56.4316,56.5688042407,122.702578155,169.290677325,39.4892,59,313.961490054,-59.0266
553.548900854,82.7682050637,31.783,21.5215,83.8647575632,0.863472,10.7639163475,58.4215,142.77329798,274.979034027,2.51374874677,58.3176891698,60,58.2972,58.4317449816,130.468050086,158.924586025,39.9134,60,365.098355158,-60.9555
622.638699975,118.822470736,31.9956,21.3878,100.779566276,0.870051,5.68909637196,59.6276,161.910699363,357.439977113,2.53491399551,59.5043938367,61,59.4909,59.6253468741,130.597162378,163.50042145,40.3331,61,358.871647734,-62.1744
523.195468907,133.929335748,32.1982,20.9136,77.9946855398,0.868218,4.29900703027,61.3938,160.974471476,364.754828324,2.57100570704,61.2762747691,62,61.258,61.4006807798,122.183519199,143.58193885,40.7415,62,250.754000028,-63.9503
572.142643112,91.3396018588,32.414,23.3435,106.820038513,0.829826,26.9706437159,62.6776,46.7760627923,261.998246877,2.6548121967,62.5731519302,63,62.558,62.6782757618,95.2474205672,139.107250777,41.1515,63,265.012511647,-65.3115
2493.3310044,88.1022009774,32.6126,29.3356,404.636749145,0.845253,1.25170566951,64.6499,-3.99579843913,289.447813684,2.84953501426,64.5619943636,64,64.5425,64.6576055396,97.6809454002,92.3440936656,41.57,64,324.038198364,-67.4478
1181.70244053,101.773174696,32.8115,25.0584,212.203376479,0.851125,20.208183026,66.1497,43.9985098789,327.854375564,2.69867708379,66.0731427202,65,66.0551,66.1572210585,111.596091858,113.54793074,41.9039,65,349.340320402,-68.9784
497.915909257,138.386044714,33.0735,27.3546,100.660912257,0.83699,3.9776255097,67.6621,44.9103568395,370.714067808,2.78602124161,67.5922424727,66,67.5773,67.6689244537,88.1287127084,149.75047002,42.2994,66,260.678716259,-70.5088
462.917457341,134.157242308,33.2991,23.5686,104.53714221,0.844038,6.36877636698,69.3303,-12.8973048336,391.79490496,2.74105446154,69.2747662175,67,69.2501,69.3487827908,49.1442093229,139.140169577,42.6284,67,103.436991385,-72.2285
992.143535456,57.8969687824,33.5138,29.2214,187.646802743,0.870622,18.1456380604,71.1469,49.3323829929,181.607637791,2.88532081977,71.0945824322,68,71.0775,71.1614202573,96.7855220019,90.3085358227,43.0009,68,270.744962249,-74.0446
453.502469592,373.911592264,33.7431,29.092,68.3980343288,0.852865,1.0101869698,72.6595,39.3413344007,799.567451773,2.93684858886,72.6035449444,69,72.582,72.6762734994,72.8710685313,270.813735602,43.3857,69,152.081266962,-75.6308
964.214771123,82.2343562158,33.9345,30.4621,236.444873969,0.852577,-31.9414880668,74.362,-35.8300137492,275.361819478,2.98178360786,74.3062797078,70,74.2911,74.3695759907,84.6638518587,78.1362019245,43.7793,70,311.178897658,-77.1451
972.909279762,74.3429661588,34.1403,28.2074,119.071452782,0.857723,1.26348608571,75.6515,126.116490305,277.992692796,2.92411599476,75.5928841416,71,75.5759,75.6611747904,93.2019842398,105.116743416,44.0938,71,194.992942888,-78.5325
838.617084795,82.9665619482,34.325,32.8273,181.170178549,0.867748,25.5545198927,77.1102,51.9965636341,227.408826043,3.0571373744,77.0611864394,72,77.0355,77.1279047501,125.243067468,92.2372866352,44.4459,72,453.08841041,-80.1348
953.444139877,124.50633764,34.5409,35.1839,148.61434231,0.853228,-11.1637773184,78.9528,126.220286287,363.026286904,3.1258691789,78.8943012251,73,78.8819,78.9607270953,102.624821059,162.17764233,44.7942,73,254.39610891,-82.0133
1157.4042643,85.190440568,34.7487,37.0448,257.027063795,0.892363,0.0299326451346,80.3807,47.3673324055,314.741202608,3.18036802425,80.3317754765,74,80.2998,80.4000425252,116.105991406,70.2961968742,45.1839,74,592.193625409,-83.5285
960.551273446,213.227960836,34.9061,37.0066,227.668701736,0.861009,-0.0168348121172,82.2933,84.8444450648,673.854363585,3.20416377474,82.2452907299,75,82.2152,82.3109625339,110.308915577,146.041028625,45.5035,75,469.561177992,-85.3022
773.177397196,175.654334599,35.0491,35.5699,149.942972847,0.864451,44.9632654314,83.518,182.870630394,480.490579884,3.16339143254,83.4563584601,76,83.4411,83.5239825766,109.960562611,262.177453529,45.7755,76,400.248047786,-86.6815
815.849529648,236.046163865,35.215,38.4813,178.347430947,0.846025,55.4456646306,85.2444,41.5072193082,608.807956351,3.22716270324,85.1843073472,77,85.1639,85.2482884711,112.023863455,310.633643229,46.1547,77,329.410845209,-88.4846
861.596515429,185.407484668,35.344,35.2052,231.663057245,0.862398,86.0433845858,86.9474,-35.816026294,593.660642911,3.20200800654,86.9062156491,78,86.8763,86.9675843234,64.2742754489,390.320150892,46.5054,78,537.720504328,-90.121
784.853022935,147.754177256,35.5628,34.8416,159.820656953,0.851694,-0.632288749326,88.4554,107.252177951,434.347617649,3.24364354592,88.3936837718,79,88.3786,88.4601688627,67.4568284952,235.819893423,46.8439,79,496.508015783,-91.6287
985.191020628,101.603300524,35.7177,40.8651,203.39389027,0.870024,11.5145932254,89.6304,171.710074277,295.513846833,3.32629366613,89.5914107333,80,89.5678,89.645886243,116.23599005,104.889925976,47.156,80,477.961638494,-92.8813
952.277712677,137.441807242,35.9506,36.9636,198.052138661,0.855655,2.01848475925,90.7959,18.3471042511,343.981589337,3.23683457116,90.746061092,81,90.7248,90.8084905012,83.4179987639,183.07921373,47.4756,81,463.426332073,-93.9553
1177.99285603,102.385580084,36.1569,43.2149,343.779730274,0.809912,0.0952545082559,92.5028,41.8770158828,366.957597264,3.3955144478,92.438177004,82,92.4148,92.5006355996,83.2639820673,97.5302686583,47.816,82,338.311452094,-95.7574
1006.92596443,96.7246787943,36.3336,40.2911,297.595108194,0.84707,22.3022952464,94.1013,58.9353529477,305.347666212,3.32633458611,94.0466427684,83,94.0186,94.1106368117,111.647773735,142.315785635,48.1655,83,511.145588449,-97.3857
906.015031217,88.4400813371,36.5223,42.8944,161.1759494,0.839283,31.1793388641,95.3228,347.922117335,312.118685876,3.42389229956,95.2734114269,84,95.2468,95.3325369693,84.0884753086,103.739745168,48.5415,84,596.245968707,-98.8459
853.5600597,171.724616228,36.7085,41.7748,212.90460799,0.859254,19.8555239269,96.803,56.1586046776,494.257327747,3.4536565857,96.7409403826,85,96.7177,96.8035140986,118.321677824,171.487395481,48.8588,85,457.030343176,-100.229
722.628565256,81.9852435156,36.8926,42.3922,124.161579622,0.863061,-0.0267232500941,98.7097,126.996089413,260.618778844,3.43051684824,98.6535530732,86,98.6334,98.7107264838,120.203788943,148.395747286,49.1691,86,306.473037883,-102.118
1146.94569537,111.216399365,37.1099,40.7829,281.675191959,0.819917,14.6540989102,100.392,102.666113034,322.062171214,3.38640740507,100.337902471,87,100.314,100.38913372,98.3775216593,172.262267233,49.5012,87,561.131019703,-103.67
1180.75146049,118.200049018,37.263,46.0678,255.64228845,0.834038,-20.6742132333,101.608,172.450228562,389.874348497,3.53507276156,101.565899034,88,101.54,101.619052995,97.0848776335,161.80325571,49.8195,88,564.347712062,-105.037
896.780204965,75.4219911479,37.4529,44.5046,129.810306041,0.85512,20.3720795692,102.707,101.207682052,203.170456838,3.50210168629,102.649940323,89,102.627,102.701610836,104.363360161,72.9691037608,50.153,89,250.3859261,-106.15
971.975372212,124.084763539,37.6102,46.4118,180.254219746,0.831533,1.16191969849,104.509,379.386737966,340.370738197,3.51872915479,104.453376771,90,104.435,104.503426825,81.4617976651,184.02245535,50.4271,90,734.577550045,-108.004
491.481719432,105.841965778,37.7946,45.8752,93.6540581757,0.827753,-17.3917966582,105.747,-41.4617492719,271.496574267,3.50893989807,105.705859823,91,105.675,105.755940318,33.9709701967,82.9061793125,50.7748,91,43.3964512719,-109.374
962.735424631,193.446664038,38.0045,44.0162,233.986960146,0.839763,4.23230802074,107.145,187.286535902,467.417562079,3.44667661362,107.093819934,92,107.07,107.139235425,101.260741761,201.532419113,51.0793,92,682.353077571,-110.7
849.099704008,76.6417657705,38.1711,45.7428,144.430746656,0.864993,-55.0254598471,108.373,282.853959231,233.642442223,3.5020343182,108.237256097,93,108.216,108.372413602,78.2398289435,49.9695040879,51.373,93,699.037268939,-111.812
840.691030969,129.839055509,38.3127,42.3376,51.9958431535,0.890205,13.083818586,109.974,666.43792749,373.562831664,3.46500954768,109.829188625,94,109.811,109.963595245,67.1296126158,135.059116581,51.6509,94,761.115674994,-113.324
976.065788661,186.236548957,38.4788,49.7833,22.7616785768,0.856267,43.8607687594,111.236,899.017214997,523.378008909,3.573920671,111.153290245,95,111.116,111.244489975,69.8665302484,151.551025206,52.0064,95,932.657284839,-114.808
838.649275264,165.774348209,38.6523,45.0291,76.8774120598,0.8888,22.7127653228,112.427,585.131965886,480.719187649,3.52080525478,112.290817057,96,112.274,112.420633307,75.6642889267,147.264248028,52.3175,96,714.63626552,-115.883
802.764149437,154.818894,38.8205,47.5853,180.269693455,0.843183,1.80421669916,113.987,207.541117878,534.091109909,3.48135811783,113.8755322,97,113.851,113.988452867,95.4750158747,154.839100706,52.594,97,551.560164782,-117.324
846.834115223,89.08201111,38.996,49.1352,90.3939367714,0.849696,-0.144109091537,114.975,518.789604228,281.677019431,3.55811426693,114.897656004,98,114.872,114.975767812,70.3538667327,102.415370722,52.9633,98,703.148567161,-118.283
930.85477971,100.863767901,39.1845,51.0374,228.313581458,0.839544,26.92696086,116.337,289.245194651,261.884179224,3.61101308159,116.221726026,99,116.193,116.325382662,112.826728241,142.567317849,53.2413,99,624.512228476,-119.583
1045.64101259,130.583986714,39.326,47.4534,294.269527339,0.813094,1.31759566187,116.754,43.2173475629,370.719806706,3.51510430901,116.576468474,100,116.567,116.726847113,99.5436125981,126.77622657,53.5174,100,472.648925623,-119.951
1186.72784606,140.837956211,39.5352,43.9571,234.400757778,0.836225,40.328876924,118.293,-29.5250115178,377.254507971,3.54069409361,118.205314578,101,118.18,118.295314072,82.2471873019,228.715258049,53.7449,101,277.12366674,-121.495
793.424780166,133.869688033,39.7739,51.8453,153.029009615,0.86282,2.12024488737,119.081,173.78750119,345.064431511,3.67957816975,118.959367953,102,118.937,119.06449221,100.832203116,151.933401497,53.9951,102,400.018013287,-122.342
914.954473465,126.070428247,39.8839,49.3767,206.854620287,0.823021,1.28975435798,119.72,29.2318256607,354.753784088,3.63765722299,119.596575843,103,119.572,119.686566401,93.2733246701,178.960847363,54.3146,103,361.880437552,-122.991
712.332942313,233.973083728,40.0679,54.9489,161.383895078,0.866414,4.85660936,120.974,91.4722584675,616.651314371,3.74614516439,120.864863497,104,120.84,120.967822623,106.904196958,197.1232409,54.6448,104,361.888647468,-124.159
863.253802902,65.1608670323,40.2396,54.878,160.337677847,0.84579,-64.1207172211,122.013,113.450539212,149.904239881,3.78016534571,121.880060062,105,121.864,121.991238051,110.264139366,51.8186173734,54.9286,105,360.641504641,-125.133
1044.56323128,114.035973618,40.3542,54.656,267.470745389,0.861855,1.02757894328,122.707,71.7507451039,336.036607427,3.81890255958,122.574882193,106,122.555,122.686355527,129.555939035,145.272021594,55.2606,106,456.630225,-125.862
1203.32782473,129.93990136,40.537,54.7314,321.958097457,0.904948,21.9209390944,123.403,234.838983834,369.088535644,3.82320058954,123.29361852,107,123.257,123.391527291,81.1951626618,134.477528684,55.5392,107,777.580892551,-126.8
492.377337089,82.7775337398,40.7038,65.6854,143.909778596,0.879705,1.92943402027,124.567,-107.956389564,234.798557955,3.96032916074,124.440652332,108,124.42,124.549781788,88.183725603,115.22809939,55.839,108,221.378905531,-127.836
1076.97292141,76.7036786102,40.8568,57.496,205.417783383,0.886687,-9.26928306688,125.389,379.909643977,269.449889796,3.86493931944,125.241391827,109,125.227,125.358581963,116.83350992,62.2079647942,56.0989,109,739.126970613,-128.762
536.932486009,146.356166616,40.9918,52.7059,196.013307771,0.883667,19.3191969711,127.051,-230.395089792,432.298739172,3.79569907361,126.949197963,110,126.925,127.040826501,35.0503896321,184.725247686,56.3679,110,89.5657395757,-130.436
497.193405509,184.37179072,41.148,64.3914,68.6802124676,0.888676,-112.891518344,128.009,119.98311963,544.169638282,4.00935777152,127.870152937,111,127.849,127.98685261,110.238689695,107.572364648,56.6289,111,201.438198137,-131.335
748.912214834,102.746113801,41.2556,60.3736,105.90576009,0.892995,2.08102341568,128.671,198.499998863,319.474614268,3.94022566625,128.560265529,112,128.537,128.659452057,95.8104357305,131.391628712,56.9433,112,394.920356463,-132.284
615.857400597,163.824345648,41.4197,66.4759,120.905370217,0.872118,-1.58291051568,130.167,114.190019471,442.28350645,4.10912194561,130.038389289,113,130.009,130.15517868,118.558836617,158.968694935,57.2326,113,296.092054945,-133.444
400.178024022,50.5163108931,41.5495,63.6627,110.068475097,0.873127,6.36581355764,130.782,-87.7914907714,165.83474747,4.04505325569,130.65907919,114,130.624,130.770549646,51.7980647544,56.7998679527,57.5109,114,140.330263874,-134.189
493.232743423,144.921709425,41.6918,63.3284,187.782007209,0.885444,-51.3170949301,131.898,-176.856199093,413.714679342,4.01331413513,131.751177291,115,131.737,131.855493232,39.412578643,84.2120210065,57.7158,115,106.021322469,-135.391
469.865339739,123.07235314,41.8872,78.3733,125.585710873,0.859415,-10.273843729,132.601,-53.6105245007,399.708236323,4.22968534063,132.507503766,116,132.481,132.579484338,62.8492186704,66.5813656267,58.0148,116,223.535341,-136.138
384.838020076,72.414962624,42.0281,59.4278,114.898741356,0.879234,21.07274618,134.242,-47.144347349,213.19098352,4.04628510404,134.150438863,117,134.116,134.230292982,50.3266128584,108.385132161,58.319,117,136.913609618,-137.663
344.729493171,150.120866864,42.2038,75.9757,60.8249138468,0.89621,17.662054751,135.359,119.384305303,400.4201982,4.28375539975,135.247158755,118,135.226,135.333739819,106.697364452,122.129720834,58.6103,118,229.137260804,-138.838
579.619989201,143.886957722,42.3873,64.161,160.643435558,0.851797,-11.2570632596,136.247,-85.5004147295,364.774905015,4.10193044985,136.128653818,119,136.098,136.230926756,46.8968586028,147.605310289,58.859,119,173.707053978,-139.775
581.223195761,129.985362683,42.4972,78.9629,176.2704491,0.854602,15.6472113056,136.815,-90.6023175306,386.240989528,4.30712196472,136.676429015,120,136.652,136.784419163,36.2547870271,214.971039305,59.1364,120,151.26443891,-140.147
929.46912437,96.2929784607,42.6761,68.7953,213.179444966,0.866593,4.45238408866,137.745,-8.43473099574,337.81798768,4.11349861996,137.615077868,121,137.596,137.702926084,68.9296836806,73.3130489657,59.4063,121,316.076624435,-141.118
587.485098536,95.3750057325,42.8315,68.5601,138.905781046,0.833808,-49.4814851899,138.893,-95.9572210399,268.913971912,4.15420760166,138.782396518,122,138.76,138.871884585,52.1930199449,60.1386960028,59.6347,122,135.855257484,-142.207
444.954702008,105.142842375,42.9988,72.9601,98.8485537991,0.85069,-13.1451139299,139.153,-34.5136509743,330.081395703,4.24842805659,139.019067868,123,138.988,139.120786979,56.3951873847,86.6700163328,59.8846,123,131.858631282,-142.542
531.445077345,74.6487658087,43.1409,82.212,169.734922137,0.85319,10.002838215,140.241,-99.2022269772,194.718398025,4.3220110915,140.100733764,124,140.085,140.185650413,38.8544117702,85.9417753796,60.1446,124,153.545103711,-143.578
652.595316332,127.230704824,43.2862,64.6822,226.270389986,0.875882,-34.525161882,140.403,-177.32805707,438.600635002,4.07895302612,140.30631596,125,140.282,140.385161863,53.1747021646,44.6802816233,60.3579,125,277.358136196,-143.678
