AverageReturn,AverageAbsQ,StdEsReturn,Iteration,QFunRegParamNorm,AverageAbsQYDiff,MinReturn,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageAbsY,MaxReturn,AveragePolicySurr,AverageEsReturn,StdReturn,AverageQ,Epoch,PolicyRegParamNorm,AverageY,MinEsReturn,MaxEsReturn
180.652876097,9.15057,33.5133086268,21,20.1362,0.441188263732,25.2171793603,0.696334,73.2941812466,0.583337,9.16153819202,603.451827436,-10.4302,133.03236361,181.211421634,8.54889,21,21.5195,8.55076493841,93.952375868,173.293513453
290.595781699,10.1131,55.6691927436,22,20.9755,0.494018327129,63.8366342852,0.580967,98.7552206066,0.74973,10.1238954637,532.264826456,-11.3618,134.22569644,176.217593583,9.52292,22,22.3461,9.52401085995,44.9825998515,195.778741821
208.764747308,11.2103,67.4168594971,23,21.794,0.535713703479,62.4653360953,0.582356,94.2603173675,0.85649,11.2195618097,374.132231446,-12.4533,367.774379789,89.2528389136,10.6266,23,23.0873,10.6288958601,296.788347153,455.376371356
247.203411128,12.2472,66.9564321205,24,22.6424,0.582470726989,57.9012566969,0.599802,102.547453764,1.03802,12.25606255,452.577224347,-13.4665,50.1441146575,91.0952453985,11.6692,24,23.7657,11.6712083513,-17.0781933633,199.908769639
111.689177991,13.079,70.7663260951,25,23.4758,0.627559790106,-13.1440610907,0.642946,56.4903602342,1.22628,13.0878980804,527.552720588,-14.2726,71.8658185923,135.766311753,12.4768,25,24.2737,12.4786088112,15.2603502249,236.102092744
107.41024618,13.9516,140.418638004,26,24.293,0.666222464696,61.5565186661,0.55401,64.8057318712,1.36236,13.9618192099,479.441154818,-15.0789,151.561007933,76.1395825906,13.3173,26,24.7441,13.3198402722,15.889441922,444.316254842
306.678214539,14.8108,179.859766852,27,25.1446,0.713856638591,41.9676805683,0.618135,111.855461937,1.61401,14.8217823237,548.495411003,-15.9544,155.590025986,121.652268593,14.1593,27,25.272,14.1617358763,-24.5188338681,485.937141808
390.397500409,15.9206,152.407517181,28,25.9605,0.766217787541,57.7874348121,0.685683,103.550254402,1.87081,15.9312453161,725.753730787,-17.1344,265.614658816,152.518112781,15.2794,28,25.8183,15.281260041,20.3947251816,427.692197324
448.204762392,16.9219,113.551472717,29,26.7103,0.793999892675,34.6374740959,0.652811,98.4533454075,1.91559,16.9301901696,1079.49343989,-18.1828,150.599489748,242.730640355,16.314,29,26.3445,16.3156920886,38.6189531148,340.197116744
391.791493103,17.9091,189.993913472,30,27.4975,0.865975667381,62.5513132841,0.670765,104.91431082,2.37261,17.9178227854,844.68115812,-19.2401,182.307558018,181.266281089,17.3036,30,26.7322,17.3069752444,18.2303639538,495.120850366
430.272925973,18.9102,117.363161614,31,28.2724,0.927724372951,59.4493846229,0.692421,100.986728598,2.62723,18.9193451066,681.484325184,-20.3404,115.01940433,179.885352126,18.3306,31,27.1066,18.3337937087,-1.89942521325,363.912590027
369.768842102,19.986,106.355553014,32,28.9791,0.97553928394,41.0633087031,0.69584,105.726048228,2.79686,19.9946873728,669.943943659,-21.4152,148.60412675,143.622557739,19.4176,32,27.4985,19.4201368061,5.10434287447,356.895550129
446.987591088,21.0657,165.700469947,33,29.7304,1.03638363384,67.0504793718,0.676844,105.84771483,3.34868,21.0741805944,826.214668022,-22.5217,164.320793391,189.162211071,20.5169,33,27.8811,20.5196052678,-6.52199529178,519.322260575
374.245640098,22.2022,123.178147061,34,30.4777,1.10745493754,88.1636416146,0.679853,128.643321412,3.68268,22.2108941554,680.135945649,-23.6779,133.779536268,98.1210297297,21.6764,34,28.2955,21.6790688611,-10.0057448906,366.054040931
479.890384884,23.404,101.45966699,35,31.2099,1.18679701672,170.766906927,0.652594,101.571053208,4.37805,23.4159561138,841.645010526,-24.9374,167.510702822,155.270263234,22.8987,35,28.5706,22.9027078369,16.3249085828,304.54974238
406.524570489,24.5818,111.796033949,36,31.9531,1.24531839088,54.1394667771,0.648578,121.939159371,4.64324,24.5964555005,655.330582111,-26.2095,248.709843781,117.37312005,24.1279,36,28.8468,24.1329499153,99.8816350722,392.311674511
609.541711202,25.7557,157.43675821,37,32.6404,1.31472447507,70.1161464257,0.655046,93.0225988469,5.07354,25.7697052997,995.904595959,-27.4476,168.228061198,263.27243444,25.3259,37,29.0745,25.3300255314,-23.4060443718,394.479271769
371.90053776,26.9071,160.823248596,38,33.2791,1.36615807198,149.743445994,0.647979,104.582671806,5.33808,26.9216683024,947.557826571,-28.6064,186.290836865,179.710059859,26.4912,38,29.3176,26.4959331099,24.1955503652,463.352676154
241.255930823,28.3514,165.182212376,39,33.974,1.44392754767,54.4413538287,0.685876,100.266855414,6.24762,28.3624169536,494.884310414,-30.1262,241.136056376,100.552838202,27.9465,39,29.5855,27.9518466838,44.766790366,491.09971986
238.222533634,29.5501,96.4493093254,40,34.6052,1.52314619068,21.712418549,0.683517,81.5139744991,6.94892,29.5576817957,487.161187307,-31.3981,95.3459269773,98.9657886411,29.1659,40,29.8285,29.1723189507,4.43000954111,268.378027761
243.029518857,30.9964,100.403497712,41,35.3,1.60319240071,79.8314904335,0.682223,86.4711912306,7.71248,30.9988989302,402.858152466,-33.0117,126.97678549,65.3615175732,30.6372,41,30.0695,30.6434476458,7.77673883374,259.408953059
185.768645614,32.31,119.310786116,42,35.9252,1.66981994325,3.49308215565,0.695359,69.2069328866,8.33079,32.3121900504,459.615513295,-34.4105,69.9894238358,92.2585852298,31.9779,42,30.3008,31.9852369555,-50.3045277342,318.900430867
185.791024003,33.7956,92.2645616649,43,36.5499,1.7578056387,107.191682585,0.706103,81.4645526864,9.30258,33.79387357,386.503626075,-35.9715,107.566633395,60.9746711681,33.4905,43,30.5657,33.4969952263,4.76385139651,294.444090893
156.242427742,35.1913,59.344325914,44,37.231,1.83778796399,-6.4225118473,0.706836,68.08736743,10.4177,35.1935953399,512.394323283,-37.4818,62.9800903834,76.3905035442,34.9225,44,30.8358,34.933723743,-21.3449742105,174.368233514
171.601818234,36.6148,78.4513541034,45,37.8456,1.91693485796,-41.2585423495,0.757522,42.0785736802,11.0164,36.6092968252,965.462125689,-39.021,71.1291974332,225.387103037,36.3706,45,31.1025,36.3790803304,-10.0966737063,222.127560602
181.598203041,37.8904,125.650552498,46,38.4298,1.99294932783,-2.45610262414,0.781315,68.4495763,12.014,37.8888611473,437.275298417,-40.3998,105.658784403,104.922829081,37.6668,46,31.3838,37.6777116383,-5.14591498407,337.25076582
230.92260783,39.6631,80.9995890476,47,38.9658,2.03892546652,-39.3621237879,0.813696,58.2468634528,12.1218,39.6638165767,996.371012971,-42.1758,67.4006979466,304.153203744,39.4675,47,31.6688,39.4778274076,-20.8321992051,218.818846643
267.452999185,41.2266,133.843013422,48,39.4575,2.1414421665,12.9416505997,0.825529,48.8151985062,13.4618,41.2213748658,994.039297354,-43.8263,121.049531248,368.559704851,41.0432,48,31.9542,41.0519014198,0.523300614208,359.494906309
517.835914861,42.9885,141.079068904,49,40.0103,2.21516797597,188.66384418,0.76785,108.536512489,14.621,42.9903023771,1121.13617544,-45.6362,92.9529521794,339.113372144,42.8155,49,32.2613,42.8268917348,-0.431502023765,445.499882453
161.398541733,44.4319,104.972338914,50,40.4408,2.27660706095,-2.06757290728,0.818337,75.061974134,15.0249,44.4345048425,324.100767169,-47.1531,120.39349079,71.459328784,44.273,50,32.5444,44.2851346977,8.18359040045,291.319292242
217.229066031,46.149,153.789043383,51,40.9015,2.29018206598,33.5118846798,0.778108,89.7993041068,14.9179,46.1525153785,506.269101903,-48.8717,291.094708354,93.8689861479,45.9969,51,32.8595,46.0089398891,-0.639605287739,455.555265421
181.336671406,47.512,130.286255774,52,41.3881,2.34698592733,7.11091439875,0.757435,82.006930747,15.8458,47.5165177779,898.121646872,-50.2496,194.455686361,142.432339934,47.3632,52,33.1092,47.374116921,58.805167699,370.266895035
218.004024412,48.9257,152.495517305,53,41.8614,2.37475699347,-44.9771282471,0.811349,67.450373619,15.6402,48.9285119896,907.934628628,-51.7552,229.755316581,216.180590433,48.7782,53,33.3367,48.788300337,-0.398857346577,420.564487615
202.198536076,50.694,127.709993882,54,42.3259,2.40509272244,35.8116740835,0.790199,97.7219700724,16.1904,50.701548618,463.052952639,-53.5767,178.091437601,65.370725617,50.5558,54,33.6107,50.5675951844,-0.614464621279,380.156191235
202.643311988,52.4084,108.155249952,55,42.7959,2.46737332973,61.506028083,0.792912,104.714034068,16.6999,52.4105695728,404.194617906,-55.336,121.676199985,61.4813670349,52.2746,55,33.8393,52.286330262,0.685353745996,348.46008643
173.073408337,54.1796,105.41276406,56,43.2579,2.55045389088,128.862910284,0.830109,101.5519444,17.8324,54.1754265461,344.631876392,-57.1283,127.772699642,35.5873576096,54.0495,56,34.1141,54.057572405,5.37617608996,313.980975949
158.009802321,56.1341,89.7807810951,57,43.7123,2.63081329882,114.900632423,0.822495,96.6181764066,19.4554,56.1351178009,408.210594536,-59.1184,174.378300261,32.7668343161,56.0096,57,34.3563,56.023039761,2.86084795327,322.738035091
239.23911692,58.0866,84.986385443,58,44.139,2.64150293432,169.766511824,0.790371,119.384362172,18.9003,58.0829430091,465.11658828,-61.1094,170.600549362,67.8751160914,57.967,58,34.5559,57.975461081,18.6967854518,290.030574428
230.742223983,60.0543,140.262292181,59,44.5643,2.75579478894,144.754421939,0.813702,102.363868123,20.9361,60.0561973731,593.707939106,-63.1506,219.925423566,92.888910279,59.9316,59,34.8391,59.947317588,18.8692248549,454.590457579
169.538398133,62.134,61.2816707867,60,44.9904,2.82288441458,53.0786931598,0.818725,87.9689072188,22.0572,62.1340492722,374.396332952,-65.2259,200.856449464,62.398674113,62.0181,60,35.0774,62.0327065942,82.2009743609,315.619419152
155.979887904,64.0997,56.0786060107,61,45.4125,2.85809982994,109.598157952,0.786477,96.2912544208,22.337,64.0959551607,293.408458432,-67.2436,168.370685767,39.4889530577,63.976,61,35.3045,63.9877227029,111.530864967,283.853476305
155.907260331,66.0853,64.2784051654,62,45.8469,2.96955170404,98.4116364515,0.791215,91.6280852167,24.396,66.0851098995,469.523907686,-69.29,151.608102255,53.1800584124,65.9624,62,35.5548,65.9770747201,66.3144189147,260.183696507
130.706816205,68.1717,39.9610059658,63,46.2268,3.00095862941,91.5713360791,0.80442,82.0986751596,24.276,68.1677939905,296.845558361,-71.44,185.941040842,35.4851783544,68.0508,63,35.7705,68.0656943815,122.931476957,244.972550983
144.878828092,69.9259,131.272062957,64,46.6516,3.06685132803,81.5481999039,0.782375,92.3772761072,25.7675,69.9184979321,366.208393648,-73.2838,177.011412124,39.4809172773,69.7962,64,35.99,69.8130464266,53.8838257167,492.871444467
129.883298814,72.23,71.4407937689,65,47.0673,3.13850137427,89.5621141115,0.780928,81.9182943637,27.1178,72.2291978141,317.782995192,-75.7875,156.388062964,33.7634892832,72.1067,65,36.1883,72.1276798394,65.1692006216,307.33363903
175.00995541,74.4815,57.4239248378,66,47.4722,3.25504497813,96.43479469,0.784634,100.226474061,29.6296,74.4734814574,476.377236801,-78.0923,116.571318487,69.9394028432,74.3591,66,36.4268,74.377842544,9.57147018024,176.581098206
202.652895363,76.5015,77.583709456,67,47.8473,3.2737915424,30.5669445107,0.805015,76.4442358121,28.7143,76.4869330288,475.668730633,-80.1288,133.844346975,101.96959036,76.3893,67,36.652,76.4013471051,6.4706635494,288.680185673
205.02973334,78.4516,89.971256519,68,48.255,3.32289857581,101.586857403,0.818046,87.7322514377,29.5869,78.4413795873,434.54177141,-82.1885,127.161779839,65.6088425215,78.3401,68,36.8587,78.358204203,36.8441081034,277.101510687
174.319593398,80.4958,109.361319216,69,48.632,3.35955073996,70.3700443228,0.816164,90.0013567819,30.3724,80.4894848989,360.951506263,-84.2385,219.754598194,63.9343528797,80.386,69,37.0677,80.4049766042,63.8920695017,396.948159878
190.540741183,82.642,99.0372907999,70,49.0334,3.39628715881,27.5981317706,0.83623,84.0112557577,31.4815,82.6271496382,463.199309207,-86.405,237.719805992,69.9531253094,82.5296,70,37.2899,82.5448757277,124.311458452,424.893281005
198.724104848,84.6457,59.1567567605,71,49.391,3.43388892874,51.6990563575,0.830963,86.7686194458,31.5251,84.6387738477,492.636454334,-88.4124,104.595523108,99.6131038381,84.5403,71,37.5103,84.5600680815,7.5748712151,178.764586866
194.05848159,86.7681,84.659159105,72,49.8076,3.50377075271,-49.9182981019,0.820171,82.3468793053,34.2544,86.7563145338,452.744875639,-90.5564,124.969084821,97.0235749636,86.6635,72,37.7483,86.6797726824,15.0140534349,269.568379095
143.321720604,88.7108,101.840749597,73,50.176,3.56784782421,109.318926047,0.837229,85.3591056483,35.3722,88.6998247676,399.920908533,-92.5807,127.810442516,52.2426222676,88.6031,73,37.9325,88.6228217396,-1.6067446762,346.279236473
194.981974823,90.5022,94.7164941424,74,50.5837,3.67483293754,-22.707157105,0.827273,76.3826607582,38.6378,90.4843234913,389.504508134,-94.3586,196.490611699,101.956395358,90.3875,74,38.1295,90.4066639443,125.677215879,417.083440544
250.670082983,92.6767,104.444538989,75,50.9357,3.67809633618,39.7991011705,0.814863,96.0518949864,38.0925,92.6666682759,374.394858817,-96.6084,166.022025048,64.6609399982,92.5633,75,38.2829,92.5839463244,38.7118097495,277.473213085
137.628033599,94.3944,88.5104907083,76,51.3102,3.72317660386,99.5360492315,0.858271,81.0855011114,37.803,94.3804057995,342.97531305,-98.4449,148.612152193,52.7915204151,94.2822,76,38.4532,94.3005962807,57.9808307065,302.086730416
216.968570115,96.2641,78.3900859087,77,51.6608,3.80324664081,107.828509966,0.823063,92.1809779769,40.3761,96.2545489704,732.963846492,-100.467,133.104559709,135.937960387,96.1503,77,38.5799,96.17141048,1.86826710347,307.513045196
193.708924608,98.5924,105.980752793,78,52.0365,3.85039558356,96.7122785192,0.806204,85.6513703117,39.5564,98.575373455,363.95347264,-102.818,130.258496282,58.2324872362,98.4755,78,38.7745,98.4963296719,-2.83312724887,320.241963164
252.670237457,100.459,69.7180477639,79,52.3979,3.89859807458,102.079576729,0.813757,87.4615227647,41.3606,100.441908562,603.552047986,-104.721,168.341360653,103.841863292,100.34,79,38.9323,100.359074775,58.5006062658,281.914082316
274.458215147,102.358,72.7366594349,80,52.7624,3.94399531699,56.6306499448,0.818749,105.077407135,42.469,102.338409976,536.74310351,-106.711,149.70199323,104.500287616,102.238,80,39.1463,102.260165916,67.8713847405,316.230294698
250.170284322,104.259,71.6261161689,81,53.0651,3.98089749435,122.936030995,0.82943,109.069662604,43.1622,104.229406409,786.512750996,-108.652,154.009417864,129.689032218,104.134,81,39.3433,104.154030601,3.08861445216,281.260123868
259.156285341,106.053,96.0749230176,82,53.442,3.98673292546,113.801163856,0.816144,106.390189889,43.1585,106.028668339,473.827200126,-110.435,160.276660703,103.447142278,105.926,82,39.4909,105.946700192,38.1309334002,358.007553294
256.822270001,107.908,127.902535968,83,53.7539,4.06452934314,119.350822911,0.844884,111.788118171,44.2981,107.87528696,774.116810665,-112.198,211.789459718,154.842577229,107.778,83,39.6877,107.794580843,72.7646899801,467.380772994
182.484122855,109.761,78.91736901,84,54.0667,4.03475225512,106.546732711,0.828399,97.0614355515,43.2096,109.733372962,476.173933517,-114.069,140.117132533,92.8266566142,109.628,84,39.8572,109.649318109,15.7443005169,335.774767038
275.715990887,111.465,127.879863633,85,54.3781,4.08372018542,108.567292854,0.831253,106.488330524,46.7311,111.430301792,531.778446147,-115.895,194.02739977,147.896290187,111.329,85,40.0461,111.349367431,12.8311134627,370.071906411
264.277269213,113.38,54.5141091119,86,54.7156,4.09304585438,57.8268856137,0.817818,106.863854958,45.8829,113.354683755,526.203832739,-117.744,102.72776566,128.553046627,113.251,86,40.242,113.272249874,2.39700209863,178.547616427
287.152362758,115.141,103.342391771,87,55.0603,4.17443094502,66.6370742111,0.832168,119.732424209,50.1705,115.10213119,522.715118565,-119.406,194.894631481,107.112381465,115.004,87,40.3688,115.024126278,7.68736443388,311.109510315
299.119613034,116.579,102.121600457,88,55.4181,4.19065297063,84.9125247805,0.814323,102.55841939,48.7968,116.551731338,1000.53237412,-120.818,146.7645075,168.945741004,116.438,88,40.5738,116.461414549,-10.2846400264,271.473015967
272.485355622,118.368,127.500437808,89,55.7173,4.22398901374,115.666129969,0.796865,113.052828487,50.4926,118.328293842,624.337232591,-122.58,238.925362737,108.72050268,118.228,89,40.7658,118.24190059,117.496957461,464.393393779
206.021993004,119.824,99.707617823,90,56.0614,4.18236766275,50.7069735012,0.843091,104.856290253,48.656,119.791923602,450.647799902,-123.958,139.50342522,95.3906897048,119.689,90,40.9657,119.710455041,0.714196879342,329.385177745
182.211218899,121.112,124.079284223,91,56.4185,4.2367240335,13.9531524602,0.796121,85.1749344926,50.5978,121.072316238,473.866768727,-125.231,165.080180655,118.533266418,120.96,91,41.2105,120.978236861,3.59571583563,374.054364866
205.96067703,122.49,108.71858815,92,56.6869,4.26357893439,97.7655490159,0.81143,104.926884959,52.182,122.448953204,487.350786633,-126.672,171.711710535,102.266457705,122.318,92,41.4203,122.341590189,-0.632894516262,294.195841591
178.545696118,123.959,96.9078949472,93,56.9874,4.30333695315,89.3742126556,0.843327,94.4232251882,53.2914,123.910088392,545.955864923,-128.102,193.723150025,93.0068384341,123.796,93,41.6277,123.807780663,77.769110382,331.643847405
257.636569119,125.72,130.928184077,94,57.3268,4.30108089706,99.441301158,0.819844,115.596411179,52.4222,125.681765575,501.927852224,-129.906,224.501642183,98.6995025081,125.565,94,41.8259,125.588435749,31.7983825106,447.136834462
178.634803483,126.871,108.983133813,95,57.6195,4.36261986448,99.2265162937,0.823471,104.321789013,55.2909,126.822169161,385.695466117,-131.076,226.427721087,77.3221088299,126.702,95,42.0025,126.719008112,33.7983948124,377.856076766
182.032292265,128.556,250.50695654,96,57.9459,4.31780198023,120.407815218,0.81147,105.700100011,53.7588,128.524687837,435.006416717,-132.691,279.664792682,63.2235659446,128.406,96,42.2101,128.428405968,-11.510802095,796.339738537
239.868861578,129.717,123.354309458,97,58.2603,4.38763317841,113.531615716,0.81,116.010517019,55.7057,129.665312745,564.017361107,-133.88,181.660677333,111.140691838,129.555,97,42.4511,129.570090144,-5.32376879871,387.207093733
211.014896367,131.083,166.531869603,98,58.5271,4.33075046596,109.57576032,0.835733,117.371101602,52.5649,131.032474831,639.333408252,-135.262,215.78050803,79.0250168434,130.926,98,42.644,130.945924928,19.1000240894,459.546661214
251.880591522,132.501,99.926186217,99,58.7969,4.36503341274,108.072397539,0.835969,131.264238447,53.6021,132.456636182,424.282005886,-136.67,154.14158079,61.2443007781,132.34,99,42.8631,132.359125301,13.0571543811,307.211586256
234.07647019,133.852,139.061038162,100,59.0704,4.45086446794,92.2974404295,0.859611,125.14992382,57.2944,133.803381243,464.757300338,-138.02,224.137061399,96.8183926924,133.696,100,43.1003,133.716307109,49.6748091259,494.24130216
336.075618566,135.147,139.29292468,101,59.3782,4.42359330432,75.8184804475,0.833746,140.735686298,54.9737,135.094134635,546.325967644,-139.3,144.6573134,93.5396519215,134.99,101,43.3167,135.005183377,-3.28660538036,407.473859395
138.974635535,136.426,178.306724772,102,59.6597,4.48003465151,-118.282262339,0.819383,62.8682341834,57.5093,136.374687514,463.568099297,-140.561,215.858332201,146.099616177,136.263,102,43.4708,136.280353779,-52.2760807238,536.628427011
216.869492523,137.776,73.6232703251,103,59.912,4.47386272875,-26.9710536711,0.82375,92.6231936254,57.8831,137.726910921,485.872615345,-141.946,135.958562826,108.655659527,137.611,103,43.6624,137.627022006,55.1133839347,244.173966686
246.952661259,139.069,99.0742232083,104,60.2204,4.56634930006,27.3728982788,0.839916,87.9494923388,62.905,139.021087004,525.404984737,-143.206,155.300053662,129.359984325,138.895,104,43.818,138.918119449,13.956004313,317.244021798
174.370549098,140.203,81.7742955744,105,60.5233,4.51276822594,-25.9066752627,0.840227,66.342407798,58.222,140.146080717,548.307741493,-144.348,182.467417652,128.238602952,140.03,105,43.9754,140.043212121,85.8216532865,329.973006573
212.368058229,141.441,131.639486586,106,60.7765,4.53822441648,-35.0840292191,0.858103,87.1017780479,59.9113,141.384665157,554.029334061,-145.55,125.948697768,147.736865639,141.277,106,44.171,141.294254079,-1.18747817354,412.160327175
277.833017835,142.688,154.670826556,107,61.0375,4.55017127132,66.8336742135,0.853022,127.111407909,59.3445,142.634450382,627.802751096,-146.892,157.78125243,111.291338032,142.525,107,44.3475,142.540117132,-6.11795816443,387.731539847
258.174297363,143.587,115.21035349,108,61.3037,4.60120525644,36.1111002835,0.834976,133.143641734,63.0306,143.53630523,484.296785176,-147.706,200.882980146,76.5812456887,143.416,108,44.4718,143.43441277,50.4936013603,413.961257042
186.502179301,144.912,98.1840407174,109,61.5944,4.62761632697,-200.276930838,0.845619,89.2749231378,62.6917,144.85716906,540.867925314,-149.031,216.190746333,137.283522149,144.75,109,44.5845,144.75964123,47.7560711085,391.175596994
259.420256867,146.415,138.08781161,110,61.8953,4.63945880332,45.2473431307,0.820524,113.522666129,64.0612,146.368150365,987.066995708,-150.395,280.233950451,132.695611258,146.24,110,44.7006,146.263331411,99.8951163567,536.852690302
220.349067436,147.137,98.2855746474,111,62.1437,4.65725213993,113.055011721,0.832154,114.759630848,62.8818,147.077512584,605.14847693,-151.237,177.989522738,89.2698356005,146.957,111,44.8483,146.97242254,-6.11311065221,292.228880759
275.582796461,148.399,90.1289218906,112,62.4049,4.67769464803,151.799713371,0.827935,129.902555574,63.6523,148.344014618,573.548906728,-152.485,189.833104434,79.2327017633,148.224,112,45.032,148.237970624,-8.00008852799,307.238431598
166.32027027,149.601,126.426324866,113,62.651,4.66277134232,115.377504764,0.82146,101.309045963,62.7031,149.551524278,342.621924372,-153.679,255.103621069,33.9211595323,149.428,113,45.1557,149.445169142,62.0403511005,443.883582287
270.718040679,150.502,65.3551460793,114,62.8854,4.71848257047,149.073555002,0.808192,128.631461483,66.8008,150.447713717,542.058510779,-154.548,184.602135225,93.323618223,150.327,114,45.3153,150.340240525,74.8022304333,304.110883862
278.106670969,151.549,166.938353234,115,63.1311,4.70791478946,111.789811317,0.816065,127.673236849,64.2099,151.492813754,751.731570827,-155.678,172.1067052,104.114582609,151.365,115,45.442,151.379346488,-8.06686028489,599.914643432
239.991542905,152.562,102.338943309,116,63.3948,4.79628874084,122.447690382,0.852759,123.865130453,70.0871,152.495277318,576.416924128,-156.723,129.406813098,79.0774810476,152.364,116,45.6239,152.378104947,-8.79069352935,306.184248452
190.101675368,153.915,87.7224936197,117,63.5972,4.77065645758,88.780325874,0.855283,109.595842634,70.1329,153.856797345,416.128256094,-158.028,141.188588156,70.7584852851,153.714,117,45.7692,153.73070917,-6.912930625,287.474248594
182.36471868,154.904,89.7705182849,118,63.8945,4.80910499714,-101.283333833,0.840623,89.5498954508,68.3162,154.844158906,494.053102214,-159.125,232.663835861,109.038057431,154.714,118,45.8955,154.731546928,122.245520911,381.171581505
296.251626107,156.348,77.6286074413,119,64.117,4.78558838426,114.419793327,0.861067,132.143342738,67.0467,156.297575171,578.18519789,-160.504,129.32109063,115.967777454,156.175,119,46.0593,156.191231432,-5.20521923139,228.631835734
250.540913254,157.299,105.371781151,120,64.3493,4.88098051664,39.3997069314,0.743814,102.162332309,72.4122,157.23437737,1072.37455961,-161.478,122.772078131,196.260697969,157.119,120,46.1995,157.132197647,-6.59133672097,338.909978745
191.750692919,158.303,57.848162492,121,64.6007,4.89584026788,-2.68295822913,0.758334,72.8101495687,72.2167,158.241201043,1032.17289317,-162.498,137.895037572,215.166351873,158.111,121,46.3435,158.128295817,36.1226433329,268.032858611
247.551363106,159.274,169.021279309,122,64.8612,4.95009976328,99.6989509894,0.841278,121.775424914,73.6182,159.215773995,529.531062328,-163.453,230.717356846,104.315348182,159.083,122,46.4926,159.097980576,5.82935598745,585.847081296
170.593100523,160.177,75.0128702242,123,65.1098,4.96827013443,102.83322422,0.841594,98.7207291658,75.7448,160.123204887,1045.29202707,-164.33,159.945625913,130.069609077,159.98,123,46.6318,159.994384877,5.96630750087,279.943644525
152.424262569,161.202,78.0940088768,124,65.3369,4.97498426463,105.409070173,0.845203,89.8096307601,76.6343,161.145885727,609.523995719,-165.356,135.297739093,93.25474563,161.013,124,46.8004,161.030688548,13.2147116806,251.53018575
123.068097621,162.078,98.7052568183,125,65.5941,5.02180256429,92.2501026026,0.86894,83.3104073982,76.6756,162.019880771,251.885716787,-166.214,180.18671168,21.3549071698,161.886,125,46.9238,161.901814673,59.3846728604,449.461425948
