QFunRegParamNorm,AverageQ,AverageEsReturn,AverageReturn,AveragePolicySurr,PolicyRegParamNorm,Iteration,AverageAbsQ,StdEsReturn,StdReturn,MinReturn,Epoch,MaxEsReturn,AverageAction,MinEsReturn,MaxReturn,AverageAbsY,AverageDiscountedReturn,AverageAbsQYDiff,AverageY,AverageQLoss
38.6759,9.82536,21.8181818182,51.4564102564,-11.2829,22.6714,22,9.82773,19.3405752562,5.98304419865,42.0,22,77.0,0.24132,4.0,74.0,9.82543050743,40.2735618258,0.307526511278,9.82543050743,0.415583
40.6483,10.6229,19.7169811321,42.3670886076,-12.1888,23.2593,23,10.6261,19.8288691373,3.03361149404,37.0,23,133.0,0.257011,4.0,55.0,10.6223819694,34.6455076541,0.322786351738,10.6223819694,0.503791
42.3828,11.4379,14.1571428571,44.5644444444,-13.099,23.7337,24,11.4426,9.88452717893,3.12787862478,39.0,24,41.0,0.180769,2.0,54.0,11.4377468586,36.0709758559,0.351257614605,11.4377468586,0.566133
44.1747,12.2629,19.2115384615,40.4758064516,-13.9985,24.1912,25,12.2668,12.9856970703,1.99581703569,36.0,25,60.0,0.236634,3.0,46.0,12.2629733555,33.4085915331,0.366809616015,12.2629453403,0.64089
45.9503,13.0441,15.2575757576,40.3669354839,-14.9075,24.5693,26,13.0502,13.0990522512,1.50751995516,37.0,26,56.0,0.10178,3.0,46.0,13.0443826014,33.341450454,0.402895278371,13.0443446471,0.756339
48.0683,13.8714,16.0322580645,39.6561264822,-15.8189,25.0544,27,13.8783,13.8038888185,1.17799824173,37.0,27,67.0,0.15186,3.0,45.0,13.8709927269,32.8665322006,0.444900726863,13.8709389842,0.906836
49.9583,14.7052,16.7118644068,35.9712230216,-16.758,25.3922,28,14.7122,11.6852084502,0.795151187318,35.0,28,49.0,0.0842472,3.0,38.0,14.704536555,30.3363123539,0.45709128611,14.7043543982,1.02679
51.8124,15.5815,16.9322033898,34.3676975945,-17.6456,25.7615,29,15.5905,12.7835492893,0.509889676728,33.0,29,52.0,0.0550609,3.0,36.0,15.5820402602,29.2058475747,0.476039411998,15.5818833706,1.14735
53.5232,16.3318,18.1818181818,35.5673758865,-18.4946,26.2415,30,16.3408,13.0900252227,0.644727272475,34.0,30,60.0,0.100429,3.0,37.0,16.3319118976,30.0537483091,0.496377252253,16.331571896,1.29484
54.9536,17.1437,17.1694915254,35.935483871,-19.4188,26.6296,31,17.1536,13.4808747671,0.705428794273,34.0,31,57.0,0.10285,3.0,38.0,17.1433794028,30.3117562116,0.5182966858,17.1432470504,1.39731
56.5129,17.9955,16.3770491803,36.6813186813,-20.3523,27.0443,32,18.0062,12.0506634528,0.714257536779,35.0,32,48.0,0.120765,3.0,39.0,17.9948810839,30.8321368819,0.534099571174,17.9947319866,1.46271
58.1049,18.8567,16.1451612903,37.4719101124,-21.2814,27.4938,33,18.8688,12.6374338634,0.513996334248,36.0,33,54.0,0.182485,3.0,38.0,18.8577016872,31.3803972429,0.568596770105,18.8575960834,1.6384
59.4763,19.545,15.4923076923,35.4680851064,-22.0826,27.8018,34,19.5595,11.0761324504,0.652906121969,34.0,34,44.0,0.216855,3.0,37.0,19.5439621991,29.9838754779,0.596791794781,19.5436522214,1.87284
60.8506,20.3448,14.8636363636,40.032,-22.9315,28.1289,35,20.3614,10.8681998783,1.24538186915,37.0,35,45.0,0.264006,3.0,44.0,20.3470236923,33.1191036929,0.616344728875,20.3468265562,2.01172
62.3306,21.1858,14.6268656716,37.6616541353,-23.7928,28.523,36,21.2029,11.8269056032,1.3342634365,34.0,36,54.0,0.360364,3.0,42.0,21.1846004318,31.5058949395,0.615748629754,21.184413186,2.13941
63.723,21.8724,16.0461538462,51.5670103093,-24.5072,28.8418,37,21.8907,14.0114576952,10.8669623374,44.0,37,50.0,0.111828,3.0,133.0,21.8732172709,40.148359901,0.638898805745,21.8725099663,2.26314
64.9256,22.5309,11.476744186,42.629787234,-25.322,29.0967,38,22.5555,8.36899975156,4.07628924357,38.0,38,45.0,0.109086,2.0,85.0,22.5342494747,34.7968541063,0.670072404732,22.5302461148,2.44887
66.1762,23.2416,10.1818181818,679.133333333,-26.1306,29.3944,39,23.2698,8.26378693288,311.069524205,104.0,39,52.0,0.0844528,3.0,1000.0,23.2466327778,95.7387946659,0.718880485045,23.2409763082,2.74568
67.3233,23.9767,10.7956989247,1000.0,-26.9486,29.7317,40,24.0075,8.80439667755,0.0,1000.0,40,65.0,0.111416,3.0,1000.0,23.9826388485,99.9956828753,0.733551023245,23.9763817947,2.89409
68.6321,24.7749,11.3181818182,638.125,-27.8265,30.0822,41,24.8056,8.64258149375,254.468041952,197.0,41,49.0,0.212052,3.0,1000.0,24.7784518074,98.5005509868,0.762544847988,24.7748630915,3.14726
69.7887,25.4342,9.54807692308,179.196428571,-28.7414,30.4682,42,25.4684,7.95525927597,175.232133758,49.0,42,49.0,0.223996,2.0,1000.0,25.4367664274,71.5977505535,0.79377844406,25.433067017,3.26452
70.9956,26.3742,12.3048780488,39.5849802372,-29.787,30.745,43,26.4075,11.4877336749,7.55727090799,35.0,43,73.0,0.251691,3.0,147.0,26.3795311715,32.6740289025,0.819689301235,26.3755263381,3.41383
72.3551,27.2066,14.5441176471,37.3432835821,-30.7154,30.9695,44,27.2485,11.822752023,2.18066290623,35.0,44,49.0,0.272449,3.0,49.0,27.2131411312,31.2763027594,0.875003629245,27.2064664868,4.02727
73.7139,28.072,10.7340425532,44.4666666667,-31.6352,31.1069,45,28.1137,7.09686105608,17.7295735363,37.0,45,29.0,0.248821,3.0,157.0,28.0817142462,35.2795300238,0.893686449464,28.0727288238,4.2914
74.8835,28.8021,14.0563380282,42.5829787234,-32.4923,31.3426,46,28.8502,11.658143891,62.796094604,36.0,46,54.0,0.196662,3.0,1000.0,28.8143460293,32.2946569293,0.914832705975,28.8023098574,4.37226
76.1403,29.6768,12.3333333333,106.808510638,-33.3835,31.5881,47,29.7348,8.91108340256,56.3245301226,39.0,47,45.0,0.210562,3.0,401.0,29.6936953257,61.0396974155,0.94130251017,29.6749077256,4.73501
77.1739,30.44,10.2244897959,44.1189427313,-34.2499,31.6792,48,30.5078,7.90315180249,21.5571965912,36.0,48,47.0,0.187954,3.0,164.0,30.4719028372,34.675423411,0.99238879999,30.4426056497,5.29032
78.3247,31.3314,11.9047619048,284.0,-35.2575,31.9212,49,31.4067,11.9359591228,118.083774405,118.0,49,58.0,0.182441,3.0,579.0,31.3675216086,90.4079072342,1.02750952758,31.3317692108,5.6574
79.2949,32.074,11.043956044,55.6666666667,-36.1047,32.1347,50,32.1551,10.4470534128,32.5857842215,36.0,50,83.0,0.209262,3.0,160.0,32.109302135,40.3082774658,1.03559796332,32.0719345034,5.73213
80.283,32.8889,9.99,72.0071428571,-37.0433,32.2829,51,32.9755,7.51996675525,38.2274203062,37.0,51,50.0,0.214356,3.0,214.0,32.9295634531,48.3731469661,1.09191247276,32.890457224,6.20383
81.3401,33.7335,10.7419354839,73.8308823529,-38.0305,32.5116,52,33.8161,9.75936630435,44.2990431358,35.0,52,56.0,0.221386,3.0,216.0,33.7752934755,48.1004738945,1.08180258312,33.7330727859,6.42619
82.314,34.6628,11.1222222222,519.142857143,-39.0576,32.653,53,34.7545,9.25181997444,302.086125486,130.0,53,58.0,0.234734,3.0,1000.0,34.7082067162,95.4381405479,1.12873015898,34.6626856529,7.05657
83.266,35.5704,9.3679245283,655.5625,-40.0547,32.8773,54,35.6799,6.68047771382,331.349130214,138.0,54,33.0,0.197201,3.0,1000.0,35.6307842767,96.3426337132,1.17147164937,35.5697034004,7.35246
84.3021,36.4377,9.42452830189,107.817204301,-41.0595,33.0411,55,36.5535,7.17430966136,62.0188917171,38.0,55,43.0,0.185114,3.0,340.0,36.5049415072,60.836674722,1.21930273676,36.4366659014,7.79523
85.3338,37.3148,10.5106382979,346.0,-41.9951,33.3106,56,37.4393,8.06455955829,237.056955182,40.0,56,43.0,0.2265,3.0,971.0,37.3916736269,86.5871770971,1.25069595588,37.3164968765,8.32
86.1635,38.1343,10.6458333333,514.45,-42.9648,33.5235,57,38.2762,6.93268100898,286.271283052,122.0,57,38.0,0.166505,3.0,1000.0,38.2245686066,95.1624216993,1.27017616616,38.1346181338,8.85379
87.1035,39.089,7.86507936508,955.545454545,-44.004,33.787,58,39.2252,5.61934466976,140.577615984,511.0,58,29.0,0.264769,2.0,1000.0,39.1721417498,99.9425952974,1.29325130616,39.086784327,9.30514
87.932,39.8676,9.19266055046,1000.0,-44.8512,34.0086,59,40.0214,6.31508615182,0.0,1000.0,59,47.0,0.278705,2.0,1000.0,39.966458852,99.9956828753,1.34403443793,39.8688364145,9.48391
88.9213,40.6881,8.22950819672,789.846153846,-45.8796,34.2704,60,40.8477,6.62556757265,256.533652359,369.0,60,49.0,0.221676,3.0,1000.0,40.7912804787,99.5730114822,1.37053528957,40.6884662936,10.1228
89.9278,41.4754,7.65648854962,114.988888889,-46.753,34.4572,61,41.633,5.13299607816,110.1349167,41.0,61,32.0,0.174921,3.0,711.0,41.578942798,57.8252447101,1.43742503314,41.4761828739,11.2565
90.7404,42.3783,9.32710280374,1000.0,-47.7399,34.705,62,42.5388,8.23915395908,0.0,1000.0,62,49.0,0.25278,2.0,1000.0,42.4813639166,99.9956828753,1.42605382217,42.3774502698,10.9643
91.6851,43.2057,8.79646017699,977.090909091,-48.6977,34.9848,63,43.3773,6.57180797316,59.6207019346,793.0,63,42.0,0.187977,3.0,1000.0,43.3148692871,99.992708103,1.47634867891,43.2040369541,12.1256
92.612,44.1109,10.8064516129,1000.0,-49.7819,35.1748,64,44.2737,8.58011963788,0.0,1000.0,64,50.0,0.279481,3.0,1000.0,44.2157458477,99.9956828753,1.4370289546,44.1119065513,11.6021
93.6214,45.0411,9.15596330275,199.673076923,-50.8088,35.4107,65,45.2179,6.09884078612,120.49732221,80.0,65,32.0,0.180724,3.0,674.0,45.1479291189,79.2645670409,1.49795708963,45.0390226648,12.3546
94.4032,45.7778,9.31067961165,90.4414414414,-51.7686,35.6358,66,45.9442,6.07082650795,31.3589174882,38.0,66,25.0,0.144252,3.0,138.0,45.8829047449,57.6822708674,1.53970622626,45.7796062981,13.0356
95.0948,46.7518,9.40909090909,1000.0,-52.9035,35.798,67,46.9296,7.85238290937,0.0,1000.0,67,48.0,0.348271,3.0,1000.0,46.8498347567,99.9956828753,1.57627286187,46.7505788487,13.7972
95.8838,47.7523,10.2959183673,795.923076923,-53.8474,36.0459,68,47.9255,9.03644455962,310.201785825,251.0,68,61.0,0.173544,3.0,1000.0,47.8433296073,98.5842679592,1.6494388819,47.7531968726,15.1898
96.6737,48.6574,9.59615384615,1000.0,-54.8854,36.28,69,48.8261,8.15182758033,0.0,1000.0,69,50.0,0.210041,3.0,1000.0,48.7570158978,99.9956828753,1.61437169582,48.6591707828,14.5132
97.5906,49.5996,10.4210526316,1000.0,-56.0533,36.5117,70,49.7737,8.44122583686,0.0,1000.0,70,37.0,0.332624,2.0,1000.0,49.6901830418,99.9956828753,1.70998162047,49.5987954391,16.7771
98.3885,50.5258,12.9871794872,558.894736842,-57.1291,36.696,71,50.7031,13.1006885606,316.628105734,156.0,71,65.0,0.226193,3.0,1000.0,50.6176977659,95.5992560704,1.7364185985,50.5251566875,16.7598
99.1251,51.4576,10.8260869565,205.530612245,-58.0941,36.8788,72,51.6217,8.16222568705,134.218387688,46.0,72,46.0,0.196015,3.0,707.0,51.5387939624,77.6654446306,1.74659173005,51.461580334,17.3446
99.9671,52.4321,9.39252336449,1000.0,-59.2107,37.0692,73,52.5928,7.37101802445,0.0,1000.0,73,35.0,0.205482,3.0,1000.0,52.4954484456,99.9956828753,1.75519705736,52.4275191983,17.6036
100.856,53.4256,8.83928571429,1000.0,-60.3581,37.2802,74,53.6059,6.88755810376,0.0,1000.0,74,43.0,0.225701,2.0,1000.0,53.5073327105,99.9956828753,1.81350045563,53.4261717267,18.9389
101.495,54.4076,10.4020618557,279.25,-61.3172,37.4565,75,54.6113,7.91665319504,161.569622936,56.0,75,41.0,0.168219,3.0,629.0,54.5072533275,84.7412723315,1.86775934098,54.403967073,19.9588
102.567,55.0627,11.630952381,111.032967033,-62.385,37.6317,76,55.2814,9.01160595844,42.3661306124,44.0,76,55.0,0.185023,3.0,252.0,55.1983159632,64.4716197606,1.85790748567,55.0653678712,19.9004
103.385,56.2894,12.8333333333,266.923076923,-63.601,37.8187,77,56.5163,11.0063113207,155.212242548,60.0,77,53.0,0.1914,3.0,655.0,56.4211799847,85.8024731054,1.93045763988,56.2860338222,21.3888
104.177,57.2086,13.6216216216,940.545454545,-64.6845,38.005,78,57.4541,13.1998184905,141.765724564,516.0,78,66.0,0.208836,3.0,1000.0,57.3613888185,99.943607708,1.968659942,57.2105117256,22.1092
104.82,58.4259,13.5479452055,599.941176471,-65.9398,38.1797,79,58.6422,11.2384383158,297.320280978,150.0,79,44.0,0.195363,3.0,1000.0,58.5427902352,97.0722645909,1.94842322317,58.4268390487,22.2807
105.519,59.4149,10.0297029703,716.933333333,-67.0938,38.3949,80,59.6252,8.46127514855,359.199938134,55.0,80,50.0,0.270786,3.0,1000.0,59.523526464,91.7429559034,1.991374629,59.4145474068,23.3225
106.303,60.1671,13.2368421053,498.857142857,-68.2662,38.6504,81,60.3774,11.8608915315,349.331373002,63.0,81,62.0,0.230043,3.0,1000.0,60.2659086104,87.7469953492,2.04135269632,60.1677081528,24.8622
107.126,61.8242,11.4137931034,1000.0,-69.7962,38.8676,82,62.0258,11.7605924123,0.0,1000.0,82,69.0,0.163686,3.0,1000.0,61.9199359888,99.9956828753,2.02508964769,61.8253900651,24.4277
108.057,62.857,10.12,227.133333333,-70.9701,39.0183,83,63.0743,8.53144770833,136.386802881,48.0,83,42.0,0.166334,3.0,615.0,62.9643337047,81.9756593263,2.05789040921,62.858945409,25.0561
108.682,63.8625,11.1333333333,329.806451613,-72.2631,39.2558,84,64.1039,9.69444285259,120.195115395,118.0,84,59.0,0.196676,3.0,604.0,63.98623591,93.1317805092,2.10760592708,63.8589430314,26.7872
109.557,64.9953,9.79411764706,181.981818182,-73.5113,39.4581,85,65.2456,8.53061181551,110.991644388,51.0,85,45.0,0.195333,2.0,472.0,65.1144045371,75.1680980468,2.23498796006,64.9943663463,28.9541
110.237,66.1965,10.6630434783,80.0238095238,-74.7792,39.6658,86,66.4444,9.98398410272,42.5667476387,40.0,86,47.0,0.190582,3.0,215.0,66.310279616,51.4786572613,2.25119776999,66.2027132611,30.2329
110.859,67.363,10.6947368421,309.0,-76.1263,39.8304,87,67.5856,11.791231072,218.433957844,62.0,87,81.0,0.227506,3.0,1000.0,67.451821832,85.0099372128,2.25571364458,67.3606945115,30.053
111.657,68.4831,15.4920634921,1000.0,-77.2423,40.0307,88,68.7295,18.340581265,0.0,1000.0,88,120.0,0.289527,3.0,1000.0,68.5832705297,99.9956828753,2.32950705444,68.4856571177,33.2185
112.357,69.5356,12.9873417722,724.142857143,-78.7107,40.209,89,69.7737,13.4272476334,380.537750548,56.0,89,65.0,0.271683,3.0,1000.0,69.6316207409,90.7644625448,2.27423568917,69.5355403392,31.2419
113.109,70.8998,12.0975609756,1000.0,-80.0227,40.403,90,71.1411,10.8847731595,0.0,1000.0,90,65.0,0.367579,3.0,1000.0,71.0100161471,99.9956828753,2.33988462814,70.9049345704,32.875
113.795,72.0046,10.04,834.916666667,-81.2403,40.5821,91,72.2542,9.06302377797,273.136857739,133.0,91,61.0,0.277547,3.0,1000.0,72.11204689,97.6837012471,2.39774611197,72.0070664211,34.7914
114.705,73.2953,12.2682926829,224.723404255,-82.5862,40.7836,92,73.5454,12.7691021711,189.036155737,53.0,92,88.0,0.260398,3.0,846.0,73.4099784441,75.5162234152,2.44128191117,73.2959903764,36.4854
115.445,74.459,11.9638554217,489.545454545,-83.9726,41.0236,93,74.7163,11.9954266216,373.327510039,54.0,93,60.0,0.352421,2.0,1000.0,74.5709257559,85.6653977347,2.42322468128,74.4575336944,36.053
116.27,75.5915,12.1585365854,856.25,-85.3521,41.2272,94,75.8339,10.5927604272,321.434836579,137.0,94,56.0,0.439871,3.0,1000.0,75.6867786886,95.8114213998,2.44855772498,75.5925586288,35.6198
116.991,76.6153,12.1686746988,1000.0,-86.6268,41.3591,95,76.8843,10.6825150203,0.0,1000.0,95,57.0,0.357312,3.0,1000.0,76.7356273563,99.9956828753,2.51561224469,76.6175710239,37.6002
117.652,78.0899,15.1363636364,633.4375,-87.8988,41.5858,96,78.3492,14.8883586449,348.859565003,69.0,96,71.0,0.3722,2.0,1000.0,78.1920905377,92.6186789839,2.58668928123,78.0915754669,41.5616
118.484,78.9625,12.6233766234,1000.0,-89.064,41.7763,97,79.2206,10.9390744415,0.0,1000.0,97,71.0,0.463271,3.0,1000.0,79.0568469016,99.9956828753,2.59487809045,78.9603393803,40.7644
119.026,80.1683,11.7816091954,756.285714286,-90.2385,41.9348,98,80.4464,11.1111679216,354.630880247,67.0,98,43.0,0.335784,3.0,1000.0,80.2973633697,93.0586507905,2.64005591212,80.1779427453,42.0291
119.784,81.114,10.8913043478,1000.0,-91.289,42.1828,99,81.3957,11.0949033753,0.0,1000.0,99,70.0,0.329602,3.0,1000.0,81.2353803046,99.9956828753,2.61947584152,81.1138474256,42.8977
120.305,82.1643,12.3580246914,1000.0,-92.4466,42.3396,100,82.469,11.1911656538,0.0,1000.0,100,55.0,0.239099,3.0,1000.0,82.291170862,99.9956828753,2.72295873946,82.1671235618,46.6697
121.067,83.0462,11.5662650602,1000.0,-93.634,42.4917,101,83.3657,13.6806897338,0.0,1000.0,101,76.0,0.28371,3.0,1000.0,83.1982029676,99.9956828753,2.74018245509,83.0495744077,46.5137
121.431,84.3484,12.2976190476,1000.0,-94.6811,42.7171,102,84.6626,12.0591594925,0.0,1000.0,102,68.0,0.349067,3.0,1000.0,84.5040622473,99.9956828753,2.66002856612,84.3439040405,44.5343
122.202,85.3773,11.7710843373,1000.0,-96.0302,42.9169,103,85.6744,11.6135829296,0.0,1000.0,103,54.0,0.309834,3.0,1000.0,85.5379411595,99.9956828753,2.72272523439,85.3826372023,45.5049
122.588,85.9016,14.1805555556,1000.0,-96.9035,43.1905,104,86.2065,14.2812293169,0.0,1000.0,104,57.0,0.369534,3.0,1000.0,86.048671022,99.9956828753,2.78939782989,85.9042061158,48.7444
123.283,87.1687,11.1555555556,1000.0,-98.0196,43.4026,105,87.4873,9.77174056042,0.0,1000.0,105,44.0,0.346865,3.0,1000.0,87.3118135365,99.9956828753,2.82057408045,87.1682275569,49.6604
123.932,88.1337,14.4492753623,1000.0,-99.0048,43.5351,106,88.4378,13.534214541,0.0,1000.0,106,69.0,0.270109,3.0,1000.0,88.2765793129,99.9956828753,2.85028080422,88.1331344216,50.739
124.52,89.176,12.35,1000.0,-100.238,43.7449,107,89.4927,12.7063960272,0.0,1000.0,107,60.0,0.27133,3.0,1000.0,89.3214715774,99.9956828753,2.85425464102,89.1759671892,53.2034
124.988,90.3372,14.9264705882,1000.0,-101.403,43.9495,108,90.6486,14.1538980044,0.0,1000.0,108,66.0,0.376751,3.0,1000.0,90.4600078527,99.9956828753,2.89828781377,90.3434380846,51.9509
125.49,91.3587,14.8805970149,1000.0,-102.446,44.1659,109,91.6498,15.8665351277,0.0,1000.0,109,66.0,0.376907,3.0,1000.0,91.4978729089,99.9956828753,2.88786425002,91.3616863807,53.4467
126.108,91.8701,12.8311688312,796.615384615,-103.219,44.3243,110,92.2146,10.7321613967,373.879153339,52.0,110,46.0,0.449718,3.0,1000.0,92.0267561631,90.4550532385,3.02692672984,91.8630919348,57.4985
126.754,93.1168,13.6133333333,1000.0,-104.387,44.5583,111,93.4751,13.4212700177,0.0,1000.0,111,63.0,0.348594,3.0,1000.0,93.2790573839,99.9956828753,3.02145192235,93.1196624851,57.2315
127.244,93.982,12.8684210526,1000.0,-105.317,44.7873,112,94.3338,10.9175644398,0.0,1000.0,112,49.0,0.488578,2.0,1000.0,94.1465690951,99.9956828753,3.02392304623,93.9833682478,59.2284
127.864,95.1199,13.9583333333,1000.0,-106.598,44.8298,113,95.45,11.1298366515,0.0,1000.0,113,51.0,0.341187,3.0,1000.0,95.2904133916,99.9956828753,2.95028480048,95.1231052051,55.2962
128.451,96.0482,16.3548387097,1000.0,-107.451,45.0547,114,96.3924,15.4607690563,0.0,1000.0,114,84.0,0.510731,3.0,1000.0,96.213153407,99.9956828753,3.00063890596,96.0489278942,59.8076
128.96,96.6564,17.6363636364,1000.0,-108.302,45.1942,115,97.0007,17.5741169558,0.0,1000.0,115,72.0,0.433285,3.0,1000.0,96.8413436927,99.9956828753,2.92740740112,96.6611423519,58.8438
129.429,97.9741,15.4029850746,1000.0,-109.415,45.318,116,98.3134,17.3816335573,0.0,1000.0,116,120.0,0.301815,3.0,1000.0,98.122690221,99.9956828753,3.01479659165,97.9766255347,59.5382
130.084,98.988,9.88118811881,1000.0,-110.645,45.537,117,99.3172,8.88238564947,0.0,1000.0,117,40.0,0.32972,3.0,1000.0,99.139787588,99.9956828753,3.0315936036,98.9841742655,59.8444
130.717,99.674,11.3908045977,1000.0,-111.444,45.7416,118,99.9804,9.69578214002,0.0,1000.0,118,41.0,0.364786,3.0,1000.0,99.8064720554,99.9956828753,2.9749839121,99.6764875823,61.5197
131.304,100.882,11.1666666667,1000.0,-112.576,45.9208,119,101.23,10.7767754402,0.0,1000.0,119,60.0,0.31842,3.0,1000.0,101.024795771,99.9956828753,3.12991243133,100.882957708,63.5837
131.903,101.431,13.2567567568,1000.0,-113.503,46.2103,120,101.791,11.9730111036,0.0,1000.0,120,49.0,0.345341,3.0,1000.0,101.589295331,99.9956828753,3.16609608411,101.434131371,64.7889
132.479,102.274,15.1791044776,1000.0,-114.295,46.3796,121,102.623,14.053124551,0.0,1000.0,121,67.0,0.31445,3.0,1000.0,102.45190938,99.9956828753,2.99965433015,102.280380662,58.8276
132.881,103.494,16.0161290323,1000.0,-115.575,46.5447,122,103.844,14.2608102013,0.0,1000.0,122,57.0,0.281857,3.0,1000.0,103.650193208,99.9956828753,3.13194597631,103.496187914,63.1269
133.479,104.119,16.3548387097,1000.0,-116.429,46.6776,123,104.452,13.0348129083,0.0,1000.0,123,62.0,0.347943,3.0,1000.0,104.255634828,99.9956828753,3.07168319574,104.110170574,64.9004
133.942,105.511,15.2769230769,1000.0,-117.775,46.8702,124,105.841,12.3780297827,0.0,1000.0,124,58.0,0.269061,3.0,1000.0,105.647808969,99.9956828753,3.13879448546,105.509846357,69.1569
134.623,106.363,18.0,1000.0,-118.761,46.977,125,106.735,13.152946438,0.0,1000.0,125,59.0,0.384237,3.0,1000.0,106.534448311,99.9956828753,3.32559504747,106.367449199,74.8599
135.219,107.565,15.1363636364,1000.0,-119.895,47.1356,126,107.891,12.5237790352,0.0,1000.0,126,61.0,0.241916,3.0,1000.0,107.697314429,99.9956828753,3.1488349475,107.56978314,71.5807
135.81,108.364,13.1621621622,1000.0,-120.952,47.2904,127,108.738,10.9865114191,0.0,1000.0,127,48.0,0.224064,3.0,1000.0,108.524167877,99.9956828753,3.22839501901,108.370813319,69.8805
136.112,109.233,15.2985074627,1000.0,-122.015,47.4796,128,109.571,11.279376141,0.0,1000.0,128,57.0,0.258665,3.0,1000.0,109.352976764,99.9956828753,3.19970148235,109.230954937,71.8471
136.739,110.364,13.7571428571,1000.0,-123.084,47.6605,129,110.712,13.3827561909,0.0,1000.0,129,73.0,0.209099,3.0,1000.0,110.490493008,99.9956828753,3.20483613978,110.368503532,70.8707
137.427,111.529,12.9875,1000.0,-124.291,47.7936,130,111.877,12.0358773569,0.0,1000.0,130,66.0,0.212432,3.0,1000.0,111.641960543,99.9956828753,3.23233740521,111.533401284,72.6091
137.962,112.907,13.7222222222,1000.0,-125.65,47.9501,131,113.225,13.2163852663,0.0,1000.0,131,63.0,0.224775,3.0,1000.0,113.006944875,99.9956828753,3.25651152205,112.900534478,74.7995
138.567,113.302,14.5,1000.0,-126.664,48.0837,132,113.658,10.7846568573,0.0,1000.0,132,50.0,0.199314,3.0,1000.0,113.422275204,99.9956828753,3.30520391625,113.305686904,76.3285
139.151,114.789,11.7816091954,1000.0,-127.89,48.2453,133,115.153,10.1181812997,0.0,1000.0,133,48.0,0.257756,3.0,1000.0,114.924781719,99.9956828753,3.33543643316,114.795977176,75.4373
139.656,115.635,12.8076923077,1000.0,-129.07,48.3822,134,115.959,11.112545108,0.0,1000.0,134,48.0,0.172582,3.0,1000.0,115.738733942,99.9956828753,3.29402398861,115.632807779,76.819
