AverageReturn,AverageEsReturn,QFunRegParamNorm,AverageQLoss,AverageAbsQYDiff,MinReturn,MinEsReturn,Epoch,AveragePolicySurr,MaxEsReturn,AverageAction,AverageAbsQ,Iteration,StdEsReturn,AverageDiscountedReturn,AverageQ,PolicyRegParamNorm,AverageY,StdReturn,AverageAbsY,MaxReturn
103.954136743,57.0321955445,14.2693,0.00594861,0.0448196925217,82.8325162475,30.9453740191,19,-1.40154,171.539173558,0.981516,1.2112,19,35.1755538821,77.746645481,1.20934,13.5449,1.20967208519,10.4321796765,1.21027302504,121.534796352
171.926530352,71.7328200906,14.8108,0.00860624,0.0516996965725,167.422097491,22.7157752727,20,-1.60934,168.591646747,0.987194,1.36907,20,33.1080860885,111.049897022,1.36706,14.273,1.36753649944,1.93790796281,1.36816829735,176.089828829
170.091835906,135.482615255,15.2853,0.00983436,0.0543417530206,166.788139869,53.9380390108,21,-1.76729,193.598026996,0.856173,1.53748,21,41.4845134626,110.520431231,1.53583,15.5013,1.53638574192,1.49243467668,1.53684780744,174.149609795
172.880389585,129.045297455,15.7602,0.0127648,0.0602710295033,167.983428296,21.1850946723,22,-1.90533,194.750569561,0.825433,1.68426,22,58.8277002877,111.473869335,1.68232,16.3372,1.68289996723,2.27074496899,1.68343926082,177.816096831
171.32366046,151.982209803,16.2586,0.0154056,0.0634113166713,168.248349433,62.4232582143,23,-2.03875,185.997426529,0.787977,1.81453,23,37.3281260696,110.961604703,1.81272,16.8913,1.81334008441,1.06396129925,1.81395340115,174.533682891
170.626117988,163.755289283,16.7756,0.016663,0.0641890194367,167.832782199,131.545421784,24,-2.19442,182.962946523,0.829925,1.96197,24,15.6042078208,110.669037874,1.96017,17.5878,1.96092130748,1.10645246816,1.96150912447,173.462151071
170.383841866,158.760554755,17.3113,0.0198534,0.0689504464192,167.608263593,4.82563331463,25,-2.31601,210.561934759,0.811865,2.08804,25,51.2435702114,110.530955511,2.08607,18.2083,2.08666688213,1.21333103494,2.08729285787,173.300234573
169.640931005,147.083037935,17.7266,0.0214084,0.0684737874356,153.019794839,32.9507991703,26,-2.45901,202.810500317,0.882037,2.22267,26,47.2152207185,109.745528157,2.22067,18.9892,2.22129465627,3.24948900637,2.22194461147,175.270010133
350.497779242,151.481970372,18.2076,0.0244416,0.0766426269118,343.49834434,19.2353612216,27,-2.60537,207.19414292,0.606934,2.37079,27,56.7628638681,153.628174446,2.36834,19.7286,2.36912221632,2.99849783746,2.36985662581,356.113078651
307.377579347,228.902777275,18.6557,0.0234216,0.074998181877,137.954169377,74.2719123449,28,-2.77605,357.929175189,0.773482,2.51627,28,106.984812123,151.508626657,2.51405,20.2914,2.51480581229,48.7353487726,2.51560974411,353.262296414
286.459822304,240.59175197,19.1117,0.029973,0.0860488566968,253.569451334,179.574021292,29,-2.94246,343.36645241,0.708034,2.69758,29,46.7510515429,133.738542975,2.69485,20.8742,2.69580164502,15.8863962405,2.69652968761,312.402689245
1200.43067319,214.200044766,19.5843,0.0321136,0.0882135337736,381.579377216,53.4903444522,30,-3.12085,370.499722011,0.605138,2.86631,30,115.386756819,154.476230359,2.86346,21.3933,2.86422389682,394.875058861,2.86495221213,1562.52539375
344.746263072,247.958796716,20.1198,0.0344659,0.0911258260033,319.618326145,115.549223804,31,-3.29176,368.113968217,0.723224,3.03408,31,83.3918555784,155.350212623,3.03126,21.9014,3.03218184376,12.0117811339,3.03280719892,364.624449308
291.523461579,232.826339904,20.6057,0.043507,0.0975915400874,145.777216982,86.4915652389,32,-3.46569,398.854446039,0.696229,3.21975,32,112.146498089,125.274226564,3.21681,22.4334,3.21756388845,109.782632223,3.21825676761,467.017050969
