AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAbsQ,QFunRegParamNorm,AverageQ,StdEsReturn,Iteration,AverageAbsQYDiff,MaxReturn,StdReturn,AverageAbsY,AverageAction,AveragePolicySurr,AverageReturn,AverageY,MinReturn,AverageEsReturn,Epoch,AverageDiscountedReturn,MaxEsReturn
0.00772357,32.2312,327.022287267,1.27087,23.9195,1.27087,0.0,46,0.0593878087403,556.66887769,55.19065422,1.27142280542,0.774499,-1.33932,498.052828877,1.27131378552,373.89449149,327.022287267,46,34.8667140872,327.022287267
0.00828173,32.5437,362.852046053,1.32447,24.249,1.32447,0.0,47,0.0603503429191,636.520937246,39.5288572627,1.32493269066,0.776177,-1.39371,580.569498749,1.32483644641,504.395709305,362.852046053,47,44.7119323138,362.852046053
0.00768829,32.8519,309.734675461,1.37165,24.541,1.37165,0.0,48,0.0603165878017,700.519485895,487.930659951,1.37199993289,0.795745,-1.43943,-200.652643575,1.37196324552,-617.559281225,309.734675461,48,-38.4343795749,309.734675461
0.0081557,33.1001,324.511375152,1.42093,24.8853,1.42093,0.0,49,0.0605113311178,677.247767911,39.683215233,1.4215247245,0.744313,-1.48895,622.218699403,1.42148097286,567.381750381,324.511375152,49,40.1221017931,324.511375152
0.00820218,33.3968,372.091711618,1.4711,25.2376,1.4711,0.0,50,0.0612305320894,167.805237013,75.6613709075,1.47149661239,0.839658,-1.54057,9.27422785488,1.47144930491,-135.321986022,372.091711618,50,-9.16696358939,372.091711618
0.00927126,33.6507,361.500407905,1.52861,25.5905,1.52861,0.0,51,0.0632615961732,10.5912269701,20.0753367321,1.52902930231,0.795041,-1.59607,-30.9729333947,1.52898513504,-60.4707419245,361.500407905,51,-7.20101037384,361.500407905
0.0102147,33.9639,-129.783753683,1.59625,25.9664,1.59625,0.0,52,0.0649745052832,612.577862317,256.078704849,1.59684001071,0.790935,-1.6634,329.760404202,1.59675668912,-208.958020522,-129.783753683,52,1.06095492906,-129.783753683
0.00871029,34.2268,116.992555781,1.64558,26.1895,1.64558,0.0,53,0.0624058332663,391.254552675,322.442479924,1.64602141958,0.882129,-1.71054,-325.653230078,1.64596144028,-591.077754324,116.992555781,53,-8.08980391556,116.992555781
0.00975602,34.5699,310.679987934,1.69808,26.562,1.69808,0.0,54,0.0646809234126,448.136804821,419.740397692,1.69859926604,0.874834,-1.76712,51.273518174,1.69854367222,-515.981121309,310.679987934,54,13.561751437,310.679987934
0.00998735,34.8957,265.249991368,1.74668,26.8633,1.74668,0.0,55,0.0653189577319,627.440547592,80.0180999526,1.74698250632,0.81427,-1.81329,532.46370478,1.74692306315,340.117705462,265.249991368,55,14.5161164789,265.249991368
0.0102892,35.1824,305.299299968,1.79024,27.1376,1.79024,0.0,56,0.0653748970046,633.370276527,40.1688132802,1.7907836272,0.80904,-1.85772,573.325913842,1.79072216249,509.288303079,305.299299968,56,54.7793207656,305.299299968
0.00960034,35.4997,323.815568935,1.83831,27.4044,1.83831,0.0,57,0.0651306578197,665.334289521,79.7868038052,1.83881922243,0.777733,-1.90626,529.073314906,1.83874510991,410.536927867,323.815568935,57,45.8676986351,323.815568935
0.0113691,35.7736,340.19949294,1.88799,27.6622,1.88799,0.0,58,0.0679840208532,683.642462895,334.869400635,1.88857399876,0.811499,-1.95873,501.887360856,1.88852303899,-493.634878802,340.19949294,58,52.0411626444,340.19949294
0.0111368,36.007,464.204276102,1.9397,27.9388,1.9397,0.0,59,0.068682483299,496.362596702,322.057281346,1.94031938421,0.814906,-2.01133,269.48247113,1.94025979054,-581.19272461,464.204276102,59,28.4595819128,464.204276102
0.0117965,36.2526,390.522883958,1.99222,28.2292,1.99222,0.0,60,0.069166239514,594.154386288,442.273792169,1.99272543264,0.812673,-2.06493,293.670422443,1.99267612791,-587.619628134,390.522883958,60,32.2899799311,390.522883958
0.0123974,36.4852,365.39208905,2.04827,28.4905,2.04827,0.0,61,0.0705366161609,494.678245677,314.327944655,2.04882065817,0.829755,-2.12126,320.475564876,2.04878890988,-609.009939752,365.39208905,61,25.5737464429,365.39208905
