Epoch,AverageY,AverageQLoss,AveragePolicySurr,Iteration,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageReturn,StdReturn,AverageQ,MaxEsReturn,MinReturn,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY
22,9.81601530092,0.459932,-11.3626,22,9.81841,44.6630993422,14.5393487192,0.323883643465,360.0,18.5740740741,64.6193548387,44.286934062,9.81563,57.0,40.0,36.5129,0.399354,27.1659,3.0,9.81601530092
23,10.6672561701,0.582506,-12.3095,23,10.6715,82.5515994472,11.4693886062,0.356310235004,592.0,15.625,224.355555556,123.361105982,10.6674,47.0,52.0,38.3801,0.241403,27.7463,3.0,10.6672561701
24,11.5007045057,0.663914,-13.2309,24,11.505,64.2251346918,10.6082020445,0.378657727266,905.0,13.7777777778,169.576271186,201.776365836,11.5008,61.0,49.0,40.3252,0.262096,28.2704,3.0,11.5007045057
25,12.3628732044,0.733584,-14.2002,25,12.3686,79.916579562,10.999843475,0.393731234872,1000.0,15.1363636364,549.15,451.864169303,12.3633,50.0,60.0,42.1574,0.24794,28.8454,4.0,12.3628732044
26,13.1628691887,0.875556,-15.1288,26,13.1685,74.6622757876,11.146772822,0.437383938294,1000.0,12.1204819277,269.641025641,251.541961344,13.1626,63.0,51.0,44.0948,0.228849,29.4375,3.0,13.1628691887
27,14.0031189827,0.992281,-16.0355,27,14.0073,36.4460566512,8.92141779661,0.45422739681,63.0,11.7647058824,45.1621621622,3.51583429936,14.0022,50.0,40.0,45.8158,0.235473,29.9734,3.0,14.0031189827
28,14.8281493537,1.14018,-16.9743,28,14.8361,47.8442885655,11.2495630191,0.483633413788,1000.0,13.8028169014,100.38,180.079692359,14.8282,53.0,43.0,47.8323,0.183722,30.4524,3.0,14.8281493537
29,15.6605096417,1.27794,-17.8648,29,15.6682,31.0720395961,9.46190175792,0.506815171672,42.0,13.7361111111,37.0703703704,2.99855703752,15.6606,47.0,24.0,49.5021,0.384778,30.9873,3.0,15.6605106438
30,16.4764574553,1.46882,-18.8094,30,16.485,28.6757618244,13.6987168848,0.535941387024,37.0,14.8529411765,33.6375838926,1.62495127485,16.4754,85.0,24.0,51.2345,0.339493,31.2938,3.0,16.476484967
31,17.3109849848,1.58177,-19.8079,31,17.3211,29.3217357706,12.2256878047,0.556068665784,36.0,13.8904109589,34.5310344828,0.569999061267,17.3111,53.0,33.0,52.7819,0.387201,31.7111,3.0,17.3110401853
32,18.1597380297,1.60576,-20.7041,32,18.1707,31.3261036916,12.6981358105,0.568763066537,42.0,14.4142857143,37.4104477612,1.92281155528,18.1589,62.0,34.0,54.2175,0.273225,32.173,3.0,18.1599874771
33,18.9984557819,1.85903,-21.6767,33,19.0121,32.9014149269,12.43024269,0.593900680667,44.0,13.32,39.7142857143,1.63229871438,18.9979,64.0,36.0,55.8252,0.260625,32.6324,3.0,19.0000858448
34,19.8205220043,2.03106,-22.5521,34,19.8372,28.6272817256,11.2520551281,0.615214418489,36.0,13.6575342466,33.6006711409,2.91575209643,19.8206,47.0,21.0,57.3287,0.403107,33.1897,3.0,19.8275197949
35,20.6341659906,2.25272,-23.4932,35,20.6582,30.7619336939,12.1516546201,0.672421522817,38.0,13.2837837838,36.5802919708,0.701233471753,20.6326,51.0,35.0,58.7569,0.303957,33.5925,3.0,20.6538212688
36,21.4911479433,2.38116,-24.4264,36,21.5244,31.5776086317,11.8469922128,0.669969519248,40.0,14.3857142857,37.7622641509,1.02795389646,21.4902,59.0,35.0,60.0709,0.327211,33.8894,3.0,21.5201210959
37,22.3747813284,2.46545,-25.3741,37,22.4162,31.2325649408,12.0566773776,0.678495674644,40.0,14.3285714286,37.2602230483,0.86609920407,22.3746,49.0,36.0,61.3329,0.326804,34.3687,3.0,22.4143330908
38,23.1526808041,2.70543,-26.2812,38,23.2032,31.6275666828,15.0240528624,0.719596675809,41.0,16.2903225806,37.8339622642,0.928976591745,23.1514,68.0,35.0,62.6785,0.354589,34.7296,3.0,23.2006085288
39,23.9364265728,3.10112,-27.1078,39,24.0042,31.0014850439,15.1772032997,0.764978451921,39.0,16.45,36.926199262,0.838475125415,23.9359,73.0,35.0,64.0667,0.330408,35.0144,3.0,23.9998664684
40,24.7258042984,3.2274,-28.0127,40,24.8039,35.4710028052,26.5167418813,0.776186162618,52.0,20.32,43.6260869565,2.81906820734,24.7252,169.0,35.0,65.1842,0.434513,35.4673,3.0,24.7956745291
41,25.5702294407,3.45485,-28.9022,41,25.6635,37.3648968449,13.7697894171,0.802496482024,637.0,15.1538461538,50.3618090452,46.1450602086,25.5693,62.0,37.0,66.3381,0.463095,35.827,2.0,25.6532145153
42,26.3516266228,3.66628,-29.7544,42,26.4433,93.2547466862,13.3919333015,0.834477855172,1000.0,14.3571428571,663.3125,338.897425254,26.3506,51.0,47.0,67.5338,0.261865,36.1506,3.0,26.4333359777
43,27.1748501315,3.7402,-30.6923,43,27.269,99.9956828753,12.6041310492,0.831430954204,1000.0,17.0169491525,1000.0,0.0,27.1752,54.0,1000.0,68.6654,0.216161,36.395,3.0,27.2604883634
44,27.9660351051,4.33313,-31.5441,44,28.0661,88.7010602781,13.0295113527,0.880055049481,720.0,14.7647058824,271.783783784,139.048335974,27.9635,69.0,132.0,69.6826,0.229288,36.6851,3.0,28.0573863919
45,28.7258568898,4.35076,-32.3754,45,28.8341,99.9956828753,10.7625131674,0.892889693856,1000.0,12.7435897436,1000.0,0.0,28.7254,46.0,1000.0,70.7736,0.171599,37.0246,3.0,28.8219329591
46,29.5277718013,4.6761,-33.2646,46,29.6479,99.9956828753,11.9387395216,0.936384095796,1000.0,14.4202898551,1000.0,0.0,29.5269,60.0,1000.0,71.9492,0.175518,37.3495,3.0,29.6339114484
47,30.2998401956,4.70964,-34.1517,47,30.4184,99.9956828753,10.3186065941,0.923868285428,1000.0,12.7341772152,1000.0,0.0,30.2989,59.0,1000.0,73.059,0.206836,37.6568,3.0,30.4062811116
48,31.0985909665,5.18419,-35.0413,48,31.2412,99.9956828753,12.7102802679,0.977029740603,1000.0,14.3857142857,1000.0,0.0,31.0976,69.0,1000.0,74.0194,0.257854,37.9181,3.0,31.226070881
49,31.9666852089,5.49313,-35.9988,49,32.1045,99.9956828753,11.1805685554,1.01470405802,1000.0,13.4594594595,1000.0,0.0,31.9645,62.0,1000.0,75.0574,0.279764,38.2408,2.0,32.0895301377
50,32.8853120018,5.50359,-36.9022,50,33.0213,99.9956828753,14.5445811463,0.990608863616,1000.0,13.1447368421,1000.0,0.0,32.885,85.0,1000.0,75.9868,0.234085,38.5367,3.0,33.0040806231
51,33.6591217405,5.84251,-37.8291,51,33.808,99.9956828753,16.380747507,1.00412040977,1000.0,16.2666666667,1000.0,0.0,33.6574,88.0,1000.0,76.9467,0.205796,38.8197,3.0,33.7906304457
52,34.3298582022,6.43941,-38.5198,52,34.4654,99.9956828753,12.1180496352,1.07267103958,1000.0,12.6419753086,1000.0,0.0,34.3287,53.0,1000.0,77.9565,0.288966,39.1466,3.0,34.443724432
53,35.2772077271,6.51971,-39.5347,53,35.4051,99.9956828753,16.0066913092,1.05807548199,1000.0,15.95,1000.0,0.0,35.2753,60.0,1000.0,78.6881,0.354585,39.4913,3.0,35.3800754076
54,35.9967423597,6.62859,-40.3304,54,36.1271,99.9956828753,13.1796871074,1.06386686684,1000.0,15.1764705882,1000.0,0.0,35.9951,51.0,1000.0,79.5862,0.346403,39.7657,3.0,36.1082085889
55,36.8626541092,6.81486,-41.2323,55,37.0012,99.9956828753,12.6655882534,1.06935081167,1000.0,15.2878787879,1000.0,0.0,36.8632,56.0,1000.0,80.4378,0.306108,40.0637,3.0,36.9751096685
56,37.5791301742,7.32088,-42.0005,56,37.7015,99.9956828753,12.2757850242,1.10774835348,1000.0,14.0714285714,1000.0,0.0,37.5757,59.0,1000.0,81.3063,0.518681,40.4145,3.0,37.6797110691
57,38.3637478104,7.60178,-42.8608,57,38.5071,99.9956828753,11.1750384103,1.11718782951,1000.0,16.3442622951,1000.0,0.0,38.3649,61.0,1000.0,82.2913,0.491021,40.7297,3.0,38.4784911722
58,39.1664257205,7.56793,-43.7385,58,39.3073,99.9956828753,11.3839416789,1.13329087707,1000.0,14.3098591549,1000.0,0.0,39.1644,68.0,1000.0,83.2233,0.524962,41.0026,3.0,39.2823871319
59,39.8379570809,8.10486,-44.4429,59,39.9735,99.9956828753,13.9215641714,1.14526413927,1000.0,17.8928571429,1000.0,0.0,39.8362,69.0,1000.0,84.2788,0.464486,41.2257,3.0,39.9451003088
60,40.5642988406,9.004,-45.1639,60,40.6902,99.9956828753,13.5597060263,1.20897650946,1000.0,16.262295082,1000.0,0.0,40.5609,90.0,1000.0,84.9898,0.582783,41.4614,3.0,40.6579531376
61,41.3057462566,8.43577,-45.8822,61,41.4374,99.9956828753,13.6833699925,1.12905926749,1000.0,16.2459016393,1000.0,0.0,41.3049,73.0,1000.0,85.8247,0.501411,41.7785,4.0,41.4129207669
62,42.0369408545,8.74204,-46.7191,62,42.1711,99.9956828753,10.4992996965,1.16907553044,1000.0,15.0,1000.0,0.0,42.0344,44.0,1000.0,86.7072,0.473348,42.0069,3.0,42.1444631596
63,42.7241242565,9.50301,-47.4597,63,42.8426,99.9956828753,9.12487130934,1.19570881087,1000.0,13.5205479452,1000.0,0.0,42.7229,43.0,1000.0,87.7211,0.6007,42.283,4.0,42.8114398758
64,43.5052714738,9.48294,-48.3303,64,43.6222,99.9956828753,12.5590225941,1.20347338457,1000.0,14.7391304348,1000.0,0.0,43.5035,73.0,1000.0,88.2205,0.558593,42.4866,3.0,43.583207228
65,44.3406249227,8.88584,-49.153,65,44.4445,99.9956828753,9.49656411114,1.1543747744,1000.0,12.8026315789,1000.0,0.0,44.3389,42.0,1000.0,89.071,0.400509,42.7343,2.0,44.4151145778
66,44.975552815,10.1872,-49.9288,66,45.085,99.9956828753,10.3486953953,1.23412919478,1000.0,13.141025641,1000.0,0.0,44.9776,45.0,1000.0,89.7452,0.574617,43.0817,3.0,45.0422735431
67,45.7132798805,9.92837,-50.7765,67,45.8099,99.9956828753,14.5916642871,1.24128223487,1000.0,13.8333333333,1000.0,0.0,45.7107,90.0,1000.0,90.4333,0.50286,43.2774,3.0,45.7677235779
68,46.5168449983,10.3233,-51.6142,68,46.6039,99.9956828753,13.1760397955,1.21230103215,1000.0,13.9444444444,1000.0,0.0,46.5135,78.0,1000.0,91.0251,0.536644,43.5374,3.0,46.5727947773
69,47.2899238661,10.3631,-52.376,69,47.3776,99.9956828753,15.5384133661,1.22521923046,1000.0,17.5263157895,1000.0,0.0,47.2897,61.0,1000.0,91.934,0.495076,43.7166,3.0,47.3394234227
70,48.0410318075,11.2787,-53.2152,70,48.1228,99.9956828753,11.689215333,1.29257685748,1000.0,13.9285714286,1000.0,0.0,48.0375,74.0,1000.0,92.5756,0.478948,43.9227,3.0,48.0806754923
71,48.6274491501,11.0312,-54.0739,71,48.7014,99.9956828753,14.6333727105,1.26634226755,1000.0,14.8382352941,1000.0,0.0,48.6243,79.0,1000.0,93.3284,0.428793,44.1633,3.0,48.6592158727
72,49.5470628863,11.1723,-55.0223,72,49.6329,99.9956828753,10.0193700988,1.26173327494,1000.0,11.7674418605,1000.0,0.0,49.5481,61.0,1000.0,94.1082,0.393026,44.3358,3.0,49.583281222
73,50.2909825415,12.2248,-55.8274,73,50.3768,99.9956828753,13.0532773893,1.32637687842,1000.0,12.2098765432,1000.0,0.0,50.2866,72.0,1000.0,94.9747,0.344787,44.4766,2.0,50.3327522831
74,51.1836707434,12.2938,-56.7633,74,51.2705,99.9956828753,9.46850150634,1.32411375562,1000.0,10.5894736842,1000.0,0.0,51.1823,50.0,1000.0,95.7015,0.298531,44.7113,3.0,51.2216495717
75,51.9226751309,14.0377,-57.5849,75,52.0123,99.9956828753,10.1967536248,1.38629655322,1000.0,12.4320987654,1000.0,0.0,51.9216,45.0,1000.0,96.2781,0.298441,44.9349,3.0,51.9549293931
76,52.7046085665,12.7978,-58.4754,76,52.788,99.038239998,10.8884963487,1.33563732293,1000.0,10.967032967,811.307692308,273.256820484,52.7028,78.0,233.0,96.8369,0.187276,45.1775,2.0,52.7310022392
77,53.4700643245,13.7209,-59.3424,77,53.5479,99.9956828753,8.87917489978,1.39650982495,1000.0,11.2840909091,1000.0,0.0,53.4674,35.0,1000.0,97.592,0.376517,45.3892,3.0,53.4906005897
78,54.3505190955,14.9405,-60.2889,78,54.4354,99.9956828753,9.56797923107,1.46015358873,1000.0,12.8101265823,1000.0,0.0,54.3498,41.0,1000.0,98.4056,0.226448,45.6099,3.0,54.3720591825
79,55.1681962067,14.3994,-61.2654,79,55.2523,99.9956828753,12.0997389141,1.42748871365,1000.0,12.8205128205,1000.0,0.0,55.1636,80.0,1000.0,98.9542,0.299862,45.8171,3.0,55.1897539051
80,55.9259889227,14.9135,-62.0892,80,56.0081,99.9956828753,10.988282111,1.41712722829,1000.0,12.4125,1000.0,0.0,55.9232,62.0,1000.0,99.7563,0.199127,45.9867,3.0,55.9543990045
81,56.680329712,15.7121,-62.926,81,56.7787,99.9956828753,12.6899087382,1.45949893071,1000.0,13.5,1000.0,0.0,56.6799,72.0,1000.0,100.514,0.217874,46.2065,3.0,56.7076184428
82,57.652242295,15.8176,-63.8509,82,57.7496,99.9956828753,9.02532366005,1.4811093063,1000.0,11.3908045977,1000.0,0.0,57.6512,45.0,1000.0,101.068,0.187422,46.3465,3.0,57.6848450224
83,58.3198490164,16.4979,-64.693,83,58.4226,99.9956828753,12.2269033063,1.5176789298,1000.0,14.7391304348,1000.0,0.0,58.3172,60.0,1000.0,101.697,0.257954,46.5002,3.0,58.3533291916
84,59.1136538965,18.1885,-65.6091,84,59.2089,99.9956828753,11.161889491,1.56594376793,1000.0,13.0657894737,1000.0,0.0,59.1117,48.0,1000.0,102.296,0.248725,46.6837,3.0,59.1489283221
85,59.9402947083,17.504,-66.5142,85,60.0292,99.9956828753,9.94176255295,1.57350336773,1000.0,13.2368421053,1000.0,0.0,59.9345,45.0,1000.0,103.029,0.206365,46.8621,3.0,59.9738548308
86,60.6510833667,18.5195,-67.2778,86,60.7491,99.9956828753,9.44055615376,1.59689590863,1000.0,11.2359550562,1000.0,0.0,60.651,41.0,1000.0,103.797,0.206354,47.0289,3.0,60.6803602359
87,61.7071444221,18.6567,-68.2849,87,61.8067,98.7583031299,10.8061535824,1.5949356763,1000.0,13.6805555556,852.583333333,252.589079446,61.7041,59.0,197.0,104.677,0.213099,47.1927,3.0,61.7321163073
88,62.3639865065,19.7346,-69.1749,88,62.4497,99.9956828753,10.7333237462,1.58270850213,1000.0,12.0240963855,1000.0,0.0,62.3628,62.0,1000.0,105.247,0.194663,47.3494,3.0,62.3870978112
89,63.1018701666,19.4286,-69.9386,89,63.1979,96.7420415961,10.4993876718,1.63631761171,1000.0,12.8734177215,537.894736842,254.72232451,63.0968,51.0,143.0,106.075,0.250841,47.4395,3.0,63.126996958
90,64.0061551878,19.8949,-70.8397,90,64.1031,99.0831329088,11.0709570562,1.62618972292,1000.0,10.8651685393,633.875,245.898067042,64.0051,76.0,334.0,106.807,0.171582,47.59,3.0,64.0281414145
91,64.654239102,20.0807,-71.5662,91,64.744,93.7311026803,12.5466041375,1.62665085025,457.0,13.9594594595,295.617647059,66.409608937,64.652,50.0,202.0,107.401,0.222373,47.7695,3.0,64.6758280526
92,65.4757502979,20.8589,-72.3463,92,65.5635,95.8017074584,9.39864471049,1.68383699045,1000.0,11.4137931034,470.954545455,237.512196294,65.47,47.0,202.0,108.071,0.23504,47.9826,3.0,65.4980375941
93,66.1441535065,20.6416,-73.0667,93,66.2436,99.2752246466,12.3392345215,1.62573156636,1000.0,13.6438356164,721.428571429,231.921388863,66.1429,67.0,281.0,108.732,0.222986,48.1774,3.0,66.1689040252
94,66.6033072786,20.8255,-73.8681,94,66.705,90.0238815336,9.77390748897,1.63204224596,393.0,9.84466019417,253.875,70.352038883,66.6042,75.0,124.0,109.467,0.222976,48.347,3.0,66.6350618592
95,67.4193501142,22.0275,-74.8061,95,67.5212,90.0515323583,10.5554358621,1.70344661075,462.0,11.3068181818,252.625,74.4250251931,67.416,48.0,130.0,110.159,0.150689,48.5085,2.0,67.4481656283
96,68.215039489,23.1088,-75.3923,96,68.337,91.8129047925,9.98355875616,1.745478122,444.0,12.8701298701,266.710526316,64.2011263611,68.2117,59.0,130.0,110.789,0.229757,48.7289,3.0,68.2424265504
97,68.7489807442,25.0634,-76.0862,97,68.8722,99.9956828753,12.0967500159,1.81794620415,1000.0,12.7692307692,1000.0,0.0,68.7487,55.0,1000.0,111.562,0.209013,48.9307,3.0,68.781272087
98,69.399795823,22.8079,-76.8393,98,69.5075,87.4645546532,9.05882352941,1.69602045584,331.0,11.7647058824,218.847826087,51.712401755,69.3976,42.0,133.0,112.116,0.148633,49.0663,3.0,69.4246810569
99,70.2897756234,23.5688,-77.7394,99,70.3979,91.1442677917,9.68329550361,1.75888633209,767.0,11.0549450549,357.392857143,194.781991556,70.2846,51.0,119.0,112.517,0.133379,49.2186,3.0,70.3190483998
100,70.8082836022,26.8743,-78.3833,100,70.9413,99.9956828753,10.2406919539,1.83496785606,1000.0,11.3068181818,1000.0,0.0,70.8103,54.0,1000.0,113.0,0.154791,49.3831,3.0,70.8387999103
101,71.5987999447,25.2311,-79.2511,101,71.708,94.5458207011,8.8158529135,1.80949521492,821.0,12.0602409639,351.137931034,144.163634072,71.5949,39.0,196.0,113.584,0.133265,49.5365,3.0,71.6322948515
102,72.2972029112,25.4685,-79.9856,102,72.4199,99.9956828753,7.27253280807,1.87470699899,1000.0,10.3163265306,1000.0,0.0,72.2986,30.0,1000.0,114.173,0.169941,49.7524,3.0,72.3220326789
103,73.141956482,25.736,-80.7197,103,73.2511,99.9956828753,10.3972580894,1.8016568597,1000.0,11.7764705882,1000.0,0.0,73.1355,68.0,1000.0,114.826,0.136265,49.968,3.0,73.1772457386
104,73.3944424047,27.4438,-81.1476,104,73.5349,99.9956828753,10.8438392303,1.89495811308,1000.0,11.367816092,1000.0,0.0,73.3913,57.0,1000.0,115.624,0.175308,50.208,3.0,73.4321891543
105,74.1537600422,25.6726,-81.9726,105,74.2826,99.9956828753,9.42433438103,1.81704943375,1000.0,11.3033707865,1000.0,0.0,74.1557,44.0,1000.0,116.165,0.17581,50.3976,3.0,74.19030689
106,74.9217617551,26.6224,-82.8528,106,75.0506,99.9956828753,9.79436054461,1.83809272834,1000.0,12.7594936709,1000.0,0.0,74.9161,51.0,1000.0,116.651,0.186385,50.569,3.0,74.959537693
107,75.4669739967,29.2801,-83.4873,107,75.5923,99.9956828753,10.1365974077,1.84318334247,1000.0,10.7419354839,1000.0,0.0,75.4688,58.0,1000.0,117.343,0.167933,50.7507,3.0,75.5063930603
108,76.1122767202,29.0307,-84.3079,108,76.2406,99.9956828753,10.6350359541,1.89468251938,1000.0,12.582278481,1000.0,0.0,76.1076,67.0,1000.0,117.933,0.183878,50.9331,3.0,76.1495854891
109,76.7308028241,29.0227,-84.8876,109,76.8675,91.5734383933,9.35463178337,1.92719983183,530.0,11.1555555556,280.444444444,84.6723897162,76.7298,47.0,131.0,118.516,0.121325,51.0439,2.0,76.7711657362
110,77.3318637424,33.0661,-85.56,110,77.4853,73.9452079912,9.04460582544,2.05445380259,215.0,11.6627906977,135.337837838,18.6092660928,77.3289,52.0,102.0,119.139,0.161172,51.2311,3.0,77.374737858
111,78.0222520931,30.3083,-86.3114,111,78.1748,96.6500113797,11.9979630103,1.91685446254,661.0,11.4942528736,399.807692308,124.392684435,78.0194,76.0,211.0,119.76,0.139705,51.4721,3.0,78.0694593543
112,78.9685019808,30.4446,-87.2085,112,79.1065,84.8945152479,7.85031846488,1.95153311478,312.0,9.95,198.607843137,46.7182117705,78.9685,42.0,120.0,120.276,0.127604,51.6951,3.0,79.0092867952
113,79.4211261046,30.8546,-87.886,113,79.5527,99.9842985377,9.88411079942,1.95714116891,1000.0,11.6395348837,953.0,102.374535186,79.4169,63.0,687.0,120.977,0.091556,51.8968,3.0,79.4624755882
114,80.1369417796,33.3317,-88.6185,114,80.2912,99.7940171496,7.83656178948,2.01430552912,1000.0,9.51428571429,793.153846154,191.705240952,80.1396,49.0,412.0,121.687,0.102246,52.0785,3.0,80.1892857361
115,80.5225207201,32.0752,-89.2701,115,80.6514,98.849355302,10.4522050379,1.96510520823,1000.0,12.3827160494,927.818181818,228.258951107,80.5196,50.0,206.0,122.191,0.135939,52.2875,3.0,80.5582757264
116,81.4680819547,33.6442,-90.1443,116,81.6021,98.5507962617,8.18466648264,1.99525485237,1000.0,10.7888888889,700.4,294.41462826,81.4658,41.0,231.0,122.828,0.118428,52.5593,3.0,81.5131400044
117,81.9935860556,33.3642,-90.9803,117,82.1204,96.1847723273,11.0373019859,2.01017071192,1000.0,11.9036144578,474.727272727,224.868887419,81.988,49.0,141.0,123.497,0.141153,52.8241,3.0,82.0368802364
118,82.8600035874,35.9555,-91.6592,118,83.0276,77.8901341066,7.07875241424,2.07745442061,475.0,8.59504132231,211.708333333,122.674868102,82.8641,46.0,52.0,123.834,0.146657,52.9817,3.0,82.90446684
119,83.5534662566,35.9175,-92.5486,119,83.6908,85.2796617873,10.2213916205,2.06901141222,320.0,12.5316455696,206.653061224,58.0093416194,83.5474,43.0,115.0,124.292,0.180349,53.1405,3.0,83.5990289353
120,84.1487410866,35.3667,-93.3089,120,84.311,99.8592362643,9.03041644619,2.06389115324,1000.0,11.6091954023,887.166666667,197.754407171,84.1495,53.0,440.0,124.83,0.165187,53.355,3.0,84.1930540928
121,84.9593774669,36.7317,-94.0539,121,85.1302,81.5037619535,8.27444536659,2.14960640962,413.0,10.8913043478,188.185185185,73.0565671432,84.9599,48.0,117.0,125.423,0.168542,53.5093,3.0,84.9997944634
122,85.839892278,34.9697,-95.1082,122,85.986,79.8030897023,8.53943924882,2.0812761467,299.0,10.4565217391,170.0,48.7887177845,85.8331,46.0,114.0,125.931,0.158659,53.6771,3.0,85.8771857429
123,86.3722004202,38.7432,-95.8062,123,86.5272,75.1861919399,8.93200337945,2.12586004831,228.0,11.5977011494,145.217391304,39.2505403139,86.3745,41.0,118.0,126.476,0.182181,53.7991,3.0,86.4209125855
124,87.3689365272,40.7208,-96.7735,124,87.5318,79.6288632554,10.6049196597,2.20228188732,293.0,11.4111111111,168.533333333,47.580621639,87.3639,55.0,118.0,126.947,0.187252,53.9206,3.0,87.4168763956
125,88.0436791982,38.7371,-97.4846,125,88.2074,75.0404355039,10.5724326519,2.14512643251,232.0,11.8117647059,143.3,35.042565953,88.0368,56.0,116.0,127.548,0.164481,54.0374,3.0,88.0940982341
126,88.8064081028,43.232,-98.325,126,88.9789,93.8481558798,9.24118597046,2.25444618258,826.0,11.7976190476,327.9375,144.381642163,88.808,45.0,201.0,128.189,0.145573,54.2324,2.0,88.8482883833
127,89.2811396977,39.8273,-99.1438,127,89.4438,96.1603359338,9.14717715545,2.19459825561,1000.0,10.1616161616,457.565217391,218.829659004,89.274,42.0,133.0,128.71,0.112503,54.3852,3.0,89.3311937995
128,90.2579627351,41.298,-100.064,128,90.43,78.0691253404,12.6761648599,2.24411040906,309.0,13.1866666667,160.80952381,48.7125866668,90.2596,57.0,117.0,129.249,0.138035,54.4812,2.0,90.302486178
129,90.9804889478,42.6625,-100.949,129,91.1364,72.0325841467,10.9563783359,2.2405307607,212.0,11.4431818182,127.240506329,10.6571604144,90.9741,56.0,113.0,129.723,0.137365,54.663,3.0,91.020417381
130,91.8281329579,40.8939,-101.823,130,91.9759,93.6870576488,7.48855459388,2.1750585957,843.0,10.8260869565,359.892857143,170.24988762,91.8247,42.0,127.0,130.083,0.119777,54.7889,3.0,91.8580212346
131,92.8113707844,42.5434,-102.634,131,92.9595,74.3208487152,8.73210496183,2.21311104956,305.0,12.1481481481,144.542857143,45.8720847931,92.8133,39.0,55.0,130.562,0.16293,54.9765,3.0,92.8435697291
132,93.6042833848,41.9386,-103.64,132,93.7423,80.649772921,10.2491719618,2.1796072315,310.0,11.1428571429,176.157894737,53.6920358934,93.599,50.0,114.0,131.131,0.146648,55.2035,3.0,93.6390508575
133,94.1884049279,43.5465,-104.401,133,94.364,88.6578615457,9.63348010309,2.32856038337,773.0,11.3258426966,270.621621622,135.67794765,94.1861,51.0,114.0,131.721,0.149736,55.4236,2.0,94.2281709189
