MaxReturn,QFunRegParamNorm,Epoch,AverageEsReturn,MinReturn,AverageQ,AverageY,StdReturn,AverageAction,AveragePolicySurr,Iteration,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageQLoss,AverageAbsQ,StdEsReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm
3673.70744629,51.3565,95,665.770942322,604.521908345,95.5215,95.5310826247,1257.29204629,0.916853,-96.8722,95,95.5314907592,1.76732811737,2623.3665786,15.0909,95.5215,0.0,665.770942322,246.928731171,665.770942322,44.1774
3412.76869036,51.6989,96,1165.8102403,928.782037841,97.1265,97.1365953993,847.933225495,0.919595,-98.5068,96,97.1371828946,1.75887071263,2156.32420305,14.3048,97.1265,0.0,1165.8102403,272.340589224,1165.8102403,44.4116
3487.86110797,51.9818,97,951.772529119,776.516884469,98.4652,98.4779198345,755.424296768,0.929923,-99.8436,97,98.4782587568,1.76696505179,1959.92831831,14.6863,98.4652,0.0,951.772529119,247.293189095,951.772529119,44.5752
3774.57641012,52.3549,98,1627.2612245,303.250878327,99.2601,99.271916466,1235.97852257,0.920102,-100.634,98,99.2722365146,1.75444531342,2089.152948,13.971,99.2601,0.0,1627.2612245,273.317626731,1627.2612245,44.7823
3811.54895267,52.7031,99,665.592662544,1057.32562511,100.224,100.234781726,1033.1036078,0.932971,-101.594,99,100.235416193,1.8160664386,2360.28800371,15.9509,100.224,0.0,665.592662544,269.230269165,665.592662544,44.9379
3245.87473186,53.108,100,864.186177909,1333.98496177,101.673,101.686651459,676.457346946,0.93608,-103.09,100,101.687026407,1.86876712244,2587.00993454,18.1808,101.673,0.0,864.186177909,251.310776229,864.186177909,45.111
3611.87118842,53.3763,101,2513.2640155,783.826846906,102.742,102.756813589,949.566016368,0.913378,-104.176,101,102.757199907,1.85038027845,2403.00493701,17.232,102.742,0.0,2513.2640155,262.649641296,2513.2640155,45.2994
3924.20719205,53.645,102,69.7279329907,-129.079179287,104.524,104.532710511,1095.2568667,0.907657,-105.93,102,104.533131657,1.83554650259,1381.51569594,15.0062,104.524,0.0,69.7279329907,230.331367531,69.7279329907,45.5081
3192.94223102,53.9582,103,2667.81428859,717.196212463,105.424,105.434523544,841.084897777,0.904842,-106.86,103,105.434773618,1.79009744245,2159.67075107,14.3321,105.424,0.0,2667.81428859,224.869343048,2667.81428859,45.7383
3758.87999859,54.2901,104,770.863360743,462.637090755,107.146,107.157932579,1060.50122836,0.915321,-108.575,104,107.158276779,1.88329069286,1917.45829044,16.2081,107.146,0.0,770.863360743,275.740201532,770.863360743,45.9651
1586.20141216,54.5825,105,2313.60434837,391.610691128,109.103,109.116509371,364.983705472,0.907477,-110.531,105,109.116951812,1.89667709359,1220.94088743,17.4232,109.103,0.0,2313.60434837,232.535333338,2313.60434837,46.1424
4132.34503369,54.9031,106,2210.87419398,-363.449860909,110.454,110.464836248,1325.90032533,0.927909,-111.869,106,110.465264372,1.88388399737,2201.83115319,17.0714,110.454,0.0,2210.87419398,287.364231596,2210.87419398,46.3334
2175.60647279,55.2975,107,2036.44811715,785.421040246,111.765,111.774011276,507.858601137,0.924214,-113.182,107,111.774605954,1.93977204009,1297.64053338,18.6208,111.765,0.0,2036.44811715,223.866154777,2036.44811715,46.5308
3861.7302766,55.6108,108,2541.95226329,754.823478432,113.748,113.761918912,835.341624209,0.937421,-115.175,108,113.762221433,2.03312959266,3160.17898026,23.3136,113.748,0.0,2541.95226329,278.812780457,2541.95226329,46.7776
3323.93705488,55.8824,109,1528.1637818,810.202841463,115.446,115.462884013,950.271947797,0.925505,-116.879,109,115.463227653,1.9423303627,2198.4270437,17.933,115.446,0.0,1528.1637818,234.48385263,1528.1637818,46.9536
3729.33492024,56.2768,110,2057.09165341,3162.31504599,116.984,116.994139352,159.630787815,0.941719,-118.432,110,116.994698634,2.0314025917,3473.56296941,19.6088,116.984,0.0,2057.09165341,273.771536626,2057.09165341,47.1181
3768.87883414,56.5858,111,1238.55227653,1883.08206249,117.848,117.860172508,579.932288612,0.927286,-119.306,111,117.860633506,1.94878777459,2490.64123581,17.6266,117.848,0.0,1238.55227653,279.916066415,1238.55227653,47.3608
