AverageAbsY,MinEsReturn,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MaxReturn,AverageEsReturn,StdEsReturn,AverageAbsQYDiff,MinReturn,AverageDiscountedReturn,AverageReturn,MaxEsReturn,AverageY,StdReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQ,AverageQLoss,Epoch
67.4002169444,3.38305996767,36.1836,67.2788,-71.5106,372.648352206,109.161040376,61.3439299377,2.7313663401,54.2489494936,93.8197412371,170.722429454,203.75378292,67.2993596888,66.2700322157,0.806681,46.926,68,67.3893,23.361,68
69.1887733537,41.4940607464,36.3419,69.0589,-73.3141,246.677494137,123.603840722,49.5942922457,2.75573834265,79.9337448399,90.6944027027,144.989348241,208.11782233,69.075268824,23.7324017898,0.799957,47.3055,69,69.1811,23.6812,69
71.0777554018,1.05120578703,36.5198,70.9497,-75.2188,234.158142088,154.149433218,98.0674320969,2.80535839631,104.509059721,82.5159708126,127.763492163,315.588692843,70.9664811462,28.2378713034,0.765258,47.6774,70,71.0762,24.6195,70
72.8199936563,-3.75159352431,36.6942,72.6885,-76.9461,160.524592446,127.105381233,86.965752104,2.9026637576,65.1634304232,73.7756849255,106.836824354,343.614472302,72.7081298559,20.2687458127,0.801048,48.0952,71,72.8164,26.4683,71
74.1997136019,-21.0357410257,36.8779,74.0709,-78.3348,208.939354276,88.2355167891,75.2335829025,2.91085203885,132.066491006,94.3318177087,146.630196435,213.934465787,74.0907822037,6.39942870348,0.794574,48.4803,72,74.1902,26.5044,72
76.1273699308,2.53466840318,37.0937,76.0088,-80.3248,262.802375822,119.245579736,76.0204184107,2.92479460504,87.4102889391,91.7166055878,140.418057758,286.005908536,76.0267047097,25.1749329279,0.79792,48.8239,73,76.1189,25.7822,73
77.8390761816,0.318811751873,37.2432,77.7205,-82.0388,456.616698118,125.196747559,112.743632231,3.03456714667,60.7506029167,104.165762864,180.923609989,325.533296102,77.7377273594,56.0451117399,0.808408,49.1865,74,77.8399,29.2965,74
79.5639666871,33.0484586095,37.4309,79.4406,-83.718,202.554647068,183.411776808,71.18014244,3.04789218411,87.6471417328,83.6383609562,137.664216655,265.21006059,79.4617313139,29.8250744408,0.822751,49.5119,75,79.566,27.7823,75
80.8734413412,-54.2059120855,37.646,80.7418,-85.0802,356.50647145,132.635681763,103.353123094,3.10525117087,92.6604979803,107.550683452,207.289166337,250.676958793,80.7632921687,56.9636634929,0.837286,49.8362,76,80.8776,28.5277,76
82.6321189594,-25.2376796672,37.8606,82.5043,-86.8432,299.017539056,91.486918651,130.074438647,3.16697782722,-155.111937227,68.5431078755,133.520591269,376.201970232,82.5284125844,69.9601583665,0.835681,50.2001,77,82.6326,30.7785,77
84.2961304687,31.7674335626,38.0004,84.1672,-88.5,491.860111313,152.218413434,92.3207260305,3.20101775463,56.7218498217,78.6850989164,171.57413663,287.600930825,84.1850459747,95.5063365686,0.872259,50.5069,78,84.3067,29.8891,78
86.0252753777,-69.8316547653,38.2166,85.8972,-90.3369,444.087354672,77.3807125663,110.088925066,3.30242118629,-60.7513753329,61.0578107921,128.765946499,242.174761041,85.9254133122,71.0159424061,0.853259,50.8527,79,86.0267,31.8334,79
