MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQLoss,AverageAbsQYDiff,AverageY,AverageAbsY,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAction,AverageEsReturn,AverageReturn,PolicyRegParamNorm,StdReturn,Iteration,AverageQ,MinEsReturn
241.576501402,0.0,307.850626107,99.4610542757,-1.98581,28.2588850276,0.0119899,0.0640624066967,1.90784238748,1.90794311271,23.7771,1.90737,47,0.846206,241.576501402,226.713593365,27.7835,55.9285394008,47,1.90737,241.576501402
279.871144102,0.0,488.601287446,330.892284146,-2.00624,38.803549527,0.00872131,0.0601650384253,1.93243724834,1.93250555282,24.0469,1.93214,48,0.860284,279.871144102,423.060481873,28.0014,48.4653022201,48,1.93214,279.871144102
357.760562933,0.0,400.451088408,182.442268058,-2.04893,20.7305597749,0.00984038,0.0612565062039,1.9748222467,1.97490302535,24.345,1.97449,49,0.856027,357.760562933,311.780590127,28.2325,60.9097924551,49,1.97447,357.760562933
353.150908783,0.0,449.934602855,-262.621435339,-2.09238,14.1192053802,0.0108022,0.0628896051236,2.01937762077,2.01944062718,24.7108,2.01891,50,0.55703,353.150908783,-108.904328429,28.4712,195.612421921,50,2.01891,353.150908783
345.241363911,0.0,600.229360899,305.415301142,-2.12603,41.3879118178,0.0118834,0.064322047273,2.05374332656,2.05383328739,25.0608,2.0534,51,0.829491,345.241363911,415.357302901,28.7052,77.6639677477,51,2.0534,345.241363911
397.665585012,0.0,460.05292366,316.114680751,-2.15573,32.4504328438,0.0120676,0.0644537819631,2.08409073871,2.08416971791,25.3499,2.08363,52,0.83014,397.665585012,408.515214961,28.9743,41.026997858,52,2.08363,397.665585012
390.984726153,0.0,610.62894416,437.082466818,-2.19976,51.1074570471,0.010359,0.0630895347599,2.12723334454,2.12728832632,25.6219,2.12693,53,0.841536,390.984726153,494.724532695,29.2204,46.9526721713,53,2.12693,390.984726153
368.676799087,0.0,584.627078994,355.719823803,-2.23605,46.0918747093,0.0121261,0.0666120647619,2.15966576681,2.15971752393,25.9078,2.15917,54,0.89356,368.676799087,498.033002289,29.4819,83.7342325101,54,2.15917,368.676799087
400.851201233,0.0,911.647368606,355.362321238,-2.29353,68.3928802225,0.0119782,0.0666741820039,2.21814824364,2.21823227636,26.1875,2.21776,55,0.84584,400.851201233,694.505569201,29.7428,175.366283783,55,2.21776,400.851201233
588.426486152,0.0,996.593135555,276.43322136,-2.34412,65.1641105572,0.0123332,0.0680768311749,2.26916015206,2.2692247911,26.4401,2.26868,56,0.85654,588.426486152,523.965783149,30.0353,202.11611049,56,2.26868,588.426486152
369.742909447,0.0,1399.86319423,628.9355718,-2.40708,86.1498002057,0.0116816,0.0688990450434,2.33205517007,2.33208974982,26.7508,2.33155,57,0.865747,369.742909447,985.060532265,30.3123,264.401422884,57,2.33155,369.742909447
668.452176107,0.0,1346.05575013,414.046184989,-2.46622,96.9355527446,0.0148534,0.071399300744,2.3877540219,2.38781311803,27.011,2.38729,58,0.88688,668.452176107,739.615833375,30.649,271.020273679,58,2.38729,668.452176107
462.750620454,0.0,590.44083758,120.184265994,-2.53368,50.76271357,0.0132988,0.0706688167815,2.45369094009,2.45374673735,27.287,2.45316,59,0.870065,462.750620454,452.026113472,30.8655,124.251574392,59,2.45316,462.750620454
493.894343978,0.0,488.229456531,143.902380658,-2.57266,42.434997461,0.0154185,0.0743463562595,2.49271148049,2.49276482896,27.6377,2.49216,60,0.872102,493.894343978,293.333091722,31.1817,104.496570666,60,2.49216,493.894343978
308.180941693,0.0,1699.89015815,236.181280872,-2.63153,98.3825973714,0.0154969,0.0750233575033,2.54849942131,2.5485551699,27.9432,2.54808,61,0.876525,308.180941693,630.100554883,31.3509,412.145881073,61,2.54808,308.180941693
359.946331082,0.0,599.713752878,392.326959793,-2.68588,54.6610968368,0.0145732,0.074474933524,2.60698313988,2.607066255,28.1747,2.60645,62,0.852058,359.946331082,467.72097156,31.6277,57.4333875035,62,2.60645,359.946331082
473.048053176,0.0,910.414320122,513.513625183,-2.73746,91.2831168189,0.0157564,0.0762892999021,2.65810964549,2.65816198463,28.4735,2.65762,63,0.8286,473.048053176,680.402566095,31.8327,121.243401126,63,2.65762,473.048053176
943.934036689,0.0,905.396761061,503.930568551,-2.79476,109.562550701,0.0161229,0.0763682504843,2.71309620587,2.71318401695,28.8018,2.7126,64,0.842173,943.934036689,652.338218019,32.0746,120.124416073,64,2.7126,943.934036689
485.472469075,0.0,726.189822254,487.77815768,-2.86031,75.4933353549,0.0163058,0.0769299284717,2.78075496832,2.78080202098,28.9904,2.78029,65,0.849034,485.472469075,597.327782172,32.2948,64.7360374777,65,2.78029,485.472469075
485.689231074,0.0,600.547397905,388.091707228,-2.91433,50.8303769681,0.0172552,0.0791816639353,2.82916844441,2.82921833211,29.301,2.82856,66,0.843874,485.689231074,490.374917971,32.5263,72.7286380991,66,2.82856,485.689231074
504.268480289,0.0,760.898189726,155.386503234,-2.97966,69.5597426103,0.018889,0.0807410963278,2.89317427291,2.89324374417,29.663,2.89274,67,0.877313,504.268480289,374.686322238,32.7358,189.785913652,67,2.89273,504.268480289
