2017-05-14 00:30:22.583967 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] Populating workers...
2017-05-14 00:30:22.585031 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] Populated
2017-05-14 00:30:28.541720 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #0 | Training started
2017-05-14 00:30:30.224090 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #0 | Training finished
2017-05-14 00:30:30.224960 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #1 | Training started
2017-05-14 00:30:31.869024 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #1 | Training finished
2017-05-14 00:30:31.869461 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #2 | Training started
2017-05-14 00:30:33.379686 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #2 | Training finished
2017-05-14 00:30:33.380045 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #3 | Training started
2017-05-14 00:30:35.341280 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #3 | Training finished
2017-05-14 00:30:35.341690 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #4 | Training started
2017-05-14 00:30:36.964617 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #4 | Training finished
2017-05-14 00:30:36.965086 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #5 | Training started
2017-05-14 00:30:38.968994 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #5 | Training finished
2017-05-14 00:30:38.969402 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #6 | Training started
2017-05-14 00:30:40.479183 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #6 | Training finished
2017-05-14 00:30:40.479571 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #7 | Training started
2017-05-14 00:30:42.014995 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #7 | Training finished
2017-05-14 00:30:42.015357 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #8 | Training started
2017-05-14 00:30:43.439823 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #8 | Training finished
2017-05-14 00:30:43.440819 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Training started
2017-05-14 00:30:44.735458 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Training finished
2017-05-14 00:30:44.735852 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Collecting samples for evaluation
2017-05-14 00:30:59.320110 EDT | -----------------------  -------------
2017-05-14 00:33:42.942765 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #12 | Collecting samples for evaluation
2017-05-14 00:34:07.954775 EDT | -----------------------  ------------
2017-05-14 00:34:07.955768 EDT | Epoch                    12
2017-05-14 00:34:07.956078 EDT | AverageReturn             4.07262
2017-05-14 00:34:07.956359 EDT | StdReturn                 2.44765
2017-05-14 00:34:07.956689 EDT | MaxReturn                12.5512
2017-05-14 00:34:07.957020 EDT | MinReturn                -3.81834
2017-05-14 00:34:07.957367 EDT | AverageEsReturn           2.15105
2017-05-14 00:34:07.957702 EDT | StdEsReturn               3.23115
2017-05-14 00:34:07.957999 EDT | MaxEsReturn               9.27282
2017-05-14 00:34:07.958249 EDT | MinEsReturn              -5.06712
2017-05-14 00:34:07.958500 EDT | AverageDiscountedReturn   3.55618
2017-05-14 00:34:07.958743 EDT | AverageQLoss              0.000461399
2017-05-14 00:34:07.958984 EDT | AveragePolicySurr        -0.0291065
2017-05-14 00:34:07.959226 EDT | AverageQ                  0.000252048
2017-05-14 00:34:07.959482 EDT | AverageAbsQ               0.0393561
2017-05-14 00:34:07.959723 EDT | AverageY                  0.000409234
2017-05-14 00:34:07.959965 EDT | AverageAbsY               0.0421227
2017-05-14 00:34:07.960206 EDT | AverageAbsQYDiff          0.0160553
2017-05-14 00:34:07.960447 EDT | AverageAction             0.723069
2017-05-14 00:34:07.960689 EDT | PolicyRegParamNorm       15.1048
2017-05-14 00:34:07.960931 EDT | QFunRegParamNorm         11.7196
2017-05-14 00:34:07.965760 EDT | AverageForwardProgress    0.0270078
2017-05-14 00:34:07.978041 EDT | MaxForwardProgress        0.0676333
2017-05-14 00:34:07.978515 EDT | MinForwardProgress       -0.0103869
2017-05-14 00:34:07.978794 EDT | StdForwardProgress        0.0117838
2017-05-14 00:34:07.979049 EDT | -----------------------  ------------
2017-05-14 00:34:07.979690 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #13 | Training started
2017-05-14 00:34:44.125615 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #13 | Training finished
2017-05-14 00:34:44.128027 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #13 | Collecting samples for evaluation
2017-05-14 00:35:09.444745 EDT | -----------------------  ------------
2017-05-14 00:35:09.445805 EDT | Epoch                    13
2017-05-14 00:35:09.446233 EDT | AverageReturn             3.14644
2017-05-14 00:35:09.446634 EDT | StdReturn                 2.31787
2017-05-14 00:35:09.447036 EDT | MaxReturn                 9.74503
2017-05-14 00:35:09.447425 EDT | MinReturn                -4.30014
2017-05-14 00:35:09.447816 EDT | AverageEsReturn           3.85653
2017-05-14 00:35:09.448206 EDT | StdEsReturn               3.06535
2017-05-14 00:35:09.448592 EDT | MaxEsReturn               8.74078
2017-05-14 00:35:09.449388 EDT | MinEsReturn              -5.10327
2017-05-14 00:35:09.450417 EDT | AverageDiscountedReturn   2.77136
2017-05-14 00:35:09.451270 EDT | AverageQLoss              0.000463325
2017-05-14 00:35:09.452105 EDT | AveragePolicySurr        -0.0528337
