AverageAbsQ,QFunRegParamNorm,AverageReturn,MinEsReturn,StdEsReturn,MaxReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,AverageAbsQYDiff,MaxEsReturn,AverageY,Epoch,StdReturn,Iteration,AverageQLoss,AverageEsReturn,AverageAction,AverageDiscountedReturn,AverageAbsY,AverageQ
60.8436,105.402,1000.0,3.0,15.1072561488,1000.0,38.5562,1000.0,-66.5948,1.56568396207,92.0,60.7218668025,86,0.0,86,17.634,16.1129032258,0.41267,99.9956828753,60.7601617437,60.7215
61.5767,105.997,1000.0,3.0,14.5110286046,1000.0,38.758,1000.0,-67.2521,1.54965137294,63.0,61.4631058344,87,0.0,87,16.7667,16.8474576271,0.334881,99.9956828753,61.5061654704,61.4578
62.2846,106.769,1000.0,3.0,16.5999518072,1000.0,39.0598,1000.0,-68.0546,1.61831742682,59.0,62.1629507127,88,0.0,88,18.6017,19.96,0.306106,99.9956828753,62.2070451673,62.1622
63.0462,107.303,1000.0,3.0,13.3670956188,1000.0,39.2413,1000.0,-68.9162,1.58653340974,85.0,62.924505514,89,0.0,89,17.9137,19.0,0.289027,99.9956828753,62.9623575026,62.9227
63.8557,107.798,1000.0,4.0,21.4188692141,1000.0,39.4977,1000.0,-69.8206,1.6196806457,115.0,63.7337784461,90,0.0,90,17.9268,21.7173913043,0.319518,99.9956828753,63.7623075324,63.7318
64.4899,108.314,1000.0,4.0,10.2074353306,1000.0,39.6958,1000.0,-70.4073,1.6260111154,58.0,64.3836203537,91,0.0,91,19.4756,17.2586206897,0.330803,99.9956828753,64.4140008343,64.3772
65.2962,108.742,1000.0,3.0,12.3357428801,1000.0,39.9263,1000.0,-71.2978,1.63062639436,62.0,65.1758213492,92,0.0,92,19.0523,13.9420289855,0.28803,99.9956828753,65.2057466637,65.1767
66.0369,109.41,1000.0,3.0,12.0377905865,1000.0,40.1178,1000.0,-72.0733,1.64368338487,70.0,65.9371418604,93,0.0,93,19.6814,15.5909090909,0.294285,99.9956828753,65.9589710358,65.9297
66.6504,110.143,940.363636364,4.0,11.2620218475,1000.0,40.4506,688.0,-72.7759,1.65027292532,61.0,66.5273560663,94,114.906501697,94,19.9232,15.5384615385,0.258895,99.9799187343,66.5601685369,66.5296
67.3447,110.916,891.333333333,3.0,12.6494949394,1000.0,40.7364,676.0,-73.6353,1.64222947768,70.0,67.2476233069,95,113.296317485,95,19.8169,16.5833333333,0.120574,99.973875842,67.2699697867,67.2412
68.1057,111.527,726.5,3.0,11.3416755571,1000.0,40.9763,459.0,-74.2394,1.69818938083,74.0,67.9729835568,96,190.970360453,96,20.9434,14.014084507,0.155896,99.7707157952,68.0095449439,67.9709
68.7019,112.058,540.0,3.0,11.683907565,804.0,41.1792,308.0,-75.0895,1.6906327017,68.0,68.583787472,97,141.188936498,97,21.7411,14.0138888889,0.194831,99.0587855569,68.6127817959,68.5819
69.6172,112.669,1000.0,3.0,12.5903127972,1000.0,41.454,1000.0,-75.9092,1.69013999998,61.0,69.4974363126,98,0.0,98,21.1249,15.2307692308,0.281798,99.9956828753,69.5290079246,69.4964
70.4579,113.262,998.090909091,3.0,12.6462721698,1000.0,41.6971,979.0,-76.7103,1.70453105171,71.0,70.3330756181,99,6.03707553305,99,21.2587,16.3225806452,0.313956,99.9955906525,70.3562090562,70.3262
70.9133,113.692,1000.0,4.0,21.8339345843,1000.0,41.9184,1000.0,-77.4066,1.77391991478,129.0,70.7903182869,100,0.0,100,23.3961,21.4130434783,0.466625,99.9956828753,70.8137818648,70.7891
71.7094,114.124,1000.0,3.0,19.147080119,1000.0,42.1342,1000.0,-78.2396,1.70736358807,90.0,71.5709138163,101,0.0,101,21.9755,21.1875,0.318946,99.9956828753,71.6011669132,71.5692
72.6553,114.609,437.652173913,2.0,11.2829123147,655.0,42.35,238.0,-79.1914,1.74251413236,53.0,72.5320343496,102,100.311085128,102,22.514,16.0483870968,0.156229,97.9559409085,72.5645920573,72.5245
73.361,115.166,1000.0,3.0,14.4962279576,1000.0,42.5889,1000.0,-79.9038,1.76811402406,70.0,73.2353637648,103,0.0,103,23.6105,15.625,0.18775,99.9956828753,73.2631699732,73.2358
73.8358,115.808,947.090909091,3.0,14.2857354014,1000.0,42.8577,598.0,-80.4955,1.82111334784,78.0,73.6982855442,104,116.856909039,104,24.699,16.1803278689,0.180119,99.9724544045,73.7240230953,73.6935
74.7412,116.368,1000.0,3.0,9.3749858223,1000.0,43.0833,1000.0,-81.4151,1.69459230511,38.0,74.613603475,105,0.0,105,22.6798,14.6086956522,0.278984,99.9956828753,74.6505765734,74.612
75.4758,116.826,1000.0,3.0,15.0445236954,1000.0,43.3679,1000.0,-82.1476,1.81147530892,73.0,75.3386230954,106,0.0,106,24.7433,17.275862069,0.279432,99.9956828753,75.3716200771,75.335
76.1071,117.196,1000.0,3.0,11.4286915364,1000.0,43.5556,1000.0,-82.8588,1.82219740222,73.0,75.9586618853,107,0.0,107,25.7955,15.703125,0.287889,99.9956828753,75.9941025923,75.959
76.5521,117.66,1000.0,3.0,16.1958026286,1000.0,43.8515,1000.0,-83.4522,1.81506293491,99.0,76.4108385124,108,0.0,108,24.8295,18.8113207547,0.249636,99.9956828753,76.4497090102,76.4046
77.4007,118.406,364.892857143,3.0,10.6066957805,616.0,44.158,206.0,-84.1716,1.83332297753,42.0,77.2496359317,109,95.0944415101,109,26.3189,14.4057971014,0.164937,96.3777267944,77.2825843467,77.2483
78.0781,118.992,1000.0,3.0,11.5011762508,1000.0,44.4286,1000.0,-85.0236,1.86865021181,45.0,77.9279966477,110,0.0,110,27.8776,16.3064516129,0.251331,99.9956828753,77.9698897816,77.9263
78.8084,119.509,1000.0,3.0,10.3046920647,1000.0,44.7664,1000.0,-85.7367,1.91970706376,45.0,78.6620350241,111,0.0,111,27.7752,14.8507462687,0.289329,99.9956828753,78.6964033131,78.6575
79.6091,119.923,1000.0,3.0,12.8361576084,1000.0,45.0776,1000.0,-86.5036,1.84427974962,53.0,79.4638105715,112,0.0,112,27.6419,18.1818181818,0.180042,99.9956828753,79.4995000423,79.4658
79.9733,120.451,1000.0,3.0,10.6219235318,1000.0,45.3421,1000.0,-87.2242,1.91407085265,44.0,79.8143922583,113,0.0,113,27.7503,14.7058823529,0.261055,99.9956828753,79.8603872326,79.8075
80.6965,121.051,1000.0,3.0,11.5925503992,1000.0,45.6354,1000.0,-87.7445,1.90744818835,61.0,80.5498234546,114,0.0,114,28.6561,14.0845070423,0.270844,99.9956828753,80.5963321856,80.5471
81.3756,121.46,1000.0,4.0,13.8362800141,1000.0,45.8447,1000.0,-88.5523,1.98784020253,65.0,81.2242517142,115,0.0,115,30.3125,17.7090909091,0.321044,99.9956828753,81.2620345164,81.2242
