MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
417.641562437,36,118.634021204,629.056718608,40.5866,36,11.3574,0.732453,49.3945,49.3812807363,512.312035091,49.3542,1.48611548304,49.3650020556,225.800053906,10.2972730888,257.506618329,25.1120703153,663.129719872,29.3509,-51.6954
613.207794682,37,150.35739628,411.408314878,41.4247,37,11.74,0.682615,51.7573,51.7402263125,399.066053346,51.7146,1.53466626534,51.723566066,191.286674925,151.197356116,306.020449159,4.91008417969,424.512576883,29.8307,-54.1028
407.971953886,38,89.380680652,363.975074069,42.2994,38,12.6979,0.721798,54.2682,54.2502241991,338.420463208,54.2218,1.57439827413,54.2297336732,176.227887123,154.889263565,279.439231344,9.08252229361,376.316417626,30.2607,-56.6515
399.283545857,39,100.786942441,379.140054761,43.199,39,15.522,0.703937,56.7237,56.708750424,353.290544953,56.6795,1.69464159253,56.6920458262,183.530722598,114.816647503,256.211343294,8.82218470796,388.773133583,30.7169,-59.1681
397.172639634,40,95.2049110744,378.937503981,44.0828,40,16.0545,0.701765,59.1806,59.1622803738,370.138606516,59.1365,1.71397153656,59.1453914967,184.998041479,88.7003254206,274.111267022,3.53797634317,383.863019819,31.0757,-61.6605
390.699482687,41,58.7939586515,360.824297437,44.8948,41,16.4167,0.705397,61.698,61.6764463455,337.391738209,61.6514,1.78757458485,61.6607414076,175.657813544,214.06142912,336.730269423,8.72295786655,375.053504654,31.5056,-64.1454
356.538083422,42,119.372365311,375.86671694,45.7767,42,19.2207,0.741012,64.0756,64.056521788,352.928941274,64.0275,1.89282411899,64.0407855274,179.737897993,7.94096454272,247.605534101,6.90496469279,382.092046137,31.9447,-66.5965
382.098750414,43,132.401253835,370.381029042,46.5346,43,17.8822,0.735781,66.597,66.5736535547,361.296827561,66.5458,1.83414344257,66.5557463231,178.443824405,41.9430505927,194.946776954,3.85164310811,378.122435369,32.3428,-69.0848
384.197172245,44,110.395817144,375.088709937,47.3392,44,19.5569,0.731234,68.9452,68.9144349278,370.161926794,68.889,1.94796088681,68.8963197265,180.303300636,92.2610182868,265.557595168,2.6250666625,383.960351962,32.7829,-71.5175
497.051714225,45,140.366242119,392.451031026,48.0463,45,20.6544,0.714268,71.3602,71.3340497756,366.672721967,71.3021,1.98566621573,71.3168086359,186.402159126,33.9318822826,299.454551394,28.6548545649,595.481668912,33.1015,-73.9798
589.626263175,46,152.249222042,461.038089288,48.797,46,21.0481,0.71494,73.8307,73.8004153512,363.657783881,73.7731,2.02328793611,73.7843929404,194.55934696,25.8958775377,233.623580308,61.6428637593,578.620854545,33.4419,-76.5564
500.171443392,47,123.935597626,360.632364945,49.4399,47,20.2454,0.699613,76.2442,76.2060201893,318.784986719,76.1788,2.03990615699,76.1876979272,174.776646417,64.210266498,289.359295774,13.8708401878,401.646613278,33.8206,-78.9473
428.228546683,48,94.2424871012,435.499012306,50.1667,48,23.5394,0.735053,78.7015,78.667376949,335.271801871,78.6351,2.14317347126,78.6502121317,187.294789253,64.2215311464,254.841034931,88.3012943177,604.797192483,34.1261,-81.4165
387.220290636,49,143.568067058,340.400575034,50.7738,49,23.6978,0.705667,80.8526,80.8211492837,255.329249948,80.7882,2.09413445031,80.8000705174,169.322006405,5.34582251436,215.851925711,29.4489450666,460.16424879,34.4662,-83.5858
384.516856742,50,97.953592285,308.323096144,51.5001,50,24.4639,0.715613,83.2851,83.2419744582,156.604663247,83.2181,2.17746228577,83.2248376083,160.814091325,59.3558873466,206.157706402,37.8852604275,373.652392764,34.7994,-86.0808
