QFunRegParamNorm,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsY,MaxEsReturn,AverageAction,AverageQLoss,MinEsReturn,AverageQ,AverageAbsQYDiff,AveragePolicySurr,StdEsReturn,MaxReturn,MinReturn,Epoch,StdReturn,AverageAbsQ,AverageY,Iteration,PolicyRegParamNorm
21.6334,43.6578986376,421.653700832,171.160379278,0.535802887475,171.160379278,0.79294,0.00491128,171.160379278,0.531497,0.0484452131005,-0.602731,0.0,530.371257658,362.860344501,43,51.5284237804,0.534291,0.531863333878,43,26.2296
21.8666,59.4258665918,731.441635461,243.875808416,0.583463010826,243.875808416,0.772776,0.0049795,243.875808416,0.581047,0.0488187478256,-0.653588,0.0,794.824603161,654.468597419,44,39.4603997191,0.582513,0.581390673318,44,26.5584
22.1688,45.910979059,545.101100014,233.582910269,0.634356781635,233.582910269,0.83442,0.00538632,233.582910269,0.632469,0.0505683557535,-0.706643,0.0,671.451026601,465.828381067,45,53.6909834923,0.633488,0.632784867991,45,26.9269
22.3743,38.5012968045,362.303702092,240.798219581,0.679457828861,240.798219581,0.800383,0.0051117,240.798219581,0.678088,0.0496038000001,-0.752352,0.0,438.972015954,288.165812552,46,41.9556067973,0.678623,0.678427684061,46,27.2515
22.6281,42.5885749655,418.393379083,258.963649637,0.743869464747,258.963649637,0.81757,0.0060399,258.963649637,0.7425,0.0522702869173,-0.814466,0.0,514.4153147,324.549999892,47,62.0054002048,0.743076,0.742947897182,47,27.6049
22.87,40.8035826671,435.073482951,311.76563469,0.78745083207,311.76563469,0.79966,0.0056137,311.76563469,0.786821,0.0518259769384,-0.85565,0.0,508.771648703,305.755833195,48,60.0044059248,0.786982,0.787146802482,48,27.8714
23.0774,32.0820414433,313.953707736,212.772399213,0.843909074615,212.772399213,0.801462,0.00559848,212.772399213,0.843142,0.0517161846236,-0.913545,0.0,398.798669499,228.132277392,49,55.8476510409,0.843243,0.843516464963,49,28.2493
23.2787,20.0340261303,357.448215872,238.52739781,0.887993216897,238.52739781,0.819795,0.00585941,238.52739781,0.887336,0.0527929007904,-0.961169,0.0,462.271852076,189.94129902,50,69.4552966892,0.887448,0.887692731249,50,28.5925
23.5099,33.420078145,384.445577271,200.97891198,0.94001214425,200.97891198,0.815731,0.00613209,200.97891198,0.939322,0.053452542134,-1.01091,0.0,500.429269352,302.45859278,51,57.8612303942,0.939389,0.939770815039,51,28.8626
23.7491,45.259550127,481.572145886,250.618935433,0.988854671296,250.618935433,0.807006,0.00645832,250.618935433,0.98829,0.0544324248467,-1.05775,0.0,573.897744282,361.704508005,52,60.372148861,0.988303,0.988654469336,52,29.1773
24.0012,54.7286646837,568.609708363,288.677480697,1.04388254087,288.677480697,0.756327,0.00650569,288.677480697,1.04339,0.0546010473765,-1.11462,0.0,693.124353496,466.60106087,53,56.3924302736,1.04339,1.04378451491,53,29.4352
24.2465,36.4246601253,566.668169771,333.81484572,1.10020557781,333.81484572,0.752646,0.00682829,333.81484572,1.09979,0.0554265535331,-1.17268,0.0,613.425989358,512.774463002,54,29.8106639742,1.0998,1.10009323018,54,29.6773
24.479,33.2441232554,603.636591342,324.074884734,1.15538567782,324.074884734,0.803074,0.00721474,324.074884734,1.1549,0.0566061173682,-1.22823,0.0,694.33242238,533.809917166,55,51.4131481675,1.1549,1.15529595357,55,29.95
24.7137,40.4681999098,535.755948934,352.039493733,1.21996208097,352.039493733,0.817934,0.00787115,352.039493733,1.21956,0.0577731626951,-1.29275,0.0,691.880471157,401.200426251,56,100.197687949,1.21957,1.21990667027,56,30.2121
24.9213,14.1053518395,427.174385012,522.259896139,1.28375226156,522.259896139,0.805424,0.00730555,522.259896139,1.28321,0.0572492652544,-1.35589,0.0,685.892948897,-899.509813153,57,448.019071718,1.28321,1.28370229335,57,30.4018
25.1802,42.320998453,440.251801869,472.181430187,1.33662828007,472.181430187,0.830652,0.00889272,472.181430187,1.33616,0.0600898016561,-1.4075,0.0,650.13116646,272.778196942,58,104.030609743,1.33616,1.33655737042,58,30.6932
25.4283,82.7869936472,784.192650192,242.356049981,1.38495985993,242.356049981,0.777828,0.00826031,242.356049981,1.38439,0.058736652719,-1.45671,0.0,1112.51231406,654.230605253,59,119.020037311,1.38439,1.38491337887,59,30.9193
25.6545,88.6431225756,846.419732522,292.935298179,1.44669911317,292.935298179,0.823736,0.00877734,292.935298179,1.44617,0.0593648470012,-1.51814,0.0,1090.51434616,671.581589117,60,157.010864445,1.44617,1.44663366782,60,31.212
25.8938,48.317779424,618.615877605,592.349165152,1.51429724291,592.349165152,0.743926,0.0093527,592.349165152,1.5138,0.060414288749,-1.58701,0.0,751.286831592,533.731872597,61,58.550248745,1.5138,1.51421520672,61,31.3917
