Epoch,AveragePolicySurr,MinEsReturn,MinReturn,MaxEsReturn,AverageAbsQ,PolicyRegParamNorm,StdReturn,AverageQLoss,AverageDiscountedReturn,AverageEsReturn,AverageQ,AverageReturn,MaxReturn,StdEsReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQYDiff,AverageY,AverageAbsY
71,-12.5035,11.6094766494,31.8105541763,502.684486818,12.1195,76.4766,93.871095031,0.593927,128.723014492,168.997355273,12.1131,228.796213612,382.398347607,133.31053308,0.898263,60.2096,71,0.348028544426,12.1163159528,12.1167640417
72,-12.7285,14.0290534487,254.844955816,298.099958359,12.3462,76.9226,14.7361472138,0.650378,155.205084778,137.830821286,12.3389,284.701755111,315.120045461,89.9920837255,0.837083,60.7177,72,0.376315278573,12.3410915325,12.3421373516
73,-12.9384,39.3811825659,172.003600835,313.223590754,12.5457,77.2743,20.922005973,0.653115,141.426103391,156.21744397,12.5393,243.313336891,267.82640247,88.0166697827,0.846703,61.1118,73,0.374805153212,12.5416407516,12.5424039258
74,-13.1998,8.62258062274,38.9919968139,541.404362564,12.8007,77.5388,1.7561582873,0.655589,36.6885025101,188.802187027,12.7938,42.6908489616,48.6459160783,156.742116069,0.858712,61.6055,74,0.374524261211,12.7962346095,12.7969987609
75,-13.4499,8.73826366429,37.9527873403,431.44611233,13.0351,77.9163,88.024661036,0.735279,89.8703457121,153.307983172,13.0272,152.39138632,463.78524724,145.841853144,0.868728,62.2184,75,0.393045491279,13.0305763379,13.0313219335
76,-13.7184,11.2551792187,119.829246875,501.140263115,13.3104,78.3404,14.9697367667,0.70863,95.3069883842,196.398977625,13.3039,138.897045152,244.465674231,166.574886919,0.854585,62.5845,76,0.385073670887,13.306689152,13.307698675
77,-13.9577,4.64050398854,231.028453076,484.999812548,13.5465,78.7163,118.934746291,0.684833,159.740405765,128.135394776,13.5388,405.006180826,817.498032702,123.111666858,0.89336,63.0157,77,0.388898566334,13.5408591189,13.5419249473
78,-14.1698,7.97689761021,151.490944124,506.083803295,13.771,79.0722,21.3344253183,0.841597,122.212318764,152.930347453,13.7627,198.05375623,260.248315079,131.355058433,0.882677,63.4287,78,0.414709202782,13.7642221245,13.7660891195
79,-14.4216,15.7128277119,173.658411228,294.913331951,14.0215,79.6035,52.3087515513,0.784451,162.792888152,130.644893653,14.0141,316.15566841,407.245587888,71.1973537955,0.875576,63.8032,79,0.398336444092,14.0176118098,14.0194979125
80,-14.5497,15.5381906207,231.539348203,454.064136302,14.1386,79.9064,97.9258974448,0.767231,171.853903847,242.562680628,14.1304,349.219645927,609.554913393,119.640999638,0.82416,64.3124,80,0.405267407001,14.1330762385,14.1351467811
81,-14.818,7.52310910278,42.1626289404,446.152921474,14.4033,80.2247,118.963055809,0.867052,174.572256546,197.7611785,14.3948,383.617941685,540.490194348,142.87274123,0.879325,64.6911,81,0.422664032436,14.3959604095,14.3986602309
82,-15.0475,18.1974313518,274.565813666,352.608705375,14.6147,80.6924,38.196090785,0.923718,159.649698493,175.274064808,14.6052,308.591797266,497.378465986,106.441103222,0.858496,65.1534,82,0.43472192911,14.6085760137,14.6110416999
83,-15.2537,73.3046978816,290.78011155,510.597762863,14.8255,81.02,12.4231450265,0.927936,167.015964486,286.158354415,14.8172,336.940098091,366.125893389,137.657460479,0.801681,65.6254,83,0.443721154953,14.8197508641,14.8215919872
84,-15.5151,28.8264093992,246.44109561,364.159476692,15.0924,81.2069,62.1037790298,1.04897,168.731462125,217.066733485,15.0844,345.341656069,536.31526237,119.128540208,0.801157,65.9633,84,0.453982623893,15.088182061,15.0895188435
85,-15.7501,10.1930233677,152.80768973,417.909506149,15.3042,81.6649,148.492720546,1.02039,183.967552883,242.466264359,15.2966,440.515588942,886.426616227,119.284159997,0.833127,66.3351,85,0.463081338798,15.2985794526,15.3000326952
86,-16.0053,10.3089841267,143.404514523,439.955925509,15.5626,82.0048,46.9114791893,0.933504,143.710478696,181.53086146,15.5543,262.335473789,335.149521779,143.264978814,0.903673,66.7317,86,0.454962834705,15.5572981904,15.5584554911
87,-16.1799,42.430899065,298.18106668,428.680809515,15.7333,82.4604,17.3576124402,1.06654,164.556090115,249.805754649,15.725,324.964590692,358.933955878,121.116071363,0.892581,67.1822,87,0.473397945735,15.7272428587,15.7285414316
88,-16.4769,51.2622607412,228.912898776,309.833456639,16.0209,82.7543,9.43191698003,0.997493,139.970318177,190.511532172,16.0121,251.802214852,270.977965141,102.41822275,0.816228,67.579,88,0.477906887422,16.0153085669,16.0162614253
89,-16.6869,47.3691743861,93.2339858353,357.300623868,16.2207,83.1231,32.4073301592,1.10708,142.432287268,242.457141924,16.2128,262.138717475,296.48049574,78.7163857791,0.751678,68.006,89,0.500590986012,16.2145858739,16.2158712723
90,-16.9543,8.23128821813,62.7422233329,284.845975946,16.4851,83.4128,31.3634426465,1.084,136.144908955,175.98235074,16.478,239.361120262,264.743144091,100.494599063,0.792796,68.4357,90,0.489179708432,16.4814292252,16.4822541684
91,-17.1433,8.21633241551,223.645313336,276.703138876,16.6775,83.6844,7.50793824831,1.07008,133.679726009,140.443336095,16.668,234.720258564,254.287526824,104.742566224,0.762046,68.9074,91,0.488628151035,16.6703961678,16.6712969896
92,-17.3477,55.9541024607,241.758786174,275.227803535,16.8742,84.1335,12.4681335101,1.21821,142.780738156,180.155022808,16.8654,258.215292421,289.23018534,78.0104800275,0.835901,69.2468,92,0.499212067754,16.8676014928,16.8683431247
93,-17.5799,36.5869056496,185.040153775,307.047350585,17.1153,84.3938,11.5567814991,1.17511,133.100566748,189.975148186,17.1059,232.025559114,252.941834771,74.1860904063,0.809256,69.6026,93,0.505564272868,17.1090297217,17.1097067904
94,-17.8222,12.7945563541,241.805063936,287.86344562,17.3354,84.7433,5.71118670516,1.30324,142.49330341,141.981670598,17.3263,251.333496156,268.894125254,92.4258129142,0.81158,69.945,94,0.515849307771,17.3283335443,17.3295728292
95,-18.0377,36.8135594927,118.511741283,259.646441997,17.5454,85.0156,20.5657387907,1.22697,127.827535662,174.283402558,17.5358,215.912181225,244.703972628,79.1924226612,0.841093,70.2954,95,0.518236315954,17.5397536681,17.5409375304
96,-18.3527,82.9815731006,219.561032725,303.492312229,17.85,85.3361,10.6930849508,1.24931,143.487328912,192.969314175,17.8398,251.997012923,284.470292591,72.2788661836,0.816752,70.6708,96,0.531024562756,17.8417335629,17.8430687513
97,-18.5625,25.3788337154,226.607487628,312.365875439,18.0763,85.7164,5.38734695274,1.2436,137.984675784,166.599275034,18.0663,237.032093966,250.039249484,96.3725452088,0.840458,71.0436,97,0.52588489345,18.0685879479,18.0700650199
98,-18.7621,14.979098008,257.946329015,286.780412923,18.241,86.078,37.7740424683,1.229,174.322083026,210.044454322,18.2313,347.363914819,446.003335204,109.125925563,0.878718,71.4151,98,0.518852862633,18.235449043,18.2367942477
