MaxEsReturn,AveragePolicySurr,PolicyRegParamNorm,AverageAction,AverageAbsY,AverageEsReturn,AverageQ,AverageAbsQYDiff,StdReturn,StdEsReturn,MinEsReturn,AverageAbsQ,Iteration,MinReturn,QFunRegParamNorm,AverageY,MaxReturn,Epoch,AverageQLoss,AverageDiscountedReturn,AverageReturn
1265.19043512,-77.905,38.6712,0.870699,76.4618055002,1265.19043512,76.4476,1.50792748002,724.669329468,0.0,1265.19043512,76.4476,78,864.127963118,43.0002,76.4614143438,3377.63553768,78,10.2752,255.657496935,3022.49678443
1940.03351862,-79.796,38.8763,0.870507,78.3551753923,1940.03351862,78.3461,1.43577592349,797.685393583,0.0,1940.03351862,78.3461,79,868.646939979,43.2544,78.3546776795,3422.22739616,79,7.17857,272.55722336,2887.90820233
1939.2051749,-81.3151,39.0952,0.876021,79.8840970719,1939.2051749,79.8731,1.4937726194,915.539631967,0.0,1939.2051749,79.8731,80,75.6146462467,43.5624,79.8837762957,3222.74773842,80,9.1701,246.996130535,2817.19242425
1658.77961722,-82.904,39.3018,0.885139,81.4458149094,1658.77961722,81.4358,1.49761839642,804.559107493,0.0,1658.77961722,81.4358,81,-553.925818434,43.8503,81.4451748517,2240.90191899,81,8.69,196.008481777,1161.73777863
2125.58009635,-84.7154,39.5209,0.872334,83.2125956504,2125.58009635,83.202,1.50922830656,1009.52796279,0.0,2125.58009635,83.202,82,-224.184696673,44.1821,83.2119673357,3006.34278468,82,8.71958,242.185570279,1411.85114384
1739.5380162,-86.5433,39.7817,0.888247,85.0513312174,1739.5380162,85.04,1.57083872173,187.738140434,0.0,1739.5380162,85.04,83,2776.44936013,44.5244,85.0509254962,3455.05445485,83,10.2717,286.203028545,3305.82624681
1487.85231501,-88.2175,40.0342,0.890908,86.6956607196,1487.85231501,86.6841,1.57771910798,1276.32356519,0.0,1487.85231501,86.6841,84,-516.48005532,44.8909,86.6953438086,3752.64703072,84,11.0446,257.330589436,2973.29859635
2473.5164093,-89.7905,40.2566,0.883427,88.2550884534,2473.5164093,88.2437,1.6378882674,731.409341483,0.0,2473.5164093,88.2437,85,1421.23075252,45.1594,88.2547759678,3571.26375839,85,12.0888,276.802571519,2973.55789418
2275.5332935,-91.8976,40.4965,0.910618,90.3444724552,2275.5332935,90.3343,1.67772269491,703.030990767,0.0,2275.5332935,90.3343,86,-325.763370888,45.5187,90.3441078055,1893.64069758,86,13.1724,206.19715398,788.550311833
1192.99066169,-93.4906,40.7058,0.897436,91.9406562739,1192.99066169,91.9277,1.65144136731,1036.70040136,0.0,1192.99066169,91.9277,87,613.593787725,45.7842,91.940392804,3748.33124587,87,11.491,282.555886696,2823.52698158
2166.01017662,-95.1435,40.9762,0.921034,93.5985289111,2166.01017662,93.5864,1.7505440879,1400.57411098,0.0,2166.01017662,93.5864,88,-344.305206819,46.1317,93.5981611288,3622.97162383,88,15.5443,243.945823451,2775.15731207
2237.09238716,-96.9833,41.256,0.909154,95.4079334962,2237.09238716,95.395,1.72737828079,344.769621614,0.0,2237.09238716,95.395,89,2357.9200934,46.4176,95.4076949673,3604.69111945,89,14.1323,283.069167954,3367.54585624
