Iteration,StdReturn,AverageEsReturn,AverageAbsQYDiff,StdEsReturn,QFunRegParamNorm,AverageReturn,MinReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,AverageQLoss,AverageAction,AverageAbsQ,AverageY,PolicyRegParamNorm,MaxReturn,AveragePolicySurr,AverageQ,AverageAbsY,Epoch
19,18.2421084029,-137.914121417,0.348331759613,0.0,19.1326,6.88631806063,-26.3550787795,-137.914121417,11.8029739546,-137.914121417,0.232384,0.470737,1.95032,1.78935310914,18.524,41.6460267301,-2.27948,1.78757,1.98447029217,19
20,33.0360244557,-74.3663047924,0.360886464186,0.0,19.884,16.5308575523,-22.5452701774,-74.3663047924,10.4851623542,-74.3663047924,0.251049,0.136197,2.16034,2.01832887472,19.107,84.0141740836,-2.51924,2.01659,2.19144595421,20
21,10.9157456617,-94.4515565579,0.370677710411,0.0,20.5855,-3.50403231055,-24.4491850314,-94.4515565579,6.03286563654,-94.4515565579,0.271905,0.0633623,2.3443,2.21711004557,19.6815,11.999776116,-2.73213,2.2149,2.37312779279,21
22,6.33866739532,-111.063285015,0.374538798222,0.0,21.2732,-17.7513429616,-24.6159481148,-111.063285015,6.52288717967,-111.063285015,0.277878,0.0843777,2.56572,2.45999074686,20.2098,-4.72732645496,-2.99718,2.45716,2.58902309403,22
23,28.9564480657,-93.9801303876,0.384289022651,0.0,21.8715,19.6464195552,-11.0593283818,-93.9801303876,14.1948278891,-93.9801303876,0.295747,0.290244,2.81956,2.73619438594,20.7726,70.4446618977,-3.30231,2.73379,2.84023251134,23
24,47.1606584877,-54.9525324075,0.393086224417,0.0,22.4065,91.7260505027,5.25573850067,-54.9525324075,21.7295306719,-54.9525324075,0.309215,0.363666,3.0773,3.01050120709,21.3072,146.114293996,-3.5848,3.0071,3.09583162536,24
25,21.7992435317,-4.25001646301,0.407822498387,0.0,22.9441,38.8982393469,-5.1853911297,-4.25001646301,21.7142080224,-4.25001646301,0.341402,0.595899,3.37905,3.32607755991,21.8029,70.0158230612,-3.92793,3.3234,3.39301967205,25
26,45.2831741904,-17.8304007775,0.41072599431,0.0,23.415,-4.73425378221,-74.6231103333,-17.8304007775,15.3336754612,-17.8304007775,0.343019,0.588057,3.69551,3.65553968391,22.2621,56.7054184026,-4.27319,3.6524,3.7083934376,26
27,34.2223069851,40.8789036801,0.415606147067,0.0,23.9055,-81.7765916673,-124.394012497,40.8789036801,10.5201427705,40.8789036801,0.359955,0.625868,4.06081,4.03307990512,22.7345,-13.8396973052,-4.67541,4.02973,4.07149990441,27
28,41.4692030036,-19.3856079387,0.432150210845,0.0,24.3177,-67.8226670588,-172.077285125,-19.3856079387,10.9849283918,-19.3856079387,0.378469,0.676848,4.42057,4.39957553159,23.1499,-26.6579578267,-5.04607,4.39654,4.43111745352,28
29,29.9705466662,2.37133586427,0.445039765711,0.0,24.6867,56.2665418523,13.015967608,2.37133586427,15.1424538027,2.37133586427,0.406715,0.738356,4.81269,4.79962531581,23.5957,102.763427596,-5.45191,4.79548,4.82285079552,29
30,65.9493216385,28.1678818172,0.458990914243,0.0,25.0523,55.8028062902,-108.375287535,28.1678818172,17.1621362812,28.1678818172,0.436834,0.708302,5.22731,5.21689563479,23.9731,121.907140401,-5.87987,5.21406,5.23471621161,30
31,32.2322765329,43.0945058706,0.47390458085,0.0,25.439,63.450109524,27.51950119,43.0945058706,16.9039826665,43.0945058706,0.461821,0.703758,5.67866,5.67406428039,24.3932,143.115635034,-6.33187,5.66974,5.68748315354,31
32,47.8187753175,17.4217358005,0.48035083371,0.0,25.7817,140.983195487,58.7125614805,17.4217358005,24.8561537692,17.4217358005,0.484185,0.699629,6.01732,6.01454696432,24.7559,232.782657955,-6.66619,6.01135,6.02327704957,32
33,68.4797757855,76.571087023,0.491143721346,0.0,26.1426,149.280963877,-14.9388842877,76.571087023,26.7765974015,76.571087023,0.503032,0.67227,6.42071,6.42130099056,25.0991,228.965821456,-7.06296,6.41734,6.42662510545,33
34,37.7001085681,114.857816619,0.507253000737,0.0,26.5242,110.45866039,51.5954865885,114.857816619,25.0901337475,114.857816619,0.539989,0.676486,6.89507,6.89662318678,25.4565,194.390382925,-7.52827,6.89319,6.8999389099,34
35,34.5915709588,120.399068587,0.512678948864,0.0,26.8683,68.129166796,29.9713862238,120.399068587,16.6376936055,120.399068587,0.555791,0.658358,7.19698,7.19903114522,25.7725,134.894664967,-7.8286,7.19542,7.20212555378,35
36,50.891915715,136.628825715,0.515866953835,0.0,27.1937,-24.0176870779,-142.221280685,136.628825715,16.9642368309,136.628825715,0.535109,0.633152,7.59896,7.60152533327,26.0461,40.1530562098,-8.21138,7.59781,7.60409086206,36
37,35.040065265,93.2140833,0.525402865762,0.0,27.5303,64.3357642059,12.0500298901,93.2140833,27.1035514725,93.2140833,0.594612,0.661844,7.97461,7.97732120146,26.3438,136.965178175,-8.584,7.97379,7.97953399286,37
38,26.534119368,70.5463275934,0.529311992732,0.0,27.8251,75.2456147145,33.8632743742,70.5463275934,25.2793793149,70.5463275934,0.580248,0.687274,8.34806,8.3504612124,26.6281,106.85626335,-8.96398,8.34759,8.35202148679,38
39,35.209494846,132.46553926,0.537500539653,0.0,28.1768,207.061484424,155.312035035,132.46553926,30.1710778223,132.46553926,0.601998,0.656855,8.70204,8.70496444791,26.8524,270.904795168,-9.3022,8.70165,8.70672040903,39
40,51.6549605645,120.849772796,0.53611101732,0.0,28.4767,136.100463301,48.2234976566,120.849772796,33.1967196795,120.849772796,0.583094,0.669199,9.13769,9.14081460653,27.1625,207.230175145,-9.74785,9.1376,9.14171289988,40
41,42.9316099553,146.380791092,0.546520292557,0.0,28.773,122.781851897,79.1395134698,146.380791092,34.4065900731,146.380791092,0.622032,0.617936,9.50772,9.51053305943,27.3723,208.558918445,-10.0946,9.5076,9.51114533009,41
42,39.3125890264,175.751452426,0.547226255895,0.0,29.1211,288.354432308,218.642648716,175.751452426,30.1430146618,175.751452426,0.649254,0.642405,9.85974,9.86281777589,27.6126,339.238774775,-10.437,9.85974,9.86347391494,42
43,40.9815572646,190.090715633,0.553916979834,0.0,29.4259,183.843845526,99.8629792643,190.090715633,16.7297772478,190.090715633,0.66228,0.645524,10.2961,10.2991588023,27.8882,237.114018626,-10.8892,10.2961,10.2997298796,43
44,108.271917432,212.769350661,0.557849194014,0.0,29.7294,419.985043251,226.405607591,212.769350661,41.2007777751,212.769350661,0.682406,0.726866,10.6836,10.6875246706,28.1293,534.299518603,-11.2701,10.6836,10.6881086547,44
45,56.0274886023,206.346410927,0.559789271524,0.0,29.9654,454.917681677,362.717882653,206.346410927,38.3849532428,206.346410927,0.669561,0.718061,11.1636,11.1663838923,28.3535,542.647429289,-11.7494,11.1636,11.1670830731,45
46,79.4421480057,211.947409336,0.567238973119,0.0,30.2805,513.74152129,377.686736684,211.947409336,36.1233269375,211.947409336,0.689549,0.609119,11.5409,11.544447688,28.5814,614.791403549,-12.1386,11.5409,11.5449989816,46
47,50.8859090006,367.489540556,0.568921146607,0.0,30.5489,454.105305332,372.026966339,367.489540556,30.7794837977,367.489540556,0.680291,0.615657,11.9635,11.9658414808,28.7816,530.227904435,-12.5648,11.9635,11.9662016577,47
48,77.4656806991,397.809792852,0.575828282249,0.0,30.8194,472.272320564,342.863269287,397.809792852,24.7360777657,397.809792852,0.696198,0.61752,12.3798,12.3833841307,29.0314,633.663370188,-12.9778,12.3798,12.3840080209,48
49,68.5262047845,378.449810373,0.586463884004,0.0,31.114,451.602770762,353.603723208,378.449810373,49.4226703174,378.449810373,0.751194,0.6155,12.8461,12.8498783132,29.2452,570.37376421,-13.4566,12.8461,12.850376456,49
50,53.9834457722,293.467673139,0.596719534906,0.0,31.3992,410.500783579,306.574365369,293.467673139,45.2715604691,293.467673139,0.800372,0.675803,13.3524,13.3543858286,29.4612,487.875643455,-13.9817,13.3524,13.3551445384,50
51,265.428931585,415.600633874,0.604474829881,0.0,31.6747,305.439790006,-247.712085274,415.600633874,60.0340778822,415.600633874,0.824485,0.649767,13.8491,13.8526356641,29.7027,630.809255247,-14.4943,13.8491,13.8531887931,51
52,336.061693132,370.740760157,0.612184277206,0.0,31.9245,430.304107222,-465.096949177,370.740760157,36.2302424067,370.740760157,0.830532,0.685638,14.3498,14.3532116334,29.927,654.267016642,-15.0153,14.3498,14.3538376883,52
53,299.294366465,382.537548785,0.615331281678,0.0,32.2161,525.751820786,-257.032439471,382.537548785,64.4803626356,382.537548785,0.862558,0.660892,14.8075,14.8111693619,30.203,752.494202707,-15.5059,14.8075,14.8117796506,53
54,45.2376686559,433.730980035,0.634776337394,0.0,32.4985,837.5558428,747.030171666,433.730980035,80.6217530775,433.730980035,0.931827,0.698034,15.4995,15.503035442,30.4173,923.708234427,-16.197,15.4995,15.5037515811,54
55,67.7286278749,500.028664293,0.633278388266,0.0,32.789,723.458904305,615.810487807,500.028664293,45.6275274323,500.028664293,0.925384,0.709641,16.068,16.0712326655,30.6801,797.744545474,-16.7952,16.068,16.0716575521,55
56,374.731308496,544.860798456,0.640377552548,0.0,33.0633,645.951784582,-450.510320275,544.860798456,33.7867064664,544.860798456,0.913645,0.737796,16.6301,16.6339098041,30.9795,903.325202895,-17.3838,16.6301,16.6343285842,56
57,144.138217397,433.792375447,0.649079497654,0.0,33.3856,628.07851548,302.835456309,433.792375447,31.9331952628,433.792375447,0.958388,0.756991,17.274,17.277590378,31.2209,853.612008533,-18.0434,17.274,17.2782065821,57
58,78.452013443,517.46003555,0.670553925898,0.0,33.637,853.56459109,742.726364253,517.46003555,70.8655451335,517.46003555,1.09589,0.72362,18.0275,18.0310638375,31.4858,972.098012924,-18.8365,18.0275,18.0317789087,58
59,323.608730696,413.92622501,0.670929189826,0.0,33.9146,658.431971698,-221.430159539,413.92622501,66.8236287183,413.92622501,1.06884,0.743821,18.6854,18.6905614534,31.7905,904.614198765,-19.5208,18.6854,18.6911653973,59
60,154.407026423,504.169617704,0.690104989384,0.0,34.1619,781.631980615,364.477076415,504.169617704,62.1595609019,504.169617704,1.16802,0.760206,19.5538,19.5580925569,32.0496,933.643920041,-20.4011,19.5538,19.5587030686,60
61,114.645685635,393.576200221,0.69834643559,0.0,34.399,831.548073079,683.06075173,393.576200221,67.9617647216,393.576200221,1.17682,0.799012,20.3695,20.3734689007,32.3088,1023.88353152,-21.1935,20.3695,20.3739944691,61
62,160.943948904,577.472232853,0.707949585514,0.0,34.6559,733.778954258,358.633183345,577.472232853,57.8784302134,577.472232853,1.1865,0.743536,21.3198,21.3241823031,32.5821,896.021941063,-22.1479,21.3198,21.3247405418,62
63,54.5603586422,537.472866494,0.719012976114,0.0,34.9307,830.442018188,735.027160977,537.472866494,69.8386957186,537.472866494,1.27283,0.76486,22.026,22.0311347423,32.8201,949.656664593,-22.8755,22.026,22.0317385589,63
64,346.817548317,500.683218186,0.729044742611,0.0,35.1778,588.888646518,-9.75183056428,500.683218186,64.6163512211,500.683218186,1.32326,0.749109,22.8705,22.8741031056,33.0593,902.3109633,-23.7277,22.8705,22.8745625501,64
65,409.598003909,527.669649429,0.74368931255,0.0,35.4457,519.505864147,-261.475675325,527.669649429,83.2270100885,527.669649429,1.4288,0.763171,23.7741,23.7791056631,33.3361,909.706453815,-24.6462,23.7741,23.7796657519,65
66,403.228145095,632.040646914,0.760999923887,0.0,35.7106,610.505124946,-221.282219818,632.040646914,70.7298105298,632.040646914,1.50783,0.741586,24.6904,24.6959815623,33.5554,1065.61054697,-25.57,24.6904,24.696527189,66
67,213.815664868,703.59157498,0.780777785581,0.0,35.9832,1024.64771397,560.32548622,703.59157498,96.7852323339,703.59157498,1.60407,0.821009,25.7221,25.7275719135,33.7726,1427.59697878,-26.628,25.7221,25.7280119503,67
68,371.375567711,719.231689974,0.795924642536,0.0,36.2053,810.776661991,-12.549414212,719.231689974,71.0240061879,719.231689974,1.7127,0.833941,26.7463,26.7512475137,34.0747,1398.32170278,-27.6467,26.7463,26.7516553706,68
69,312.098388362,808.562315202,0.802388102408,0.0,36.4743,893.18758439,125.608864082,808.562315202,72.0166131914,808.562315202,1.7492,0.855668,27.618,27.6245679359,34.3408,1311.18576569,-28.54,27.618,27.6249109115,69
70,587.389700245,518.476071798,0.803213923059,0.0,36.7462,1046.03445538,-609.699522537,518.476071798,80.9678969262,518.476071798,1.86823,0.864291,28.3379,28.3435801451,34.5756,1554.88670781,-29.2677,28.3379,28.3441314219,70
71,138.192216496,623.181980083,0.811643775881,0.0,36.996,765.136046775,539.464808268,623.181980083,99.0192138504,623.181980083,1.73404,0.765576,29.3774,29.3825585746,34.8186,1075.39822871,-30.3214,29.3774,29.3829987693,71
72,374.206733568,989.9304453,0.840678757607,0.0,37.2655,1063.33791171,498.973149136,989.9304453,104.567068908,989.9304453,2.0174,0.8344,30.3409,30.3464542722,35.1242,1542.90488987,-31.293,30.3409,30.346811747,72
73,152.975737378,639.693367316,0.849181898099,0.0,37.536,1140.43503171,866.08204327,639.693367316,104.259968615,639.693367316,2.00357,0.843861,31.2032,31.2094548025,35.3526,1285.33398196,-32.1412,31.2032,31.2098550661,73
74,430.806168253,462.931788335,0.81990076278,0.0,37.7381,1113.06709584,60.3160584058,462.931788335,121.680261736,462.931788335,1.65352,0.805752,31.9421,31.947831673,35.5979,1629.31402746,-32.8964,31.9421,31.9481071995,74
75,585.451613101,526.632705955,0.869561931462,0.0,37.9754,1168.25105845,-219.973765649,526.632705955,118.565619576,526.632705955,2.32101,0.833754,32.7877,32.7941895907,35.8348,1741.181523,-33.7609,32.7877,32.7948177916,75
76,542.450027676,561.048704927,0.859468898115,0.0,38.2031,1028.48806522,-90.3587275319,561.048704927,98.9670372716,561.048704927,2.13025,0.800349,33.5414,33.5471766508,36.0438,1870.74150859,-34.4964,33.5414,33.5476210673,76
77,521.454155007,502.99278487,0.871630455429,0.0,38.4583,912.637392122,-67.2977329314,502.99278487,113.443058151,502.99278487,2.29764,0.803962,34.3208,34.3265873029,36.2609,1539.92829627,-35.2543,34.3208,34.3270921638,77
78,307.708199963,595.495061395,0.885991505244,0.0,38.6936,1245.17457023,482.308796036,595.495061395,118.216752388,595.495061395,2.52977,0.807602,35.1091,35.1165279619,36.4812,1621.17177973,-36.029,35.1091,35.1171200512,78
79,301.956104528,2.49529232951,0.878052038529,0.0,38.9237,1154.38015236,604.644694695,2.49529232951,112.65248903,2.49529232951,2.23504,0.828289,35.8906,35.8961811887,36.6862,1536.47754539,-36.8386,35.8906,35.896523475,79
80,288.976434094,662.239926956,0.888045995975,0.0,39.168,669.21490975,1.44882547613,662.239926956,85.5726952103,662.239926956,2.34135,0.740673,36.8101,36.8156909822,36.9434,990.593608658,-37.7662,36.8101,36.8161613489,80
81,118.840511357,821.007957018,0.896602330934,0.0,39.435,1549.61894332,1323.91472491,821.007957018,136.224580073,821.007957018,2.5836,0.866548,37.5798,37.5859284387,37.1676,1738.63215564,-38.5448,37.5798,37.5863353524,81
82,226.298963386,587.626240797,0.909612974091,0.0,39.706,1443.88983091,821.972657881,587.626240797,117.300378351,587.626240797,2.51023,0.853257,38.4763,38.482682837,37.4046,1691.51327931,-39.4504,38.4763,38.4831436514,82
83,63.3426254016,684.848983004,0.913243555756,0.0,39.9616,1384.97208504,1222.18489882,684.848983004,120.345713303,684.848983004,2.54124,0.889609,39.4437,39.4505235608,37.6123,1486.01010561,-40.4086,39.4437,39.4509487017,83
84,134.154542408,1067.81579951,0.913254368638,0.0,40.1723,1077.82032433,714.278696896,1067.81579951,83.9044313552,1067.81579951,2.60188,0.862066,40.3108,40.3164859865,37.7992,1193.9325892,-41.2763,40.3108,40.3169723629,84
85,267.759380474,588.442359041,0.948288859751,0.0,40.3834,1238.48815603,892.166973708,588.442359041,114.608028418,588.442359041,3.04357,0.798369,41.1292,41.1362369552,38.0153,1727.81593611,-42.1146,41.1292,41.1365104412,85
86,120.628542828,953.578421259,0.939611664902,0.0,40.5905,1159.78381433,964.508242129,953.578421259,114.365097704,953.578421259,2.93635,0.795247,42.1891,42.1945998342,38.2427,1359.61691101,-43.1553,42.1891,42.1950627197,86
87,279.08762236,854.124768577,0.951896223602,0.0,40.8636,1222.37747837,891.231013654,854.124768577,137.553608524,854.124768577,3.04234,0.774306,43.0386,43.0454369963,38.4544,1783.72169585,-44.0069,43.0386,43.0458902781,87
88,239.591527064,695.998597955,0.979378895982,0.0,41.1273,1265.88298168,869.249576314,695.998597955,117.122028941,695.998597955,3.65464,0.834148,43.7581,43.7648029865,38.7044,1547.687303,-44.7688,43.7581,43.7655822871,88
89,87.0736441627,1016.86718495,0.962345880806,0.0,41.355,1559.3843686,1370.38667603,1016.86718495,139.342817663,1016.86718495,3.2098,0.850215,44.7976,44.8046637845,38.9268,1648.85546058,-45.8066,44.7976,44.8049828421,89
90,289.824599351,719.236348415,0.959352669848,0.0,41.5593,1385.6037862,888.413840727,719.236348415,137.268279756,719.236348415,3.06133,0.80206,45.5636,45.5700283799,39.1442,1734.14797359,-46.5483,45.5636,45.5704123975,90
91,114.518185773,687.438464069,0.985028851737,0.0,41.7962,1024.09949525,872.882861269,687.438464069,116.170672068,687.438464069,3.31718,0.7526,46.4452,46.4520958464,39.3502,1255.26799044,-47.4257,46.4452,46.4525118169,91
92,89.6793339584,880.02210693,1.00285161801,0.0,42.0532,998.02161206,825.645194264,880.02210693,132.930561685,880.02210693,3.68702,0.738682,47.2918,47.2983512778,39.5926,1122.11602569,-48.2771,47.2918,47.2988133192,92
93,415.596800642,755.492381449,0.998097538701,0.0,42.2833,1409.14691209,871.014472278,755.492381449,157.493339753,755.492381449,3.57974,0.820664,48.0273,48.0349231807,39.8327,2013.19284271,-49.0147,48.0273,48.035375447,93
94,253.569258137,642.725311565,1.0248203171,0.0,42.5308,1584.41491535,1088.23351955,642.725311565,156.162342948,642.725311565,3.89388,0.839287,48.93,48.9357637279,40.0142,1843.87607834,-49.9137,48.93,48.9362898184,94
95,381.344722881,745.076635426,1.01171220518,0.0,42.7648,1731.18052762,782.135634242,745.076635426,173.945283584,745.076635426,3.87165,0.856115,49.5806,49.5869493126,40.211,2085.71346519,-50.5865,49.5806,49.5872606335,95
96,279.596036226,777.562806822,1.02532830445,0.0,43.007,1726.96197732,926.035585804,777.562806822,152.607846154,777.562806822,3.82927,0.86278,50.5416,50.5475049548,40.4469,1964.38113189,-51.5443,50.5416,50.5479030078,96
97,326.10966311,1021.18215446,1.03210832897,0.0,43.2361,1669.30478649,1089.97535186,1021.18215446,167.654387097,1021.18215446,3.68146,0.834036,51.3768,51.3835575464,40.6633,2003.259929,-52.391,51.3768,51.3838776161,97
98,341.878173063,846.390561434,1.03961386704,0.0,43.4486,1082.50273149,785.629726853,846.390561434,139.962103578,846.390561434,4.03314,0.770116,52.1839,52.1904869808,40.905,1979.31458976,-53.1887,52.1839,52.1909867562,98
99,211.614341238,601.336457034,1.05895063609,0.0,43.6946,1108.56179867,850.883578189,601.336457034,155.736325577,601.336457034,4.32427,0.758475,53.1208,53.1272748781,41.1726,1488.34209265,-54.1096,53.1208,53.1276852914,99
100,413.179836339,1311.63059433,1.06361396222,0.0,43.9875,1064.26746416,486.741488357,1311.63059433,153.493829461,1311.63059433,4.28394,0.797064,53.7467,53.7544230726,41.3966,1797.26698975,-54.7503,53.7467,53.7550456976,100
101,569.745242046,537.136800276,1.07844225858,0.0,44.2091,1499.14463964,842.515528454,537.136800276,172.812202046,537.136800276,4.33466,0.797175,54.5909,54.5970849654,41.6404,2239.1451808,-55.5889,54.5909,54.5974253261,101
102,453.318149823,1014.70072501,1.08780065708,0.0,44.4166,1220.09785965,629.06380185,1014.70072501,161.6473133,1014.70072501,4.50618,0.798285,55.5229,55.530278129,41.8238,2199.61045467,-56.5313,55.5229,55.5306129668,102
103,303.636362077,598.685077188,1.06466931536,0.0,44.6115,1198.99228026,874.366613135,598.685077188,129.532474539,598.685077188,4.30056,0.780662,56.2609,56.2672675691,42.0184,1901.78147316,-57.2848,56.2609,56.267557772,103
104,525.130879918,921.457865746,1.07319842135,0.0,44.8824,1486.43798757,821.816658994,921.457865746,178.268923463,921.457865746,4.30609,0.806411,57.0527,57.0591830174,42.2546,2523.24976405,-58.0768,57.0527,57.0594336699,104
105,498.666631325,867.077048045,1.08556468932,0.0,45.111,1754.6059847,844.086422763,867.077048045,195.131136346,867.077048045,4.53524,0.815309,57.8362,57.843959175,42.3901,2362.5084231,-58.8568,57.8362,57.8442574066,105
106,548.06411111,1446.62036839,1.1158645097,0.0,45.3404,1792.42530968,981.638280338,1446.62036839,198.866882604,1446.62036839,4.90058,0.834295,58.9563,58.9619619739,42.6259,2522.48555495,-59.9885,58.9563,58.9623741414,106
107,491.696958192,960.617625543,1.11311412629,0.0,45.5918,1513.09111764,918.767546138,960.617625543,172.844246724,960.617625543,5.11692,0.817786,59.6963,59.7021412737,42.8347,2367.3240267,-60.7145,59.6963,59.7027002012,107
108,415.065428931,876.093059566,1.12220074548,0.0,45.8193,2277.06750191,1193.08219718,876.093059566,212.515432564,876.093059566,5.36023,0.882235,60.5732,60.5792197252,43.0178,2590.6095502,-61.6254,60.5732,60.5794875089,108
109,477.159412571,1077.84505638,1.11648313254,0.0,46.068,1471.18603849,1004.73905541,1077.84505638,183.322149984,1077.84505638,4.67046,0.837562,61.371,61.3788539702,43.1747,2316.0437433,-62.4242,61.371,61.3792015025,109
110,445.137201065,575.748579854,1.12295048849,0.0,46.2829,1420.20423802,1025.14508954,575.748579854,191.579347001,575.748579854,5.08463,0.783378,62.4095,62.4133798082,43.3843,2523.28049323,-63.4747,62.4095,62.4138226289,110
111,236.564293086,1541.36026594,1.13736444082,0.0,46.488,1151.39717206,802.711260118,1541.36026594,170.332174713,1541.36026594,4.78518,0.793584,63.3426,63.3497750871,43.5701,1499.10405661,-64.3893,63.3426,63.3502102744,111
112,443.023680384,1612.62472279,1.17060201745,0.0,46.7129,1618.43177861,1007.37246588,1612.62472279,190.373126533,1612.62472279,5.76901,0.851049,64.3683,64.375231697,43.725,2160.68383515,-65.4337,64.3683,64.375543739,112
113,480.060480938,1582.02261386,1.20407008818,0.0,46.9977,1856.69446539,1142.20166197,1582.02261386,193.137085738,1582.02261386,6.17984,0.853299,65.389,65.3974535815,43.979,2443.83389933,-66.4602,65.389,65.397831135,113
114,561.25091578,1530.31164896,1.22019986676,0.0,47.2429,1951.7879637,933.412875945,1530.31164896,198.197799485,1530.31164896,6.48112,0.841313,66.3579,66.3646476026,44.181,2499.57649685,-67.4441,66.3579,66.3650489317,114
115,302.336686581,793.258312455,1.20154160844,0.0,47.4949,2055.29663145,1448.27285081,793.258312455,205.320852469,793.258312455,5.982,0.875589,67.3129,67.3192361986,44.3818,2426.67110407,-68.3932,67.3129,67.3195062065,115
116,445.47593524,1705.21113085,1.20188912915,0.0,47.703,2012.45552656,1184.02310854,1705.21113085,212.817414474,1705.21113085,5.75584,0.876036,68.4407,68.4461335314,44.6093,2466.43080877,-69.5078,68.4407,68.4464038981,116
117,75.7955965512,1636.9957888,1.25140974492,0.0,47.9213,2521.94715189,2367.9398037,1636.9957888,209.036500699,1636.9957888,6.82455,0.931983,69.1543,69.1612135368,44.7818,2636.43912462,-70.241,69.1543,69.1617114548,117
118,525.333646217,631.909315337,1.22811121849,0.0,48.1141,1889.09769442,1089.20420304,631.909315337,203.226124561,631.909315337,6.1914,0.855052,69.9616,69.9699085421,44.9987,2422.90662145,-71.0463,69.9616,69.9702169056,118
119,641.797863044,943.227877303,1.25895818801,0.0,48.3485,2051.77422812,933.977928483,943.227877303,193.620887313,943.227877303,6.86828,0.876287,70.9041,70.9134387937,45.1988,2625.53902621,-72.0183,70.9041,70.9139854247,119
120,97.0105361014,1870.6929123,1.27025330846,0.0,48.5772,2610.656905,2411.14137621,1870.6929123,226.54642315,1870.6929123,7.62609,0.948271,71.8157,71.8202377873,45.4148,2759.26054038,-72.9145,71.8157,71.8206758542,120
121,628.653666319,1093.35207095,1.25848394587,0.0,48.8474,1863.16536945,889.99887394,1093.35207095,205.388239447,1093.35207095,6.89837,0.876866,72.8964,72.9046261272,45.5854,2529.10199405,-74.015,72.8964,72.9049162637,121
122,60.4572901992,1855.9679195,1.28876256391,0.0,49.1084,2237.91019863,2111.58368359,1855.9679195,186.915605021,1855.9679195,7.48724,0.908172,74.0979,74.1052289323,45.7928,2321.85622552,-75.2809,74.0979,74.1056049952,122
123,217.657460433,1774.56196734,1.35358113242,0.0,49.3372,2441.07950432,1863.70355793,1774.56196734,225.412582304,1774.56196734,8.72573,0.926551,75.07,75.0772815859,45.9083,2638.68353011,-76.2301,75.07,75.0777914161,123
124,94.5527424768,1808.82134454,1.32659259728,0.0,49.568,2625.29788271,2487.77213774,1808.82134454,225.293091875,1808.82134454,7.93038,0.944275,76.3087,76.318263174,46.19,2807.8518211,-77.4632,76.3087,76.3186964334,124
