PolicyRegParamNorm,MinEsReturn,MinReturn,MaxReturn,AverageAbsQYDiff,AverageY,MaxEsReturn,Epoch,AverageAction,StdReturn,AverageAbsQ,StdEsReturn,AverageDiscountedReturn,AverageQLoss,Iteration,AverageAbsY,AverageReturn,AverageQ,QFunRegParamNorm,AverageEsReturn,AveragePolicySurr
48.9817,3.0,1000.0,1000.0,1.73938573923,65.7538665875,57.0,93,0.552907,0.0,65.8576,9.90415377025,99.9956828753,21.5071,93,65.7745560693,1000.0,65.7465,100.258,11.75,-73.2961
49.2144,3.0,1000.0,1000.0,1.70622064881,66.53936242,83.0,94,0.421523,0.0,66.6378,13.6347408134,99.9956828753,21.38,94,66.5536151119,1000.0,66.5446,100.81,12.5487804878,-74.1639
49.4195,3.0,1000.0,1000.0,1.75360135021,67.135922942,35.0,95,0.37038,0.0,67.2349,8.05461963763,99.9956828753,22.7344,95,67.1532355078,1000.0,67.1339,101.416,10.5684210526,-74.888
49.6564,2.0,1000.0,1000.0,1.784966378,68.2963783883,48.0,96,0.382462,0.0,68.4097,10.3940005232,99.9956828753,23.1534,96,68.3159780761,1000.0,68.2932,102.025,12.0365853659,-75.8837
49.8677,3.0,1000.0,1000.0,1.73880477884,68.7501331975,54.0,97,0.391506,0.0,68.8457,9.60324019393,99.9956828753,23.9498,97,68.7703733841,1000.0,68.7463,102.553,11.3333333333,-76.4008
50.0643,3.0,1000.0,1000.0,1.81044956008,69.3380434202,50.0,98,0.426304,0.0,69.4537,10.7573341094,99.9956828753,23.6858,98,69.3577485562,1000.0,69.3354,103.094,12.7721518987,-77.1856
50.3205,3.0,1000.0,1000.0,1.76862115423,70.1560615187,44.0,99,0.408079,0.0,70.2561,8.93395564588,99.9956828753,23.5034,99,70.1770637276,1000.0,70.1517,103.818,11.6436781609,-78.0772
50.549,3.0,1000.0,1000.0,1.80963149274,70.9142710896,61.0,100,0.347065,0.0,71.0367,11.2273985611,99.9956828753,25.631,100,70.9478513321,1000.0,70.9143,104.425,12.7088607595,-78.7839
50.7708,3.0,1000.0,1000.0,1.79810077314,71.3093797775,46.0,101,0.343598,0.0,71.4361,9.07014813075,99.9956828753,25.5778,101,71.3563268472,1000.0,71.307,105.049,12.2564102564,-79.4501
51.0417,3.0,1000.0,1000.0,1.79480650877,72.2247750214,47.0,102,0.390509,0.0,72.3544,9.63162372516,99.9956828753,25.2386,102,72.2695391495,1000.0,72.2264,105.573,12.8518518519,-80.3437
