AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
71.5474743709,0.0555655363345,1.29547589279,970.574342652,1.29494,622.953705543,1.29629915416,622.953705543,-1.37568,622.953705543,0.872985,1.29566,0.0,907.383610005,0.00730998,65.0726,48.1096,38.9678878307,41,41,831.634029404
40.0269221971,0.0557881046838,1.37734032853,1033.51150898,1.37679,627.593596453,1.37792703586,627.593596453,-1.45719,627.593596453,0.902243,1.37733,0.0,956.766933513,0.00743853,65.944,48.7734,59.3849867548,42,42,840.207964988
80.6682860551,0.056644590952,1.45924929698,1180.62955379,1.4586,511.445519293,1.45974887775,511.445519293,-1.53879,511.445519293,0.897691,1.45894,0.0,1110.62383585,0.00796679,66.7356,49.4758,36.4902069388,43,43,1050.25055107
76.732823264,0.0579688206242,1.54245566231,1013.58503254,1.5418,601.693254483,1.54273929122,601.693254483,-1.62324,601.693254483,0.895247,1.54198,0.0,980.778211483,0.0078617,67.4904,50.1954,24.4416264104,44,44,934.142924525
58.5826301813,0.0589709244854,1.62833394885,1021.44636026,1.62785,491.19004325,1.62862065125,491.19004325,-1.71316,491.19004325,0.881973,1.62806,0.0,833.358904173,0.00898151,68.2184,50.8324,381.385553911,45,45,-300.448468733
23.6064246331,0.0606548400231,1.71631520675,959.380642902,1.71559,629.386012054,1.71662867662,629.386012054,-1.79916,629.386012054,0.746231,1.71585,0.0,129.772986251,0.00994061,69.0887,51.4795,608.318640151,46,46,-375.902435958
73.242774405,0.0623922121041,1.80118917994,1004.79773506,1.8005,754.333421178,1.8014486057,754.333421178,-1.88533,754.333421178,0.890718,1.80064,0.0,898.706085641,0.010863,69.8982,52.1491,161.122075318,47,47,493.955157849
72.7915442256,0.0646106359031,1.89874863232,1219.49913822,1.89786,664.2227127,1.89889081673,664.2227127,-1.98462,664.2227127,0.928319,1.89802,0.0,1042.12969633,0.0118297,70.6642,52.7399,60.7822753454,48,48,988.905922966
77.8211851432,0.0647377261029,1.99355100305,855.602412168,1.99266,433.585494148,1.99371096753,433.585494148,-2.07888,433.585494148,0.940174,1.9927,0.0,797.861398613,0.012269,71.3161,53.2643,34.4625651754,49,49,727.859593459
82.424972892,0.0646715922012,2.08422520456,1026.25188984,2.08318,702.58863617,2.08440030493,702.58863617,-2.17443,702.58863617,0.937649,2.08325,0.0,991.046139028,0.0115883,71.982,53.9287,21.1757711194,50,50,960.707874093
76.5915040051,0.0657578927991,2.18012758441,1132.55351888,2.17911,706.685791287,2.18030105432,706.685791287,-2.26606,706.685791287,0.934368,2.17917,0.0,1075.05345614,0.0125733,72.6909,54.4671,32.5585461037,51,51,1024.20342738
77.1341466997,0.0682885541945,2.27173713071,1161.26198618,2.2706,726.547498329,2.27184136075,726.547498329,-2.35629,726.547498329,0.950015,2.27063,0.0,1086.57520666,0.0151838,73.3754,55.0581,42.9843540715,52,52,1035.35837703
91.6165216402,0.0665976609463,2.3591794965,1113.71453977,2.35828,668.966413537,2.35931565505,668.966413537,-2.4455,668.966413537,0.945502,2.35832,0.0,1078.63723122,0.0129426,74.0692,55.5466,22.2122594427,53,53,1051.33220731
83.4116166038,0.0656388122364,2.45030290798,1051.82765856,2.44958,676.539354308,2.4504563449,676.539354308,-2.53928,676.539354308,0.941591,2.44966,0.0,994.761732435,0.0121268,74.8015,56.0844,37.4200427517,54,54,951.502806433
