StdEsReturn,AveragePolicySurr,MinEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAction,AverageAbsY,QFunRegParamNorm,StdReturn,PolicyRegParamNorm,AverageEsReturn,MaxReturn,AverageQLoss,Iteration,AverageY,AverageReturn,MaxEsReturn,Epoch,MinReturn,AverageQ,AverageAbsQYDiff
10.0998841417,-1.25484,-42.7378400285,1.03739,-19.5159994092,0.935395,1.03601063869,12.552,1.04493367117,15.0333,-23.5219617401,-41.7799569363,0.00633047,19,1.03362800475,-44.8070572372,-8.88410760604,19,-47.0448385114,1.03315,0.0556697863348
15.5874593137,-1.27433,-51.6524169348,1.07974,-7.65769739599,0.826786,1.07898648091,12.7919,0.816401417679,15.8502,-28.1676161558,-11.0421614484,0.00611455,20,1.07670318086,-13.1819754995,0.929270600159,20,-15.4651257956,1.0763,0.0525455484785
13.1840471384,-1.28586,-41.7843957049,1.10726,-13.4916152179,0.829885,1.10639908941,13.0388,2.91469952908,16.5203,-21.4943311931,-19.0704081767,0.00625058,21,1.10409281188,-28.253781976,9.73617962892,21,-35.838654086,1.10362,0.0517711032193
39.7201732337,-1.29414,-37.1849551993,1.13165,-16.6670693312,0.836294,1.13064078162,13.3333,7.83820273029,17.1828,-7.88673495948,-10.8673815021,0.00591367,22,1.12825916062,-40.3213965415,106.463981819,22,-52.4121111049,1.128,0.0502916530516
44.9192362774,-1.30515,-35.0350533688,1.15225,104.873875661,0.76168,1.15145803706,13.6713,397.945453237,17.9648,1.8517699176,1058.49914406,0.00551071,23,1.14885370177,714.843282642,75.4615445733,23,90.3270503476,1.14848,0.0490604556571
278.290261317,-1.3349,8.60445091548,1.17313,70.6759174517,0.864737,1.17240308069,14.0066,347.058434772,18.6658,264.39135873,1039.20950202,0.00528558,24,1.16920973763,341.719356009,768.14709782,24,-8.12432300077,1.16891,0.0472898271685
169.226602928,-1.38167,-19.7289415601,1.22048,-13.0932321214,0.882987,1.2197262323,14.3238,26.4360882378,19.3141,209.997733142,0.592989971824,0.00539144,25,1.21692262412,-41.1952718175,382.961895838,25,-182.601269239,1.2166,0.0467583407666
57.0775943619,-1.41284,-71.5222041545,1.2523,-26.0574069484,0.935406,1.25165430076,14.7169,79.1847466095,20.0689,-15.7741197938,117.396652941,0.00492391,26,1.24938944623,-121.495591192,123.895026309,26,-296.350916274,1.24912,0.0459255920536
172.349876131,-1.43738,-38.7649747419,1.28335,68.7022784975,0.946785,1.28291128428,15.1862,150.910932429,20.6734,140.504070257,1003.96467982,0.00642728,27,1.28066438399,126.146495915,451.513938386,27,-79.737336734,1.28028,0.0489676583408
153.200356455,-1.47757,-29.0962261408,1.32035,30.1895933326,0.791689,1.31975160475,15.6185,465.365067784,21.2449,114.555099903,1065.75111778,0.00709644,28,1.31770551515,297.846836003,373.097064225,28,-39.9354778703,1.31731,0.049666083631
151.047212999,-1.50518,-18.0090818267,1.3563,95.1114929332,0.773751,1.35565419735,16.0598,361.073655606,21.7205,146.095541924,1052.38010319,0.0065778,29,1.35358773705,888.816645411,386.594371991,29,62.7614500125,1.35319,0.0493373788081
265.28867324,-1.52567,-46.9873918595,1.38676,99.8992652409,0.783797,1.38624456735,16.4934,335.699734374,21.988,156.478530222,1077.66458379,0.00764033,30,1.3844674816,823.120654823,674.352569347,30,143.50491359,1.3842,0.048845357356
142.323579946,-1.5396,6.48882720512,1.40542,74.25822953,0.776475,1.40475305949,16.9084,96.2911832472,22.2913,171.357813889,361.986146882,0.00722606,31,1.40321186554,147.53849091,380.627109372,31,35.0191115172,1.40287,0.0487153898268
